head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3425,OTHER SCIENTIFIC RESEARCH,,,,,
60,Others,,,,,
200,Assistance to other Scientific Bodies,,,,,
#,State's Expenditure,,,,,
AF,Assistance to Tamil Nadu Science and Technology Centre,,,,,3425 60 200 AF 30000
309,Grants-in-Aid,"4,69,99","4,57,10","6,44,53","5,07,24",3425 60 200 AF 30900
03,Grants for Specific Schemes,"4,69,99","4,57,10","6,44,53","5,07,24",3425 60 200 AF 30903
AF,Total AF,"4,69,99","4,57,10","6,44,53","5,07,24",
#,State's Expenditure Total,"4,69,99","4,57,10","6,44,53","5,07,24",
200,Total 200,"4,69,99","4,57,10","6,44,53","5,07,24",
60,Total 60,"4,69,99","4,57,10","6,44,53","5,07,24",
3425,Total 3425,"4,69,99","4,57,10","6,44,53","5,07,24",
