head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2203-00,TECHNICAL EDUCATION,,,,,
104,Assistance to Non-Government Technical Colleges and Institutes,,,,,
#,State's Expenditure,,,,,
AC,Tamil Nadu State Council for Technical Education,,,,,2203 00 104 AC 30000
309,Grants-in-Aid,"16,56","15,28","22,36","21,04",2203 00 104 AC 30900
01,Grants for Current Expenditure,"16,56","15,28","22,36","21,04",2203 00 104 AC 30901
AC,Total AC,"16,56","15,28","22,36","21,04",
#,State's Expenditure Total,"16,56","15,28","22,36","21,04",
104,Total 104,"16,56","15,28","22,36","21,04",
00,Total 00,"16,56","15,28","22,36","21,04",
2203,Total 2203,"16,56","15,28","22,36","21,04",
