head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
BU,Buildings - Colleges (Administered by Technical Education Wing),,,,,2059 01 053 BU 30000
318,Maintenance,"17,25,49","17,67,46","17,67,46","1,33,67,46",2059 01 053 BU 31800
01,Periodical Maintenance,"17,25,49","17,67,46","17,67,46","1,33,67,46",2059 01 053 BU 31801
BU,Total BU,"17,25,49","17,67,46","17,67,46","1,33,67,46",
#,State's Expenditure Total,"17,25,49","17,67,46","17,67,46","1,33,67,46",
053,Total 053,"17,25,49","17,67,46","17,67,46","1,33,67,46",
01,Total 01,"17,25,49","17,67,46","17,67,46","1,33,67,46",
2059,Total 2059,"17,25,49","17,67,46","17,67,46","1,33,67,46",
2202,GENERAL EDUCATION,,,,,
03,University and Higher Education,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Collegiate Education,,,,,2202 03 001 AA 30000
301,Salaries,"15,35,44","24,86,08","14,20,86","15,87,98",2202 03 001 AA 30100
01,Pay,"13,91,22","22,71,93","12,86,90","14,54,19",2202 03 001 AA 30101
02,Medical Allowance,"10,70","10,73","10,66","10,66",2202 03 001 AA 30102
03,Medical Charges,45,64,64,67,2202 03 001 AA 30103
04,Other Allowances,"11,77","23,00","18,65","18,65",2202 03 001 AA 30104
06,House Rent Allowance,"1,03,31","1,60,00","86,80","86,80",2202 03 001 AA 30106
07,Travel Concession Allowance,69,70,70,50,2202 03 001 AA 30107
08,City Compensatory Allowance,"17,30","19,08","16,51","16,51",2202 03 001 AA 30108
302,Wages,,1,,,2202 03 001 AA 30200
01,Wages,,1,,,2202 03 001 AA 30201
303,Dearness Allowance,"2,21,00","2,95,35","2,05,90","3,56,28",2202 03 001 AA 30300
01,Dearness Allowance,"2,21,00","2,95,35","2,05,90","3,56,28",2202 03 001 AA 30301
304,Travel Expenses,"9,36","10,30","12,55","12,55",2202 03 001 AA 30400
01,Tour Travelling Allowances,"9,29","9,00","11,90","11,90",2202 03 001 AA 30401
02,Transfer Travelling Allowances,7,"1,30",65,65,2202 03 001 AA 30402
305,Office Expenses,"37,86","47,78","48,24","46,46",2202 03 001 AA 30500
01,Telephone Charges,"4,47","6,72","6,40","6,40",2202 03 001 AA 30501
02,Other Contingencies,"16,21","13,50","15,28","13,50",2202 03 001 AA 30502
03,Electricity Charges,"13,08","18,55","18,55","18,55",2202 03 001 AA 30503
04,Service Postage & Postal Expenditure,"4,10","9,00","8,00","8,00",2202 03 001 AA 30504
05,Furniture,,1,1,1,2202 03 001 AA 30505
306,"Rent, Rates and Taxes","29,77","30,64","30,64","30,64",2202 03 001 AA 30600
01,Rent,"28,97","28,98","28,98","28,98",2202 03 001 AA 30601
02,Property tax,27,44,44,44,2202 03 001 AA 30602
03,Water Charges,53,"1,22","1,22","1,22",2202 03 001 AA 30603
308,Advertising and Publicity,"7,54","1,65","1,65","1,65",2202 03 001 AA 30800
01,Advertisement Charges,"7,54","1,65","1,65","1,65",2202 03 001 AA 30801
319,Machinery and Equipments,"12,21","7,00","7,00","7,50",2202 03 001 AA 31900
01,Purchase,"7,46","1,00","1,00","1,50",2202 03 001 AA 31901
03,Maintenance,"4,75","6,00","6,00","6,00",2202 03 001 AA 31903
321,Motor Vehicles,"1,43","1,01","1,21","1,21",2202 03 001 AA 32100
01,Purchase,,1,1,1,2202 03 001 AA 32101
02,Maintenance of Functional Vehicles,"1,43","1,00","1,20","1,20",2202 03 001 AA 32102
333,Payments for Professional and Special Services,"26,70","34,33","36,96","35,14",2202 03 001 AA 33300
01,Pleaders Fees,"7,92","2,00","6,40","6,00",2202 03 001 AA 33301
04,Contract Payment,"18,78","32,33","30,56","29,14",2202 03 001 AA 33304
345,"Petroleum, Oil and Lubricant","9,08","10,00","10,00","10,50",2202 03 001 AA 34500
01,"Petroleum, Oil and Lubricant","9,08","10,00","10,00","10,50",2202 03 001 AA 34501
349,Festival Advances,"1,26",,,,2202 03 001 AA 34900
01,Festival Advances-Debit,"10,30","14,90","29,70","29,70",2202 03 001 AA 34901
02,Festival Advances-Credit,"-9,04","-14,90","-29,70","-29,70",2202 03 001 AA 34902
351,Compensation Charged,,1,1,1,2202 03 001 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2202 03 001 AA 35151
359,Prizes and Awards,24,"1,24","1,24","1,24",2202 03 001 AA 35900
01,Prizes and Awards,24,"1,24","1,24","1,24",2202 03 001 AA 35901
372,Training,,1,1,1,2202 03 001 AA 37200
01,Training,,1,1,1,2202 03 001 AA 37201
376,Computer and Accessories,"12,49","13,34","13,33","14,41",2202 03 001 AA 37600
01,Purchase,,1,,1,2202 03 001 AA 37601
02,Maintenance,"10,93","11,69","11,69","12,25",2202 03 001 AA 37602
03,Stationery,"1,56","1,64","1,64","2,15",2202 03 001 AA 37603
AA,Total AA Charged,,1,1,1,
