head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AS,Buildings - Engineering Colleges and Polytechnics (Administered by Technical Education Wing),,,,,2059 01 053 AS 30000
318,Maintenance,"10,71,66","11,30,00","11,30,00","11,30,00",2059 01 053 AS 31800 
01,Periodical Maintenance,"10,71,66","11,30,00","11,30,00","11,30,00",2059 01 053 AS 31801
AS,Total AS,"10,71,66","11,30,00","11,30,00","11,30,00",
#,State's Expenditure Total,"10,71,66","11,30,00","11,30,00","11,30,00",
053,Total 053,"10,71,66","11,30,00","11,30,00","11,30,00",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
AS,Buildings - Engineering Colleges and Polytechnics (Administered by Technical Education Wing),,,,,2059 01 911 AS 30000
377,Deduct-Recoveries,"-1,88",,,,2059 01 911 AS 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"-1,88",,,,2059 01 911 AS 37702
AS,Total AS,"-1,88",,,,
#,State's Expenditure Total,"-1,88",,,,
911,Total 911,"-1,88",,,,
01,Total 01,"10,69,78","11,30,00","11,30,00","11,30,00",
2059,Total 2059,"10,69,78","11,30,00","11,30,00","11,30,00",
2203-00,TECHNICAL EDUCATION,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Technical Education,,,,,2203 00 001 AA 30000
301,Salaries,"7,60,21","13,35,82","9,03,60","10,83,30",2203 00 001 AA 30100
01,Pay,"6,64,65","12,00,00","7,86,86","8,18,34",2203 00 001 AA 30101
02,Medical Allowance,"4,83","6,82","6,86","13,87",2203 00 001 AA 30102
03,Medical Charges,95,"1,40","1,50","1,70",2203 00 001 AA 30103
04,Other Allowances,"4,62","7,18","7,32","14,23",2203 00 001 AA 30104
06,House Rent Allowance,"71,74","1,02,52","85,11","2,03,62",2203 00 001 AA 30106
07,Travel Concession,13,65,45,45,2203 00 001 AA 30107
08,City Compensatory Allowance,"13,29","17,25","15,50","31,09",2203 00 001 AA 30108
303,Dearness Allowance,"2,10,61","1,44,00","2,21,59","2,00,49",2203 00 001 AA 30300
01,Dearness Allowance,"2,10,61","1,44,00","2,21,59","2,00,49",2203 00 001 AA 30301
304,Travel Expenses,"6,56","12,40","12,84","12,84",2203 00 001 AA 30400
01,Tour Travelling Allowances,"6,54","12,32","12,24","12,24",2203 00 001 AA 30401
02,Transfer Travelling Allowances,2,8,60,60,2203 00 001 AA 30402
305,Office Expenses,"65,19","77,80","85,18","1,01,55",2203 00 001 AA 30500
01,Telephone Charges,"1,82","2,30","2,75","2,75",2203 00 001 AA 30501
02,Other Contingencies,"20,83","28,00","34,93","51,05",2203 00 001 AA 30502
03,Electricity Charges,"40,04","45,00","45,00","45,00",2203 00 001 AA 30503
04,Service Postage & Postal Expenditure,"2,50","2,50","2,50","2,75",2203 00 001 AA 30504
308,Advertising and Publicity,"11,13","13,70","13,70","13,70",2203 00 001 AA 30800
01,Advertisement Charges,"11,13","13,70","13,70","13,70",2203 00 001 AA 30801
319,Machinery and Equipments,"37,00","3,30","3,30","1,32",2203 00 001 AA 31900
01,Purchase,"35,96","2,10","2,10",,2203 00 001 AA 31901
03,Maintenance,"1,04","1,20","1,20","1,32",2203 00 001 AA 31903
321,Motor Vehicles,,11,11,12,2203 00 001 AA 32100
01,Purchase,,1,1,1,2203 00 001 AA 32101
02,Maintenance of Functional Vehicles,,10,10,11,2203 00 001 AA 32102
324,Materials and Supplies,,1,1,1,2203 00 001 AA 32400
01,Materials and Supplies,,1,1,1,2203 00 001 AA 32401
333,Payments for Professional and Special Services,"14,94","2,31,13","2,45,34","2,33,94",2203 00 001 AA 33300
01,Pleaders Fees,"4,07","3,74","17,95","6,55",2203 00 001 AA 33301
02,Remuneration,"2,43","3,60","3,60","3,60",2203 00 001 AA 33302
04,Contract Payment,"8,44","2,23,79","2,23,79","2,23,79",2203 00 001 AA 33304
345,"Petroleum, Oil and Lubricant","1,12","1,65","2,50","2,50",2203 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,12","1,65","2,50","2,50",2203 00 001 AA 34501
347,Stores and Equipments,22,"2,00","2,00","2,20",2203 00 001 AA 34700
01,Stores - Voted,22,"2,00","2,00","2,20",2203 00 001 AA 34701
349,Festival Advances,19,,,,2203 00 001 AA 34900
01,Festival Advances-Debit,"3,70","8,00","18,00","19,80",2203 00 001 AA 34901
02,Festival Advances-Credit,"-3,51","-8,00","-18,00","-19,80",2203 00 001 AA 34902
359,Prizes and Awards,,"2,50","2,50","2,50",2203 00 001 AA 35900
01,Prizes and Awards,,"2,50","2,50","2,50",2203 00 001 AA 35901
368,"Cost of Books/Note Books/Slates, etc.",12,20,20,22,2203 00 001 AA 36800
01,"Cost of Books/Note Books/Slates, etc.",12,20,20,22,2203 00 001 AA 36801
372,Training,"60,00",,,,2203 00 001 AA 37200
01,Training,"60,00",,,,2203 00 001 AA 37201
