head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2202,GENERAL EDUCATION,,,,,
03,University and Higher Education,,,,,
102,Assistance to Universities,,,,,
#,State's Expenditure,,,,,
AA,University of Madras,,,,,2202 03 102 AA 30000
309,Grants-in-Aid,"34,93,18","30,59,69","1,08,81,92","62,31,50",2202 03 102 AA 30900
01,Grants for Current Expenditure,"24,93,18","30,59,68","84,66,91","62,31,49",2202 03 102 AA 30901
02,Grants for Creation of Capital Assets,,,"24,15,00",,2202 03 102 AA 30902
03,Grants for Specific Schemes,"10,00,00",1,1,1,2202 03 102 AA 30903
AA,Total AA,"34,93,18","30,59,69","1,08,81,92","62,31,50",
AB,Annamalai University,,,,,2202 03 102 AB 30000
309,Grants-in-Aid,"2,56,87,14","2,50,00,01","4,90,36,38","2,25,77,52",2202 03 102 AB 30900
01,Grants for Current Expenditure,"2,50,00,00","2,50,00,00","4,83,67,96","2,25,77,51",2202 03 102 AB 30901
03,Grants for Specific Schemes,"6,87,14",1,"6,68,42",1,2202 03 102 AB 30903
AB,Total AB,"2,56,87,14","2,50,00,01","4,90,36,38","2,25,77,52",
AC,Madurai Kamaraj University,,,,,2202 03 102 AC 30000
309,Grants-in-Aid,"20,66,34","20,71,97","27,90,50","20,71,97",2202 03 102 AC 30900
01,Grants for Current Expenditure,"20,66,34","20,71,96","27,90,49","20,71,96",2202 03 102 AC 30901
03,Grants for Specific Schemes,,1,1,1,2202 03 102 AC 30903
AC,Total AC,"20,66,34","20,71,97","27,90,50","20,71,97",
AE,"Bharathiyar University, Coimbatore",,,,,2202 03 102 AE 30000
309,Grants-in-Aid,"34,10,42","34,10,35","37,87,32","22,71,35",2202 03 102 AE 30900
01,Grants for Current Expenditure,"34,10,42","34,10,34","36,98,45","22,71,34",2202 03 102 AE 30901
03,Grants for Specific Schemes,,1,"88,87",1,2202 03 102 AE 30903
AE,Total AE,"34,10,42","34,10,35","37,87,32","22,71,35",
AF,"Bharathidasan University, Tiruchirapalli",,,,,2202 03 102 AF 30000
