2059,PUBLIC WORKS,"28,27,39","29,48,46","29,48,46","1,45,51,01"
2202,GENERAL EDUCATION,"29,85,01,55","30,45,65,76","32,21,04,97","31,44,09,33"
2203,TECHNICAL EDUCATION,"9,86,28,58","12,75,14,42","13,32,27,81","14,62,40,78"
2204,SPORTS AND YOUTH SERVICES,"...","3","3","3"
2205,ART AND CULTURE,"10,98,76","10,82,90","11,86,82","12,59,89"
2235,SOCIAL SECURITY AND WELFARE,"52,10","85,79","79,89","77,59"
2251,SECRETARIAT - SOCIAL SERVICES,"5,65,24","6,17,82","5,94,28","6,04,53"
3425,OTHER SCIENTIFIC RESEARCH,"9,32,56","9,06,44","11,86,92","10,18,72"
3454,CENSUS SURVEYS AND STATISTICS,"61,75","74,03","73,19","77,99"
4202,"CAPITAL OUTLAY ON EDUCATION, SPORTS, ART AND CULTURE","3,39,61,03","2,06,06,56","2,45,11,27","2,58,38,92"
6202,"LOANS FOR EDUCATION SPORTS, ART AND CULTURE","1,37,85,26","1","1","1"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"...","1","1","10,00"
#by Dept
2001,Secretariat Voted,"6,04,53",...,"10,00","6,14,53"
2002,Directorate of Collegiate Education Charged,1,...,...,1
2002,Directorate of Collegiate Education Voted,"26,54,80,30","1,70,70,49",...,"28,25,50,79"
2003,Directorate of Technical Education Charged,1,2,...,3
2003,Directorate of Technical Education Voted,"13,73,49,82","87,68,41",...,"14,61,18,23"
2004,Universities Voted,"6,09,80,04",...,1,"6,09,80,05"
2005,Commissionerate of Archives and Historical Research Voted,"15,41,43",...,...,"15,41,43"
2006,Tamil Nadu State Council for Science and Technology Voted,"3,34,74",...,...,"3,34,74"
2007,Tamil Nadu Science and Technology Centre Voted,"5,07,24",...,...,"5,07,24"
2008,Science City Chennai Voted,"2,51,75",...,...,"2,51,75"
2009,Tamil Nadu State Council for Higher Education Voted,"1,23,63,66",...,...,"1,23,63,66"
2010,Tamil Nadu State Council for Technical Education Voted,"21,04",...,...,"21,04"
20,Total Charged,,2,2,...,4
20,Total Voted,"47,94,34,55","2,58,38,90","10,01","50,52,83,46"
