head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
103,Furnishings,,,,,
#,State's Expenditure,,,,,
AA,"Amenities to Travellers Bungalows under the control of Chief Engineer (General), Highways",,,,,2059 01 103 AA 30000
318,Maintenance,"47,85","58,85","58,85","69,27",2059 01 103 AA 31800
01,Periodical Maintenance,"47,85","58,85","58,85","69,27",2059 01 103 AA 31801
AA,Total AA,"47,85","58,85","58,85","69,27",
#,State's Expenditure Total,"47,85","58,85","58,85","69,27",
103,Total 103,"47,85","58,85","58,85","69,27",
01,Total 01,"47,85","58,85","58,85","69,27",
80,General,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AE,"Buildings and Tourist Bungalows under the control of Chief Engineer (General), Highways",,,,,2059 80 053 AE 30000
306,"Rent, Rates and Taxes","37,92","54,00","1,18,15","94,71",2059 80 053 AE 30600
02,Property tax,"37,92","54,00","1,18,15","94,71",2059 80 053 AE 30602
317,Minor Works,,,1,"50,00",2059 80 053 AE 31700
01,Minor Works,,,1,"50,00",2059 80 053 AE 31701
318,Maintenance,"11,91,42","10,00,00","10,50,00","12,77,00",2059 80 053 AE 31800
01,Periodical Maintenance,"11,91,42","10,00,00","10,50,00","12,77,00",2059 80 053 AE 31801
AE,Total AE,"12,29,34","10,54,00","11,68,16","14,21,71",
#,State's Expenditure Total,"12,29,34","10,54,00","11,68,16","14,21,71",
053,Total 053,"12,29,34","10,54,00","11,68,16","14,21,71",
80,Total 80,"12,29,34","10,54,00","11,68,16","14,21,71",
2059,Total 2059,"12,77,19","11,12,85","12,27,01","14,90,98",
3054,ROADS AND BRIDGES,,,,,
01,National Highways,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
AA,Maintenance and Repairs,,,,,3054 01 800 AA 30000
318,Maintenance,"2,34,49","2,50,94","2,50,94","2,68,51",3054 01 800 AA 31800 
01,Periodical Maintenance,"2,34,49","2,50,94","2,50,94","2,68,51",3054 01 800 AA 31801
AA,Total AA,"2,34,49","2,50,94","2,50,94","2,68,51",
#,State's Expenditure Total,"2,34,49","2,50,94","2,50,94","2,68,51",
800,Total 800,"2,34,49","2,50,94","2,50,94","2,68,51",
01,Total 01,"2,34,49","2,50,94","2,50,94","2,68,51",
03,State Highways,,,,,
052,Machinery and Equipment,,,,,
#,State's Expenditure,,,,,
AA,New Supplies -Highways (General),,,,,3054 03 052 AA 30000
319,Machinery and Equipments,,,"4,04,65",,3054 03 052 AA 31900
01,Purchase,,,"4,04,65",,3054 03 052 AA 31901
AA,Total AA,,,"4,04,65",,
AN,Repairs and Carriages other than Motor Vehicles under the Control of Chief Engineer (General) Highways,,,,,3054 03 052 AN 30000
301,Salaries,"6,53,46","8,14,78","8,12,58","8,67,88",3054 03 052 AN 30100
01,Pay,"5,99,91","7,64,45","7,49,56","7,97,57",3054 03 052 AN 30101
02,Medical Allowance,"5,69","9,08","9,44","10,84",3054 03 052 AN 30102
04,Other Allowances,"17,84","14,77","20,21","22,00",3054 03 052 AN 30104
06,House Rent Allowance,"29,16","23,91","31,06","33,78",3054 03 052 AN 30106
07,Travel Concession,11,"1,00","1,00","2,44",3054 03 052 AN 30107
08,City Compensatory Allowance,75,"1,57","1,31","1,25",3054 03 052 AN 30108
303,Dearness Allowance,"55,18","99,38","77,80","97,14",3054 03 052 AN 30300
01,Dearness Allowance,"55,18","99,38","77,80","97,14",3054 03 052 AN 30301
304,Travel Expenses,"1,50","3,22","2,00","2,10",3054 03 052 AN 30400
01,Tour Travelling Allowances,"1,50","3,22","2,00","2,10",3054 03 052 AN 30401
319,Machinery and Equipments,"9,77","1,50","1,50","1,50",3054 03 052 AN 31900
02,Renewal and Replacement,40,"1,00","1,00","1,00",3054 03 052 AN 31902
03,Maintenance,"9,37",50,50,50,3054 03 052 AN 31903
321,Motor Vehicles,"3,77","14,50","14,50","25,00",3054 03 052 AN 32100
02,Maintenance of Functional Vehicles,"3,77","14,50","14,50","25,00",3054 03 052 AN 32102
345,"Petroleum, Oil and Lubricant","6,22","10,00","9,00","15,00",3054 03 052 AN 34500
01,"Petroleum, Oil and Lubricant","6,22","10,00","9,00","15,00",3054 03 052 AN 34501
346,"Clothing, Tentage and Stores",29,30,50,"1,20",3054 03 052 AN 34600
01,"Clothing, Tentage and Stores",29,30,50,"1,20",3054 03 052 AN 34601
349,Festival Advances,"-2,00",,,,3054 03 052 AN 34900
01,Festival Advances-Debit,"4,10","11,37","15,95","18,00",3054 03 052 AN 34901
02,Festival Advances-Credit,"-6,10","-11,37","-15,95","-18,00",3054 03 052 AN 34902
AN,Total AN,"7,28,19","9,43,68","9,17,88","10,09,82",
AO,Repairs and Carriages for Motor Vehicles under the Control of Chief Engineer(General) Highways,,,,,3054 03 052 AO 30000
321,Motor Vehicles,"2,69,64","2,18,63","2,18,63","3,10,00",3054 03 052 AO 32100
