head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3054,ROADS AND BRIDGES,,,,,
03,State Highways,,,,,
052,Machinery and Equipment,,,,,
#,State's Expenditure,,,,,
AJ,New Supplies -Projects,,,,,3054 03 052 AJ 30000
319,Machinery and Equipments,94,"1,00","1,00","1,00",3054 03 052 AJ 31900
01,Purchase,94,"1,00","1,00","1,00",3054 03 052 AJ 31901
AJ,Total AJ,94,"1,00","1,00","1,00",
AS,Repairs and Carriages for Motor Vehicles - Projects,,,,,3054 03 052 AS 30000
321,Motor Vehicles,"8,08","9,45","9,45","10,00",3054 03 052 AS 32100 
02,Maintenance of Functional Vehicles,"8,08","9,45","9,45","10,00",3054 03 052 AS 32102
345,"Petroleum, Oil and Lubricant","20,80","27,40","22,01","22,95",3054 03 052 AS 34500
01,"Petroleum, Oil and Lubricant","20,80","27,40","22,01","22,95",3054 03 052 AS 34501
AS,Total AS,"28,88","36,85","31,46","32,95",
#,State's Expenditure Total,"29,82","37,85","32,46","33,95",
052,Total 052,"29,82","37,85","32,46","33,95",
03,Total 03,"29,82","37,85","32,46","33,95",
80,General,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AR,Special Staff for Land Acquisition under Tamil Nadu Urban Development Project,,,,,3054 80 001 AR 30000
301,Salaries,"12,90","24,03","13,65","15,13",3054 80 001 AR 30100
01,Pay,"11,24","20,86","12,00","13,20",3054 80 001 AR 30101
02,Medical Allowance,11,15,10,15,3054 80 001 AR 30102
03,Medical Charges,,10,10,10,3054 80 001 AR 30103
04,Other Allowances,6,9,9,9,3054 80 001 AR 30104
06,House Rent Allowance,"1,26","2,38","1,00","1,10",3054 80 001 AR 30106
07,Travel Concession,,6,6,6,3054 80 001 AR 30107
08,City Compensatory Allowance,23,39,30,43,3054 80 001 AR 30108
303,Dearness Allowance,"2,90","2,71","2,70","2,97",3054 80 001 AR 30300
01,Dearness Allowance,"2,90","2,71","2,70","2,97",3054 80 001 AR 30301
304,Travel Expenses,54,79,22,24,3054 80 001 AR 30400
01,Tour Travelling Allowances,54,77,20,22,3054 80 001 AR 30401
02,Transfer Travelling Allowances,,2,2,2,3054 80 001 AR 30402
305,Office Expenses,6,23,15,15,3054 80 001 AR 30500
02,Other Contingencies,6,13,10,10,3054 80 001 AR 30502
04,Service Postage & Postal Expenditure,,10,5,5,3054 80 001 AR 30504
349,Festival Advances,-1,,,,3054 80 001 AR 34900
01,Festival Advances-Debit,,15,30,30,3054 80 001 AR 34901
02,Festival Advances-Credit,-1,-15,-30,-30,3054 80 001 AR 34902
AR,Total AR,"16,39","27,76","16,72","18,49",
AT,Chief Engineer  - Projects,,,,,3054 80 001 AT 30000
301,Salaries,"15,52,81","16,67,12","15,41,63","27,64,00",3054 80 001 AT 30100
01,Pay,"14,28,12","14,87,14","14,12,93","25,81,53",3054 80 001 AT 30101
02,Medical Allowance,"8,42","10,94","8,60","8,85",3054 80 001 AT 30102
03,Medical Charges,23,39,39,39,3054 80 001 AT 30103
04,Other Allowances,"5,65","6,16","5,91","5,91",3054 80 001 AT 30104
06,House Rent Allowance,"97,84","1,47,39","1,00,98","1,50,86",3054 80 001 AT 30106
07,Travel Concession,60,74,74,74,3054 80 001 AT 30107
08,City Compensatory Allowance,"11,95","14,36","12,08","15,72",3054 80 001 AT 30108
303,Dearness Allowance,"8,19,57","9,84,29","8,56,37","8,90,46",3054 80 001 AT 30300
01,Dearness Allowance,"8,19,57","9,84,29","8,56,37","8,90,46",3054 80 001 AT 30301
304,Travel Expenses,"52,71","89,91","60,78","62,76",3054 80 001 AT 30400
01,Tour Travelling Allowances,"52,49","88,32","59,80","61,78",3054 80 001 AT 30401
02,Transfer Travelling Allowances,22,"1,59",98,98,3054 80 001 AT 30402
305,Office Expenses,"16,52","19,90","19,48","19,48",3054 80 001 AT 30500
01,Telephone Charges,"2,10","3,50","3,00","3,00",3054 80 001 AT 30501
02,Other Contingencies,"4,00","4,00","4,03","4,03",3054 80 001 AT 30502
03,Electricity Charges,"8,88","10,60","10,60","10,60",3054 80 001 AT 30503
04,Service Postage & Postal Expenditure,"1,54","1,80","1,85","1,85",3054 80 001 AT 30504
306,"Rent, Rates and Taxes","30,05","36,30","36,50","36,50",3054 80 001 AT 30600
01,Rent,"27,26","33,00","33,00","33,00",3054 80 001 AT 30601
02,Property tax,"2,79","3,30","3,50","3,50",3054 80 001 AT 30602
312,Scholarships and Stipends,,10,,,3054 80 001 AT 31200
09,Others,,10,,,3054 80 001 AT 31209
319,Machinery and Equipments,"1,25","1,25","1,25","1,75",3054 80 001 AT 31900
03,Maintenance,"1,25","1,25","1,25","1,75",3054 80 001 AT 31903
333,Payments for Professional and Special Services,"9,25","7,50","7,60","7,60",3054 80 001 AT 33300
01,Pleaders Fees,"7,27","4,00","4,00","4,00",3054 80 001 AT 33301
04,Contract Payment,"1,98","3,50","3,60","3,60",3054 80 001 AT 33304
