head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3054,ROADS AND BRIDGES,,,,,
80,General,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
JR,Establishment Charges of special Revenue staff of Project Management Group for implementation of Tamil Nadu Road Sector Project,,,,,3054 80 001 JR 30000
301,Salaries,"2,77,06","2,70,86","3,73,32","3,81,32",3054 80 001 JR 30100
01,Pay,"2,65,70","2,49,35","3,51,00","3,54,78",3054 80 001 JR 30101
02,Medical Allowance,50,"1,20",72,72,3054 80 001 JR 30102
04,Other Allowances,"4,10","11,19","13,00","16,38",3054 80 001 JR 30104
06,House Rent Allowance,"5,88","8,22","7,45","8,01",3054 80 001 JR 30106
07,Travel Concession,,,10,20,3054 80 001 JR 30107
08,City Compensatory Allowance,88,90,"1,05","1,23",3054 80 001 JR 30108
303,Dearness Allowance,"6,47","7,57","17,54","20,35",3054 80 001 JR 30300
01,Dearness Allowance,"6,47","7,57","17,54","20,35",3054 80 001 JR 30301
304,Travel Expenses,"17,34","15,48","13,89","14,95",3054 80 001 JR 30400
01,Tour Travelling Allowances,"17,23","15,48","13,58","14,64",3054 80 001 JR 30401
02,Transfer Travelling Allowances,11,,31,31,3054 80 001 JR 30402
305,Office Expenses,"12,66","14,30","13,00","12,57",3054 80 001 JR 30500
01,Telephone Charges,"1,13","2,00","1,92","1,92",3054 80 001 JR 30501
02,Other Contingencies,"9,84","10,00","8,50","8,00",3054 80 001 JR 30502
03,Electricity Charges,"1,02","1,30","1,58","1,65",3054 80 001 JR 30503
04,Service Postage & Postal Expenditure,67,"1,00","1,00","1,00",3054 80 001 JR 30504
306,"Rent, Rates and Taxes","3,48","3,48","3,48","3,38",3054 80 001 JR 30600
01,Rent,"3,48","3,48","3,48","3,38",3054 80 001 JR 30601
333,Payments for Professional and Special Services,"32,84","40,00","54,60","59,60",3054 80 001 JR 33300
01,Pleaders Fees,,,,"5,00",3054 80 001 JR 33301
04,Contract Payment,"32,84","40,00","54,60","54,60",3054 80 001 JR 33304
349,Festival Advances,-19,,,,3054 80 001 JR 34900
01,Festival Advances-Debit,5,70,70,70,3054 80 001 JR 34901
02,Festival Advances-Credit,-24,-70,-70,-70,3054 80 001 JR 34902
376,Computer and Accessories,"1,20",88,73,73,3054 80 001 JR 37600
02,Maintenance,"1,20",88,73,73,3054 80 001 JR 37602
JR,Total JR,"3,50,86","3,52,57","4,76,56","4,92,90",
JS,Establishment Charges of special staff for Environment Project Management Group  of Tamil Nadu Road Sector Project,,,,,3054 80 001 JS 30000
301,Salaries,,,"16,53","17,32",3054 80 001 JS 30100
01,Pay,,,"13,50","13,80",3054 80 001 JS 30101
02,Medical Allowance,,,4,4,3054 80 001 JS 30102
04,Other Allowances,,,93,"1,17",3054 80 001 JS 30104
06,House Rent Allowance,,,"1,91","2,13",3054 80 001 JS 30106
08,City Compensatory Allowance,,,15,18,3054 80 001 JS 30108
303,Dearness Allowance,,,"1,15","1,19",3054 80 001 JS 30300
01,Dearness Allowance,,,"1,15","1,19",3054 80 001 JS 30301
304,Travel Expenses,9,,15,68,3054 80 001 JS 30400
01,Tour Travelling Allowances,9,,15,68,3054 80 001 JS 30401
305,Office Expenses,10,25,25,25,3054 80 001 JS 30500
02,Other Contingencies,10,25,25,25,3054 80 001 JS 30502
333,Payments for Professional and Special Services,"5,28","7,90","7,50","9,30",3054 80 001 JS 33300
04,Contract Payment,"5,28","7,90","7,50","9,30",3054 80 001 JS 33304
349,Festival Advances,,,,,
01,Festival Advances-Debit,,30,20,30,3054 80 001 JS 34901
02,Festival Advances-Credit,,-30,-20,-30,3054 80 001 JS 34902
JS,Total JS,"5,47","8,15","25,58","28,74",
JV,Establishment Charges for Project Management Group for implementation of Tamil Nadu Road Sector Project,,,,,3054 80 001 JV 30000
301,Salaries,"5,71,86","5,26,10","6,76,39","7,12,62",3054 80 001 JV 30100
01,Pay,"4,90,16","4,47,36","5,76,50","5,93,16",3054 80 001 JV 30101
02,Medical Allowance,"2,06","2,48","3,13","3,13",3054 80 001 JV 30102
03,Medical Charges,,44,21,21,3054 80 001 JV 30103
04,Other Allowances,"42,79","45,22","52,95","66,80",3054 80 001 JV 30104
06,House Rent Allowance,"32,35","27,42","38,16","42,67",3054 80 001 JV 30106
07,Travel Concession,14,40,30,40,3054 80 001 JV 30107
08,City Compensatory Allowance,"4,36","2,78","5,14","6,25",3054 80 001 JV 30108
303,Dearness Allowance,"2,63,20","83,00","2,81,43","2,90,58",3054 80 001 JV 30300
01,Dearness Allowance,"2,63,20","83,00","2,81,43","2,90,58",3054 80 001 JV 30301
304,Travel Expenses,"20,51","20,74","25,18","25,59",3054 80 001 JV 30400
01,Tour Travelling Allowance,"20,35","19,52","24,27","24,68",3054 80 001 JV 30401
02,Transfer Travelling Allowances,16,"1,22",91,91,3054 80 001 JV 30402
305,Office Expenses,"27,22","28,03","31,09","32,48",3054 80 001 JV 30500 
01,Telephone Charges,"2,90","3,45","3,53","3,53",3054 80 001 JV 30501
02,Other Contingencies,"8,00","5,18","6,68","7,18",3054 80 001 JV 30502
03,Electricity Charges,"15,65","18,24","19,93","20,73",3054 80 001 JV 30503
04,Service Postage & Postal Expenditure,67,"1,15",95,"1,04",3054 80 001 JV 30504
05,Furniture,,1,,,3054 80 001 JV 30505
306,"Rent, Rates and Taxes","12,69","16,33","12,25","12,26",3054 80 001 JV 30600
01,Rent,"12,56","16,12","12,04","12,04",3054 80 001 JV 30601 
02,Property tax,13,21,21,22,3054 80 001 JV 30602
333,Payments for Professional and Special Services,"1,13,50","1,41,84","1,40,87","1,43,20",3054 80 001 JV 33300
01,Pleaders Fees,82,"2,10","22,39","30,00",3054 80 001 JV 33301
02,Remuneration,"10,53","10,54","3,48",,3054 80 001 JV 33302
04,Contract Payment,"1,02,15","1,29,20","1,15,00","1,13,20",3054 80 001 JV 33304
346,"Clothing, Tentage and Stores",13,10,10,10,3054 80 001 JV 34600
01,"Clothing, Tentage and Stores",13,10,10,10,3054 80 001 JV 34601
349,Festival Advances,-47,,,,3054 80 001 JV 34900
01,Festival Advances-Debit,"1,15","5,73","7,25","7,54",3054 80 001 JV 34901
02,Festival Advances-Credit,"-1,62","-5,73","-7,25","-7,54",3054 80 001 JV 34902
359,Prizes and Awards,,10,10,10,3054 80 001 JV 35900
01,Prizes and Awards,,10,10,10,3054 80 001 JV 35901
