head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3054,ROADS AND BRIDGES,,,,,
03,State Highways,,,,,
052,Machinery and Equipment,,,,,
#,State's Expenditure,,,,,
AL,New supplies - Rural Roads,,,,,3054 03 052 AL 30000
319,Machinery and Equipments,75,75,75,75,3054 03 052 AL 31900
01,Purchase,75,75,75,75,3054 03 052 AL 31901
AL,Total AL,75,75,75,75,
AU,Repairs and Carriages for Motor Vehicles - Rural Roads,,,,,3054 03 052 AU 30000
319,Machinery and Equipments,50,50,50,50,3054 03 052 AU 31900
03,Maintenance,50,50,50,50,3054 03 052 AU 31903
321,Motor Vehicles,"21,89","22,91","22,91","22,91",3054 03 052 AU 32100
02,Maintenance of Functional Vehicles,"21,89","22,91","22,91","22,91",3054 03 052 AU 32102
345,"Petroleum, Oil and Lubricant","37,13","43,92","43,56","45,42",3054 03 052 AU 34500
01,"Petroleum, Oil and Lubricant","37,13","43,92","43,56","45,42",3054 03 052 AU 34501
AU,Total AU,"59,52","67,33","66,97","68,83",
#,State's Expenditure Total,"60,27","68,08","67,72","69,58",
052,Total 052,"60,27","68,08","67,72","69,58",
03,Total 03,"60,27","68,08","67,72","69,58",
80,General,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AY,Special staff for improvement and Restoration of Rural Roads,,,,,3054 80 001 AY 30000
301,Salaries,"24,85,67","24,79,36","40,39,79","42,64,11",3054 80 001 AY 30100
01,Pay,"23,12,98","22,53,69","38,38,94","40,06,01",3054 80 001 AY 30101
02,Medical Allowance,"14,44","18,28","15,89","16,53",3054 80 001 AY 30102
03,Medical Charges,30,60,50,50,3054 80 001 AY 30103
04,Other Allowances,"13,90","13,59","14,00","16,45",3054 80 001 AY 30104
06,House Rent Allowance,"1,30,65","1,78,51","1,54,18","2,07,10",3054 80 001 AY 30106
07,Travel Concession,"1,23","2,00","2,00","2,00",3054 80 001 AY 30107
08,City Compensatory Allowance,"12,17","12,69","14,28","15,52",3054 80 001 AY 30108
303,Dearness Allowance,"12,28,63","13,90,00","14,68,60","15,27,34",3054 80 001 AY 30300
01,Dearness Allowance,"12,28,63","13,90,00","14,68,60","15,27,34",3054 80 001 AY 30301
304,Travel Expenses,"93,22","1,38,34","1,37,74","1,37,74",3054 80 001 AY 30400
01,Tour Travelling Allowances,"92,86","1,37,34","1,37,34","1,37,34",3054 80 001 AY 30401
02,Transfer Travelling Allowances,36,"1,00",40,40,3054 80 001 AY 30402
305,Office Expenses,"28,11","34,00","32,20","32,41",3054 80 001 AY 30500
01,Telephone Charges,"2,95","6,00","4,20","4,41",3054 80 001 AY 30501
02,Other Contingencies,"10,98","11,00","11,00","11,00",3054 80 001 AY 30502
03,Electricity Charges,"11,64","13,00","14,00","14,00",3054 80 001 AY 30503
04,Service Postage & Postal Expenditure,"2,54","4,00","3,00","3,00",3054 80 001 AY 30504
306,"Rent, Rates and Taxes","41,28","44,88","45,03","47,11",3054 80 001 AY 30600
01,Rent,"40,14","43,80","43,80","45,88",3054 80 001 AY 30601
02,Property tax,"1,14","1,08","1,23","1,23",3054 80 001 AY 30602
333,Payments for Professional and Special Services,"16,12","19,01","25,22","20,77",3054 80 001 AY 33300
01,Pleaders Fees,16,1,"6,45","2,50",3054 80 001 AY 33301
03,Special Service,,,50,,3054 80 001 AY 33303
04,Contract Payment,"15,96","19,00","18,27","18,27",3054 80 001 AY 33304
346,"Clothing, Tentage and Stores","1,72","1,10","1,10","1,10",3054 80 001 AY 34600
01,"Clothing, Tentage and Stores","1,72","1,10","1,10","1,10",3054 80 001 AY 34601
349,Festival Advances,"-1,05",,,,3054 80 001 AY 34900
01,Festival Advances-Debit,"12,75","22,50","56,60","56,60",3054 80 001 AY 34901
02,Festival Advances-Credit,"-13,80","-22,50","-56,60","-56,60",3054 80 001 AY 34902
351,Compensation Charged,,1,1,1,3054 80 001 AY 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,3054 80 001 AY 35151
359,Prizes and Awards,4,30,20,10,3054 80 001 AY 35900
01,Prizes and Awards,4,30,20,10,3054 80 001 AY 35901
368,"Cost of Books/Note Books/Slates, etc.",17,20,20,20,3054 80 001 AY 36800
01,"Cost of Books/Note Books/Slates, etc.",17,20,20,20,3054 80 001 AY 36801
376,Computer and Accessories,"5,32","6,04","6,04","6,04",3054 80 001 AY 37600
02,Maintenance,"2,54","2,89","2,89","2,89",3054 80 001 AY 37602
03,Stationery,"2,78","3,15","3,15","3,15",3054 80 001 AY 37603
AY,Total AY Charged,,1,1,1,
AY,Total AY Voted,"38,99,23","41,13,23","57,56,12","60,36,92",
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"38,99,23","41,13,23","57,56,12","60,36,92",
001,Total 001 Charged,,1,1,1,
001,Total 001 Voted,"38,99,23","41,13,23","57,56,12","60,36,92",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
