head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2055-00,POLICE,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Director-General of Police,,,,,2055 00 001 AA 30000
301,Salaries,"53,84,49","60,72,44","66,28,79","55,67,23",2055 00 001 AA 30100
01,Pay,"46,97,45","52,72,36","53,07,21","47,51,42",2055 00 001 AA 30101
02,Medical Allowance,"26,71","32,36","28,46","30,62",2055 00 001 AA 30102
03,Medical Charges,"15,53","49,78","49,78","49,78",2055 00 001 AA 30103
04,Other Allowances,"1,30,41","1,56,99","1,66,03","1,74,75",2055 00 001 AA 30104
06,House Rent Allowance,"4,33,36","4,81,06","4,52,97","4,66,56",2055 00 001 AA 30106
07,Travel Concession,"11,85","17,36","17,36","17,36",2055 00 001 AA 30107
08,City Compensatory Allowance,"64,61","57,18","71,39","71,39",2055 00 001 AA 30108
09,Honorarium,"4,57","5,35","5,35,59","5,35",2055 00 001 AA 30109
302,Wages,"16,36","18,81","18,81",,2055 00 001 AA 30200
01,Wages,"16,36","18,81","18,81",,2055 00 001 AA 30201
303,Dearness Allowance,"4,37,16","6,85,41","8,49,15","11,64,10",2055 00 001 AA 30300
01,Dearness Allowance,"4,37,16","6,85,41","8,49,15","11,64,10",2055 00 001 AA 30301
304,Travel Expenses,"1,30,56","1,66,49","1,71,47","1,66,67",2055 00 001 AA 30400
01,Tour Travelling Allowances,"1,25,33","1,53,43","1,61,41","1,57,25",2055 00 001 AA 30401
02,Transfer Travelling Allowances,"5,23","13,06","10,06","9,42",2055 00 001 AA 30402
305,Office Expenses,"8,77,38","9,49,59","14,03,16","12,38,04",2055 00 001 AA 30500
01,Telephone Charges,"5,16,13","5,53,09","8,11,79","7,98,60",2055 00 001 AA 30501
02,Other Contingencies,"1,81,26","1,93,84","2,99,29","2,00,29",2055 00 001 AA 30502
03,Electricity Charges,"1,76,18","1,99,52","2,25,45","2,36,00",2055 00 001 AA 30503
04,Service Postage & Postal Expenditure,"3,12","3,13","3,13","3,13",2055 00 001 AA 30504
05,Furniture,69,1,"63,50",2,2055 00 001 AA 30505
306,"Rent, Rates and Taxes","86,65","92,10","1,09,78","1,10,66",2055 00 001 AA 30600
01,Rent,"55,99","61,40","61,40","61,40",2055 00 001 AA 30601
02,Property tax,"22,23","23,56","35,27","35,81",2055 00 001 AA 30602
03,Water Charges,"8,43","7,14","13,11","13,45",2055 00 001 AA 30603
308,Advertising and Publicity,"17,37","19,98","19,98","19,98",2055 00 001 AA 30800
01,Advertisement Charges,"17,37","19,98","19,98","19,98",2055 00 001 AA 30801
315,Secret Service Expenditure,"91,86","91,49","92,99","1,41,49",2055 00 001 AA 31500
01,Secret Service Expenditure,"91,86","91,49","92,99","1,41,49",2055 00 001 AA 31501
317,Minor Works,,1,"1,35,81",1,2055 00 001 AA 31700
01,Minor Works,,1,"1,35,81",1,2055 00 001 AA 31701
319,Machinery and Equipments,"1,07,29","6,93,21","17,84,35","6,37,21",2055 00 001 AA 31900
01,Purchase,"65,47","56,01","11,47,15",1,2055 00 001 AA 31901
03,Maintenance,"41,82","6,37,20","6,37,20","6,37,20",2055 00 001 AA 31903
321,Motor Vehicles,"10,38,34","8,61","19,74,59","10,26",2055 00 001 AA 32100
01,Purchase,"10,29,11",1,"19,62,75",1,2055 00 001 AA 32101
02,Maintenance of Functional Vehicles,"9,23","8,60","11,84","10,25",2055 00 001 AA 32102
333,Payments for Professional and Special Services,"3,04,08","16,03","39,19,80","6,53,01",2055 00 001 AA 33300
01,Pleaders Fees,,"1,00","1,00","1,00",2055 00 001 AA 33301
02,Remuneration,77,1,"36,75,56",1,2055 00 001 AA 33302
03,Special Service,"2,42",1,"56,80","10,48",2055 00 001 AA 33303
04,Contract Payment,"21,14","15,00","1,73,39","6,22,47",2055 00 001 AA 33304
09,Other Payments,"2,79,75",1,"13,05","19,05",2055 00 001 AA 33309
334,Other Charges,"7,47","6,93","16,63","6,93",2055 00 001 AA 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,","7,47","6,93","16,63","6,93",2055 00 001 AA 33402
339,Rewards,"5,69","5,71","5,71","5,71",2055 00 001 AA 33900
01,Rewards,"5,69","5,71","5,71","5,71",2055 00 001 AA 33901
344,Arms and Ammunition,"7,12,11","8,00,01","8,50,00","8,50,00",2055 00 001 AA 34400
01,Purchase,"7,12,32","8,00,00","8,50,00","8,50,00",2055 00 001 AA 34401
02,Maintenance,-21,1,,,2055 00 001 AA 34402
345,"Petroleum, Oil and Lubricant","1,02,03","1,32,06","3,84,31","1,45,00",2055 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,02,03","1,32,06","3,84,31","1,45,00",2055 00 001 AA 34501
346,"Clothing, Tentage and Stores","9,18,07","10,79,92","10,79,92","10,79,92",2055 00 001 AA 34600
01,"Clothing, Tentage and Stores","9,18,07","10,79,92","10,79,92","10,79,92",2055 00 001 AA 34601
347,Stores and Equipments,"5,00",1,,1,2055 00 001 AA 34700
01,Stores - Voted,"5,00",1,,1,2055 00 001 AA 34701
349,Festival Advances,-10,,,,2055 00 001 AA 34900
01,Festival Advances-Debit,"28,35","46,93","91,99","91,99",2055 00 001 AA 34901
02,Festival Advances-Credit,"-28,45","-46,93","-91,99","-91,99",2055 00 001 AA 34902
350,Advances,50,1,1,1,2055 00 001 AA 35000
01,Advances,50,1,1,1,2055 00 001 AA 35001
359,Prizes and Awards,"64,38","25,66","1,54,41","30,77",2055 00 001 AA 35900
01,Prizes and Awards,"64,38","25,66","1,54,41","30,77",2055 00 001 AA 35901
368,"Cost of Books/Note Books/Slates, etc.",5,5,5,5,2055 00 001 AA 36800
