head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2055-00,POLICE,,,,,
108,State Headquarters Police,,,,,
#,State's Expenditure,,,,,
AA,"Commissioner of Police, Chennai",,,,,2055 00 108 AA 30000
301,Salaries,"91,52,08","96,81,63","96,49,03","96,73,43",2055 00 108 AA 30100
01,Pay,"78,77,46","83,60,52","83,60,52","83,60,52",2055 00 108 AA 30101
02,Medical Allowance,"56,38","63,85","63,85","63,85",2055 00 108 AA 30102
03,Medical Charges,"5,51","10,00","7,00","7,00",2055 00 108 AA 30103
04,Other Allowances,"4,40,73","4,42,90","4,42,90","4,42,90",2055 00 108 AA 30104
06,House Rent Allowance,"5,92,36","5,85,60","5,85,60","6,00,00",2055 00 108 AA 30106
07,Travel Concession,"8,65","9,16","9,16","9,16",2055 00 108 AA 30107
08,City Compensatory Allowance,"1,70,99","2,09,60","1,80,00","1,90,00",2055 00 108 AA 30108
303,Dearness Allowance,"7,03,62","10,86,87","13,37,68","20,48,33",2055 00 108 AA 30300
01,Dearness Allowance,"7,03,62","10,86,87","13,37,68","20,48,33",2055 00 108 AA 30301
304,Travel Expenses,"4,04","8,80","8,80","8,80",2055 00 108 AA 30400
01,Tour Travelling Allowances,"3,82","8,00","8,00","8,00",2055 00 108 AA 30401
02,Transfer Travelling Allowances,22,80,80,80,2055 00 108 AA 30402
305,Office Expenses,"8,34","8,51","8,51","8,51",2055 00 108 AA 30500
01,Telephone Charges,"2,99","3,00","3,00","3,00",2055 00 108 AA 30501
02,Other Contingencies,"5,35","5,50","5,50","5,50",2055 00 108 AA 30502
05,Furniture,,1,1,1,2055 00 108 AA 30505
309,Grants-in-Aid,74,"1,00","1,00","1,00",2055 00 108 AA 30900
03,Grants for Specific Schemes,74,"1,00","1,00","1,00",2055 00 108 AA 30903
315,Secret Service Expenditure,"19,00","19,00","29,00","25,00",2055 00 108 AA 31500
01,Secret Service Expenditure,"19,00","19,00","29,00","25,00",2055 00 108 AA 31501
319,Machinery and Equipments,51,1,1,1,2055 00 108 AA 31900
01,Purchase,51,1,1,1,2055 00 108 AA 31901
333,Payments for Professional and Special Services,"1,04","2,01","2,01","3,00",2055 00 108 AA 33300
01,Pleaders Fees,,1,1,"1,00",2055 00 108 AA 33301
04,Contract Payment,"1,04","2,00","2,00","2,00",2055 00 108 AA 33304
339,Rewards,"4,80","5,00","5,00","5,00",2055 00 108 AA 33900 
01,Rewards,"4,80","5,00","5,00","5,00",2055 00 108 AA 33901
347,Stores and Equipments,10,26,25,25,2055 00 108 AA 34700
01,Stores - Voted,10,25,25,25,2055 00 108 AA 34701
02,Equipments - Voted,,1,,,2055 00 108 AA 34702
349,Festival Advances,"-27,12",,,,2055 00 108 AA 34900
01,Festival Advances-Debit,"21,60","25,45","1,03,70","1,03,70",2055 00 108 AA 34901
02,Festival Advances-Credit,"-48,72","-25,45","-1,03,70","-1,03,70",2055 00 108 AA 34902
351,Compensation Charged,,2,2,2,2055 00 108 AA 35100
351,Compensation Voted,"1,00",,,,2055 00 108 AA 35100
01,Claims under no fault liability -  principal charges Voted,"1,00",,,,2055 00 108 AA 35101
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2055 00 108 AA 35151
52,Other Compensations Charged,,,,,
359,Prizes and Awards,"5,28","5,00","9,65","9,65",2055 00 108 AA 35900
01,Prizes and Awards,"5,28","5,00","9,65","9,65",2055 00 108 AA 35901
367,Feeding/Dietary Charges,74,"2,00","2,00","2,00",2055 00 108 AA 36700
09,Others,74,"2,00","2,00","2,00",2055 00 108 AA 36709
372,Training,"2,00","2,00","2,00","2,00",2055 00 108 AA 37200
01,Training,"2,00","2,00","2,00","2,00",2055 00 108 AA 37201
376,Computer and Accessories,"1,79,72","1,80,01","1,80,00","1,80,00",2055 00 108 AA 37600
01,Purchase,,1,,,2055 00 108 AA 37601
02,Maintenance,"29,80","30,00","30,00","30,00",2055 00 108 AA 37602
03,Stationery,"1,49,92","1,50,00","1,50,00","1,50,00",2055 00 108 AA 37603
AA,Total AA Charged,,2,2,2,
AA,Total AA Voted,"1,00,55,89","1,10,02,10","1,12,34,94","1,19,66,98",
AB,Law and Order,,,,,2055 00 108 AB 30000
301,Salaries,"7,50,70,44","7,80,57,86","7,83,87,79","8,28,61,41",2055 00 108 AB 30100
01,Pay,"6,40,55,22","6,67,92,51","6,67,92,51","7,08,87,37",2055 00 108 AB 30101
02,Medical Allowance,"5,43,67","5,31,44","5,31,44","5,31,44",2055 00 108 AB 30102
03,Medical Charges,"10,58","31,54","16,50","16,50",2055 00 108 AB 30103
04,Other Allowances,"38,19,19","38,24,57","39,14,66","40,94,84",2055 00 108 AB 30104
06,House Rent Allowance,"52,43,39","51,71,49","55,40,38","57,06,28",2055 00 108 AB 30106
07,Travel Concession,"13,88","22,59","22,59","22,59",2055 00 108 AB 30107
08,City Compensatory Allowance,"13,84,51","16,83,72","15,69,71","16,02,39",2055 00 108 AB 30108
302,Wages,60,"1,80","1,80","1,80",2055 00 108 AB 30200
01,Wages,60,"1,80","1,80","1,80",2055 00 108 AB 30201
303,Dearness Allowance,"57,64,21","86,83,02","1,06,86,80","1,73,67,41",2055 00 108 AB 30300
01,Dearness Allowance,"57,64,21","86,83,02","1,06,86,80","1,73,67,41",2055 00 108 AB 30301
304,Travel Expenses,"19,79","56,98","27,20","37,20",2055 00 108 AB 30400 
01,Tour Travelling Allowances,"3,71","51,58","21,80","31,80",2055 00 108 AB 30401
02,Transfer Travelling Allowances,"16,08","5,40","5,40","5,40",2055 00 108 AB 30402
305,Office Expenses,"7,55,61","9,09,42","8,80,42","8,78,93",2055 00 108 AB 30500 
01,Telephone Charges,"81,22","97,19","97,19","97,19",2055 00 108 AB 30501
02,Other Contingencies,"41,79","42,80","43,80","41,00",2055 00 108 AB 30502
03,Electricity Charges,"5,81,50","7,16,22","7,16,22","7,16,22",2055 00 108 AB 30503
