head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2055-00,POLICE,,,,,
109,District Police,,,,,
#,State's Expenditure,,,,,
AK,Mobile Police Squads for enforcement of Civil Rights Act,,,,,2055 00 109 AK 30000
301,Salaries,"17,55,29","18,35,13","18,11,57","18,82,01",2055 00 109 AK 30100
01,Pay,"15,85,46","16,54,80","16,33,02","16,98,34",2055 00 109 AK 30101
02,Medical Allowance,"8,65","8,79","8,79","8,79",2055 00 109 AK 30102
03,Medical Charges,26,77,77,77,2055 00 109 AK 30103
04,Other Allowances,"54,92","59,65","56,56","58,25",2055 00 109 AK 30104
06,House Rent Allowance,"96,79","99,28","99,28","1,02,26",2055 00 109 AK 30106
07,Travel Concession,59,"3,00","4,31","4,50",2055 00 109 AK 30107
08,City Compensatory Allowance,"8,62","8,84","8,84","9,10",2055 00 109 AK 30108
302,Wages,14,22,22,22,2055 00 109 AK 30200
01,Wages,14,22,22,22,2055 00 109 AK 30201
303,Dearness Allowance,"1,58,25","2,15,12","2,61,29","4,16,09",2055 00 109 AK 30300
01,Dearness Allowance,"1,58,25","2,15,12","2,61,29","4,16,09",2055 00 109 AK 30301
304,Travel Expenses,"89,23","1,16,09","1,16,46","1,16,09",2055 00 109 AK 30400
01,Tour Travelling Allowances,"88,68","1,15,09","1,15,09","1,15,09",2055 00 109 AK 30401
02,Transfer Travelling Allowances,55,"1,00","1,37","1,00",2055 00 109 AK 30402
305,Office Expenses,"5,60","7,10","8,53","7,16",2055 00 109 AK 30500
01,Telephone Charges,"3,98","5,00","5,00","5,00",2055 00 109 AK 30501
02,Other Contingencies,"1,00","1,04","1,04","1,10",2055 00 109 AK 30502
03,Electricity Charges,,44,44,44,2055 00 109 AK 30503
04,Service Postage & Postal Expenditure,62,62,62,62,2055 00 109 AK 30504
05,Furniture,,,"1,43",,2055 00 109 AK 30505
306,"Rent, Rates and Taxes",,81,81,40,2055 00 109 AK 30600
01,Rent,,81,81,40,2055 00 109 AK 30601
315,Secret Service Expenditure,"7,30","7,30","7,30","7,30",2055 00 109 AK 31500
01,Secret Service Expenditure,"7,30","7,30","7,30","7,30",2055 00 109 AK 31501
319,Machinery and Equipments,,1,,,2055 00 109 AK 31900
01,Purchase,,1,,,2055 00 109 AK 31901
321,Motor Vehicles,"1,84","2,00","5,00","3,00",2055 00 109 AK 32100 
02,Maintenance of Functional Vehicles,"1,84","2,00","5,00","3,00",2055 00 109 AK 32102
333,Payments for Professional and Special Services,,1,1,1,2055 00 109 AK 33300
04,Contract Payment,,1,1,1,2055 00 109 AK 33304
334,Other Charges,30,30,30,30,2055 00 109 AK 33400
01,Other Items,30,30,30,30,2055 00 109 AK 33401
339,Rewards,50,55,55,55,2055 00 109 AK 33900
01,Rewards,50,55,55,55,2055 00 109 AK 33901
345,"Petroleum, Oil and Lubricant","43,87","57,51","51,50","53,69",2055 00 109 AK 34500
01,"Petroleum, Oil and Lubricant","43,87","57,51","51,50","53,69",2055 00 109 AK 34501
349,Festival Advances,"-2,07",,,,2055 00 109 AK 34900
01,Festival Advances-Debit,"4,80","11,05","26,75","29,15",2055 00 109 AK 34901
02,Festival Advances-Credit,"-6,87","-11,05","-26,75","-29,15",2055 00 109 AK 34902
351,Compensation Charged,,1,1,1,2055 00 109 AK 35100
351,Compensation Voted,,1,1,1,2055 00 109 AK 35100
02,Other Compensations  - Voted,,1,1,1,2055 00 109 AK 35102
51,Claims under no fault liability -  principal,,,,,
charges, Charged,,1,1,1,2055 00 109 AK 35151
359,Prizes and Awards,,8,8,8,2055 00 109 AK 35900
01,Prizes and Awards,,8,8,8,2055 00 109 AK 35901
368,"Cost of Books/Note Books/Slates, etc.",4,10,10,10,2055 00 109 AK 36800
01,"Cost of Books/Note Books/Slates, etc.",4,10,10,10,2055 00 109 AK 36801
376,Computer and Accessories,"4,85","4,90","5,90","5,15",2055 00 109 AK 37600 
01,Purchase,,,"1,00",,2055 00 109 AK 37601
02,Maintenance,"4,15","4,15","4,15","4,15",2055 00 109 AK 37602 
03,Stationery,70,75,75,"1,00",2055 00 109 AK 37603
AK,Total AK Charged,,1,1,1,
AK,Total AK Voted,"20,65,14","22,47,24","22,69,63","24,92,16",
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"20,65,14","22,47,24","22,69,63","24,92,16",
109,Total 109 Charged,,1,1,1,
109,Total 109 Voted,"20,65,14","22,47,24","22,69,63","24,92,16",
00,Total 00 Charged,,1,1,1,
00,Total 00 Voted,"20,65,14","22,47,24","22,69,63","24,92,16",
2055,Total 2055 Charged,,1,1,1,
2235,SOCIAL SECURITY AND WELFARE,,,,,
01,Rehabilitation,,,,,
200,Other Relief Measures,,,,,
#,Schemes shared between State and Centre,,,,,
#,Schemes shared between State and Centre,,,,,
UB,Assistance to the people of Scheduled Caste / Scheduled Tribe Community affected by riots,,,,,2235 01 200 UB 30000
360,T.A./D.A.to Non-Official Members,"5,36","10,00","10,00","10,00",2235 01 200 UB 36000
01,T.A./D.A.to Non-Official Members,"5,36","10,00","10,00","10,00",2235 01 200 UB 36001
UB,Total UB,"5,36","10,00","10,00","10,00",
#,Schemes shared between State and Centre Total,"5,36","10,00","10,00","10,00",
200,Total 200,"5,36","10,00","10,00","10,00",
01,Total 01,"5,36","10,00","10,00","10,00",
2235,Total 2235,"5,36","10,00","10,00","10,00",
