head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2014-00,ADMINISTRATION OF JUSTICE,,,,,
114,Legal Advisors and Counsels,,,,,
#,State's Expenditure,,,,,
AF,Mofussil Law Officers,,,,,2014 00 114 AF 30000
301,Salaries,"30,74,45","30,85,33","32,13,79","33,29,98",2014 00 114 AF 30100
01,Pay,"28,47,30","28,58,57","29,81,25","30,92,52",2014 00 114 AF 30101
02,Medical Allowance,"13,21","13,15","12,87","12,58",2014 00 114 AF 30102
04,Other Allowances,"47,69","46,47","47,39","47,95",2014 00 114 AF 30104
06,House Rent Allowance,"1,54,50","1,55,23","1,59,43","1,63,63",2014 00 114 AF 30106
07,Travel Concession,17,52,23,30,2014 00 114 AF 30107
08,City Compensatory Allowance,"11,58","11,39","12,62","13,00",2014 00 114 AF 30108
303,Dearness Allowance,"2,94,36","3,71,61","4,77,00","7,57,67",2014 00 114 AF 30300
01,Dearness Allowance,"2,94,36","3,71,61","4,77,00","7,57,67",2014 00 114 AF 30301
304,Travel Expenses,"37,95","36,73","40,16","39,88",2014 00 114 AF 30400
01,Tour Travelling Allowances,"37,71","36,40","39,97","39,47",2014 00 114 AF 30401
02,Transfer Travelling Allowances,24,33,19,41,2014 00 114 AF 30402
305,Office Expenses,"14,04","15,24","21,32","15,51",2014 00 114 AF 30500
01,Telephone Charges,"5,33","6,00","5,70","5,93",2014 00 114 AF 30501
02,Other Contingencies,"5,02","4,82","4,62","5,20",2014 00 114 AF 30502
03,Electricity Charges,"2,14","3,12","2,97","3,02",2014 00 114 AF 30503
04,Service Postage & Postal Expenditure,"1,17","1,29","1,34","1,35",2014 00 114 AF 30504
05,Furniture,38,1,"6,69",1,2014 00 114 AF 30505
306,"Rent, Rates and Taxes","28,38","11,09","11,52","11,56",2014 00 114 AF 30600
01,Rent,"27,85","10,54","10,96","10,97",2014 00 114 AF 30601 
02,Property tax,5,5,6,7,2014 00 114 AF 30602
03,Water Charges,48,50,50,52,2014 00 114 AF 30603
319,Machinery and Equipments,68,60,"1,00",41,2014 00 114 AF 31900
03,Maintenance,68,60,"1,00",41,2014 00 114 AF 31903
321,Motor Vehicles,"12,55",45,"6,79",41,2014 00 114 AF 32100
01,Purchase,,,"6,24",1,2014 00 114 AF 32101
02,Maintenance of Functional Vehicles,"12,55",45,55,40,2014 00 114 AF 32102
333,Payments for Professional and Special Services,"24,26","28,28","25,73","26,69",2014 00 114 AF 33300
01,Pleaders Fees,1,4,17,2,2014 00 114 AF 33301
04,Contract Payment,"24,25","28,24","25,56","26,67",2014 00 114 AF 33304
345,"Petroleum, Oil and Lubricant","6,80","9,43","9,20","9,67",2014 00 114 AF 34500
01,"Petroleum, Oil and Lubricant","6,80","9,43","9,20","9,67",2014 00 114 AF 34501
349,Festival Advances,-42,,,,2014 00 114 AF 34900
01,Festival Advances-Debit,"12,15","17,60","32,30","36,40",2014 00 114 AF 34901
02,Festival Advances-Credit,"-12,57","-17,60","-32,30","-36,40",2014 00 114 AF 34902
359,Prizes and Awards,4,2,10,4,2014 00 114 AF 35900
01,Prizes and Awards,4,2,10,4,2014 00 114 AF 35901
368,"Cost of Books/Note Books/Slates, etc.","3,51","2,88","4,16","4,18",2014 00 114 AF 36800
01,"Cost of Books/Note Books/Slates, etc.","3,51","2,88","4,16","4,18",2014 00 114 AF 36801
372,Training,34,65,65,76,2014 00 114 AF 37200
01,Training,34,65,65,76,2014 00 114 AF 37201
376,Computer and Accessories,"3,35","3,12","4,82","3,59",2014 00 114 AF 37600
01,Purchase,,,"1,41",1,2014 00 114 AF 37601
02,Maintenance,"2,19","2,00","2,14","2,31",2014 00 114 AF 37602
03,Stationery,"1,16","1,12","1,27","1,27",2014 00 114 AF 37603
AF,Total AF,"35,00,29","35,65,43","38,16,24","42,00,35",
AH,Directorate of Prosecution,,,,,2014 00 114 AH 30000
301,Salaries,"1,34,77","1,56,01","1,24,74","1,38,13",2014 00 114 AH 30100
01,Pay,"1,19,54","1,39,68","1,09,75","1,22,12",2014 00 114 AH 30101
02,Medical Allowance,65,71,71,71,2014 00 114 AH 30102
03,Medical Charges,,22,1,1,2014 00 114 AH 30103
04,Other Allowances,48,24,52,53,2014 00 114 AH 30104
06,House Rent Allowance,"11,99","12,43","11,53","12,47",2014 00 114 AH 30106
07,Travel Concession,,25,25,27,2014 00 114 AH 30107
