head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2055-00,POLICE,,,,,
003,Education and Training,,,,,
#,State's Expenditure,,,,,
AA,"Police Training College, Chennai",,,,,2055 00 003 AA 30000
301,Salaries,"1,25,01,17","55,61,76","59,20,03","1,31,59,80",2055 00 003 AA 30100
01,Pay,"1,18,98,91","52,04,71","55,55,14","1,25,20,77",2055 00 003 AA 30101
02,Medical Allowance,"1,95,26","81,43","85,91","2,05,57",2055 00 003 AA 30102
03,Medical Charges,36,"3,15","3,15","3,15",2055 00 003 AA 30103
04,Other Allowances,"3,33,71","1,00,00","1,00,00","3,48,52",2055 00 003 AA 30104
06,House Rent Allowance,"8,28","12,73","12,73","12,73",2055 00 003 AA 30106
07,Travel Concession,12,"3,10","3,10","2,60",2055 00 003 AA 30107
08,City Compensatory Allowance,"64,53","1,56,64","1,60,00","66,46",2055 00 003 AA 30108
302,Wages,"7,73","4,11","8,09","12,30",2055 00 003 AA 30200
01,Wages,"7,73","4,11","8,09","12,30",2055 00 003 AA 30201
303,Dearness Allowance,"9,79,06","7,94,98","10,61,53","30,67,59",2055 00 003 AA 30300
01,Dearness Allowance,"9,79,06","7,94,98","10,61,53","30,67,59",2055 00 003 AA 30301
304,Travel Expenses,"2,32","18,25","18,25","18,30",2055 00 003 AA 30400
01,Tour Travelling Allowances,"2,32","18,00","18,00","18,00",2055 00 003 AA 30401
02,Transfer Travelling Allowances,,25,25,30,2055 00 003 AA 30402
305,Office Expenses,"27,47","30,06","32,12","58,56",2055 00 003 AA 30500
01,Telephone Charges,"1,77","3,50","3,50","3,50",2055 00 003 AA 30501
02,Other Contingencies,"12,51","5,00","7,06","23,50",2055 00 003 AA 30502
03,Electricity Charges,"11,64","20,00","20,00","30,00",2055 00 003 AA 30503
04,Service Postage & Postal Expenditure,5,5,5,5,2055 00 003 AA 30504
05,Furniture,"1,50","1,51","1,51","1,51",2055 00 003 AA 30505
306,"Rent, Rates and Taxes","3,78","5,00","7,00","7,00",2055 00 003 AA 30600
02,Property tax,97,"2,00","2,00","2,00",2055 00 003 AA 30602
03,Water Charges,"2,81","3,00","5,00","5,00",2055 00 003 AA 30603
308,Advertising and Publicity,,1,1,1,2055 00 003 AA 30800
01,Advertisement Charges,,1,1,1,2055 00 003 AA 30801
318,Maintenance,"4,48","4,50","4,50","4,50",2055 00 003 AA 31800
01,Periodical Maintenance,"4,48","4,50","4,50","4,50",2055 00 003 AA 31801
319,Machinery and Equipments,"1,00","1,02","2,01","1,51",2055 00 003 AA 31900
01,Purchase,,1,,,2055 00 003 AA 31901
02,Renewal and Replacement,,1,1,1,2055 00 003 AA 31902
03,Maintenance,"1,00","1,00","2,00","1,50",2055 00 003 AA 31903
321,Motor Vehicles,"2,89","2,90","2,90","3,00",2055 00 003 AA 32100
02,Maintenance of Functional Vehicles,"2,89","2,90","2,90","3,00",2055 00 003 AA 32102
324,Materials and Supplies,"7,67","2,50","3,52","10,55",2055 00 003 AA 32400
01,Materials and Supplies,"7,67","2,50","3,52","10,55",2055 00 003 AA 32401
333,Payments for Professional and Special Services,"5,41",31,"3,13","5,96",2055 00 003 AA 33300
01,Pleaders Fees,2,1,1,50,2055 00 003 AA 33301
02,Remuneration,"1,08",20,"1,33","1,07",2055 00 003 AA 33302
03,Special Service,"4,31",10,"1,79","4,39",2055 00 003 AA 33303
334,Other Charges,"3,09","3,06","3,08","3,08",2055 00 003 AA 33400
01,Other Items,8,6,8,8,2055 00 003 AA 33401
02,"Purchase  of  Books & Periodicals to Libraries etc.,","3,01","3,00","3,00","3,00",2055 00 003 AA 33402
339,Rewards,20,20,20,20,2055 00 003 AA 33900
01,Rewards,20,20,20,20,2055 00 003 AA 33901
345,"Petroleum, Oil and Lubricant","18,65","20,00","20,00","20,00",2055 00 003 AA 34500
01,"Petroleum, Oil and Lubricant","18,65","20,00","20,00","20,00",2055 00 003 AA 34501
346,"Clothing, Tentage and Stores","60,20","1,00","4,39","86,00",2055 00 003 AA 34600
01,"Clothing, Tentage and Stores","60,20","1,00","4,39","86,00",2055 00 003 AA 34601
347,Stores and Equipments,"1,53","1,60","1,60","1,60",2055 00 003 AA 34700
01,Stores - Voted,"1,34","1,40","1,40","1,40",2055 00 003 AA 34701
02,Equipments - Voted,19,20,20,20,2055 00 003 AA 34702
349,Festival Advances,1,,,,2055 00 003 AA 34900
01,Festival Advances-Debit,10,20,22,30,2055 00 003 AA 34901
02,Festival Advances-Credit,-9,-20,-22,-30,2055 00 003 AA 34902
351,Compensation Charged,,1,1,1,2055 00 003 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2055 00 003 AA 35151
359,Prizes and Awards,"5,99",14,43,"3,44",2055 00 003 AA 35900
01,Prizes and Awards,"5,99",14,43,"3,44",2055 00 003 AA 35901
368,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2055 00 003 AA 36800
01,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2055 00 003 AA 36801
371,Printing Charges,"36,98","1,00","1,00","47,45",2055 00 003 AA 37100
01,Printing Charges,"36,98","1,00","1,00","47,45",2055 00 003 AA 37101
372,Training,"20,84","21,00","2,99,71","21,00",2055 00 003 AA 37200
01,Training,"20,84","21,00","2,99,71","21,00",2055 00 003 AA 37201
376,Computer and Accessories,"2,14","2,15","2,15","2,15",2055 00 003 AA 37600
02,Maintenance,"1,00","1,00","1,00","1,00",2055 00 003 AA 37602
03,Stationery,"1,14","1,15","1,15","1,15",2055 00 003 AA 37603
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"1,36,92,61","64,75,57","73,95,67","1,65,34,02",
AB,"Police Recruit School, Vellore",,,,,2055 00 003 AB 30000
301,Salaries,"3,12,73","2,21,02","3,43,96","3,30,07",2055 00 003 AB 30100
01,Pay,"2,82,32","1,95,77","3,11,43","3,00,00",2055 00 003 AB 30101
02,Medical Allowance,"2,36","2,40","2,52","1,25",2055 00 003 AB 30102
03,Medical Charges,7,10,7,7,2055 00 003 AB 30103
04,Other Allowances,"20,11","14,00","21,19","20,00",2055 00 003 AB 30104
06,House Rent Allowance,"7,62","8,50","8,50","8,50",2055 00 003 AB 30106
07,Travel Concession,25,25,25,25,2055 00 003 AB 30107
303,Dearness Allowance,"24,47","17,62","43,60","73,50",2055 00 003 AB 30300
01,Dearness Allowance,"24,47","17,62","43,60","73,50",2055 00 003 AB 30301
304,Travel Expenses,"10,05","10,10","9,91","12,26",2055 00 003 AB 30400
01,Tour Travelling Allowances,"9,97","10,00","9,81","12,16",2055 00 003 AB 30401
02,Transfer Travelling Allowances,8,10,10,10,2055 00 003 AB 30402
305,Office Expenses,"5,08","9,05","8,05","7,84",2055 00 003 AB 30500
01,Telephone Charges,20,25,25,25,2055 00 003 AB 30501
02,Other Contingencies,75,75,75,54,2055 00 003 AB 30502
03,Electricity Charges,"4,08","8,00","7,00","7,00",2055 00 003 AB 30503
04,Service Postage & Postal Expenditure,5,5,5,5,2055 00 003 AB 30504
306,"Rent, Rates and Taxes",13,15,23,23,2055 00 003 AB 30600
02,Property tax,8,10,12,12,2055 00 003 AB 30602
03,Water Charges,5,5,11,11,2055 00 003 AB 30603
318,Maintenance,"1,98","2,00","2,00","2,00",2055 00 003 AB 31800
01,Periodical Maintenance,"1,98","2,00","2,00","2,00",2055 00 003 AB 31801
319,Machinery and Equipments,20,21,21,21,2055 00 003 AB 31900
02,Renewal and Replacement,,1,1,1,2055 00 003 AB 31902
03,Maintenance,20,20,20,20,2055 00 003 AB 31903
321,Motor Vehicles,5,5,5,15,2055 00 003 AB 32100
02,Maintenance of Functional Vehicles,5,5,5,15,2055 00 003 AB 32102
324,Materials and Supplies,10,10,10,10,2055 00 003 AB 32400
01,Materials and Supplies,10,10,10,10,2055 00 003 AB 32401
333,Payments for Professional and Special Services,5,6,6,6,2055 00 003 AB 33300
01,Pleaders Fees,,1,1,1,2055 00 003 AB 33301
03,Special Service,5,5,5,5,2055 00 003 AB 33303
334,Other Charges,10,10,10,10,2055 00 003 AB 33400
01,Other Items,5,5,5,5,2055 00 003 AB 33401
02,"Purchase  of  Books & Periodicals to Libraries etc.,",5,5,5,5,2055 00 003 AB 33402
339,Rewards,5,5,5,5,2055 00 003 AB 33900
01,Rewards,5,5,5,5,2055 00 003 AB 33901
345,"Petroleum, Oil and Lubricant","3,00","3,00","4,73","4,48",2055 00 003 AB 34500
01,"Petroleum, Oil and Lubricant","3,00","3,00","4,73","4,48",2055 00 003 AB 34501
346,"Clothing, Tentage and Stores",,25,25,16,2055 00 003 AB 34600
01,"Clothing, Tentage and Stores",,25,25,16,2055 00 003 AB 34601
347,Stores and Equipments,10,10,10,10,2055 00 003 AB 34700
01,Stores - Voted,10,10,10,10,2055 00 003 AB 34701
349,Festival Advances,-20,,,,2055 00 003 AB 34900
