head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2014-00,ADMINISTRATION OF JUSTICE,,,,,
114,Legal Advisors and Counsels,,,,,
#,State's Expenditure,,,,,
AK,Directorate of Litigation,,,,,2014 00 114 AK 30000
301,Salaries,"10,39,00","10,82,77","11,31,77","11,74,90",2014 00 114 AK 30100
01,Pay,"8,38,14","8,81,60","9,20,00","9,56,80",2014 00 114 AK 30101
02,Medical Allowance,"7,43","7,52","8,86","9,12",2014 00 114 AK 30102
03,Medical Charges,77,90,90,90,2014 00 114 AK 30103
04,Other Allowances,"93,77","90,64","93,77","96,58",2014 00 114 AK 30104
06,House Rent Allowance,"82,17","85,43","90,51","93,23",2014 00 114 AK 30106
07,Travel Concession,49,80,80,83,2014 00 114 AK 30107
08,City Compensatory Allowance,"16,23","15,88","16,93","17,44",2014 00 114 AK 30108
302,Wages,,1,,,2014 00 114 AK 30200
01,Wages,,1,,,2014 00 114 AK 30201
303,Dearness Allowance,"80,87","1,14,61","1,47,20","2,34,42",2014 00 114 AK 30300
01,Dearness Allowance,"80,87","1,14,61","1,47,20","2,34,42",2014 00 114 AK 30301
304,Travel Expenses,"3,95","7,10","7,10","7,15",2014 00 114 AK 30400
01,Tour Travelling Allowances,"3,05","6,00","6,00","6,00",2014 00 114 AK 30401
02,Transfer Travelling Allowances,90,"1,10","1,10","1,15",2014 00 114 AK 30402
305,Office Expenses,"57,34","49,41","1,07,42","62,51",2014 00 114 AK 30500
01,Telephone Charges,"9,14","10,00","10,00","10,00",2014 00 114 AK 30501
02,Other Contingencies,"12,21","10,90","12,00","13,00",2014 00 114 AK 30502
03,Electricity Charges,"24,52","26,00","36,00","37,00",2014 00 114 AK 30503
04,Service Postage & Postal Expenditure,"2,47","2,50","2,50","2,50",2014 00 114 AK 30504
05,Furniture,"9,00",1,"46,92",1,2014 00 114 AK 30505
308,Advertising and Publicity,29,,1,1,2014 00 114 AK 30800
01,Advertisement Charges,29,,1,1,2014 00 114 AK 30801
317,Minor Works,,1,1,1,2014 00 114 AK 31700
01,Minor Works,,1,1,1,2014 00 114 AK 31701
319,Machinery and Equipments,"7,18","6,11","8,36","7,01",2014 00 114 AK 31900
01,Purchase,"1,50",1,"1,36",1,2014 00 114 AK 31901
03,Maintenance,"5,68","6,10","7,00","7,00",2014 00 114 AK 31903
321,Motor Vehicles,"1,29,56",51,"19,95","1,01",2014 00 114 AK 32100
01,Purchase,"1,29,22",1,"18,95",1,2014 00 114 AK 32101
02,Maintenance of Functional Vehicles,34,50,"1,00","1,00",2014 00 114 AK 32102
333,Payments for Professional and Special Services,"7,63,51","7,51,83","9,11,77","14,10,90",2014 00 114 AK 33300
01,Pleaders Fees,"2,50,63","2,50,00","2,50,00","7,50,00",2014 00 114 AK 33301
02,Remuneration,"5,11,05","5,00,00","6,58,20","6,58,20",2014 00 114 AK 33302
04,Contract Payment,"1,83","1,83","3,57","2,70",2014 00 114 AK 33304
334,Other Charges,"2,83","3,00","3,00","3,10",2014 00 114 AK 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,","2,83","3,00","3,00","3,10",2014 00 114 AK 33402
345,"Petroleum, Oil and Lubricant","19,63","20,80","20,80","20,80",2014 00 114 AK 34500
01,"Petroleum, Oil and Lubricant","19,63","20,80","20,80","20,80",2014 00 114 AK 34501
349,Festival Advances,5,,,,2014 00 114 AK 34900
01,Festival Advances-Debit,"7,90","9,00","18,00","18,00",2014 00 114 AK 34901 
02,Festival Advances-Credit,"-7,85","-9,00","-18,00","-18,00",2014 00 114 AK 34902
351,Compensation Charged,,1,1,1,2014 00 114 AK 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2014 00 114 AK 35151
359,Prizes and Awards,2,10,10,10,2014 00 114 AK 35900
01,Prizes and Awards,2,10,10,10,2014 00 114 AK 35901
368,"Cost of Books/Note Books/Slates, etc.","4,00","4,02","4,02","4,10",2014 00 114 AK 36800 
01,"Cost of Books/Note Books/Slates, etc.","4,00","4,02","4,02","4,10",2014 00 114 AK 36801 
376,Computer and Accessories,"8,09","4,71","24,29","5,86",2014 00 114 AK 37600 
01,Purchase,"3,61",1,"18,89",1,2014 00 114 AK 37601
02,Maintenance,"1,62","1,70","1,90","2,10",2014 00 114 AK 37602 
03,Stationery,"2,86","3,00","3,50","3,75",2014 00 114 AK 37603 
AK,Total AK Charged,,1,1,1,
AK,Total AK Voted,"21,16,32","20,44,99","23,85,80","29,31,88",
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"21,16,32","20,44,99","23,85,80","29,31,88",
114,Total 114 Charged,,1,1,1,
114,Total 114 Voted,"21,16,32","20,44,99","23,85,80","29,31,88",
00,Total 00 Charged,,1,1,1,
00,Total 00 Voted,"21,16,32","20,44,99","23,85,80","29,31,88",
2014,Total 2014 Voted,"21,16,32","20,44,99","23,85,80","29,31,88",
