head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2056-00,JAILS,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Inspector-General of Prisons,,,,,2056 00 001 AA 30000
301,Salaries,"5,19,93","5,69,94","5,27,46","5,48,99",2056 00 001 AA 30100
01,Pay,"4,51,48","5,02,40","4,57,33","4,75,62",2056 00 001 AA 30101
02,Medical Allowance,"2,94","3,13","3,13","3,26",2056 00 001 AA 30102
03,Medical Charges,"1,32","2,33","2,33","2,33",2056 00 001 AA 30103
04,Other Allowances,"5,09","3,30","2,93","3,05",2056 00 001 AA 30104
06,House Rent Allowance,"49,27","49,44","49,90","51,90",2056 00 001 AA 30106
07,Travel Concession,"1,46",64,"3,64","3,96",2056 00 001 AA 30107
08,City Compensatory Allowance,"8,37","8,70","8,20","8,87",2056 00 001 AA 30108
303,Dearness Allowance,"40,55","65,31","73,17","1,16,53",2056 00 001 AA 30300
01,Dearness Allowance,"40,55","65,31","73,17","1,16,53",2056 00 001 AA 30301
304,Travel Expenses,"16,45","20,30","19,23","19,86",2056 00 001 AA 30400
01,Tour Travelling Allowances,"16,24","20,00","18,93","19,56",2056 00 001 AA 30401
02,Transfer Travelling Allowances,21,30,30,30,2056 00 001 AA 30402
305,Office Expenses,"31,11","38,44","38,44","39,64",2056 00 001 AA 30500
01,Telephone Charges,"1,51","7,50","7,50","7,50",2056 00 001 AA 30501
02,Other Contingencies,"2,12","2,20","2,20","3,40",2056 00 001 AA 30502
03,Electricity Charges,"26,15","27,40","27,40","27,40",2056 00 001 AA 30503
04,Service Postage & Postal Expenditure,"1,33","1,33","1,33","1,33",2056 00 001 AA 30504
05,Furniture,,1,1,1,2056 00 001 AA 30505
306,"Rent, Rates and Taxes","18,12","17,48","19,15","19,15",2056 00 001 AA 30600
02,Property tax,"13,19","14,17","14,17","14,17",2056 00 001 AA 30602
03,Water Charges,"4,93","3,31","4,98","4,98",2056 00 001 AA 30603
308,Advertising and Publicity,"8,67","6,00","6,00","6,00",2056 00 001 AA 30800
01,Advertisement Charges,"8,67","5,00","5,00","5,00",2056 00 001 AA 30801
02,Exhibition,,"1,00","1,00","1,00",2056 00 001 AA 30802
318,Maintenance,"5,07,98","5,00,01","17,40,11","5,00,01",2056 00 001 AA 31800
01,Periodical Maintenance,"5,07,98","5,00,00","5,00,00","5,00,00",2056 00 001 AA 31801
02,Special Maintenance,,1,"12,40,11",1,2056 00 001 AA 31802
319,Machinery and Equipments,"9,33","5,22","10,73","11,27",2056 00 001 AA 31900
03,Maintenance,"9,33","5,22","10,73","11,27",2056 00 001 AA 31903
321,Motor Vehicles,"7,51","1,81","17,78","1,81",2056 00 001 AA 32100
01,Purchase,"5,77",1,"15,98",1,2056 00 001 AA 32101
02,Maintenance of Functional Vehicles,"1,74","1,80","1,80","1,80",2056 00 001 AA 32102
333,Payments for Professional and Special Services,"7,23","9,20","8,12","8,41",2056 00 001 AA 33300
01,Pleaders Fees,,21,21,50,2056 00 001 AA 33301
02,emuneration,,"1,08",,,2056 00 001 AA 33302
04,Contract Payment,"7,23","7,91","7,91","7,91",2056 00 001 AA 33304
334,Other Charges Charged,,1,,,2056 00 001 AA 33400
01,Other Items Charged,,1,,,2056 00 001 AA 33401
01,Rewards,,2,2,2,2056 00 001 AA 33901
345,"Petroleum, Oil and Lubricant","16,97","17,00","17,34","18,00",2056 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","16,97","17,00","17,34","18,00",2056 00 001 AA 34501
349,Festival Advances,45,,,,2056 00 001 AA 34900
01,Festival Advances-Debit,"3,40","6,30","8,20","8,20",2056 00 001 AA 34901
02,Festival Advances-Credit,"-2,95","-6,30","-8,20","-8,20",2056 00 001 AA 34902
351,Compensation Charged,,2,41,2,2056 00 001 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2056 00 001 AA 35151
