head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2041-00,TAXES ON VEHICLES,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,State Transport Authority,,,,,2041 00 001 AA 30000
301,Salaries,"4,40,22","5,19,78","5,20,94","5,41,76",2041 00 001 AA 30100
01,Pay,"3,85,75","4,54,69","4,54,69","4,72,88",2041 00 001 AA 30101
02,Medical Allowance,"3,54","4,16","4,56","4,74",2041 00 001 AA 30102
03,Medical Charges,18,"1,19",49,49,2041 00 001 AA 30103
04,Other Allowances,"2,17","1,04","2,50","2,60",2041 00 001 AA 30104
06,House Rent Allowance,"40,85","48,88","48,88","50,84",2041 00 001 AA 30106
07,Travel Concession,,24,24,25,2041 00 001 AA 30107
08,City Compensatory Allowance,"7,73","9,58","9,58","9,96",2041 00 001 AA 30108
303,Dearness Allowance,"1,08,83","45,45","55,55","1,15,86",2041 00 001 AA 30300
01,Dearness Allowance,"1,08,83","45,45","55,55","1,15,86",2041 00 001 AA 30301
304,Travel Expenses,"1,63","4,09","4,06","4,09",2041 00 001 AA 30400
01,Tour Travelling Allowances,"1,63","3,20","3,20","3,20",2041 00 001 AA 30401
02,Transfer Travelling Allowances,,89,86,89,2041 00 001 AA 30402
305,Office Expenses,"8,53","11,13","10,63","11,13",2041 00 001 AA 30500
01,Telephone Charges,"2,48","4,50","4,00","4,50",2041 00 001 AA 30501
02,Other Contingencies,"3,72","4,00","4,00","4,00",2041 00 001 AA 30502
03,Electricity Charges,9,37,37,37,2041 00 001 AA 30503
025,01   Commissionerate of Transport,,,,,
04,Service Postage & Postal Expenditure,"2,24","2,25","2,25","2,25",2041 00 001 AA 30504
05,Furniture,,1,1,1,2041 00 001 AA 30505
308,Advertising and Publicity,"61,50","5,00","75,95","5,00",2041 00 001 AA 30800
01,Advertisement Charges,"61,50","5,00","75,95","5,00",2041 00 001 AA 30801
317,Minor Works,,1,"22,47",1,2041 00 001 AA 31700
01,Minor Works,,1,"22,47",1,2041 00 001 AA 31701
319,Machinery and Equipments,17,31,31,31,2041 00 001 AA 31900
01,Purchase,,1,1,1,2041 00 001 AA 31901
03,Maintenance,17,30,30,30,2041 00 001 AA 31903
321,Motor Vehicles,7,33,51,51,2041 00 001 AA 32100
01,Purchase,,1,1,1,2041 00 001 AA 32101
02,Maintenance of Functional Vehicles,7,32,50,50,2041 00 001 AA 32102
333,Payments for Professional and Special Services,17,"2,39","2,30","2,39",2041 00 001 AA 33300
01,Pleaders Fees,17,"2,38","2,29","2,38",2041 00 001 AA 33301
04,Contract Payment,,1,1,1,2041 00 001 AA 33304
334,Other Charges,,1,,,2041 00 001 AA 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",,1,,,2041 00 001 AA 33402
345,"Petroleum, Oil and Lubricant","5,00","7,31","7,31","7,31",2041 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","5,00","7,31","7,31","7,31",2041 00 001 AA 34501
349,Festival Advances,23,,,,2041 00 001 AA 34900
01,Festival Advances-Debit,"2,45","5,84","7,84","7,84",2041 00 001 AA 34901
02,Festival Advances-Credit,"-2,22","-5,84","-7,84","-7,84",2041 00 001 AA 34902
351,Compensation Charged,,1,1,1,2041 00 001 AA 35100
52,Other Compensations Charged,,1,1,1,2041 00 001 AA 35152
359,Prizes and Awards,,8,8,8,2041 00 001 AA 35900
01,Prizes and Awards,,8,8,8,2041 00 001 AA 35901
371,Printing Charges,,1,1,1,2041 00 001 AA 37100
01,Printing Charges,,1,1,1,2041 00 001 AA 37101
372,Training,,"2,41",1,1,2041 00 001 AA 37200
01,Training,,"2,41",1,1,2041 00 001 AA 37201
376,Computer and Accessories,,1,1,1,2041 00 001 AA 37600
01,Purchase,,1,1,1,2041 00 001 AA 37601
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"6,26,35","5,98,32","7,00,14","6,88,48",
AB,Regional Transport Authority - Chennai city,,,,,2041 00 001 AB 30000
301,Salaries,"7,65,94","7,78,47","7,77,80","8,09,83",2041 00 001 AB 30100
01,Pay,"6,69,67","6,81,41","6,81,41","7,08,67",2041 00 001 AB 30101
02,Medical Allowance,"7,35","6,24","6,48","6,73",2041 00 001 AB 30102
04,Other Allowances,"4,32","2,08","2,50","2,60",2041 00 001 AB 30104
06,House Rent Allowance,"71,12","74,38","73,48","77,35",2041 00 001 AB 30106
07,Travel Concession,,1,1,1,2041 00 001 AB 30107
08,City Compensatory Allowance,"13,48","14,35","13,92","14,47",2041 00 001 AB 30108
303,Dearness Allowance,"2,44,31","74,22","1,00,00","1,73,62",2041 00 001 AB 30300
025,01   Commissionerate of Transport,,,,,
01,Dearness Allowance,"2,44,31","74,22","1,00,00","1,73,62",2041 00 001 AB 30301
304,Travel Expenses,"1,21","2,51","2,50","2,50",2041 00 001 AB 30400
01,Tour Travelling Allowances,"1,21","2,20","2,20","2,20",2041 00 001 AB 30401
02,Transfer Travelling Allowances,,31,30,30,2041 00 001 AB 30402
305,Office Expenses,"33,97","46,61","46,61","46,61",2041 00 001 AB 30500
01,Telephone Charges,"2,60","4,50","4,50","4,50",2041 00 001 AB 30501
02,Other Contingencies,"1,61","3,10","3,10","3,10",2041 00 001 AB 30502
03,Electricity Charges,"23,23","31,00","31,00","31,00",2041 00 001 AB 30503
04,Service Postage & Postal Expenditure,"6,53","8,00","8,00","8,00",2041 00 001 AB 30504
05,Furniture,,1,1,1,2041 00 001 AB 30505
306,"Rent, Rates and Taxes","89,93","1,03,97","1,10,69","1,08,50",2041 00 001 AB 30600
01,Rent,"87,54","98,00","98,00","98,00",2041 00 001 AB 30601
02,Property tax,"1,61","4,20","10,19","8,00",2041 00 001 AB 30602
03,Water Charges,78,"1,77","2,50","2,50",2041 00 001 AB 30603
319,Machinery and Equipments,1,45,45,45,2041 00 001 AB 31900
01,Purchase,,1,1,1,2041 00 001 AB 31901
03,Maintenance,1,44,44,44,2041 00 001 AB 31903
321,Motor Vehicles,3,33,53,53,2041 00 001 AB 32100
01,Purchase,,1,1,1,2041 00 001 AB 32101
02,Maintenance of Functional Vehicles,3,32,52,52,2041 00 001 AB 32102
333,Payments for Professional and Special Services,"17,10","18,52","18,52","18,52",2041 00 001 AB 33300
025,01   Commissionerate of Transport,,,,,
01,Pleaders Fees,,52,52,52,2041 00 001 AB 33301
04,Contract Payment,"17,10","18,00","18,00","18,00",2041 00 001 AB 33304
345,"Petroleum, Oil and Lubricant","5,71","7,00","9,00","9,00",2041 00 001 AB 34500
01,"Petroleum, Oil and Lubricant","5,71","7,00","9,00","9,00",2041 00 001 AB 34501
349,Festival Advances,34,,,,2041 00 001 AB 34900
01,Festival Advances-Debit,"2,00","6,50","9,50","9,50",2041 00 001 AB 34901
02,Festival Advances-Credit,"-1,66","-6,50","-9,50","-9,50",2041 00 001 AB 34902
359,Prizes and Awards,6,12,12,12,2041 00 001 AB 35900
01,Prizes and Awards,6,12,12,12,2041 00 001 AB 35901
AB,Total AB,"11,58,61","10,32,20","10,66,22","11,69,68",
AC,Regional Transport Authority - Mofussil,,,,,2041 00 001 AC 30000
301,Salaries,"57,20,47","52,45,73","58,23,92","60,47,79",2041 00 001 AC 30100
01,Pay,"52,48,40","48,26,69","53,44,99","55,59,00",2041 00 001 AC 30101
02,Medical Allowance,"43,01","37,28","48,36","49,75",2041 00 001 AC 30102
03,Medical Charges,6,62,"1,64",1,2041 00 001 AC 30103
04,Other Allowances,"67,28","69,70","68,72","70,69",2041 00 001 AC 30104
06,House Rent Allowance,"3,32,31","2,87,26","3,31,61","3,38,86",2041 00 001 AC 30106
08,City Compensatory Allowance,"29,41","24,18","28,60","29,48",2041 00 001 AC 30108
302,Wages,"1,16","2,31","1,69",,2041 00 001 AC 30200
01,Wages,"1,16","2,31","1,69",,2041 00 001 AC 30201
303,Dearness Allowance,"16,47,44","6,52,70","8,96,04","13,61,96",2041 00 001 AC 30300
01,Dearness Allowance,"16,47,44","6,52,70","8,96,04","13,61,96",2041 00 001 AC 30301
304,Travel Expenses,"3,69","5,80","6,84","6,82",2041 00 001 AC 30400
025,01   Commissionerate of Transport,,,,,
01,Tour Travelling Allowances,"3,37","4,80","5,80","5,81",2041 00 001 AC 30401
02,Transfer Travelling Allowances,32,"1,00","1,04","1,01",2041 00 001 AC 30402
305,Office Expenses,"3,06,03","4,07,65","4,10,11","4,23,10",2041 00 001 AC 30500
