head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2217,URBAN DEVELOPMENT,,,,,
01,State Capital Development,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Transport and Traffic Studies for Class I Cities,,,,,2217 01 001 AA 30000
301,Salaries,"2,51,85","2,66,34","2,27,32","2,45,09",2217 01 001 AA 30100
01,Pay,"2,29,29","2,42,32","2,06,03","2,22,13",2217 01 001 AA 30101
02,Medical Allowance,"1,50","1,50","1,34","1,39",2217 01 001 AA 30102
03,Medical Charges,,39,32,30,2217 01 001 AA 30103
04,Other Allowances,"1,81","2,11","1,61","1,90",2217 01 001 AA 30104
06,House Rent Allowance,"17,21","17,33","16,07","16,53",2217 01 001 AA 30106
07,Travel Concession,,14,,35,2217 01 001 AA 30107
08,City Compensatory Allowance,"2,04","2,55","1,95","2,49",2217 01 001 AA 30108
303,Dearness Allowance,"21,26","31,50","32,95","54,42",2217 01 001 AA 30300
01,Dearness Allowance,"21,26","31,50","32,95","54,42",2217 01 001 AA 30301
304,Travel Expenses,24,52,53,64,2217 01 001 AA 30400
01,Tour Travelling Allowances,17,48,35,50,2217 01 001 AA 30401
02,Transfer Travelling Allowances,7,4,18,14,2217 01 001 AA 30402
305,Office Expenses,"1,87","2,46","2,13","2,86",2217 01 001 AA 30500
01,Telephone Charges,4,24,20,27,2217 01 001 AA 30501
02,Other Contingencies,70,"1,30","1,11","1,52",2217 01 001 AA 30502
03,Electricity Charges,73,68,68,85,2217 01 001 AA 30503
04,Service Postage & Postal Expenditure,40,24,14,22,2217 01 001 AA 30504
321,Motor Vehicles,,10,"13,71",10,2217 01 001 AA 32100
01,Purchase,,,"13,65",,2217 01 001 AA 32101
02,Maintenance of Functional Vehicles,,10,6,10,2217 01 001 AA 32102
345,"Petroleum, Oil and Lubricant","1,07","1,01",80,"1,20",2217 01 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,07","1,01",80,"1,20",2217 01 001 AA 34501
349,Festival Advances,-15,,,,2217 01 001 AA 34900
01,Festival Advances-Debit,85,"1,08","3,50","4,00",2217 01 001 AA 34901
02,Festival Advances-Credit,"-1,00","-1,08","-3,50","-4,00",2217 01 001 AA 34902
359,Prizes and Awards,,10,10,13,2217 01 001 AA 35900
01,Prizes and Awards,,10,10,13,2217 01 001 AA 35901
372,Training,,10,10,10,2217 01 001 AA 37200
01,Training,,10,10,10,2217 01 001 AA 37201
AA,Total AA,"2,76,14","3,02,13","2,77,64","3,04,54",
#,State's Expenditure Total,"2,76,14","3,02,13","2,77,64","3,04,54",
001,Total 001,"2,76,14","3,02,13","2,77,64","3,04,54",
01,Total 01,"2,76,14","3,02,13","2,77,64","3,04,54",
05,Other Urban Development Schemes,,,,,
191,Assistance to Municipal Corporations,,,,,
#,Central Sector Schemes Central Sector Sechemes,,,,,
SC,Grants received for GIS based Master Plan implemented by Town and Country Planning,,,,,2217 05 191 SC 30000
