head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2216,HOUSING,,,,,
02,Urban Housing,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
AA,Debt Servicing of Loans awarded by Tamil Nadu Co-operative Housing Federation for Economically Weaker Section.,,,,,2216 02 800 AA 30000
311,Subsidies,"9,01",,,,2216 02 800 AA 31100
01,Individual Based Subsidy,"9,01",,,,2216 02 800 AA 31101
AA,Total AA,"9,01",,,,
#,State's Expenditure Total,"9,01",,,,
800,Total 800,"9,01",,,,
02,Total 02,"9,01",,,,
80,General,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Headquarters Establishment,,,,,2216 80 001 AA 30000
301,Salaries,"94,18","1,71,85","1,33,43","1,35,95",2216 80 001 AA 30100
01,Pay,"83,25","1,56,00","1,20,00","1,22,50",2216 80 001 AA 30101
02,Medical Allowance,41,44,44,44,2216 80 001 AA 30102
03,Medical Charges,5,10,10,10,2216 80 001 AA 30103
04,Other Allowances,35,60,40,40,2216 80 001 AA 30104
06,House Rent Allowance,"8,71","10,93","10,93","10,93",2216 80 001 AA 30106
07,Travel Concession,,6,6,8,2216 80 001 AA 30107
08,City Compensatory Allowance,"1,41","3,72","1,50","1,50",2216 80 001 AA 30108
302,Wages,12,12,12,12,2216 80 001 AA 30200
01,Wages,12,12,12,12,2216 80 001 AA 30201
303,Dearness Allowance,"11,76","20,28","17,15","30,01",2216 80 001 AA 30300
01,Dearness Allowance,"11,76","20,28","17,15","30,01",2216 80 001 AA 30301
304,Travel Expenses,63,"5,00","5,00","5,00",2216 80 001 AA 30400
01,Tour Travelling Allowances,63,"5,00","5,00","5,00",2216 80 001 AA 30401
305,Office Expenses,"2,91","3,77","3,80","3,83",2216 80 001 AA 30500
01,Telephone Charges,66,"1,00","1,00","1,00",2216 80 001 AA 30501
02,Other Contingencies,98,"1,00","1,00","1,00",2216 80 001 AA 30502
03,Electricity Charges,"1,00","1,50","1,50","1,50",2216 80 001 AA 30503
04,Service Postage & Postal Expenditure,27,27,30,33,2216 80 001 AA 30504
306,"Rent, Rates and Taxes",,"14,50","51,59","17,24",2216 80 001 AA 30600
01,Rent,,"14,50","51,59","17,24",2216 80 001 AA 30601
319,Machinery and Equipments,,1,1,1,2216 80 001 AA 31900
01,Purchase,,1,1,1,2216 80 001 AA 31901
321,Motor Vehicles,6,7,7,7,2216 80 001 AA 32100
02,Maintenance of Functional Vehicles,6,7,7,7,2216 80 001 AA 32102
345,"Petroleum, Oil and Lubricant",70,"1,50","1,00","1,50",2216 80 001 AA 34500
01,"Petroleum, Oil and Lubricant",70,"1,50","1,00","1,50",2216 80 001 AA 34501
349,Festival Advances,-8,,,,2216 80 001 AA 34900
01,Festival Advances-Debit,20,"1,80","3,60","3,60",2216 80 001 AA 34901
02,Festival Advances-Credit,-28,"-1,80","-3,60","-3,60",2216 80 001 AA 34902
351,Compensation Charged,,1,1,1,2216 80 001 AA 35100
52,Other Compensations Charged,,,,,
359,Prizes and Awards,,2,2,2,2216 80 001 AA 35900
01,Prizes and Awards,,2,2,2,2216 80 001 AA 35901
376,Computer and Accessories,58,58,70,58,2216 80 001 AA 37600
01,Purchase,6,6,18,6,2216 80 001 AA 37601
02,Maintenance,12,12,12,12,2216 80 001 AA 37602
03,Stationery,40,40,40,40,2216 80 001 AA 37603
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"1,10,86","2,17,70","2,12,89","1,94,33",
AB,District Establishment,,,,,2216 80 001 AB 30000
301,Salaries,"5,88,82","4,90,35","4,61,23","4,80,66",2216 80 001 AB 30100
