head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2216,HOUSING,,,,,
05,General Pool Accommodation,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AA,Contribution for maintenance of Government Colonies,,,,,2216 05 053 AA 30000
309,Grants-in-Aid,"10,69,28","10,50,01","11,00,01","10,50,01",2216 05 053 AA 30900
01,Grants for Current Expenditure,"10,50,00","10,50,00","11,00,00","10,50,00",2216 05 053 AA 30901
03,Grants for Specific Schemes,"19,28",1,1,1,2216 05 053 AA 30903
AA,Total AA,"10,69,28","10,50,01","11,00,01","10,50,01",
AB,"Maintenance of Government Flats in specific locations in Chennai City - Koyambedu, Taylor's Road, Government Estate, Old Tower Block and Foreshore Estate",,,,,2216 05 053 AB 30000
309,Grants-in-Aid,"1,10,00","1,10,00","1,10,00","1,10,00",2216 05 053 AB 30900
01,Grants for Current Expenditure,"1,10,00","1,10,00","1,10,00","1,10,00",2216 05 053 AB 30901
AB,Total AB,"1,10,00","1,10,00","1,10,00","1,10,00",
#,State's Expenditure Total,"11,79,28","11,60,01","12,10,01","11,60,01",
053,Total 053,"11,79,28","11,60,01","12,10,01","11,60,01",
05,Total 05,"11,79,28","11,60,01","12,10,01","11,60,01",
07,Oher Housing,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AA,"Maintenance of Ex-MLA Hostel at Omanthurar Government Estate, Chennai",,,,,2216 07 053 AA 30000
318,Maintenance,"25,00",1,"18,00",1,2216 07 053 AA 31800
01,Periodical Maintenance,"25,00",1,"18,00",1,2216 07 053 AA 31801
AA,Total AA,"25,00",1,"18,00",1,
#,State's Expenditure Total,"25,00",1,"18,00",1,
053,Total 053,"25,00",1,"18,00",1,
07,Total 07,"25,00",1,"18,00",1,
80,General,,,,,
103,"Assistance to Housing Boards, Corporations etc.",,,,,
#,State's Expenditure,,,,,
AA,Contribution towards rent for the Middle Income group rental flats allotted to officers of the State Government,,,,,2216 80 103 AA 30000
309,Grants-in-Aid,"13,08","13,00","11,37","11,94",2216 80 103 AA 30900 
01,Grants for Current Expenditure,"13,08","13,00","11,37","11,94",2216 80 103 AA 30901
AA,Total AA,"13,08","13,00","11,37","11,94",
AB,Maintenance of Housing Colonies,,,,,2216 80 103 AB 30000
309,Grants-in-Aid,,1,,,2216 80 103 AB 30900
01,Grants for Current Expenditure,,1,,,2216 80 103 AB 30901
AB,Total AB,,1,,,
AJ,Grants to Tamil Nadu Housing Board for payment of property tax on Tamil Nadu Government Servants Rental Housing Scheme Quarters,,,,,2216 80 103 AJ 30000
309,Grants-in-Aid,"4,52,49","4,52,49","5,70,00","5,70,00",2216 80 103 AJ 30900
