head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2216,HOUSING,,,,,
02,Urban Housing,,,,,
190,Assistance to Public Undertakings,,,,,
#,State's Expenditure,,,,,
AE,Expenditure on construction of houses and providing basic amenities to the tenements of TNSCB,,,,,2216 02 190 AE 30000
309,Grants-in-Aid,,1,1,1,2216 02 190 AE 30900
02,Grants for Creation of Capital Assets,,1,1,1,2216 02 190 AE 30902
AE,Total AE,1,1,1,,
JS,Computerisation of Tamil Nadu Slum Clearance Board,,,,,2216 02 190 JS 30000
309,Grants-in-Aid,,1,1,1,2216 02 190 JS 30900
03,Grants for Specific Schemes,,1,1,1,2216 02 190 JS 30903
JS,Total JS,1,1,1,,
JU,Providing basic amenities for resettlement and re-habilitation of flood affected slum dwellers on the river margins,,,,,2216 02 190 JU 30000
309,Grants-in-Aid,,1,1,1,2216 02 190 JU 30900
03,Grants for Specific Schemes,,1,1,1,2216 02 190 JU 30903
JU,Total JU,1,1,1,,
#,State's Expenditure Total,,3,3,3,
#,Externally Aided Projects,,,,,
PA,Grants to TNSCB under Tamilnadu Housing and Habitat Development Project,,,,,2216 02 190 PA 30000
309,Grants-in-Aid,,,,"5,00,00",2216 02 190 PA 30900
02,Grants for Creation of Capital Assets,,,,"5,00,00",2216 02 190 PA 30902
PA,Total PA,,,"5,00,00",,
PB,Grants to TNSCB for implementation of ADB assisted Inclusive Resilient and Sustainable Housing for the Urban Poor,,,,,2216 02 190 PB 30000
309,Grants-in-Aid,,,,"1,00,00,00",2216 02 190 PB 30900
02,Grants for Creation of Capital Assets,,,,"1,00,00,00",2216 02 190 PB 30902
PB,Total PB,,,"1,00,00,00",,
#,Externally Aided Projects Total,,,,"1,05,00,00",
#,Central Sector Schemes,,,,,
SA,Grants for Information Education under capacity building activities in Housing for All (Urban),,,,,2216 02 190 SA 30000
309,Grants-in-Aid,,,"1,14,00","1,14,00",2216 02 190 SA 30900
03,Grants for Specific Schemes,,,"1,14,00","1,14,00",2216 02 190 SA 30903
