head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3452,TOURISM,,,,,
01,Tourist Infrastructure,,,,,
101,Tourist Centre,,,,,
#,State's Expenditure,,,,,
AA,Poompuhar Complex,,,,,3452 01 101 AA 30000
301,Salaries,"15,74","17,42","17,39","18,08",3452 01 101 AA 30100
01,Pay,"14,75","16,30","16,30","16,96",3452 01 101 AA 30101
02,Medical Allowance,16,18,15,15,3452 01 101 AA 30102
04,Other Allowances,12,16,16,16,3452 01 101 AA 30104
06,House Rent Allowance,71,77,77,80,3452 01 101 AA 30106
07,Travel Concession,,1,1,1,3452 01 101 AA 30107
303,Dearness Allowance,"4,37","2,12","2,61","4,16",3452 01 101 AA 30300
01,Dearness Allowance,"4,37","2,12","2,61","4,16",3452 01 101 AA 30301
304,Travel Expenses,25,50,45,46,3452 01 101 AA 30400
01,Tour Travelling Allowances,25,40,35,36,3452 01 101 AA 30401
02,Transfer Travelling Allowances,,10,10,10,3452 01 101 AA 30402
305,Office Expenses,"1,36","1,85","1,64","1,69",3452 01 101 AA 30500
01,Telephone Charges,23,25,25,27,3452 01 101 AA 30501
02,Other Contingencies,29,30,30,30,3452 01 101 AA 30502
03,Electricity Charges,84,"1,30","1,09","1,12",3452 01 101 AA 30503
318,Maintenance,"56,64","1,39","1,39","1,45",3452 01 101 AA 31800
01,Periodical Maintenance,"1,39","1,39","1,39","1,45",3452 01 101 AA 31801
02,Special Maintenance,"55,25",,,,3452 01 101 AA 31802
029,02   Directorate of Tourism,,,,,
321,Motor Vehicles,6,6,6,6,3452 01 101 AA 32100
02,Maintenance of Functional Vehicles,6,6,6,6,3452 01 101 AA 32102
345,"Petroleum, Oil and Lubricant","1,09","1,20","1,20","1,20",3452 01 101 AA 34500
01,"Petroleum, Oil and Lubricant","1,09","1,20","1,20","1,20",3452 01 101 AA 34501
349,Festival Advances,3,,,,3452 01 101 AA 34900
01,Festival Advances-Debit,25,25,60,60,3452 01 101 AA 34901
02,Festival Advances-Credit,-22,-25,-60,-60,3452 01 101 AA 34902
351,Compensation Charged,,1,1,1,3452 01 101 AA 35100,
52,Other Compensations Charged,,,,,
376,Computer and Accessories,4,4,4,4,3452 01 101 AA 37600
02,Maintenance,4,4,4,4,3452 01 101 AA 37602
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"79,58","24,58","24,78","27,14",
AB,Veerapandia Kattabomman Memorial,,,,,3452 01 101 AB 30000
301,Salaries,92,70,70,73,3452 01 101 AB 30100
01,Pay,83,66,66,69,3452 01 101 AB 30101
02,Medical Allowance,4,,,,3452 01 101 AB 30102
04,Other Allowances,1,,,,3452 01 101 AB 30104
06,House Rent Allowance,4,3,3,3,3452 01 101 AB 30106
07,Travel Concession,,1,1,1,3452 01 101 AB 30107
303,Dearness Allowance,26,9,10,17,3452 01 101 AB 30300
01,Dearness Allowance,26,9,10,17,3452 01 101 AB 30301
029,02   Directorate of Tourism,,,,,
304,Travel Expenses,,21,21,22,3452 01 101 AB 30400
01,Tour Travelling Allowances,,20,20,21,3452 01 101 AB 30401
02,Transfer Travelling Allowances,,1,1,1,3452 01 101 AB 30402
305,Office Expenses,67,69,69,71,3452 01 101 AB 30500
02,Other Contingencies,27,27,27,27,3452 01 101 AB 30502
03,Electricity Charges,40,42,42,44,3452 01 101 AB 30503
318,Maintenance,50,"60,70","60,70","1,77",3452 01 101 AB 31800
01,Periodical Maintenance,50,"60,70","60,70","1,77",3452 01 101 AB 31801
349,Festival Advances,1,,,,3452 01 101 AB 34900
01,Festival Advances-Debit,5,5,20,20,3452 01 101 AB 34901
02,Festival Advances-Credit,-4,-5,-20,-20,3452 01 101 AB 34902
AB,Total AB,"2,36","62,39","62,40","3,60",
AC,Sound and Light Spectacle at Thirumalai Nayakkar Mahal,,,,,3452 01 101 AC 30000
301,Salaries,"12,60","13,34","13,31","13,82",3452 01 101 AC 30100
01,Pay,"11,34","12,00","12,00","12,48",3452 01 101 AC 30101
02,Medical Allowance,14,18,15,15,3452 01 101 AC 30102
04,Other Allowances,16,17,17,17,3452 01 101 AC 30104
06,House Rent Allowance,84,86,86,89,3452 01 101 AC 30106
07,"Travel Concession""",,1,1,1,3452 01 101 AC 30107
08,City Compensatory Allowance,12,12,12,12,3452 01 101 AC 30108
303,Dearness Allowance,98,"1,56","1,92","3,06",3452 01 101 AC 30300
01,Dearness Allowance,98,"1,56","1,92","3,06",3452 01 101 AC 30301
304,Travel Expenses,8,8,8,9,3452 01 101 AC 30400
01,Tour Travelling Allowances,8,8,8,9,3452 01 101 AC 30401
349,Festival Advances,-3,,,,3452 01 101 AC 34900
01,Festival Advances-Debit,15,20,40,40,3452 01 101 AC 34901
02,Festival Advances-Credit,-18,-20,-40,-40,3452 01 101 AC 34902
AC,Total AC,"13,63","14,98","15,31","16,97",
JH,Preparation of Master Plan for Tourist Destination / Circuits,,,,,3452 01 101 JH 30000
333,Payments for Professional and Special Services,,1,1,1,3452 01 101 JH 33300
02,Remuneration,,1,1,1,3452 01 101 JH 33302
JH,Total JH,,1,1,1,
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"95,57","1,01,96","1,02,50","47,72",
