head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
CK,Buildings - Directorate of Museums,,,,,2059 01 053 CK 30000
318,Maintenance,"48,49","56,00","56,00","58,80",2059 01 053 CK 31800
01,Periodical Maintenance,"48,49","56,00","56,00","58,80",2059 01 053 CK 31801
CK,Total CK,"48,49","56,00","56,00","58,80",
#,State's Expenditure Total,"48,49","56,00","56,00","58,80",
053,Total 053,"48,49","56,00","56,00","58,80",
01,Total 01,"48,49","56,00","56,00","58,80",
2059,Total 2059,"48,49","56,00","56,00","58,80",
2205-00,ART AND CULTURE,,,,,
107,Museums,,,,,
#,State's Expenditure,,,,,
AA,Government Museums,,,,,2205 00 107 AA 30000
301,Salaries,"9,48,01","9,40,39","9,43,61","9,77,24",2205 00 107 AA 30100
01,Pay,"8,41,55","8,36,84","8,40,65","8,74,28",2205 00 107 AA 30101
02,Medical Allowance,"7,29","7,89","7,30","7,30",2205 00 107 AA 30102
03,Medical Charges,28,30,30,30,2205 00 107 AA 30103
04,Other Allowances,"15,36","16,26","16,26","16,26",2205 00 107 AA 30104
06,House Rent Allowance,"72,24","68,21","68,21","68,21",2205 00 107 AA 30106
07,Travel Concession,95,"1,00","1,00","1,00",2205 00 107 AA 30107
08,City Compensatory Allowance,"10,34","9,89","9,89","9,89",2205 00 107 AA 30108
303,Dearness Allowance,"1,25,46","1,08,79","1,34,50","2,14,20",2205 00 107 AA 30300
029,04   Directorate of Government Museum,,,,,
01,Dearness Allowance,"1,25,46","1,08,79","1,34,50","2,14,20",2205 00 107 AA 30301
304,Travel Expenses,"7,44","8,30","8,30","8,30",2205 00 107 AA 30400
01,Tour Travelling Allowances,"7,33","8,00","8,00","8,00",2205 00 107 AA 30401
02,Transfer Travelling Allowances,11,30,30,30,2205 00 107 AA 30402
305,Office Expenses,"67,27","91,70","91,70","91,70",2205 00 107 AA 30500
01,Telephone Charges,"4,69","4,05","4,05","4,05",2205 00 107 AA 30501
02,Other Contingencies,"8,44","6,75","6,75","6,75",2205 00 107 AA 30502
03,Electricity Charges,"53,27","80,00","80,00","80,00",2205 00 107 AA 30503
04,Service Postage & Postal Expenditure,87,90,90,90,2205 00 107 AA 30504
306,"Rent, Rates and Taxes","53,77","54,74","71,12","65,55",2205 00 107 AA 30600
01,Rent,"39,25","39,33","44,69","44,69",2205 00 107 AA 30601
02,Property tax,"13,97","13,91","24,93","19,36",2205 00 107 AA 30602
03,Water Charges,55,"1,50","1,50","1,50",2205 00 107 AA 30603
308,Advertising and Publicity,"14,34","15,21","15,21","15,21",2205 00 107 AA 30800
02,Exhibition,"14,34","15,21","15,21","15,21",2205 00 107 AA 30802
317,Minor Works,,1,"70,01",1,2205 00 107 AA 31700
01,Minor Works,,1,"70,01",1,2205 00 107 AA 31701
318,Maintenance,"22,90",,,,2205 00 107 AA 31800
01,Periodical Maintenance,"22,90",,,,2205 00 107 AA 31801
319,Machinery and Equipments,"33,33","23,90","5,71,96","37,07",2205 00 107 AA 31900
01,Purchase,"9,98",1,"5,20,01",1,2205 00 107 AA 31901
03,Maintenance,"23,35","23,89","51,95","37,06",2205 00 107 AA 31903
321,Motor Vehicles,81,90,"2,35","2,35",2205 00 107 AA 32100
02,Maintenance of Functional Vehicles,81,90,"2,35","2,35",2205 00 107 AA 32102
324,Materials and Supplies,"43,41","1,51","61,51","1,51",2205 00 107 AA 32400
01,Materials and Supplies,"43,41","1,51","61,51","1,51",2205 00 107 AA 32401
333,Payments for Professional and Special Services,"1,17,76","1,22,18","1,80,33","1,70,61",2205 00 107 AA 33300
01,Pleaders Fees,,1,"1,35","1,50",2205 00 107 AA 33301
02,Remuneration,"4,38","5,00","5,00","5,00",2205 00 107 AA 33302
04,Contract Payment,"1,13,38","1,17,17","1,73,98","1,64,11",2205 00 107 AA 33304
342,Service or Commitment Charges,"1,42","1,50","1,50","1,50",2205 00 107 AA 34200
01,Service or Commitment Charges,"1,42","1,50","1,50","1,50",2205 00 107 AA 34201
345,"Petroleum, Oil and Lubricant","4,21","5,50","5,50","5,50",2205 00 107 AA 34500
01,"Petroleum, Oil and Lubricant","4,21","5,50","5,50","5,50",2205 00 107 AA 34501
347,Stores and Equipments,"3,27","3,37","3,37","3,37",2205 00 107 AA 34700
01,Stores - Voted,"3,27","3,37","3,37","3,37",2205 00 107 AA 34701
349,Festival Advances,-56,,,,2205 00 107 AA 34900
01,Festival Advances-Debit,"7,20","12,00","19,60","19,60",2205 00 107 AA 34901
02,Festival Advances-Credit,"-7,76","-12,00","-19,60","-19,60",2205 00 107 AA 34902
351,Compensation Charged,,1,1,1,2205 00 107 AA 35100
52,Other Compensations Charged,,1,1,1,2205 00 107 AA 35152
359,Prizes and Awards,20,20,20,20,2205 00 107 AA 35900
029,04   Directorate of Government Museum,,,,,
01,Prizes and Awards,20,20,20,20,2205 00 107 AA 35901
