head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AT,Buildings - Art and Culture (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 AT 30000
318,Maintenance,"27,64","30,00","30,00","31,50",2059 01 053 AT 31800 
01,Periodical Maintenance,"27,64","30,00","30,00","31,50",2059 01 053 AT 31801
AT,Total AT,"27,64","30,00","30,00","31,50",
BT,Buildings - Arts and Crafts Institutions (Administered by Technical Education Wing),,,,,2059 01 053 BT 30000
318,Maintenance,"54,48","55,92","55,92","55,92",2059 01 053 BT 31800 
01,Periodical Maintenance,"54,48","55,92","55,92","55,92",2059 01 053 BT 31801
BT,Total BT,"54,48","55,92","55,92","55,92",
#,State's Expenditure Total,"82,12","85,92","85,92","87,42",
053,Total 053,"82,12","85,92","85,92","87,42",
01,Total 01,"82,12","85,92","85,92","87,42",
2059,Total 2059,"82,12","85,92","85,92","87,42",
2205-00,ART AND CULTURE,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Art and Culture,,,,,2205 00 001 AA 30000
301,Salaries,"2,67,25","2,85,33","2,98,36","2,98,36",2205 00 001 AA 30100
01,Pay,"2,34,85","2,60,60","2,73,63","2,73,63",2205 00 001 AA 30101
02,Medical Allowance,"1,56","2,27","2,27","2,27",2205 00 001 AA 30102
03,Medical Charges,"1,14",48,48,48,2205 00 001 AA 30103
04,Other Allowances,"3,92","1,41","1,41","1,41",2205 00 001 AA 30104
06,House Rent Allowance,"22,71","18,25","18,25","18,25",2205 00 001 AA 30106
07,Travel Concession,13,24,24,24,2205 00 001 AA 30107
08,City Compensatory Allowance,"2,94","2,08","2,08","2,08",2205 00 001 AA 30108
303,Dearness Allowance,"29,23","32,58","41,72","67,04",2205 00 001 AA 30300
01,Dearness Allowance,"29,23","32,58","41,72","67,04",2205 00 001 AA 30301
304,Travel Expenses,"3,01","2,64","2,64","2,64",2205 00 001 AA 30400
01,Tour Travelling Allowances,"2,97","2,58","2,58","2,58",2205 00 001 AA 30401
02,Transfer Travelling Allowances,4,6,6,6,2205 00 001 AA 30402
305,Office Expenses,"13,37","9,10","12,35","9,10",2205 00 001 AA 30500
01,Telephone Charges,"1,70","1,65","1,65","1,65",2205 00 001 AA 30501
02,Other Contingencies,"6,54","2,37","5,62","2,37",2205 00 001 AA 30502
03,Electricity Charges,"4,37","4,38","4,38","4,38",2205 00 001 AA 30503
04,Service Postage & Postal Expenditure,76,70,70,70,2205 00 001 AA 30504
306,"Rent, Rates and Taxes",62,"1,06","1,06","1,06",2205 00 001 AA 30600
01,Rent,62,"1,06","1,06","1,06",2205 00 001 AA 30601
319,Machinery and Equipments,"2,81",50,"10,85",50,2205 00 001 AA 31900
01,Purchase,,,"10,35",,2205 00 001 AA 31901
03,Maintenance,"2,81",50,50,50,2205 00 001 AA 31903
321,Motor Vehicles,89,88,"13,25",88,2205 00 001 AA 32100
01,Purchase,,,"12,37",,2205 00 001 AA 32101
02,Maintenance of Functional Vehicles,89,88,88,88,2205 00 001 AA 32102
333,Payments for Professional and Special Services,"9,73","11,93","11,93","11,93",2205 00 001 AA 33300
04,Contract Payment,"9,73","11,93","11,93","11,93",2205 00 001 AA 33304
345,"Petroleum, Oil and Lubricant","11,54","8,38","8,38","8,38",2205 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","11,54","8,38","8,38","8,38",2205 00 001 AA 34501
349,Festival Advances,-3,,,,2205 00 001 AA 34900
01,Festival Advances-Debit,"1,35","3,00","3,00","3,00",2205 00 001 AA 34901
02,Festival Advances-Credit,"-1,38","-3,00","-3,00","-3,00",2205 00 001 AA 34902
351,Compensation Charged,,1,1,1,2205 00 001 AA 35100
52,Other Compensations Charged,,1,1,1,2205 00 001 AA 35152
359,Prizes and Awards,"12,02","15,00","15,00","15,00",2205 00 001 AA 35900
01,Prizes and Awards,"12,02","15,00","15,00","15,00",2205 00 001 AA 35901
364,Lands Charged,,1,1,1,2205 00 001 AA 36400
51,Lands Charged,,1,1,1,2205 00 001 AA 36451
371,Printing Charges,,50,50,50,2205 00 001 AA 37100
01,Printing Charges,,50,50,50,2205 00 001 AA 37101
372,Training,"5,90","5,90","20,90","5,90",2205 00 001 AA 37200
01,Training,"5,90","5,90","20,90","5,90",2205 00 001 AA 37201
376,Computer and Accessories,"12,22","1,14","8,59","1,14",2205 00 001 AA 37600
01,Purchase,"11,00",,"7,45",,2205 00 001 AA 37601
02,Maintenance,73,65,65,65,2205 00 001 AA 37602
03,Stationery,49,49,49,49,2205 00 001 AA 37603
AA,Total AA Charged,,2,2,2,
AA,Total AA Voted,"3,68,56","3,74,94","4,45,53","4,22,43",
#,State's Expenditure Total Charged,,2,2,2,
#,State's Expenditure Total Voted,"3,68,56","3,74,94","4,45,53","4,22,43",
001,Total 001 Charged,,2,2,2,
