head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2014-00,ADMINISTRATION OF JUSTICE,,,,,
102,High Courts,,,,,
#State's Expenditure,,,,,
AA,Judges and Registrars,,,,,2014 00 102 AA 30000
301,Salaries Charged,"1,39,48,09","1,43,32,95","1,41,64,44","1,47,66,33",2014 00 102 AA 30100
01,Pay Charged,"1,17,11,99","1,21,18,25","1,18,76,91","1,22,81,27",2014 00 102 AA 30101
02,Medical Allowance Charged,"77,80","86,74","78,00","79,17",2014 00 102 AA 30102
03,Medical Charges Charged,"1,67,06","2,00,00","2,00,00","2,00,00",2014 00 102 AA 30103
04,Other Allowances Charged,"1,50,46","1,43,00","2,18,30","1,93,00",2014 00 102 AA 30104
05,Interim Relief Charged,"57,74",,"19,25","19,82",2014 00 102 AA 30105
06,House Rent Allowance Charged,"14,24,60","14,39,65","13,39,65","14,39,65",2014 00 102 AA 30106
07,Travel Concession Charged,"1,30,33","1,37,51","1,37,51","1,37,51",2014 00 102 AA 30107
08,City Compensatory Allowance Charged,"2,11,42","1,90,00","2,12,80","2,17,91",2014 00 102 AA 30108
09,Honorarium Charged,"16,69","17,80","82,02","1,98,00",2014 00 102 AA 30109
303,Dearness Allowance Charged,"14,71,61","15,75,37","18,68,14","30,70,32",2014 00 102 AA 30300
01,Dearness Allowance Charged,"14,71,61","15,75,37","18,68,14","30,70,32",2014 00 102 AA 30301
304,Travel Expenses Charged,"1,09,06","1,45,90","1,48,98","1,45,90",2014 00 102 AA 30400
01,Tour Travelling Allowances Charged,"84,43","1,27,36","1,27,36","1,27,36",2014 00 102 AA 30401
02,Transfer Travelling Allowances Charged,"23,47","17,04","20,12","17,04",2014 00 102 AA 30402
03,Fixed Travelling Allowances Charged,"1,16","1,50","1,50","1,50",2014 00 102 AA 30403
305,Office Expenses Charged,"9,32,06","10,50,99","21,61,87","12,61,57",2014 00 102 AA 30500
01,Telephone Charges Charged,"1,32,58","1,86,50","10,25,52","1,93,13",2014 00 102 AA 30501
02,Other Contingencies Charged,"2,34,77","2,40,50","3,37,27","2,50,50",2014 00 102 AA 30502
03,Electricity Charges Charged,"4,65,32","5,70,00","6,11,80","6,64,96",2014 00 102 AA 30503
04,"Service Postage & Postal Expenditure Charged,43","90""","53,98","52,98","52,98",2014 00 102 AA 30504
05,Furniture Charged,"55,49",1,"1,34,30","1,00,00",2014 00 102 AA 30505
306,"Rent, Rates and Taxes Charged","49,35","56,28","56,64","62,64",2014 00 102 AA 30600
01,Rent Charged,"4,51","2,90","8,64","8,64",2014 00 102 AA 30601
02,Property tax Charged,"13,31","12,38","13,00","13,00",2014 00 102 AA 30602
03,Water Charges Charged,"31,53","41,00","35,00","41,00",2014 00 102 AA 30603
308,Advertising and Publicity Charged,"5,20","1,62","20,92","1,61",2014 00 102 AA 30800
01,Advertisement Charges Charged,"5,20","1,61","14,34","1,61",2014 00 102 AA 30801
09,Others Charged,,1,"6,58",,2014 00 102 AA 30809
313,Hospitality / Entertainment Expenditure Charged,"18,58","20,00","20,00","20,00",2014 00 102 AA 31300
01,Hospitality / Entertainment Expenditure Charged,"18,58","20,00","20,00","20,00",2014 00 102 AA 31301
314,Sumptuary Allowances Charged,"74,99","70,77","80,77","70,77",2014 00 102 AA 31400
01,Sumptuary Allowances Charged,"74,99","70,77","80,77","70,77",2014 00 102 AA 31401
317,Minor Works Charged,"2,20",1,"36,91",1,2014 00 102 AA 31700
01,Minor Works Charged,"2,20",1,"36,91",1,2014 00 102 AA 31701
319,Machinery and Equipments Charged,"7,75,92",1,"26,91,89","2,00,00",2014 00 102 AA 31900
01,Purchase Charged,"7,75,92",1,"26,91,89","2,00,00",2014 00 102 AA 31901
321,Motor Vehicles Charged,"1,25,63","24,01","4,76,37","26,01",2014 00 102 AA 32100
01,Purchase Charged,"1,01,64",1,"4,52,37",1,2014 00 102 AA 32101
02,Maintenance of Functional Vehicles Charged,"23,99","24,00","24,00","26,00",2014 00 102 AA 32102
324,Materials and Supplies Charged,,1,"18,71",1,2014 00 102 AA 32400
01,Materials and Supplies Charged,,1,"18,71",1,2014 00 102 AA 32401
333,Payments for Professional and Special Services Charged,"57,25","63,38","9,38,53","9,98,83",2014 00 102 AA 33300
01,Pleaders Fees Charged,,1,1,1,2014 00 102 AA 33301
02,Remuneration Charged,"2,27","6,00","6,00","10,00",2014 00 102 AA 33302
03,Special Service Charged,"44,52",1,"1,68,57","2,11,46",2014 00 102 AA 33303
04,Contract Payment Charged,"10,46","57,36","7,63,95","7,77,36",2014 00 102 AA 33304
345,"Petroleum, Oil and Lubricant Charged","1,59,03","1,74,00","1,74,00","1,74,00",2014 00 102 AA 34500
01,"Petroleum, Oil and Lubricant Charged","1,59,03","1,74,00","1,74,00","1,74,00",2014 00 102 AA 34501
347,Stores and Equipments Charged,,,"5,00",,2014 00 102 AA 34700
01,Stores - Voted Charged,,,"5,00",,2014 00 102 AA 34701
349,Festival Advances Charged,71,,,,2014 00 102 AA 34900
01,Festival Advances-Debit Charged,"49,25","70,10","1,75,05","2,00,00",2014 00 102 AA 34901
02,Festival Advances-Credit Charged,"- 48,54","- 70,10","- 1,75,05","- 2,00,00",2014 00 102 AA 34902
351,Compensation Charged,,1,,,2014 00 102 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,,,2014 00 102 AA 35151
359,Prizes and Awards Charged,84,"1,50",70,70,2014 00 102 AA 35900
01,Prizes and Awards Charged,84,"1,50",70,70,2014 00 102 AA 35901
