head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2014-00,ADMINISTRATION OF JUSTICE,,,,,
800,Other Expenditure,,,,,
#State's Expenditure,,,,,
AJ,Constitution of State Legal Service Authority,,,,,2014 00 800 AJ 30000
301,"Salaries","10,18,50","13,77,60","16,73,68","27,91,01",2014 00 800 AJ 30100
01,"Pay","8,62,63","9,91,72","13,00,00","23,24,49",2014 00 800 AJ 30101
02,Medical Allowance,"9,51","11,71","16,27","18,92",2014 00 800 AJ 30102
03,Medical Charges,"5,22","73,60","73,64","73,64",2014 00 800 AJ 30103
04,Other Allowances,"73,36","48,00","48,18","50,59",2014 00 800 AJ 30104
05,"Interim Relief","6,27",,"1,00,00","1,47,26",2014 00 800 AJ 30105
06,House Rent Allowance,"55,87","96,84","96,84","1,10,86",2014 00 800 AJ 30106
07,"Travel Concession",9,"5,00","5,00","5,25",2014 00 800 AJ 30107
08,City Compensatory Allowance,"5,55","6,73","10,00","10,00",2014 00 800 AJ 30108
09,Honorarium,,"1,44,00","23,75","50,00",2014 00 800 AJ 30109
303,Dearness Allowance,"3,35,64","1,28,92","2,08,00","5,81,12",2014 00 800 AJ 30300
01,Dearness Allowance,"3,35,64","1,28,92","2,08,00","5,81,12",2014 00 800 AJ 30301
304,Travel Expenses,"8,89","30,59","30,59","30,59",2014 00 800 AJ 30400
01,"Tour Travelling Allowances","4,40","10,00","10,00","10,00",2014 00 800 AJ 30401
02,"Transfer Travelling Allowances","4,49","20,59","20,59","20,59",2014 00 800 AJ 30402
305,Office Expenses,"7,83","38,09","41,02","43,99",2014 00 800 AJ 30500
01,"Telephone Charges","3,68","9,90","9,90","10,62",2014 00 800 AJ 30501
02,Other Contingencies,"2,09","2,10","3,00","4,00",2014 00 800 AJ 30502
03,"Electricity Charges","2,06","25,08","25,11","26,36",2014 00 800 AJ 30503
04,Service Postage & Postal Expenditure,,"1,00","3,00","3,00",2014 00 800 AJ 30504
05,Furniture,,1,1,1,2014 00 800 AJ 30505
306,"Rent, Rates and Taxes","19,97","86,41","96,04","1,00,86",2014 00 800 AJ 30600
01,Rent,"19,94","86,40","86,87","91,22",2014 00 800 AJ 30601
02,Property tax,,1,"6,50","6,83",2014 00 800 AJ 30602
03,Water Charges,3,,"2,67","2,81",2014 00 800 AJ 30603
309,Grants-in-Aid,"3,00,00","3,00,00","3,00,00","3,00,00",2014 00 800 AJ 30900
01,Grants for Current Expenditure,"3,00,00","3,00,00","3,00,00","3,00,00",2014 00 800 AJ 30901
314,Sumptuary Allowances,"6,30","17,66","18,80","19,74",2014 00 800 AJ 31400
01,Sumptuary Allowances,"6,30","17,66","18,80","19,74",2014 00 800 AJ 31401
321,Motor Vehicles,,1,1,1,2014 00 800 AJ 32100
01,Purchase,,1,1,1,2014 00 800 AJ 32101
345,"Petroleum, Oil and Lubricant","6,09","20,57","20,57","30,72",2014 00 800 AJ 34500
01,"Petroleum, Oil and Lubricant","6,09","20,57","20,57","30,72",2014 00 800 AJ 34501
349,Festival Advances,- 43,,,,2014 00 800 AJ 34900
01,Festival Advances-Debit,"2,25","10,10","28,60","28,60",2014 00 800 AJ 34901
02,Festival Advances-Credit,"- 2,68","- 10,10","- 28,60","- 28,60",2014 00 800 AJ 34902
AJ,Total AJ,"17,02,79","19,99,85","23,88,71","38,98,04",
AW,Implementation of the Compensation Scheme for Women Victims / Survivors of Sexual Assault / other Crimes,,,,,2014 00 800 AW 30000
351,Compensation,,,"2,00,00",,2014 00 800 AW 35100
02,Other Compensations  - Voted,,,"2,00,00",,2014 00 800 AW 35102
AW,Total AW,,"2,00,00",,
#State's Expenditure Total,"17,02,79","19,99,85","25,88,71","38,98,04",
800,Total 800,"17,02,79","19,99,85","25,88,71","38,98,04",
00,Total 00,"17,02,79","19,99,85","25,88,71","38,98,04",
2014,Total 2014,"17,02,79","19,99,85","25,88,71","38,98,04",
