head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
BB,Buildings - Labour including Factories (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BB 30000
318,Maintenance,"6,82","12,50","12,50","13,00",2059 01 053 BB 31800 
01,Periodical Maintenance,"6,82","12,50","12,50","13,00",2059 01 053 BB 31801
BB,Total BB,"6,82","12,50","12,50","13,00",
#,State's Expenditure Total,"6,82","12,50","12,50","13,00",
053,Total 053,"6,82","12,50","12,50","13,00",
01,Total 01,"6,82","12,50","12,50","13,00",
2059,Total 2059,"6,82","12,50","12,50","13,00",
2230,"LABOUR, EMPLOYMENT AND SKILL DEVELOPMENT",,,,,
01,Labour,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Headquarters Staff - Commissioner of Labour,,,,,2230 01 001 AA 30000
301,Salaries,"5,41,87","5,70,04","5,16,17","5,34,76",2230 01 001 AA 30100
01,Pay,"4,74,03","4,98,40","4,51,51","4,69,59",2230 01 001 AA 30101
02,Medical Allowance,"3,18","3,16","3,08","3,24",2230 01 001 AA 30102
03,Medical Charges,20,70,50,70,2230 01 001 AA 30103
04,Other Allowances,"3,87","4,29","3,56","3,71",2230 01 001 AA 30104
06,House Rent Allowance,"51,08","52,63","47,85","47,85",2230 01 001 AA 30106
07,Travel Concession,34,"1,50","1,50","1,50",2230 01 001 AA 30107
08,City Compensatory Allowance,"9,17","9,36","8,17","8,17",2230 01 001 AA 30108
303,Dearness Allowance,"42,16","64,79","72,25","1,15,05",2230 01 001 AA 30300
01,Dearness Allowance,"42,16","64,79","72,25","1,15,05",2230 01 001 AA 30301
304,Travel Expenses,"4,39","16,30","14,55","16,26",2230 01 001 AA 30400
01,Tour Travelling Allowances,"4,31","16,00","14,42","16,00",2230 01 001 AA 30401
02,Transfer Travelling Allowances,8,30,13,26,2230 01 001 AA 30402
305,Office Expenses,"16,11","20,12","68,23","61,59",2230 01 001 AA 30500
01,Telephone Charges,"2,68","5,38","49,39","46,15",2230 01 001 AA 30501
02,Other Contingencies,"3,99","3,50","3,50","3,50",2230 01 001 AA 30502
03,Electricity Charges,"7,14","8,24","9,53","9,53",2230 01 001 AA 30503
04,Service Postage & Postal Expenditure,"2,30","3,00",60,"2,40",2230 01 001 AA 30504
05,Furniture,,,"5,21",1,2230 01 001 AA 30505
306,"Rent, Rates and Taxes","20,73","21,17","26,27","26,27",2230 01 001 AA 30600
01,Rent,"20,73","21,17","26,27","26,27",2230 01 001 AA 30601
309,Grants-in-Aid,"2,47,61","2,17,21","3,77,99","3,33,18",2230 01 001 AA 30900
01,Grants for Current Expenditure,"2,47,61","2,17,21","3,77,99","3,33,18",2230 01 001 AA 30901
319,Machinery and Equipments,78,"1,51","5,53","1,51",2230 01 001 AA 31900
01,Purchase,,1,"4,03",1,2230 01 001 AA 31901
03,Maintenance,78,"1,50","1,50","1,50",2230 01 001 AA 31903
321,Motor Vehicles,"6,98",21,"13,16",21,2230 01 001 AA 32100
01,Purchase,"6,93",1,"12,96",1,2230 01 001 AA 32101
02,Maintenance of Functional Vehicles,5,20,20,20,2230 01 001 AA 32102
333,Payments for Professional and Special Services,70,2,2,2,2230 01 001 AA 33300
04,Contract Payment,,1,1,1,2230 01 001 AA 33304
09,Other Payments,70,1,1,1,2230 01 001 AA 33309
334,Other Charges,58,70,70,70,2230 01 001 AA 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",58,70,70,70,2230 01 001 AA 33402
345,"Petroleum, Oil and Lubricant","1,32","1,73","1,20","4,60",2230 01 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,32","1,73","1,20","4,60",2230 01 001 AA 34501
349,Festival Advances,-5,,,,2230 01 001 AA 34900
01,Festival Advances-Debit,"2,55","4,90","9,50","9,50",2230 01 001 AA 34901
02,Festival Advances-Credit,"-2,60","-4,90","-9,50","-9,50",2230 01 001 AA 34902
351,Compensation Charged,,1,,,2230 01 001 AA 35100
351,Compensation Voted,"9,24,60",,1,1,2230 01 001 AA 35100
01,Claims under no fault liability -  principal charges Voted,"9,24,60",,1,1,2230 01 001 AA 35101
51,Claims under no fault liability -  principal charges Charged,,1,,,2230 01 001 AA 35151
359,Prizes and Awards,"11,61",16,16,16,2230 01 001 AA 35900
01,Prizes and Awards,"11,61",16,16,16,2230 01 001 AA 35901
364,Lands Charged,,1,1,1,2230 01 001 AA 36400
51,Lands Charged,,1,1,1,2230 01 001 AA 36451
371,Printing Charges,"1,05",,,,2230 01 001 AA 37100
01,Printing Charges,"1,05",,,,2230 01 001 AA 37101
372,Training,,1,1,1,2230 01 001 AA 37200
01,Training,,1,1,1,2230 01 001 AA 37201
373,Transport Charges,,,30,,2230 01 001 AA 37300
01,Transport Charges,,,30,,2230 01 001 AA 37301
376,Computer and Accessories,"4,21","4,26","3,19,07","33,03",2230 01 001 AA 37600
