head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
DG,Buildings - Directorate of Employment and Training (Administered by Chief Engineer - Buildings),,,,,2059 01 053 DG 30000
317,Minor Works,"14,66",,,,2059 01 053 DG 31700
01,Minor Works,"14,66",,,,2059 01 053 DG 31701
318,Maintenance,"57,10","30,01","30,01","31,51",2059 01 053 DG 31800 
01,Periodical Maintenance,"57,10","30,00","30,00","31,50",2059 01 053 DG 31801
02,Special Maintenance,,1,1,1,2059 01 053 DG 31802
DG,Total DG,"71,76","30,01","30,01","31,51",
#,State's Expenditure Total,"71,76","30,01","30,01","31,51",
053,Total 053,"71,76","30,01","30,01","31,51",
01,Total 01,"71,76","30,01","30,01","31,51",
2059,Total 2059,"71,76","30,01","30,01","31,51",
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES",,,,,
01,Welfare of Scheduled Castes,,,,,
277,Education,,,,,
#,State's Expenditure,,,,,
AJ,"Stipend to Scheduled Castes and Scheduled Tribes, Trainees in Industrial Training Institutes",,,,,2225 01 277 AJ 30000
312,Scholarships and Stipends,"2,35,74","2,68,41","2,68,41","2,68,41",2225 01 277 AJ 31200
01,Pre-Matric,"2,35,74","2,68,41","2,68,41","2,68,41",2225 01 277 AJ 31201
AJ,Total AJ,"2,35,74","2,68,41","2,68,41","2,68,41",
JR,Special Industrial Training Institutes for SCs/STs,,,,,2225 01 277 JR 30000
301,Salaries,"50,52","59,46","67,14","69,72",2225 01 277 JR 30100
01,Pay,"47,60","55,78","62,36","64,85",2225 01 277 JR 30101
02,Medical Allowance,29,29,43,46,2225 01 277 JR 30102
04,Other Allowances,10,28,55,55,2225 01 277 JR 30104
06,House Rent Allowance,"2,45","2,89","3,70","3,76",2225 01 277 JR 30106
07,Travel Concession,,12,1,1,2225 01 277 JR 30107
09,Honorarium,8,10,9,9,2225 01 277 JR 30109
303,Dearness Allowance,"4,87","7,25","9,98","15,89",2225 01 277 JR 30300
01,Dearness Allowance,"4,87","7,25","9,98","15,89",2225 01 277 JR 30301
304,Travel Expenses,15,23,51,46,2225 01 277 JR 30400
01,Tour Travelling Allowances,15,21,45,45,2225 01 277 JR 30401
02,Transfer Travelling Allowance,,2,6,1,2225 01 277 JR 30402
305,Office Expenses,"1,39","1,75","1,85","1,85",2225 01 277 JR 30500 
02,Other Contingencies,35,35,35,35,2225 01 277 JR 30502
03,Electricity Charges,94,"1,30","1,40","1,40",2225 01 277 JR 30503
04,Service Postage & Postal Expenditure,10,10,10,10,2225 01 277 JR 30504
312,Scholarships and Stipends,"11,22","15,60","15,60","15,60",2225 01 277 JR 31200
01,Pre-Matric,"11,22","15,60","15,60","15,60",2225 01 277 JR 31201
319,Machinery and Equipments,,3,3,3,2225 01 277 JR 31900
03,Maintenance,,3,3,3,2225 01 277 JR 31903
324,Materials and Supplies,"1,83","2,04","2,13","2,04",2225 01 277 JR 32400
01,Materials and Supplies,"1,83","2,04","2,13","2,04",2225 01 277 JR 32401
333,Payments for Professional and Special Services,"3,49","4,56","3,75","3,75",2225 01 277 JR 33300
04,Contract Payment,"3,49","4,56","3,75","3,75",2225 01 277 JR 33304
345,"Petroleum, Oil and Lubricant",17,45,25,25,2225 01 277 JR 34500
01,"Petroleum, Oil and Lubricant",17,45,25,25,2225 01 277 JR 34501
349,Festival Advances,-8,,,,2225 01 277 JR 34900
01,Festival Advances-Debit,10,35,"1,00","1,00",2225 01 277 JR 34901
02,Festival Advances-Credit,-18,-35,"-1,00","-1,00",2225 01 277 JR 34902
359,Prizes and Awards,,1,5,5,2225 01 277 JR 35900
01,Prizes and Awards,,1,5,5,2225 01 277 JR 35901
366,Medicine,2,2,2,2,2225 01 277 JR 36600
01,Medicine,2,2,2,2,2225 01 277 JR 36601
368,"Cost of Books/Note Books/Slates, etc.",1,1,1,1,2225 01 277 JR 36800
01,"Cost of Books/Note Books/Slates, etc.",1,1,1,1,2225 01 277 JR 36801
372,Training,16,1,1,1,2225 01 277 JR 37200
01,Training,16,1,1,1,2225 01 277 JR 37201
376,Computer and Accessories,18,19,19,19,2225 01 277 JR 37600
02,Maintenance,13,14,14,14,2225 01 277 JR 37602
03,Stationery,5,5,5,5,2225 01 277 JR 37603
JR,Total JR,"73,93","91,61","1,01,52","1,09,87",
#,State's Expenditure Total,"3,09,67","3,60,02","3,69,93","3,78,28",
277,Total 277,"3,09,67","3,60,02","3,69,93","3,78,28",
800,Other Expenditure,,,,,
#,State's Expenditure,,,,, 
LS,Setting up of Coaching - cum - Guidance Centre under Special Component Plan for Scheduled Castes,,,,,2225 01 800 LS 30000
301,Salaries,"80,25","80,83","63,94","66,30",2225 01 800 LS 30100
01,Pay,"74,84","75,15","59,05","61,40",2225 01 800 LS 30101
02,Medical Allowance,52,50,54,54,2225 01 800 LS 30102
