head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
DU,Buildings - Directorate of Industrial Safety and Health (Administered by Chief Engineer - Buildings),,,,,2059 01 053 DU 30000
318,Maintenance,,,,"10,73",2059 01 053 DU 31800
01,Periodical Maintenance,,,,"10,73",2059 01 053 DU 31801
DU,Total DU,,,,"10,73",
#,State's Expenditure Total,,,,"10,73",
053,Total 053,,,,"10,73",
01,Total 01,,,,"10,73",
2059,Total 2059,,,,"10,73",
2230,"LABOUR, EMPLOYMENT AND SKILL DEVELOPMENT",,,,,
01,Labour,,,,,
102,Working conditions and Safety,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Industrial Safety and Health,,,,,2230 01 102 AA 30000
301,Salaries,"2,57,05","2,61,97","2,77,45","2,87,72",2230 01 102 AA 30100
01,Pay,"2,25,23","2,27,79","2,41,79","2,51,46",2230 01 102 AA 30101
02,Medical Allowance,"1,18","3,20","2,60","3,20",2230 01 102 AA 30102
03,Medical Charges,75,97,80,80,2230 01 102 AA 30103
04,Other Allowances,"1,93","2,64","2,24","2,24",2230 01 102 AA 30104
06,House Rent Allowance,"23,65","23,01","25,52","25,52",2230 01 102 AA 30106
08,City Compensatory Allowance,"4,31","4,36","4,50","4,50",2230 01 102 AA 30108
302,Wages,,1,50,"1,00",2230 01 102 AA 30200
01,Wages,,1,50,"1,00",2230 01 102 AA 30201
303,Dearness Allowance,"31,99","30,46","41,33","61,61",2230 01 102 AA 30300
01,Dearness Allowance,"31,99","30,46","41,33","61,61",2230 01 102 AA 30301
304,Travel Expenses,"1,59","4,00","3,00","3,00",2230 01 102 AA 30400
01,Tour Travelling Allowances,"1,59","4,00","3,00","3,00",2230 01 102 AA 30401
305,Office Expenses,"18,34","21,00","20,00","21,00",2230 01 102 AA 30500
01,Telephone Charges,56,"1,00","1,00","1,00",2230 01 102 AA 30501
02,Other Contingencies,"3,46","4,00","4,00","4,00",2230 01 102 AA 30502
03,Electricity Charges,"13,32","15,00","14,00","15,00",2230 01 102 AA 30503
04,Service Postage & Postal Expenditure,"1,00","1,00","1,00","1,00",2230 01 102 AA 30504
306,"Rent, Rates and Taxes","11,10",1,1,1,2230 01 102 AA 30600
01,Rent,"11,10",1,1,1,2230 01 102 AA 30601
308,Advertising and Publicity,"1,75",2,2,"1,36",2230 01 102 AA 30800
01,Advertisement Charges,11,1,1,1,2230 01 102 AA 30801
02,Exhibition,"1,64",1,1,"1,35",2230 01 102 AA 30802
309,Grants-in-Aid,,1,1,1,2230 01 102 AA 30900
01,Grants for Current Expenditure,,1,1,1,2230 01 102 AA 30901
319,Machinery and Equipments,,1,"13,98","2,17",2230 01 102 AA 31900
01,Purchase,,1,"11,82",1,2230 01 102 AA 31901
03,Maintenance,,,"2,16","2,16",2230 01 102 AA 31903
321,Motor Vehicles,,10,10,10,2230 01 102 AA 32100
02,Maintenance of Functional Vehicles,,10,10,10,2230 01 102 AA 32102
333,Payments for Professional and Special Services,"3,26","3,50","7,80","8,00",2230 01 102 AA 33300
04,Contract Payment,"3,26","3,50","7,80","8,00",2230 01 102 AA 33304
345,"Petroleum, Oil and Lubricant","1,57","3,10","3,10","3,30",2230 01 102 AA 34500
01,"Petroleum, Oil and Lubricant","1,57","3,10","3,10","3,30",2230 01 102 AA 34501
349,Festival Advances,3,,,,2230 01 102 AA 34900
01,Festival Advances-Debit,"1,40","1,75","3,00","3,50",2230 01 102 AA 34901
02,Festival Advances-Credit,"- 1,37","- 1,75","- 3,00","- 3,50",2230 01 102 AA 34902
359,Prizes and Awards,"6,41","9,76","9,21","9,21",2230 01 102 AA 35900
01,Prizes and Awards,"6,41","9,76","9,21","9,21",2230 01 102 AA 35901
376,Computer and Accessories,"3,45","3,50","3,50","3,50",2230 01 102 AA 37600
02,Maintenance,"2,45","2,50","2,50","2,50",2230 01 102 AA 37602
03,Stationery,"1,00","1,00","1,00","1,00",2230 01 102 AA 37603
AA,Total AA,"3,36,54","3,37,45","3,80,01","4,01,99",
AB,Inspector of Industrial Safety and Health,,,,,2230 01 102 AB 30000
301,Salaries,"18,50,13","19,80,94","19,57,81","20,29,96",2230 01 102 AB 30100
01,Pay,"16,84,98","17,77,67","17,77,67","18,48,78",2230 01 102 AB 30101
02,Medical Allowance,"12,35","12,34","11,86","12,90",2230 01 102 AB 30102
03,Medical Charges,58,85,65,65,2230 01 102 AB 30103
04,Other Allowances,"24,21","35,68","29,55","29,55",2230 01 102 AB 30104
06,House Rent Allowance,"1,13,04","1,36,11","1,19,93","1,19,93",2230 01 102 AB 30106
07,Travel Concession,12,99,99,99,2230 01 102 AB 30107
08,City Compensatory Allowance,"14,85","17,30","17,16","17,16",2230 01 102 AB 30108
302,Wages,"3,52","3,74","4,90","4,40",2230 01 102 AB 30200
01,Wages,"3,52","3,74","4,90","4,40",2230 01 102 AB 30201
