head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2215,WATER SUPPLY AND SANITATION,,,,,
01,Water Supply,,,,,
191,Assistance to Municipal Corporations,,,,,
#,State's Expenditure,,,,,
AI,Grants in Aid towards amount due by Municipalities for repayment of Consolidated Loans,,,,,2215 01 191 AI 30000
309,Grants-in-Aid,,1,1,1,2215 01 191 AI 30900
04,Grants for Debt Servicing,,1,1,1,2215 01 191 AI 30904
AI,Total AI,1,1,1,,
AJ,Special Grant to Idappady Municipality,,,,,2215 01 191 AJ 30000
309,Grants-in-Aid,,,"9,29,00",1,2215 01 191 AJ 30900
01,Grants for Current Expenditure,,,"9,29,00",1,2215 01 191 AJ 30901
AJ,Total AJ,,"9,29,00",1,,
JZ,Assistance to Corporations for the Water Supply Charges.,,,,,2215 01 191 JZ 30000
309,Grants-in-Aid,"26,38,12","27,10,13","28,16,98","27,10,13",2215 01 191 JZ 30900
03,Grants for Specific Schemes,"26,38,12","27,10,13","28,16,98","27,10,13",2215 01 191 JZ 30903
JZ,Total JZ,"26,38,12","27,10,13","28,16,98","27,10,13",
#,State's Expenditure Total,"26,38,12","27,10,14","37,45,99","27,10,15",
191,Total 191,"26,38,12","27,10,14","37,45,99","27,10,15",
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
JE,Grants to TNUDF for assisting Vellore Water Supply Scheme,,,,,2215 01 800 JE 30000
309,Grants-in-Aid,"42,19,06","77,75,37","77,75,37","93,65,91",2215 01 800 JE 30900
03,Grants for Specific Schemes,"42,19,06","77,75,37","77,75,37","93,65,91",2215 01 800 JE 30903
JE,Total JE,"42,19,06","77,75,37","77,75,37","93,65,91",
#,State's Expenditure Total,"42,19,06","77,75,37","77,75,37","93,65,91",
800,Total 800,"42,19,06","77,75,37","77,75,37","93,65,91",
01,Total 01,"68,57,18","1,04,85,51","1,15,21,36","1,20,76,06",
2215,Total 2215,"68,57,18","1,04,85,51","1,15,21,36","1,20,76,06",
2217,URBAN DEVELOPMENT,,,,,
01,State Capital Development,,,,,
191,Assistance to Municipal Corporations,,,,,
#,Externally Aided Projects Externally Aided Project,,,,,
PD,Capital Grant to TNUDF for implementing underground drainage project under National River conservation Project,,,,,2217 01 191 PD 30000
309,Grants-in-Aid,"5,44,39","5,43,24","5,43,24","73,99",2217 01 191 PD 30900
02,Grants for Creation of Capital Assets,"5,44,39","5,43,24","5,43,24","73,99",2217 01 191 PD 30902
PD,Total PD,"5,44,39","5,43,24","5,43,24","73,99",
#,Externally Aided Projects Total,"5,44,39","5,43,24","5,43,24","73,99",
191,Total 191,"5,44,39","5,43,24","5,43,24","73,99",
01,Total 01,"5,44,39","5,43,24","5,43,24","73,99",
04,Slum Area Improvement,,,,,
192,Assistance to Municipal Councils,,,,,
#,Schemes shared between State and Centre,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Integrated Housing and Slum Development Programme (IHSDP),,,,,2217 04 192 UA 30000
309,Grants-in-Aid,,1,,,2217 04 192 UA 30900
02,Grants for Creation of Capital Assets,,1,,,2217 04 192 UA 30902
UA,Total UA,1,,,,
UB,Jawaharlal Nehru National Urban Renewal Mission (JnNURM) - Basic Services to Urban Poor - Controlled by Administration,,,,,2217 04 192 UB 30000
309,Grants-in-Aid,,1,,,2217 04 192 UB 30900
02,Grants for Creation of Capital Assets,,1,,,2217 04 192 UB 30902
UB,Total UB,1,,,,
#,Schemes shared between State and Centre Total,,2,,,
192,Total 192,2,,,,
793,Special Central Assistance for Scheduled Caste Component Plan,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Integrated Housing and Slum Development Programme (IH & SDP) under Special Component Plan,,,,,2217 04 793 UA 30000
309,Grants-in-Aid,,1,,,2217 04 793 UA 30900
02,Grants for Creation of Capital Assets,,1,,,2217 04 793 UA 30902
UA,Total UA,1,,,,
UB,Jawaharlal Nehru National Urban Renewal Mission (JNNURM) Basic Services to Urban Poor Under Special Component Plan controlled by CMA,,,,,2217 04 793 UB 30000
309,Grants-in-Aid,,1,,,2217 04 793 UB 30900
02,Grants for Creation of Capital Assets,,1,,,2217 04 793 UB 30902
UB,Total UB,1,,,,
#,Schemes shared between State and Centre Total,,2,,,
793,Total 793,2,,,,
902,Deduct - Amount met from Reserve Fund,,,,,
#,State's Expenditure,,,,,
JB,Deduct - Amount met from State Infrastructure and Amenities Fund - Additional State Matching Share under JNNURM-BSUP Scheme,,,,,2217 04 902 JB 30000
330,Inter-Account Transfers,,-1,,,2217 04 902 JB 33000
01,Inter-Account Transfers,,-1,,,2217 04 902 JB 33001
JB,Total JB,,-1,,,
#,State's Expenditure Total,,-1,,,
902,Total 902,,-1,,,
04,Total 04,,3,,,
05,Other Urban Development Schemes,,,,,
191,Assistance to Municipal Corporations,,,,,
#,State's Expenditure,,,,,
KC,Grants to Villupuram Municipality for Centenary Celebration.,,,,,2217 05 191 KC 30000
309,Grants-in-Aid,,,"49,54,13",1,2217 05 191 KC 30900
02,Grants for Creation of Capital Assets,,,"49,54,13",1,2217 05 191 KC 30902
KC,Total KC,,,"49,54,13",1,
#,State's Expenditure Total,,,"49,54,13",1,
#,Externally Aided Projects,,,,,
PD,Contribution to grant fund from out of dividend from TNUDF,,,,,2217 05 191 PD 30000
310,Contributions,,1,1,1,2217 05 191 PD 31000
01,Contribution to Specific Fund,,1,1,1,2217 05 191 PD 31001
PD,Total PD,1,1,1,,
#,Externally Aided Projects Total,,1,1,1,
191,Total 191,,1,"49,54,14",2,
789,Special Component Plan for Scheduled Castes,,,,,
#,State's Expenditure,,,,,
JC,Tamil Nadu Urban Livelihood  Mission in Corporations / Municipalities,,,,,2217 05 789 JC 30000
309,Grants-in-Aid,,"6,75,00",1,"1,80,00",2217 05 789 JC 30900
03,Grants for Specific Schemes,,"6,75,00",1,"1,80,00",2217 05 789 JC 30903
JC,Total JC,"6,75,00",1,"1,80,00",,
#,State's Expenditure Total,,"6,75,00",1,"1,80,00",
789,Total 789,"6,75,00",1,"1,80,00",,
793,Special Central Assistance for Scheduled Caste Component Plan,,,,,
#,Schemes shared between State and Centre,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Implementation of Swacch Bharat Mission in Corporations / Municipalities,,,,,2217 05 793 UA 30000
309,Grants-in-Aid,"52,49,99","1,99,85,07","1,99,85,07","1,26,00,00",2217 05 793 UA 30900
03,Grants for Specific Schemes,"52,49,99","1,99,85,07","1,99,85,07","1,26,00,00",2217 05 793 UA 30903
UA,Total UA,"52,49,99","1,99,85,07","1,99,85,07","1,26,00,00",
#,Schemes shared between State and Centre Total,"52,49,99","1,99,85,07","1,99,85,07","1,26,00,00",
793,Total 793,"52,49,99","1,99,85,07","1,99,85,07","1,26,00,00",
794,Special Central Assistance for Tribal Sub-Plan,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Implementation of Swacch Bharat Mission in Corporations / Municipalities,,,,,2217 05 794 UA 30000
309,Grants-in-Aid,"22,50,00","85,65,03","85,65,03","54,00,00",2217 05 794 UA 30900
03,Grants for Specific Schemes,"22,50,00","85,65,03","85,65,03","54,00,00",2217 05 794 UA 30903
UA,Total UA,"22,50,00","85,65,03","85,65,03","54,00,00",
#,Schemes shared between State and Centre Total,"22,50,00","85,65,03","85,65,03","54,00,00",
794,Total 794,"22,50,00","85,65,03","85,65,03","54,00,00",
796,Tribal Area Sub-Plan,,,,,
#,State's Expenditure,,,,,
