head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2217,URBAN DEVELOPMENT,,,,,
05,Other Urban Development Schemes,,,,,
789,Special Component Plan for Scheduled Castes,,,,,
#,State's Expenditure,,,,,
JD,Tamil Nadu Urban Livelihood  Mission in Town Panchayats,,,,,2217 05 789 JD 30000
309,Grants-in-Aid,,"4,50,00",1,1,2217 05 789 JD 30900
03,Grants for Specific Schemes,,"4,50,00",1,1,2217 05 789 JD 30903
JD,Total JD,,"4,50,00",1,1,
#,State's Expenditure Total,,"4,50,00",1,1,
789,Total 789,,"4,50,00",1,1,
793,Special Central Assistance for Scheduled Caste Component Plan,,,,,
#,Schemes shared between State and Centre,,,,,
#,Schemes shared between State and Centre,,,,,
UB,Implementation of Swacch Bharat Mission in Town Panchayats,,,,,2217 05 793 UB 30000
309,Grants-in-Aid,"10,51,86","42,00,00","21,00,00","42,00,00",2217 05 793 UB 30900 
03,Grants for Specific Schemes,"10,51,86","42,00,00","21,00,00","42,00,00",2217 05 793 UB 30903
UB,Total UB,"10,51,86","42,00,00","21,00,00","42,00,00",
#,Schemes shared between State and Centre Total,"10,51,86","42,00,00","21,00,00","42,00,00",
793,Total 793,"10,51,86","42,00,00","21,00,00","42,00,00",
794,Special Central Assistance for Tribal Sub-Plan,,,,,
#,Schemes shared between State and Centre,,,,,
UB,Implementation of Swacch Bharat Mission in Town Panchayats,,,,,2217 05 794 UB 30000
309,Grants-in-Aid,"4,50,81","18,00,00","9,00,00","18,00,00",2217 05 794 UB 30900
03,Grants for Specific Schemes,"4,50,81","18,00,00","9,00,00","18,00,00",2217 05 794 UB 30903
UB,Total UB,"4,50,81","18,00,00","9,00,00","18,00,00",
#,Schemes shared between State and Centre Total,"4,50,81","18,00,00","9,00,00","18,00,00",
794,Total 794,"4,50,81","18,00,00","9,00,00","18,00,00",
796,Tribal Area Sub-Plan,,,,,
#,State's Expenditure,,,,,
JD,Tamil Nadu Urban Livelihood  Mission in Town Panchayats,,,,,2217 05 796 JD 30000
309,Grants-in-Aid,,"86,00",1,1,2217 05 796 JD 30900
03,Grants for Specific Schemes,,"86,00",1,1,2217 05 796 JD 30903
JD,Total JD,"86,00",1,1,,
#,State's Expenditure Total,,"86,00",1,1,
796,Total 796,"86,00",1,1,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
JU,Tamil Nadu Urban Livelihood  Mission in Town Panchayats,,,,,2217 05 800 JU 30000
309,Grants-in-Aid,,"14,64,00",1,1,2217 05 800 JU 30900
03,Grants for Specific Schemes,,"14,64,00",1,1,2217 05 800 JU 30903
JU,Total JU,"14,64,00",1,1,,
KE,Schemes implemented in Town Panchayats under Infrastructure and Amenities Fund,,,,,2217 05 800 KE 30000
