head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2062-00,VIGILANCE,,,,,
105,Other Vigilance Agencies,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Vigilance and Anti-Corruption,,,,,2062 00 105 AA 30000
301,Salaries,"45,32,03","46,31,42","47,32,93","49,13,80",2062 00 105 AA 30100
01,Pay,"40,75,12","41,80,48","42,50,98","44,21,02",2062 00 105 AA 30101
02,Medical Allowance,"22,72","22,42","23,35","22,76",2062 00 105 AA 30102
03,Medical Charges,"1,05","1,50","1,50","1,50",2062 00 105 AA 30103
04,Other Allowances,"1,22,44","1,07,86","1,24,89","1,24,89",2062 00 105 AA 30104
06,House Rent Allowance,"2,69,29","2,75,91","2,85,58","2,97,00",2062 00 105 AA 30106
07,Travel Concession,"1,34","3,77","3,77","3,77",2062 00 105 AA 30107
08,City Compensatory Allowance,"40,07","39,48","42,86","42,86",2062 00 105 AA 30108
302,Wages,"1,23","1,20","1,45","1,45",2062 00 105 AA 30200
01,Wages,"1,23","1,20","1,45","1,45",2062 00 105 AA 30201
303,Dearness Allowance,"3,42,52","5,43,46","6,80,16","10,83,15",2062 00 105 AA 30300
01,Dearness Allowance,"3,42,52","5,43,46","6,80,16","10,83,15",2062 00 105 AA 30301
304,Travel Expenses,"2,55,00","2,50,20","2,50,98","2,50,20",2062 00 105 AA 30400
01,Tour Travelling Allowances,"2,54,84","2,50,00","2,50,00","2,50,00",2062 00 105 AA 30401
02,Transfer Travelling Allowances,16,20,98,20,2062 00 105 AA 30402
305,Office Expenses,"90,36","91,59","95,09","95,09",2062 00 105 AA 30500
01,Telephone Charges,"18,75","22,00","22,00","22,00",2062 00 105 AA 30501
02,Other Contingencies,"7,00","7,00","7,00","7,00",2062 00 105 AA 30502
03,Electricity Charges,"49,27","56,58","56,58","56,58",2062 00 105 AA 30503
04,Service Postage & Postal Expenditure,"3,86","4,50","4,50","4,50",2062 00 105 AA 30504
05,Furniture,"9,98",1,1,1,2062 00 105 AA 30505
06,Investigation Charges,"1,50","1,50","5,00","5,00",2062 00 105 AA 30506
306,"Rent, Rates and Taxes","43,97","66,03","68,81","68,81",2062 00 105 AA 30600
01,Rent,"41,51","63,28","16,45","16,45",2062 00 105 AA 30601
02,Property tax,,,"49,61","49,61",2062 00 105 AA 30602
03,Water Charges,"2,46","2,75","2,75","2,75",2062 00 105 AA 30603
308,Advertising and Publicity,"5,08","5,08","5,08","5,08",2062 00 105 AA 30800
02,Exhibition,"5,08","5,08","5,08","5,08",2062 00 105 AA 30802
309,Grants-in-Aid,,2,2,2,2062 00 105 AA 30900
03,Grants for Specific Schemes,,2,2,2,2062 00 105 AA 30903
311,Subsidies,,1,1,1,2062 00 105 AA 31100
09,Others,,1,1,1,2062 00 105 AA 31109
315,Secret Service Expenditure,"1,09,91","1,10,00","1,11,00","1,11,00",2062 00 105 AA 31500
01,Secret Service Expenditure,"1,09,91","1,10,00","1,11,00","1,11,00",2062 00 105 AA 31501
317,Minor Works,,1,1,1,2062 00 105 AA 31700
01,Minor Works,,1,1,1,2062 00 105 AA 31701
318,Maintenance,"11,51","17,15","22,86","22,86",2062 00 105 AA 31800
01,Periodical Maintenance,"4,98","4,99","4,99","4,99",2062 00 105 AA 31801
04,Wages,"6,53","12,16","17,87","17,87",2062 00 105 AA 31804
319,Machinery and Equipments,"32,52","11,01","64,98","15,01",2062 00 105 AA 31900
01,Purchase,"21,49",1,"53,98",1,2062 00 105 AA 31901
03,Maintenance,"11,03","11,00","11,00","15,00",2062 00 105 AA 31903
321,Motor Vehicles,"94,55","5,05","5,05","5,05",2062 00 105 AA 32100
01,Purchase,"89,51",1,1,1,2062 00 105 AA 32101
02,Maintenance of Functional Vehicles,"5,04","5,04","5,04","5,04",2062 00 105 AA 32102
324,Materials and Supplies,,1,1,1,2062 00 105 AA 32400
01,Materials and Supplies,,1,1,1,2062 00 105 AA 32401
330,Inter-Account Transfers,,1,,,2062 00 105 AA 33000
01,Inter-Account Transfers,,1,,,2062 00 105 AA 33001
333,Payments for Professional and Special Services,"16,24","16,05","45,40","21,06",2062 00 105 AA 33300
01,Pleaders Fees,"16,24","16,04","42,24","20,00",2062 00 105 AA 33301
04,Contract Payment,,,"3,15","1,05",2062 00 105 AA 33304
09,Other Payments,,1,1,1,2062 00 105 AA 33309
334,Other Charges,"4,65","3,01","4,00","4,00",2062 00 105 AA 33400 
01,Other Items,"2,46","3,00","3,00","3,00",2062 00 105 AA 33401
02,"Purchase  of  Books & Periodicals to Libraries etc.,","2,19",1,"1,00","1,00",2062 00 105 AA 33402
339,Rewards,"4,58","3,40","4,85","4,85",2062 00 105 AA 33900 
01,Rewards,"4,58","3,40","4,85","4,85",2062 00 105 AA 33901
345,"Petroleum, Oil and Lubricant","88,32","80,22","1,30,00","1,30,00",2062 00 105 AA 34500
01,"Petroleum, Oil and Lubricant","88,32","80,22","1,30,00","1,30,00",2062 00 105 AA 34501
349,Festival Advances,"1,81",,,,2062 00 105 AA 34900
01,Festival Advances-Debit,"20,55","27,85","64,30","64,30",2062 00 105 AA 34901
02,Festival Advances-Credit,"-18,74","-27,85","-64,30","-64,30",2062 00 105 AA 34902
351,Compensation Charged,,1,1,1,2062 00 105 AA 35100
52,Other Compensations Charged,,1,1,1,2062 00 105 AA 35152
359,Prizes and Awards,76,10,10,10,2062 00 105 AA 35900
01,Prizes and Awards,76,10,10,10,2062 00 105 AA 35901
364,Lands,,2,2,2,2062 00 105 AA 36400
01,Lands - Voted,,2,2,2,2062 00 105 AA 36401
