head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2052-00,SECRETARIAT - GENERAL SERVICES,,,,,
092,Other Offices,,,,,
#,State's Expenditure,,,,,
AD,"Tribunal for Disciplinary Proceedings, Chennai",,,,,2052 00 092 AD 30000
301,Salaries,"72,46","74,70","91,14","95,24",2052 00 092 AD 30100
01,Pay,"60,07","61,70","75,19","78,20",2052 00 092 AD 30101
02,Medical Allowance,58,54,26,33,2052 00 092 AD 30102
03,Medical Charges,,20,20,10,2052 00 092 AD 30103
04,Other Allowances,"1,37","1,50","2,05","2,05",2052 00 092 AD 30104
06,House Rent Allowance,"9,17","9,34","11,86","12,33",2052 00 092 AD 30106
07,Travel Concession,28,40,40,"1,00",2052 00 092 AD 30107
08,City Compensatory Allowance,99,"1,02","1,18","1,23",2052 00 092 AD 30108
302,Wages,38,95,94,95,2052 00 092 AD 30200
01,Wages,38,95,94,95,2052 00 092 AD 30201
303,Dearness Allowance,"5,24","8,02","12,03","19,16",2052 00 092 AD 30300
01,Dearness Allowance,"5,24","8,02","12,03","19,16",2052 00 092 AD 30301
304,Travel Expenses,12,"1,02",51,76,2052 00 092 AD 30400
01,Tour Travelling Allowances,12,"1,00",50,75,2052 00 092 AD 30401
02,Transfer Travelling Allowances,,2,1,1,2052 00 092 AD 30402
305,Office Expenses,"1,49","2,97","2,56","2,97",2052 00 092 AD 30500
01,Telephone Charges,49,84,84,84,2052 00 092 AD 30501
02,Other Contingencies,33,77,77,77,2052 00 092 AD 30502
03,Electricity Charges,67,"1,20",79,"1,20",2052 00 092 AD 30503
04,Service Postage & Postal Expenditure,,15,15,15,2052 00 092 AD 30504
05,Furniture,,1,1,1,2052 00 092 AD 30505
306,"Rent, Rates and Taxes","20,05","14,73","22,86","20,81",2052 00 092 AD 30600
01,Rent,"19,78","14,19","22,30","20,27",2052 00 092 AD 30601 
03,Water Charges,27,54,56,54,2052 00 092 AD 30603
319,Machinery and Equipments,,2,86,2,2052 00 092 AD 31900
01,Purchase,,2,86,2,2052 00 092 AD 31901
321,Motor Vehicles,,4,4,4,2052 00 092 AD 32100
02,Maintenance of Functional Vehicles,,4,4,4,2052 00 092 AD 32102
333,Payments for Professional and Special Services,,3,3,3,2052 00 092 AD 33300
01,Pleaders Fees,,2,2,2,2052 00 092 AD 33301
02,Remuneration,,1,1,1,2052 00 092 AD 33302
334,Other Charges,,2,2,2,2052 00 092 AD 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",,2,2,2,2052 00 092 AD 33402
345,"Petroleum, Oil and Lubricant",68,"1,61","1,47","1,57",2052 00 092 AD 34500
01,"Petroleum, Oil and Lubricant",68,"1,61","1,47","1,57",2052 00 092 AD 34501
349,Festival Advances,-6,,,,2052 00 092 AD 34900
01,Festival Advances-Debit,35,50,90,90,2052 00 092 AD 34901
02,Festival Advances-Credit,-41,-50,-90,-90,2052 00 092 AD 34902
359,Prizes and Awards,,2,2,2,2052 00 092 AD 35900
01,Prizes and Awards,,2,2,2,2052 00 092 AD 35901
368,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2052 00 092 AD 36800
01,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2052 00 092 AD 36801
372,Training,,1,1,1,2052 00 092 AD 37200
01,Training,,1,1,1,2052 00 092 AD 37201
376,Computer and Accessories,,48,"2,08",48,2052 00 092 AD 37600
01,Purchase,,1,"1,61",1,2052 00 092 AD 37601
02,Maintenance,,22,22,22,2052 00 092 AD 37602
03,Stationery,,25,25,25,2052 00 092 AD 37603
AD,Total AD,"1,00,36","1,04,64","1,34,59","1,42,10",
AL,"Tribunal for Disciplinary Proceedings, Coimbatore",,,,,2052 00 092 AL 30000
301,Salaries,"64,13","37,19","52,64","54,22",2052 00 092 AL 30100
01,Pay,"58,38","32,15","45,86","47,69",2052 00 092 AL 30101
02,Medical Allowance,35,45,35,35,2052 00 092 AL 30102
03,Medical Charges,,2,2,2,2052 00 092 AL 30103
04,Other Allowances,34,52,42,42,2052 00 092 AL 30104
06,House Rent Allowance,"4,60","3,37","4,97","4,97",2052 00 092 AL 30106
07,Travel Concession,,14,50,25,2052 00 092 AL 30107
08,City Compensatory Allowance,46,54,52,52,2052 00 092 AL 30108
303,Dearness Allowance,"5,34","4,18","7,34","11,68",2052 00 092 AL 30300
01,Dearness Allowance,"5,34","4,18","7,34","11,68",2052 00 092 AL 30301
304,Travel Expenses,"2,22","3,02","3,02","3,02",2052 00 092 AL 30400
01,Tour Travelling Allowances,"2,22","3,00","3,00","3,00",2052 00 092 AL 30401
02,Transfer Travelling Allowance,,2,2,2,2052 00 092 AL 30402
305,Office Expenses,"1,47","1,62","1,73","1,84",2052 00 092 AL 30500 
01,Telephone Charges,15,24,18,24,2052 00 092 AL 30501
02,Other Contingencies,82,83,"1,00","1,00",2052 00 092 AL 30502
03,Electricity Charges,25,35,35,40,2052 00 092 AL 30503
