head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2075-00,MISCELLANEOUS GENERAL SERVICES,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
GZ,Tamil Nadu State Information Commission,,,,,2075 00 800 GZ 30000
301,Salaries,"6,11,83","6,07,09","6,19,01","6,35,60",2075 00 800 GZ 30100
01,Pay,"5,17,63","5,07,29","5,12,69","5,33,20",2075 00 800 GZ 30101
02,Medical Allowance,"1,45","1,37","1,73","1,77",2075 00 800 GZ 30102
03,Medical Charges,"2,10","3,86","3,00","3,00",2075 00 800 GZ 30103
04,Other Allowances,"2,04","4,19","10,13","6,17",2075 00 800 GZ 30104
06,House Rent Allowance,"80,97","80,44","81,05","81,05",2075 00 800 GZ 30106
07,Travel Concession,30,"2,58","2,58","2,58",2075 00 800 GZ 30107
08,City Compensatory Allowance,"7,34","7,36","7,83","7,83",2075 00 800 GZ 30108
302,Wages,"14,38",,,,2075 00 800 GZ 30200
01,Wages,"14,38",,,,2075 00 800 GZ 30201
303,Dearness Allowance,"77,18","78,80","82,03","1,30,63",2075 00 800 GZ 30300
01,Dearness Allowance,"77,18","78,80","82,03","1,30,63",2075 00 800 GZ 30301
304,Travel Expenses,"2,93","5,00","3,00","3,00",2075 00 800 GZ 30400
01,Tour Travelling Allowances,"2,93","5,00","3,00","3,00",2075 00 800 GZ 30401
305,Office Expenses,"30,09","35,82","61,76","36,82",2075 00 800 GZ 30500
01,Telephone Charges,"6,76","7,00","8,00","8,00",2075 00 800 GZ 30501
02,Other Contingencies,"5,80","6,25","12,00","6,25",2075 00 800 GZ 30502
03,Electricity Charges,"9,63","14,56","14,56","14,56",2075 00 800 GZ 30503
04,Service Postage & Postal Expenditure,"7,90","8,00","8,00","8,00",2075 00 800 GZ 30504
05,Furniture,,1,"19,20",1,2075 00 800 GZ 30505
306,"Rent, Rates and Taxes","1,08,66","1,18,54","1,34,50","1,24,56",2075 00 800 GZ 30600
01,Rent,"1,08,66","1,18,54","1,34,50","1,24,56",2075 00 800 GZ 30601
308,Advertising and Publicity,,1,77,1,2075 00 800 GZ 30800
01,Advertisement Charges,,1,77,1,2075 00 800 GZ 30801
313,Hospitality / Entertainment Expenditure,"1,31","1,35","1,35","1,35",2075 00 800 GZ 31300
01,Hospitality / Entertainment Expenditure,"1,31","1,35","1,35","1,35",2075 00 800 GZ 31301
316,Major Works,,,"2,77,90","25,01,10",2075 00 800 GZ 31600
01,Major Works,,,"2,77,90","25,01,10",2075 00 800 GZ 31601
317,Minor Works,,1,1,1,2075 00 800 GZ 31700
01,Minor Works,,1,1,1,2075 00 800 GZ 31701
318,Maintenance,14,50,50,50,2075 00 800 GZ 31800
01,Periodical Maintenance,14,50,50,50,2075 00 800 GZ 31801
319,Machinery and Equipments,"1,80","1,82","1,82","1,82",2075 00 800 GZ 31900
01,Purchase,,1,1,1,2075 00 800 GZ 31901
03,Maintenance,"1,80","1,81","1,81","1,81",2075 00 800 GZ 31903
321,Motor Vehicles,"27,28","1,81","1,81","1,81",2075 00 800 GZ 32100
01,Purchase,"26,20",1,1,1,2075 00 800 GZ 32101
02,Maintenance of Functional Vehicles,"1,08","1,80","1,80","1,80",2075 00 800 GZ 32102
333,Payments for Professional and Special Services,"59,30","51,65","51,65","51,65",2075 00 800 GZ 33300
01,Pleaders Fees,"2,35","3,79","3,79","3,79",2075 00 800 GZ 33301
04,Contract Payment,"56,95","47,86","47,86","47,86",2075 00 800 GZ 33304
345,"Petroleum, Oil and Lubricant","6,07","8,21","8,21","8,21",2075 00 800 GZ 34500
