head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
DQ,Buildings - Commissionerate of Economics and Statistics (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 DQ 30000
318,Maintenance,"11,52","12,00","12,00","12,60",2059 01 053 DQ 31800 
01,Periodical Maintenance,"11,52","12,00","12,00","12,60",2059 01 053 DQ 31801
DQ,Total DQ,"11,52","12,00","12,00","12,60",
#,State's Expenditure Total,"11,52","12,00","12,00","12,60",
053,Total 053,"11,52","12,00","12,00","12,60",
01,Total 01,"11,52","12,00","12,00","12,60",
2059,Total 2059,"11,52","12,00","12,00","12,60",
2401-00,CROP HUSBANDRY,,,,,
110,Crop Insurance,,,,,
#,State's Expenditure,,,,,
JL,Crop Insurance Division under Pradhan Manthri Fasal Bima Yojana Schemes,,,,,2401 00 110 JL 30000
301,Salaries,"25,20","42,86","25,78","31,65",2401 00 110 JL 30100
01,Pay,"22,70","38,51","22,44","27,96",2401 00 110 JL 30101
02,Medical Allowance,6,1,8,8,2401 00 110 JL 30102
03,Medical Charges,15,44,20,44,2401 00 110 JL 30103
04,Other Allowances,11,12,12,12,2401 00 110 JL 30104
06,House Rent Allowance,"1,87","3,11","2,56","2,66",2401 00 110 JL 30106
07,Travel Concession,,10,10,10,2401 00 110 JL 30107
08,City Compensatory Allowance,31,57,28,29,2401 00 110 JL 30108
303,Dearness Allowance,"2,02","5,01","3,59","6,85",2401 00 110 JL 30300
01,Dearness Allowance,"2,02","5,01","3,59","6,85",2401 00 110 JL 30301
304,Travel Expenses,40,80,80,"1,00",2401 00 110 JL 30400
01,Tour Travelling Allowances,40,80,80,"1,00",2401 00 110 JL 30401
305,Office Expenses,,"4,06","5,57","5,57",2401 00 110 JL 30500
01,Telephone Charges,,"4,06","5,57","5,57",2401 00 110 JL 30501
319,Machinery and Equipments,,1,1,1,2401 00 110 JL 31900
01,Purchase,,1,1,1,2401 00 110 JL 31901
333,Payments for Professional and Special Services,"2,48,71","1,98,75","1,98,75",1,2401 00 110 JL 33300
04,Contract Payment,"2,48,71","1,98,75","1,98,75",1,2401 00 110 JL 33304
349,Festival Advances,-3,,,,2401 00 110 JL 34900
01,Festival Advances-Debit,5,30,30,30,2401 00 110 JL 34901
02,Festival Advances-Credit,-8,-30,-30,-30,2401 00 110 JL 34902
376,Computer and Accessories,,1,1,1,2401 00 110 JL 37600
01,Purchase,,1,1,1,2401 00 110 JL 37601
JL,Total JL,"2,76,30","2,51,50","2,34,51","45,10",
#,State's Expenditure Total,"2,76,30","2,51,50","2,34,51","45,10",
110,Total 110,"2,76,30","2,51,50","2,34,51","45,10",
111,Agricultural Economics and Statistics,,,,,
#,State's Expenditure,,,,,
AA,Scheme for Strengthening of Agricultural Statistics,,,,,2401 00 111 AA 30000
301,Salaries,"17,35","17,84","12,32","16,81",2401 00 111 AA 30100
01,Pay,"15,90","16,32","10,81","15,25",2401 00 111 AA 30101
02,Medical Allowance,2,1,1,1,2401 00 111 AA 30102
03,Medical Charges,19,22,22,22,2401 00 111 AA 30103
04,Other Allowances,10,12,12,12,2401 00 111 AA 30104
06,House Rent Allowance,"1,00","1,01","1,00","1,04",2401 00 111 AA 30106
07,Travel Concession,,1,1,1,2401 00 111 AA 30107
08,City Compensatory Allowance,14,15,15,16,2401 00 111 AA 30108
303,Dearness Allowance,"1,38","2,12","1,73","3,74",2401 00 111 AA 30300
01,Dearness Allowance,"1,38","2,12","1,73","3,74",2401 00 111 AA 30301
304,Travel Expenses,3,90,90,90,2401 00 111 AA 30400
01,Tour Travelling Allowances,3,90,90,90,2401 00 111 AA 30401
305,Office Expenses,33,33,33,33,2401 00 111 AA 30500
02,Other Contingencies,25,25,25,25,2401 00 111 AA 30502
04,Service Postage & Postal Expenditure,8,8,8,8,2401 00 111 AA 30504
349,Festival Advances,,,,,
01,Festival Advances-Debit,,5,10,10,2401 00 111 AA 34901
02,Festival Advances-Credit,,-5,-10,-10,2401 00 111 AA 34902
359,Prizes and Awards,,2,2,2,2401 00 111 AA 35900
01,Prizes and Awards,,2,2,2,2401 00 111 AA 35901
AA,Total AA,"19,09","21,21","15,30","21,80",
#,State's Expenditure Total,"19,09","21,21","15,30","21,80",
#,Central Sector Schemes,,,,,
SA,Agricultural Census,,,,,2401 00 111 SA 30000
301,Salaries,"1,52,46","67,50","69,28","58,50",2401 00 111 SA 30100
01,Pay,"59,00","59,93","48,48","50,42",2401 00 111 SA 30101
02,Medical Allowance,20,23,26,26,2401 00 111 SA 30102
03,Medical Charges,29,36,36,36,2401 00 111 SA 30103
04,Other Allowances,31,18,31,31,2401 00 111 SA 30104
06,House Rent Allowance,"6,00","5,78","5,96","6,20",2401 00 111 SA 30106
07,Travel Concession,,1,5,1,2401 00 111 SA 30107
08,City Compensatory Allowance,96,"1,00",93,93,2401 00 111 SA 30108
