head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
AD,Buildings - Inspection Bungalows and Circuit Houses,,,,,2059 01 053 AD 30000
305,Office Expenses,"2,06,71","2,09,50","2,09,50","2,19,98",2059 01 053 AD 30500
01,Telephone Charges,"2,30","5,00","5,00","5,25",2059 01 053 AD 30501
02,Other Contingencies,"7,42","4,50","4,50","4,73",2059 01 053 AD 30502
03,Electricity Charges,"1,96,99","2,00,00","2,00,00","2,10,00",2059 01 053 AD 30503
306,"Rent, Rates and Taxes","71,16","80,00","97,92","1,00,00",2059 01 053 AD 30600
02,Property tax,"67,82","75,00","87,83","90,00",2059 01 053 AD 30602
03,Water Charges,"3,34","5,00","10,09","10,00",2059 01 053 AD 30603
317,Minor Works,"39,92","35,00","35,00","36,75",2059 01 053 AD 31700
01,Minor Works,"39,92","35,00","35,00","36,75",2059 01 053 AD 31701
318,Maintenance,"7,20,37","6,00,00","6,50,00","6,30,00",2059 01 053 AD 31800
01,Periodical Maintenance,"7,20,37","6,00,00","6,50,00","6,30,00",2059 01 053 AD 31801
333,Payments for Professional and Special Services,"1,88,94","2,00,00","4,39,53","7,54,53",2059 01 053 AD 33300
04,Contract Payment,"1,88,94","2,00,00","4,39,53","7,54,53",2059 01 053 AD 33304
347,Stores and Equipments,"12,26","11,00","11,00","11,55",2059 01 053 AD 34700
01,Stores - Voted,"12,26","11,00","11,00","11,55",2059 01 053 AD 34701
AD,Total AD,"12,39,36","11,35,50","14,42,95","17,52,81",
AE,Public Works Department - Office Buildings,,,,,2059 01 053 AE 30000
306,"Rent, Rates and Taxes","2,20,49","2,83,50","3,23,42","2,90,00",2059 01 053 AE 30600
02,Property tax,"2,14,03","2,75,00","2,96,62","2,75,00",2059 01 053 AE 30602
03,Water Charges,"6,46","8,50","26,80","15,00",2059 01 053 AE 30603
317,Minor Works,"20,25",1,"7,00",,2059 01 053 AE 31700
01,Minor Works,"20,25",1,"7,00",,2059 01 053 AE 31701
318,Maintenance,"6,45,37","6,70,00","7,20,00","8,53,50",2059 01 053 AE 31800
01,Periodical Maintenance,"6,45,37","6,70,00","7,20,00","8,53,50",2059 01 053 AE 31801
333,Payments for Professional and Special Services,"39,82","45,00","3,91,07","10,90,13",2059 01 053 AE 33300
04,Contract Payment,"39,82","45,00","3,91,07","10,90,13",2059 01 053 AE 33304
AE,Total AE,"9,25,93","9,98,51","14,41,49","22,33,63",
BM,"Buildings- State Guest House, Chepauk",,,,,2059 01 053 BM 30000
318,Maintenance,"31,63","32,50","32,50","32,50",2059 01 053 BM 31800
01,Periodical Maintenance,"31,63","32,50","32,50","32,50",2059 01 053 BM 31801
BM,Total BM,"31,63","32,50","32,50","32,50",
BN,"Buildings- Government Rest House,Chindaripet",,,,,2059 01 053 BN 30000
318,Maintenance,"5,95","6,00","6,00","6,00",2059 01 053 BN 31800
01,Periodical Maintenance,"5,95","6,00","6,00","6,00",2059 01 053 BN 31801
BN,Total BN,"5,95","6,00","6,00","6,00",
CJ,"Tamil Nadu Guest House, Udagamandalam",,,,,2059 01 053 CJ 30000
318,Maintenance,"54,88","55,00","55,00","55,00",2059 01 053 CJ 31800
01,Periodical Maintenance,"54,88","55,00","55,00","55,00",2059 01 053 CJ 31801
CJ,Total CJ,"54,88","55,00","55,00","55,00",
DA,"Maintenance of Tamil Nadu House, New Delhi",,,,,2059 01 053 DA 30000
318,Maintenance,"2,46,22","1,50,00","3,49,00",,2059 01 053 DA 31800
01,Periodical Maintenance,"2,46,22","1,50,00","3,49,00",,2059 01 053 DA 31801
DA,Total DA,"2,46,22","1,50,00","3,49,00",,
DM,"Buildings - State Judicial Academy (Administrated by Chief Engineer, Buildings, PWD)",,,,,2059 01 053 DM 30000
318,Maintenance,"13,58","16,00","16,00","16,00",2059 01 053 DM 31800 
01,Periodical Maintenance,"13,58","16,00","16,00","16,00",2059 01 053 DM 31801
DM,Total DM,"13,58","16,00","16,00","16,00",
#,State's Expenditure Total,"25,17,55","23,93,51","33,42,94","40,95,94",
053,Total 053,"25,17,55","23,93,51","33,42,94","40,95,94",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
AE,Public Works Department - Office Buildings,,,,,2059 01 911 AE 30000
377,Deduct-Recoveries,"-7,14",,,,2059 01 911 AE 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"-7,14",,,,2059 01 911 AE 37702
AE,Total AE,"-7,14",,,,
#,State's Expenditure Total,"-7,14",,,,
911,Total 911,"-7,14",,,,
01,Total 01,"25,10,41","23,93,51","33,42,94","40,95,94",
80,General,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Chief Engineers,,,,,2059 80 001 AA 30000
301,Salaries,"10,58,87","11,29,73","9,81,79","14,30,87",2059 80 001 AA 30100
