head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2029-00,LAND REVENUE,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Headquarters Staff - Commissioner of Revenue Administration,,,,,2029 00 001 AA 30000
301,Salaries,"9,34,63","9,79,36","12,26,27","12,75,49",2029 00 001 AA 30100
01,Pay,"8,10,95","8,33,32","10,69,54","11,12,32",2029 00 001 AA 30101
02,Medical Allowance,"5,89","6,33","8,32","8,65",2029 00 001 AA 30102
03,Medical Charges,"1,15","8,12","8,12","8,53",2029 00 001 AA 30103
04,Other Allowances,"10,74","20,40","20,40","21,21",2029 00 001 AA 30104
06,House Rent Allowance,"90,01","85,06","91,00","94,64",2029 00 001 AA 30106
07,Travel Concession,63,"8,38","8,38","8,80",2029 00 001 AA 30107
08,City Compensatory Allowance,"15,26","17,75","20,31","21,33",2029 00 001 AA 30108
09,Honorarium,,,20,1,2029 00 001 AA 30109
303,Dearness Allowance,"83,07","88,84","1,49,80","2,72,52",2029 00 001 AA 30300
01,Dearness Allowance,"83,07","88,84","1,49,80","2,72,52",2029 00 001 AA 30301
304,Travel Expenses,"2,64","4,26","10,55","10,58",2029 00 001 AA 30400
01,Tour Travelling Allowances,"2,53","3,71","10,00","10,00",2029 00 001 AA 30401
02,Transfer Travelling Allowances,11,55,55,58,2029 00 001 AA 30402
305,Office Expenses,"1,74,97","2,08,21","1,99,21","2,07,21",2029 00 001 AA 30500
01,Telephone Charges,"4,91","6,75","6,75","7,09",2029 00 001 AA 30501
02,Other Contingencies,"29,15","48,30","39,30","39,30",2029 00 001 AA 30502
03,Electricity Charges,"1,35,32","1,50,00","1,50,00","1,57,50",2029 00 001 AA 30503
04,Service Postage & Postal Expenditure,"2,25","3,15","3,15","3,31",2029 00 001 AA 30504
05,Furniture,"3,34",1,1,1,2029 00 001 AA 30505
306,"Rent, Rates and Taxes","12,05","20,14","33,33","35,00",2029 00 001 AA 30600
02,Property tax,"12,05","13,33","13,33","14,00",2029 00 001 AA 30602
03,Water Charges,,"6,81","20,00","21,00",2029 00 001 AA 30603
308,Advertising and Publicity,,,"10,00",1,2029 00 001 AA 30800
09,Others,,,"10,00",1,2029 00 001 AA 30809
319,Machinery and Equipments,"1,05",1,1,1,2029 00 001 AA 31900
01,Purchase,"1,05",1,1,1,2029 00 001 AA 31901
321,Motor Vehicles,98,"1,24","18,03","27,75",2029 00 001 AA 32100
01,Purchase,,1,"16,80","26,52",2029 00 001 AA 32101
02,Maintenance of Functional Vehicles,98,"1,22","1,22","1,22",2029 00 001 AA 32102
03,Hire Charges,,1,1,1,2029 00 001 AA 32103
333,Payments for Professional and Special Services,"20,54","13,95","63,21","66,37",2029 00 001 AA 33300
01,Pleaders Fees,,"1,41","1,41","1,48",2029 00 001 AA 33301
04,Contract Payment,"20,54","12,54","61,80","64,89",2029 00 001 AA 33304
345,"Petroleum, Oil and Lubricant","4,49","8,00","10,00","10,50",2029 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","4,49","8,00","10,00","10,50",2029 00 001 AA 34501
349,Festival Advances,18,,,,2029 00 001 AA 34900
01,Festival Advances-Debit,"5,05","9,00","17,60","17,60",2029 00 001 AA 34901
02,Festival Advances-Credit,"-4,87","-9,00","-17,60","-17,60",2029 00 001 AA 34902
351,Compensation Charged,,1,1,1,2029 00 001 AA 35100
351,Compensation Voted,,1,1,1,2029 00 001 AA 35100
01,Claims under no fault liability -  principal,,1,1,1,2029 00 001 AA 35101
charges  - Voted,,,,,,
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2029 00 001 AA 35151
359,Prizes and Awards,4,10,32,30,2029 00 001 AA 35900
01,Prizes and Awards,4,10,32,30,2029 00 001 AA 35901
371,Printing Charges,,1,1,1,2029 00 001 AA 37100
01,Printing Charges,,1,1,1,2029 00 001 AA 37101
376,Computer and Accessories,"39,58","12,04","12,04","13,01",2029 00 001 AA 37600
01,Purchase,"30,01",1,1,1,2029 00 001 AA 37601
02,Maintenance,"2,67","4,03","4,03","4,60",2029 00 001 AA 37602
03,Stationery,"6,90","8,00","8,00","8,40",2029 00 001 AA 37603
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"12,74,22","13,36,17","17,32,79","19,18,77",
AC,"Compensation to the Family of the Government Servants who lost their lives while attempting to prevent illegal Cable TV  Operation, Sand Mining and Rice Smuggling",,,,,2029 00 001 AC 30000
351,Compensation,,1,1,1,2029 00 001 AC 35100
02,Other Compensations  - Voted,,1,1,1,2029 00 001 AC 35102
AC,Total AC,1,1,1,,
AD,"Gaja Cyclone Reconstruction, Rehabilitation and Rejuvenation project (GRRRP)",,,,,2029 00 001 AD 30000
301,Salaries,,,"70,92","73,16",2029 00 001 AD 30100
01,Pay,,,"63,84","66,40",2029 00 001 AD 30101
02,Medical Allowance,,,24,25,2029 00 001 AD 30102
04,Other Allowances,,,12,12,2029 00 001 AD 30104
06,House Rent Allowance,,,"5,28","5,49",2029 00 001 AD 30106
07,Travel Concession,,,60,1,2029 00 001 AD 30107
08,City Compensatory Allowance,,,84,89,2029 00 001 AD 30108
303,Dearness Allowance,,,"9,58","16,27",2029 00 001 AD 30300
01,Dearness Allowance,,,"9,58","16,27",2029 00 001 AD 30301
304,Travel Expenses,,,"4,25","4,26",2029 00 001 AD 30400
01,Tour Travelling Allowances,,,"4,00","4,00",2029 00 001 AD 30401
02,Transfer Travelling Allowances,,,25,26,2029 00 001 AD 30402
305,Office Expenses,,,"3,25","2,32",2029 00 001 AD 30500
01,Telephone Charges,,,"1,00","1,05",2029 00 001 AD 30501
02,Other Contingencies,,,"1,00","1,00",2029 00 001 AD 30502
04,Service Postage & Postal Expenditure,,,25,26,2029 00 001 AD 30504
05,Furniture,,,"1,00",1,2029 00 001 AD 30505
321,Motor Vehicles,,,"6,10",11,2029 00 001 AD 32100
01,Purchase,,,"6,00",1,2029 00 001 AD 32101
02,Maintenance of Functional Vehicles,,,10,10,2029 00 001 AD 32102
333,Payments for Professional and Special Services,,,"7,90","7,50",2029 00 001 AD 33300
04,Contract Payment,,,"7,90","7,50",2029 00 001 AD 33304
345,"Petroleum, Oil and Lubricant",,,"3,00","3,15",2029 00 001 AD 34500
01,"Petroleum, Oil and Lubricant",,,"3,00","3,15",2029 00 001 AD 34501
349,Festival Advances,,,,,
01,Festival Advances-Debit,,,80,80,2029 00 001 AD 34901
02,Festival Advances-Credit,,,-80,-80,2029 00 001 AD 34902
371,Printing Charges,,,50,1,2029 00 001 AD 37100
01,Printing Charges,,,50,1,2029 00 001 AD 37101
376,Computer and Accessories,,,"6,00","2,01",2029 00 001 AD 37600
01,Purchase,,,"4,00",1,2029 00 001 AD 37601
03,Stationery,,,"2,00","2,00",2029 00 001 AD 37603
AD,Total AD,,,"1,11,50","1,08,79",
JB,Unmanned Aerial Vehicle Photogrammetric Mapping for Flood preparedness in the State of Tamil Nadu - Scheme under State Innovation Fund,,,,,2029 00 001 JB 30000
305,Office Expenses,,,"13,62","13,62",2029 00 001 JB 30500
02,Other Contingencies,,,"13,62","13,62",2029 00 001 JB 30502
319,Machinery and Equipments,"25,00","40,00","40,00",1,2029 00 001 JB 31900
01,Purchase,"25,00","40,00","40,00",1,2029 00 001 JB 31901
333,Payments for Professional and Special Services,"74,28","74,28","81,96","80,56",2029 00 001 JB 33300
04,Contract Payment,"74,28","74,28","81,96","80,56",2029 00 001 JB 33304
376,Computer and Accessories,"1,00,00","1,20,01","2,36,00","1,36,21",2029 00 001 JB 37600
01,Purchase,,1,"1,16,00",1,2029 00 001 JB 37601
02,Maintenance,"1,00,00","1,20,00","1,20,00","1,36,20",2029 00 001 JB 37602 
JB,Total JB,"1,99,28","2,34,29","3,71,58","2,30,40",
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"14,73,50","15,70,47","22,15,88","22,57,97",
001,Total 001 Charged,,1,1,1,
001,Total 001 Voted,"14,73,50","15,70,47","22,15,88","22,57,97",
902,Deduct - Amount met from State Innovation Fund,,,,,
#,State's Expenditure,,,,,
JB,Deduct - Amount met from State Innovation Fund,,,,,2029 00 902 JB 30000
330,Inter-Account Transfers,"-1,99,28","-2,41,96",,,2029 00 902 JB 33000
01,Inter-Account Transfers,"-1,99,28","-2,41,96",,,2029 00 902 JB 33001
JB,Total JB,"-1,99,28","-2,41,96",,,
#,State's Expenditure Total,"-1,99,28","-2,41,96",,,
902,Total 902,"-1,99,28","-2,41,96",,,
00,Total 00 Charged,,1,1,1,
00,Total 00 Voted,"12,74,22","13,28,51","22,15,88","22,57,97",
2029,Total 2029 Charged,,1,1,1,
2029,Total 2029 Voted,"12,74,22","13,28,51","22,15,88","22,57,97",
2053-00,DISTRICT ADMINISTRATION,,,,,
093,District Establishments,,,,,
#,State's Expenditure,,,,,
AA,Collectors and Magistrates,,,,,2053 00 093 AA 30000
