head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2029-00,LAND REVENUE,,,,,
102,Survey and Settlement Operations,,,,,
#,State's Expenditure,,,,,
AA,Direction and Administration,,,,,2029 00 102 AA 30000
301,Salaries,"1,94,08","1,88,07","2,13,04","2,19,87",2029 00 102 AA 30100
01,Pay,"1,68,98","1,60,00","1,83,72","1,91,07",2029 00 102 AA 30101
02,Medical Allowance,"1,50","1,50","1,61","1,61",2029 00 102 AA 30102
03,Medical Charges,14,"2,55","2,55","2,55",2029 00 102 AA 30103
04,Other Allowances,"3,39","2,10","2,10","2,10",2029 00 102 AA 30104
06,House Rent Allowance,"16,84","16,22","16,84","16,84",2029 00 102 AA 30106
07,Travel Concession,,"2,05","2,50","2,05",2029 00 102 AA 30107
08,City Compensatory Allowance,"3,23","3,65","3,72","3,65",2029 00 102 AA 30108
303,Dearness Allowance,"22,28","25,78","36,95","46,81",2029 00 102 AA 30300
01,Dearness Allowance,"22,28","25,78","36,95","46,81",2029 00 102 AA 30301
304,Travel Expenses,"3,65","5,70","4,73","4,73",2029 00 102 AA 30400
01,Tour Travelling Allowances,"3,65","5,50","4,53","4,53",2029 00 102 AA 30401
02,Transfer Travelling Allowances,,20,20,20,2029 00 102 AA 30402
305,Office Expenses,"2,97","3,40","3,90","4,00",2029 00 102 AA 30500
01,Telephone Charges,37,80,80,80,2029 00 102 AA 30501
02,Other Contingencies,"2,00","2,00","2,00","2,10",2029 00 102 AA 30502
04,Service Postage & Postal Expenditure,60,60,"1,10","1,10",2029 00 102 AA 30504
319,Machinery and Equipments,58,1,1,1,2029 00 102 AA 31900
01,Purchase,58,1,1,1,2029 00 102 AA 31901
321,Motor Vehicles,1,7,9,9,2029 00 102 AA 32100
02,Maintenance of Functional Vehicles,1,7,9,9,2029 00 102 AA 32102
333,Payments for Professional and Special Services,83,90,90,90,2029 00 102 AA 33300
01,Pleaders Fees,83,90,90,90,2029 00 102 AA 33301
345,"Petroleum, Oil and Lubricant","1,20","1,95","2,00","1,95",2029 00 102 AA 34500
01,"Petroleum, Oil and Lubricant","1,20","1,95","2,00","1,95",2029 00 102 AA 34501
349,Festival Advances,35,,,,2029 00 102 AA 34900
01,Festival Advances-Debit,"1,58","3,00","6,00","3,00",2029 00 102 AA 34901
02,Festival Advances-Credit,"-1,23","-3,00","-6,00","-3,00",2029 00 102 AA 34902
351,Compensation Charged,,1,1,1,2029 00 102 AA 35100
