head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2029-00,LAND REVENUE,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AB,Headquarters Staff - Commissioner of Land Administration,,,,,2029 00 001 AB 30000
301,Salaries,"4,40,48","5,16,97","5,76,06","5,97,46",2029 00 001 AB 30100
01,Pay,"3,74,15","4,52,80","5,05,00","5,25,20",2029 00 001 AB 30101
02,Medical Allowance,"3,06","2,00","2,50","2,55",2029 00 001 AB 30102
03,Medical Charges,"2,22","4,00","4,00","4,00",2029 00 001 AB 30103
04,Other Allowances,"6,89",78,"3,10","3,15",2029 00 001 AB 30104
06,House Rent Allowance,"46,56","48,63","52,70","52,80",2029 00 001 AB 30106
07,Travel Concession,61,"1,14","1,14","1,14",2029 00 001 AB 30107
08,City Compensatory Allowance,"6,99","7,62","7,62","8,62",2029 00 001 AB 30108
303,Dearness Allowance,"31,95","58,86","80,81","1,28,67",2029 00 001 AB 30300
01,Dearness Allowance,"31,95","58,86","80,81","1,28,67",2029 00 001 AB 30301
304,Travel Expenses,"2,77","9,00","8,80","9,00",2029 00 001 AB 30400
01,Tour Travelling Allowances,"2,22","8,00","8,00","8,00",2029 00 001 AB 30401
02,Transfer Travelling Allowances,55,"1,00",80,"1,00",2029 00 001 AB 30402
305,Office Expenses,"25,35","15,58","15,68","15,78",2029 00 001 AB 30500
01,Telephone Charges,"1,76","2,00","2,10","2,20",2029 00 001 AB 30501
02,Other Contingencies,"9,49","10,00","10,00","10,00",2029 00 001 AB 30502
04,Service Postage & Postal Expenditure,"14,10","3,58","3,58","3,58",2029 00 001 AB 30504
317,Minor Works,,1,5,10,2029 00 001 AB 31700
01,Minor Works,,1,5,10,2029 00 001 AB 31701
319,Machinery and Equipments,,1,5,10,2029 00 001 AB 31900
01,Purchase,,1,5,10,2029 00 001 AB 31901
321,Motor Vehicles,25,"1,42","8,50","1,61",2029 00 001 AB 32100
01,Purchase,,1,"7,00",1,2029 00 001 AB 32101
02,Maintenance of Functional Vehicles,25,"1,41","1,50","1,60",2029 00 001 AB 32102
333,Payments for Professional and Special Services,"5,12",77,"6,52","7,02",2029 00 001 AB 33300
01,Pleaders Fees,"1,35",74,"2,50","3,00",2029 00 001 AB 33301
02,Remuneration,"3,77",1,1,1,2029 00 001 AB 33302
03,Special Service,,1,1,1,2029 00 001 AB 33303
04,Contract Payment,,1,"4,00","4,00",2029 00 001 AB 33304
345,"Petroleum, Oil and Lubricant","4,00","3,40","3,40","3,40",2029 00 001 AB 34500
01,"Petroleum, Oil and Lubricant","4,00","3,40","3,40","3,40",2029 00 001 AB 34501
349,Festival Advances,27,,,,2029 00 001 AB 34900
01,Festival Advances-Debit,"3,05","40,50","41,20","40,50",2029 00 001 AB 34901
02,Festival Advances-Credit,"-2,78","-40,50","-41,20","-40,50",2029 00 001 AB 34902
351,Compensation Charged,,2,2,2,2029 00 001 AB 35100
51,Claims under no fault liability -  principal charges Charged,,2,2,2,2029 00 001 AB 35151
359,Prizes and Awards,26,50,50,50,2029 00 001 AB 35900
01,Prizes and Awards,26,50,50,50,2029 00 001 AB 35901
372,Training,,1,1,1,2029 00 001 AB 37200
01,Training,,1,1,1,2029 00 001 AB 37201
376,Computer and Accessories,"5,06","5,23","5,50","6,02",2029 00 001 AB 37600
01,Purchase,,1,,2,2029 00 001 AB 37601
02,Maintenance,"2,06","2,22","2,50","3,00",2029 00 001 AB 37602
03,Stationery,"3,00","3,00","3,00","3,00",2029 00 001 AB 37603
AB,Total AB Charged,,2,2,2,
AB,Total AB Voted,"5,15,51","6,11,76","7,05,88","7,69,67",
JC,Computerization of Land Acquisition - Scheme under State Innovation Fund,,,,,2029 00 001 JC 30000
376,Computer and Accessories,,1,,2,2029 00 001 JC 37600
01,Purchase,,1,,2,2029 00 001 JC 37601
JC,Total JC,1,,2,,
#,State's Expenditure Total Charged,,2,2,2,
#,State's Expenditure Total Voted,"5,15,51","6,11,77","7,05,88","7,69,69",
#,Central Sector Schemes,,,,,
SA,Census of Irrigation Schemes Plan,,,,,2029 00 001 SA 30000
301,Salaries,"32,76","36,57","36,58","38,48",2029 00 001 SA 30100
01,Pay,"28,93","31,51","31,51","32,78",2029 00 001 SA 30101
02,Medical Allowance,10,33,33,40,2029 00 001 SA 30102
03,Medical Charges,,15,15,15,2029 00 001 SA 30103
04,Other Allowances,,24,24,30,2029 00 001 SA 30104
06,House Rent Allowance,"3,22","3,50","3,50","4,00",2029 00 001 SA 30106
08,City Compensatory Allowance,51,84,85,85,2029 00 001 SA 30108
303,Dearness Allowance,"2,50","4,10","5,05","8,03",2029 00 001 SA 30300
01,Dearness Allowance,"2,50","4,10","5,05","8,03",2029 00 001 SA 30301
304,Travel Expenses,11,14,80,45,2029 00 001 SA 30400
01,Tour Travelling Allowances,11,14,80,45,2029 00 001 SA 30401
305,Office Expenses,69,70,75,80,2029 00 001 SA 30500
01,Telephone Charges,29,30,30,30,2029 00 001 SA 30501
02,Other Contingencies,40,40,45,50,2029 00 001 SA 30502
333,Payments for Professional and Special Services,"2,45",1,"2,96",50,2029 00 001 SA 33300
04,Contract Payment,"2,45",1,"2,96",50,2029 00 001 SA 33304
349,Festival Advances,2,,,,2029 00 001 SA 34900
01,Festival Advances-Debit,10,30,40,60,2029 00 001 SA 34901
02,Festival Advances-Credit,-8,-30,-40,-60,2029 00 001 SA 34902
372,Training,"2,57,81","4,50,00","4,00,00",1,2029 00 001 SA 37200
01,Training,"2,57,81","4,50,00","4,00,00",1,2029 00 001 SA 37201
376,Computer and Accessories,,1,1,1,2029 00 001 SA 37600
01,Purchase,,1,1,1,2029 00 001 SA 37601
SA,Total SA,"2,96,34","4,91,53","4,46,15","48,28",
#,Central Sector Schemes Total,"2,96,34","4,91,53","4,46,15","48,28",
001,Total 001 Charged,,2,2,2,
001,Total 001 Voted,"8,11,85","11,03,30","11,52,03","8,17,97",
105,Management of Ex-Zamindari Estates,,,,,
#,State's Expenditure,,,,,
AA,District Establishment,,,,,2029 00 105 AA 30000
301,Salaries,"1,43,72","2,38,19","2,51,10","2,59,19",2029 00 105 AA 30100
01,Pay,"1,26,48","1,80,74","1,90,48","1,98,10",2029 00 105 AA 30101
02,Medical Allowance,"1,05","1,00","1,20","1,30",2029 00 105 AA 30102
03,Medical Charges,,"1,00","1,00","1,00",2029 00 105 AA 30103
04,Other Allowances,91,50,60,65,2029 00 105 AA 30104
06,House Rent Allowance,"12,81","47,13","50,00","50,10",2029 00 105 AA 30106
07,Travel Concession,12,"1,38","1,38","1,38",2029 00 105 AA 30107
08,City Compensatory Allowance,"2,35","6,44","6,44","6,66",2029 00 105 AA 30108
303,Dearness Allowance,"11,95","23,50","30,48","48,53",2029 00 105 AA 30300
01,Dearness Allowance,"11,95","23,50","30,48","48,53",2029 00 105 AA 30301
304,Travel Expenses,24,46,55,51,2029 00 105 AA 30400
01,Tour Travelling Allowances,,20,25,25,2029 00 105 AA 30401
02,Transfer Travelling Allowances,24,26,30,26,2029 00 105 AA 30402
305,Office Expenses,"8,98","10,00","11,10","10,20",2029 00 105 AA 30500
01,Telephone Charges,,"1,00","1,10","1,20",2029 00 105 AA 30501
02,Other Contingencies,"8,98","9,00","10,00","9,00",2029 00 105 AA 30502
321,Motor Vehicles,,25,30,35,2029 00 105 AA 32100
02,Maintenance of Functional Vehicles,,25,30,35,2029 00 105 AA 32102
345,"Petroleum, Oil and Lubricant",33,56,56,56,2029 00 105 AA 34500
01,"Petroleum, Oil and Lubricant",33,56,56,56,2029 00 105 AA 34501
349,Festival Advances,6,,,,2029 00 105 AA 34900
01,Festival Advances-Debit,"1,15","3,60","4,00","4,10",2029 00 105 AA 34901
02,Festival Advances-Credit,"-1,09","-3,60","-4,00","-4,10",2029 00 105 AA 34902
AA,Total AA,"1,65,28","2,72,96","2,94,09","3,19,34",
#,State's Expenditure Total,"1,65,28","2,72,96","2,94,09","3,19,34",
105,Total 105,"1,65,28","2,72,96","2,94,09","3,19,34",
902,Deduct - Amount met from State Innovation Fund,,,,,
#,State's Expenditure,,,,,
JC,Deduct - Amount met from State Innovation Fund,,,,,2029 00 902 JC 30000
330,Inter-Account Transfers,,-1,1,1,2029 00 902 JC 33000
01,Inter-Account Transfers,,-1,1,1,2029 00 902 JC 33001
JC,Total JC,,-1,1,1,
#,State's Expenditure Total,,-1,1,1,
902,Total 902,,-1,1,1,
00,Total 00 Charged,,2,2,2,
00,Total 00 Voted,"9,77,13","13,76,25","14,46,13","11,37,32",
2029,Total 2029 Charged,,2,2,2,
2029,Total 2029 Voted,"9,77,13","13,76,25","14,46,13","11,37,32",
2053-00,DISTRICT ADMINISTRATION,,,,,
094,Other Establishment,,,,,
#,State's Expenditure,,,,,
AE,Establishment for Acquisition of lands for Lignite Project in Cuddalore District,,,,,2053 00 094 AE 30000
