head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2035-00,COLLECTION OF OTHER TAXES ON PROPERTY AND CAPITAL TRANSACTIONS,,,,,
101,Taxes on Immovable properties other than Agricultural land,,,,,
#,State's Expenditure,,,,,
AA,Administration of Tamil Nadu Urban Land Tax,,,,,2035 00 101 AA 30000
301,Salaries,"7,05,51","7,68,31","9,88,21","10,28,05",2035 00 101 AA 30100
01,Pay,"6,12,56","6,66,15","8,83,85","9,19,21",2035 00 101 AA 30101
02,Medical Allowance,"5,72","5,96","6,84","7,12",2035 00 101 AA 30102
03,Medical Charges,8,"2,06",50,"1,00",2035 00 101 AA 30103
04,Other Allowances,"9,04","9,69","9,75","10,00",2035 00 101 AA 30104
06,House Rent Allowance,"66,72","71,24","73,52","76,47",2035 00 101 AA 30106
07,Travel Concession,,"1,25","1,25","1,25",2035 00 101 AA 30107
08,City Compensatory Allowance,"11,39","11,96","12,50","13,00",2035 00 101 AA 30108
302,Wages,21,33,33,33,2035 00 101 AA 30200
01,Wages,21,33,33,33,2035 00 101 AA 30201
303,Dearness Allowance,"79,93","86,60","1,41,42","2,25,21",2035 00 101 AA 30300
01,Dearness Allowance,"79,93","86,60","1,41,42","2,25,21",2035 00 101 AA 30301
304,Travel Expenses,"4,45","5,98","6,42","6,60",2035 00 101 AA 30400
01,Tour Travelling Allowances,"3,48","3,50","4,00","4,10",2035 00 101 AA 30401
02,Transfer Travelling Allowances,5,30,30,30,2035 00 101 AA 30402
03,Fixed Travelling Allowances,92,"2,18","2,12","2,20",2035 00 101 AA 30403
305,Office Expenses,"12,72","9,46","9,60","10,21",2035 00 101 AA 30500 
01,Telephone Charges,"1,59","2,20","2,20","2,50",2035 00 101 AA 30501
02,Other Contingencies,"3,43","3,50","3,50","3,50",2035 00 101 AA 30502
03,Electricity Charges,"3,64","3,00","3,00","3,20",2035 00 101 AA 30503
04,Service Postage & Postal Expenditure,75,75,90,"1,00",2035 00 101 AA 30504
05,Furniture,"3,31",1,,1,2035 00 101 AA 30505
306,"Rent, Rates and Taxes","26,35","28,64","37,86","39,75",2035 00 101 AA 30600
01,Rent,"26,35","28,64","37,86","39,75",2035 00 101 AA 30601 
321,Motor Vehicles,40,46,75,70,2035 00 101 AA 32100
01,Purchase,,1,,,2035 00 101 AA 32101
02,Maintenance of Functional Vehicles,40,45,75,70,2035 00 101 AA 32102
333,Payments for Professional and Special Services,,41,"2,17",51,2035 00 101 AA 33300
01,Pleaders Fees,,40,,50,2035 00 101 AA 33301
02,Remuneration,,,"2,16",,2035 00 101 AA 33302
04,Contract Payment,,1,1,1,2035 00 101 AA 33304
345,"Petroleum, Oil and Lubricant","3,03","6,81","6,15","6,30",2035 00 101 AA 34500
01,"Petroleum, Oil and Lubricant","3,03","6,81","6,15","6,30",2035 00 101 AA 34501
349,Festival Advances,-19,,,,2035 00 101 AA 34900
01,Festival Advances-Debit,"4,05","9,25","18,70","18,90",2035 00 101 AA 34901
02,Festival Advances-Credit,"-4,24","-9,25","-18,70","-18,90",2035 00 101 AA 34902
351,Compensation Charged,,1,,,2035 00 101 AA 35100
51,Claims under no fault liability -  principal,,,,,
charges, Charged,,1,,,2035 00 101 AA 35151
359,Prizes and Awards,2,6,6,6,2035 00 101 AA 35900
01,Prizes and Awards,2,6,6,6,2035 00 101 AA 35901
376,Computer and Accessories,"9,95","1,08","5,05","1,50",2035 00 101 AA 37600 
01,Purchase,"8,93",1,"3,60",,2035 00 101 AA 37601
03,Stationery,"1,02","1,07","1,45","1,50",2035 00 101 AA 37603 
AA,Total AA Charged,,1,,,
AA,Total AA Voted,"8,42,38","9,08,14","11,98,02","13,19,22",
#,State's Expenditure Total Charged,,1,,,
#,State's Expenditure Total Voted,"8,42,38","9,08,14","11,98,02","13,19,22",
101,Total 101 Charged,,1,,,
101,Total 101 Voted,"8,42,38","9,08,14","11,98,02","13,19,22",
00,Total 00 Charged,,1,,,
00,Total 00 Voted,"8,42,38","9,08,14","11,98,02","13,19,22",
2035,Total 2035 Charged,,1,,,
2035,Total 2035 Voted,"8,42,38","9,08,14","11,98,02","13,19,22",
3475-00,OTHER GENERAL ECONOMIC SERVICES,,,,,
201,Land Ceilings (other than Agricultural land),,,,,
#,State's Expenditure,,,,,
AF,"Implementation of Tamil Nadu Urban Land Ceiling and Regulation Act, 1976",,,,,3475 00 201 AF 30000
364,Lands,"86,24",1,"2,50","2,00",3475 00 201 AF 36400
01,Lands - Voted,"86,24",1,"2,50","2,00",3475 00 201 AF 36401
AF,Total AF,"86,24",1,"2,50","2,00",
#,State's Expenditure Total,"86,24",1,"2,50","2,00",
201,Total 201,"86,24",1,"2,50","2,00",
00,Total 00,"86,24",1,"2,50","2,00",
3475,Total 3475,"86,24",1,"2,50","2,00",
