head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2210,MEDICAL AND PUBLIC HEALTH,,,,,
03,Rural Health Service-Allopathy,,,,,
110,Hospitals and Dispensaries,,,,,
#,State's Expenditure,,,,,
BR,Maintenance Grant for Maternity Centres of Local Bodies,,,,,2210 03 110 BR 30000
309,Grants-in-Aid,,1,,,2210 03 110 BR 30900
01,Grants for Current Expenditure,,1,,,2210 03 110 BR 30901
BR,Total BR,1,,,,
#,State's Expenditure Total,,1,,,
110,Total 110,1,,,,
03,Total 03,1,,,,
2210,Total 2210,1,,,,
2215,WATER SUPPLY AND SANITATION,,,,,
01,Water Supply,,,,,
102,Rural water Supply Programmes,,,,,
#,State's Expenditure,,,,,
KL,Assistance to Rural Local Bodies towards Water Supply Charges,,,,,2215 01 102 KL 30000
309,Grants-in-Aid,"6,91,57","8,21,25","6,57,00","6,57,00",2215 01 102 KL 30900
03,Grants for Specific Schemes,"6,91,57","8,21,25","6,57,00","6,57,00",2215 01 102 KL 30903
KL,Total KL,"6,91,57","8,21,25","6,57,00","6,57,00",
#,State's Expenditure Total,"6,91,57","8,21,25","6,57,00","6,57,00",
102,Total 102,"6,91,57","8,21,25","6,57,00","6,57,00",
01,Total 01,"6,91,57","8,21,25","6,57,00","6,57,00",
02,Sewerage and Sanitation,,,,,
105,Sanitation Services,,,,,
#,State's Expenditure,,,,,
JL,Total Sanitation Campaign - Swacch Bharat Mission,,,,,2215 02 105 JL 30000
301,Salaries,"32,85","28,82","28,79","29,83",2215 02 105 JL 30100
01,Pay,"30,07","25,96","25,96","27,00",2215 02 105 JL 30101
02,Medical Allowance,4,8,8,8,2215 02 105 JL 30102
03,Medical Charges,,2,1,1,2215 02 105 JL 30103
04,Other Allowances,30,35,30,30,2215 02 105 JL 30104
06,House Rent Allowance,"2,13","2,10","2,13","2,13",2215 02 105 JL 30106
08,City Compensatory Allowance,31,31,31,31,2215 02 105 JL 30108
303,Dearness Allowance,"2,37","3,40","3,64","6,62",2215 02 105 JL 30300
01,Dearness Allowance,"2,37","3,40","3,64","6,62",2215 02 105 JL 30301
304,Travel Expenses,28,"2,02","1,02","1,02",2215 02 105 JL 30400
01,Tour Travelling Allowances,28,"2,00","1,00","1,00",2215 02 105 JL 30401
02,Transfer Travelling Allowances,,2,2,2,2215 02 105 JL 30402
305,Office Expenses,5,5,5,5,2215 02 105 JL 30500
02,Other Contingencies,5,5,5,5,2215 02 105 JL 30502
321,Motor Vehicles,15,15,15,15,2215 02 105 JL 32100
02,Maintenance of Functional Vehicles,15,15,15,15,2215 02 105 JL 32102
345,"Petroleum, Oil and Lubricant","2,87","3,00","3,50","3,50",2215 02 105 JL 34500
01,"Petroleum, Oil and Lubricant","2,87","3,00","3,50","3,50",2215 02 105 JL 34501
JL,Total JL,"38,57","37,44","37,15","41,17",
#,State's Expenditure Total,"38,57","37,44","37,15","41,17",
#,Schemes shared between State and Centre,,,,,
UB,Total Sanitation Campaign - Swacch Bharat Mission,,,,,2215 02 105 UB 30000
309,Grants-in-Aid,"5,35,90,88","2,64,00,00","3,68,19,85","2,64,00,00",2215 02 105 UB 30900
03,Grants for Specific Schemes,"5,35,90,88","2,64,00,00","3,68,19,85","2,64,00,00",2215 02 105 UB 30903
UB,Total UB,"5,35,90,88","2,64,00,00","3,68,19,85","2,64,00,00",
#,Schemes shared between State and Centre Total,"5,35,90,88","2,64,00,00","3,68,19,85","2,64,00,00",
105,Total 105,"5,36,29,45","2,64,37,44","3,68,57,00","2,64,41,17",
793,Special Central Assistance for Scheduled Caste Component Plan,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Total Sanitation Campaign - Swacch Bharat Mission,,,,,2215 02 793 UA 30000
309,Grants-in-Aid,"2,54,13,68","1,32,00,00","1,84,09,93","1,32,00,00",2215 02 793 UA 30900
03,Grants for Specific Schemes,"2,54,13,68","1,32,00,00","1,84,09,93","1,32,00,00",2215 02 793 UA 30903
