head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2202,GENERAL EDUCATION,,,,,
01,Elementary Education,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Elementary Education,,,,,2202 01 001 AA 30000
301,Salaries,"4,67,81","5,58,62","5,58,28","6,00,39",2202 01 001 AA 30100
01,Pay,"4,08,11","4,97,29","4,97,29","5,37,07",2202 01 001 AA 30101
02,Medical Allowance,"2,50","3,18","2,23","2,23",2202 01 001 AA 30102
03,Medical Charges,34,25,25,25,2202 01 001 AA 30103
04,Other Allowances,"2,73","2,33","2,33","2,33",2202 01 001 AA 30104
06,House Rent Allowance,"45,51","47,90","47,88","49,94",2202 01 001 AA 30106
07,Travel Concession,23,67,67,67,2202 01 001 AA 30107
08,City Compensatory Allowance,"8,39","7,00","7,63","7,90",2202 01 001 AA 30108
303,Dearness Allowance,"38,34","64,65","79,57","1,31,58",2202 01 001 AA 30300
01,Dearness Allowance,"38,34","64,65","79,57","1,31,58",2202 01 001 AA 30301
304,Travel Expenses,"4,03","8,90","7,90","8,24",2202 01 001 AA 30400
01,Tour Travelling Allowances,"4,03","8,50","7,50","7,50",2202 01 001 AA 30401
02,Transfer Travelling Allowances,,40,40,74,2202 01 001 AA 30402
305,Office Expenses,"9,21","11,85","11,85","12,95",2202 01 001 AA 30500
01,Telephone Charges,69,70,70,"2,65",2202 01 001 AA 30501
02,Other Contingencies,"2,72","3,95","3,95","3,50",2202 01 001 AA 30502
03,Electricity Charges,"5,15","6,00","6,00","6,00",2202 01 001 AA 30503
04,Service Postage & Postal Expenditure,65,"1,20","1,20",80,2202 01 001 AA 30504
321,Motor Vehicles,37,41,41,41,2202 01 001 AA 32100
01,Purchase,,1,1,1,2202 01 001 AA 32101
02,Maintenance of Functional Vehicles,37,40,40,40,2202 01 001 AA 32102
325,Interest,,1,1,1,2202 01 001 AA 32500
01,Interest,,1,1,1,2202 01 001 AA 32501
333,Payments for Professional and Special Services,"27,18","12,30","22,50","22,50",2202 01 001 AA 33300
01,Pleaders Fees,,"2,00","2,00","2,00",2202 01 001 AA 33301
04,Contract Payment,"27,18","10,30","20,50","20,50",2202 01 001 AA 33304
345,"Petroleum, Oil and Lubricant","3,53","4,74","4,28","4,46",2202 01 001 AA 34500
01,"Petroleum, Oil and Lubricant","3,53","4,74","4,28","4,46",2202 01 001 AA 34501
349,Festival Advances,-3,,,,2202 01 001 AA 34900
01,Festival Advances-Debit,"1,95","4,00","8,00","8,00",2202 01 001 AA 34901
02,Festival Advances-Credit,"-1,98","-4,00","-8,00","-8,00",2202 01 001 AA 34902
359,Prizes and Awards,,20,20,20,2202 01 001 AA 35900
01,Prizes and Awards,,20,20,20,2202 01 001 AA 35901
376,Computer and Accessories,"2,11","3,00","3,00","3,25",2202 01 001 AA 37600
02,Maintenance,22,75,75,75,2202 01 001 AA 37602
03,Stationery,"1,89","2,25","2,25","2,50",2202 01 001 AA 37603
AA,Total AA,"5,52,55","6,64,68","6,88,00","7,83,99",
AB,Creation of Law Cell in the Directorate of Elementary Education,,,,,2202 01 001 AB 30000
301,Salaries,"20,89","16,03","16,50","17,73",2202 01 001 AB 30100
01,Pay,"18,54","14,56","14,56","15,72",2202 01 001 AB 30101
02,Medical Allowance,4,2,11,11,2202 01 001 AB 30102
06,House Rent Allowance,"2,01","1,20","1,58","1,64",2202 01 001 AB 30106
08,City Compensatory Allowance,30,25,25,26,2202 01 001 AB 30108
303,Dearness Allowance,"1,60","1,89","2,33","3,85",2202 01 001 AB 30300
01,Dearness Allowance,"1,60","1,89","2,33","3,85",2202 01 001 AB 30301
AB,Total AB,"22,49","17,92","18,83","21,58",
AC,Audit Wing,,,,,2202 01 001 AC 30000
301,Salaries,"60,90","60,16","60,36","64,97",2202 01 001 AC 30100
01,Pay,"56,37","55,20","55,20","59,62",2202 01 001 AC 30101
02,Medical Allowance,39,38,50,50,2202 01 001 AC 30102
06,House Rent Allowance,"3,71","4,14","4,22","4,40",2202 01 001 AC 30106
08,City Compensatory Allowance,43,44,44,45,2202 01 001 AC 30108
303,Dearness Allowance,"4,60","7,18","8,83","14,61",2202 01 001 AC 30300
01,Dearness Allowance,"4,60","7,18","8,83","14,61",2202 01 001 AC 30301
304,Travel Expenses,"4,00","4,10","4,10","4,00",2202 01 001 AC 30400
01,Tour Travelling Allowances,"4,00","4,00","4,00","4,00",2202 01 001 AC 30401
02,Transfer Travelling Allowances,,10,10,,2202 01 001 AC 30402
349,Festival Advances,-34,,,,2202 01 001 AC 34900
01,Festival Advances-Debit,,75,60,60,2202 01 001 AC 34901
02,Festival Advances-Credit,-34,-75,-60,-60,2202 01 001 AC 34902
AC,Total AC,"69,16","71,44","73,29","83,58",
#,State's Expenditure,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Setting up of A Smart Class room in a School in Primary and Middle Schools,,,,,2202 01 001 UA 30000
318,Maintenance,"8,10,00",1,1,1,2202 01 001 UA 31800
02,Special Maintenance,"8,10,00",1,1,1,2202 01 001 UA 31802
UA,Total UA,"8,10,00",1,1,1,
#,Schemes shared between State and Centre Total,"8,10,00",1,1,1,
001,Total 001,"14,54,20","7,54,05","7,80,13","8,89,16",
101,Government Primary Schools,,,,,
#,State's Expenditure,,,,,
AA,Salaries of  Municipal and Corporation Elementary School Teachers,,,,,2202 01 101 AA 30000
301,Salaries,"4,78,93,08","4,69,39,08","4,70,26,14","5,06,51,44",2202 01 101 AA 30100
01,Pay,"4,34,94,98","4,28,01,78","4,28,01,78","4,62,25,92",2202 01 101 AA 30101
02,Medical Allowance,"2,18,07","2,34,74","2,41,31","2,41,31",2202 01 101 AA 30102
04,Other Allowances,"2,64,43","1,65,71","1,65,71","1,65,71",2202 01 101 AA 30104
06,House Rent Allowance,"34,90,24","33,33,82","34,13,76","35,91,96",2202 01 101 AA 30106
07,Travel Concession,5,55,55,55,2202 01 101 AA 30107
08,City Compensatory Allowance,"4,25,31","4,02,48","4,03,03","4,25,99",2202 01 101 AA 30108
302,Wages,"8,80","18,93","4,87","4,87",2202 01 101 AA 30200
01,Wages,"8,80","18,93","4,87","4,87",2202 01 101 AA 30201
303,Dearness Allowance,"40,67,40","55,64,23","68,48,28","1,13,25,35",2202 01 101 AA 30300
01,Dearness Allowance,"40,67,40","55,64,23","68,48,28","1,13,25,35",2202 01 101 AA 30301
304,Travel Expenses,43,"1,20",85,71,2202 01 101 AA 30400
01,Tour Travelling Allowances,43,"1,00",65,65,2202 01 101 AA 30401
02,Transfer Travelling Allowances,,20,20,6,2202 01 101 AA 30402
305,Office Expenses,"2,77","2,80","2,80","2,73",2202 01 101 AA 30500
02,Other Contingencies,"2,77","2,80","2,80","2,73",2202 01 101 AA 30502
349,Festival Advances,"-12,47",,,,2202 01 101 AA 34900
01,Festival Advances-Debit,"2,11,30","2,70,00","6,23,00","6,23,00",2202 01 101 AA 34901
02,Festival Advances-Credit,"-2,23,77","-2,70,00","-6,23,00","-6,23,00",2202 01 101 AA 34902
359,Prizes and Awards,46,"2,00",20,20,2202 01 101 AA 35900
01,Prizes and Awards,46,"2,00",20,20,2202 01 101 AA 35901
AA,Total AA,"5,19,60,47","5,25,28,24","5,38,83,14","6,19,85,30",
AB,Government Elementary Schools,,,,,2202 01 101 AB 30000
301,Salaries,"1,29,01,32","1,30,15,93","1,30,09,25","1,40,21,42",2202 01 101 AB 30100
01,Pay,"1,22,73,02","1,23,98,55","1,23,98,55","1,33,90,43",2202 01 101 AB 30101
02,Medical Allowance,"59,24","65,83","59,44","59,44",2202 01 101 AB 30102
04,Other Allowances,"93,05","76,20","76,20","76,20",2202 01 101 AB 30104
06,House Rent Allowance,"4,70,01","4,60,32","4,60,13","4,79,91",2202 01 101 AB 30106
07,Travel Concession,,43,43,43,2202 01 101 AB 30107
08,City Compensatory Allowance,"6,00","14,60","14,50","15,01",2202 01 101 AB 30108
302,Wages,77,"2,55","2,62","2,24",2202 01 101 AB 30200
01,Wages,77,"2,55","2,62","2,24",2202 01 101 AB 30201
303,Dearness Allowance,"11,69,95","16,11,81","19,83,77","32,80,66",2202 01 101 AB 30300
01,Dearness Allowance,"11,69,95","16,11,81","19,83,77","32,80,66",2202 01 101 AB 30301
304,Travel Expenses,37,25,20,10,2202 01 101 AB 30400
01,Tour Travelling Allowances,37,15,10,10,2202 01 101 AB 30401
02,Transfer Travelling Allowances,,10,10,,2202 01 101 AB 30402
305,Office Expenses,"11,69","9,20","9,20","9,73",2202 01 101 AB 30500
02,Other Contingencies,"3,87",20,20,22,2202 01 101 AB 30502
03,Electricity Charges,"7,82","9,00","9,00","9,51",2202 01 101 AB 30503
349,Festival Advances,"-4,18",,,,2202 01 101 AB 34900
01,Festival Advances-Debit,"50,76","65,05","55,70","55,70",2202 01 101 AB 34901
02,Festival Advances-Credit,"-54,94","-65,05","-55,70","-55,70",2202 01 101 AB 34902
359,Prizes and Awards,2,"2,00","1,50","1,50",2202 01 101 AB 35900
01,Prizes and Awards,2,"2,00","1,50","1,50",2202 01 101 AB 35901
364,Lands Charged,,1,1,1,2202 01 101 AB 36400
51,Lands Charged,,1,1,1,2202 01 101 AB 36451
AB,Total AB Charged,,1,1,1,
AB,Total AB Voted,"1,40,79,94","1,46,41,74","1,50,06,54","1,73,15,65",
AC,Salaries to Panchayat Union Elementary School Teachers,,,,,2202 01 101 AC 30000
301,Salaries,"53,14,05,42","54,24,48,03","54,37,50,78","58,56,51,17",2202 01 101 AC 30100
01,Pay,"49,84,46,54","51,15,99,98","51,15,99,98","55,25,27,98",2202 01 101 AC 30101
02,Medical Allowance,"26,07,99","28,23,17","26,73,69","26,73,69",2202 01 101 AC 30102
04,Other Allowances,"43,62,42","33,26,47","33,26,47","33,26,47",2202 01 101 AC 30104
06,House Rent Allowance,"2,48,56,35","2,36,80,43","2,49,91,52","2,59,22,63",2202 01 101 AC 30106
07,Travel Concession,"1,88","2,26","2,26","2,26",2202 01 101 AC 30107
08,City Compensatory Allowance,"11,30,24","10,15,72","11,56,86","11,98,14",2202 01 101 AC 30108
302,Wages,,"2,93","2,18","2,18",2202 01 101 AC 30200
