head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2202,GENERAL EDUCATION,,,,,
02,Secondary Education,,,,,
004,Research and Training,,,,,
#,State's Expenditure,,,,,
AA,"Teacher Education, Research and Training",,,,,2202 02 004 AA 30000
301,Salaries,"2,66,62","2,54,44","2,54,44","2,72,59",2202 02 004 AA 30100
01,Pay,"2,37,12","2,26,90","2,26,90","2,45,05",2202 02 004 AA 30101
02,Medical Allowance,"1,19","1,29","1,29","1,29",2202 02 004 AA 30102
04,Other Allowances,"1,45","1,07","1,07","1,07",2202 02 004 AA 30104
06,House Rent Allowance,"22,85","21,16","21,16","21,16",2202 02 004 AA 30106
07,Travel Concession,3,14,14,14,2202 02 004 AA 30107
08,City Compensatory Allowance,"3,98","3,88","3,88","3,88",2202 02 004 AA 30108
302,Wages,,1,1,1,2202 02 004 AA 30200
01,Wages,,1,1,1,2202 02 004 AA 30201
303,Dearness Allowance,"22,32","26,86","33,06","60,04",2202 02 004 AA 30300
01,Dearness Allowance,"22,32","26,86","33,06","60,04",2202 02 004 AA 30301
304,Travel Expenses,"1,84","4,10","4,10","4,10",2202 02 004 AA 30400
01,Tour Travelling Allowances,"1,84","4,00","4,00","4,00",2202 02 004 AA 30401
02,Transfer Travelling Allowances,,10,10,10,2202 02 004 AA 30402
305,Office Expenses,"19,72","21,40","21,40","21,40",2202 02 004 AA 30500
01,Telephone Charges,77,"1,70","1,70","1,70",2202 02 004 AA 30501
02,Other Contingencies,"5,65","6,20","6,20","6,20",2202 02 004 AA 30502
03,Electricity Charges,"12,90","13,00","13,00","13,00",2202 02 004 AA 30503
04,Service Postage & Postal Expenditure,40,50,50,50,2202 02 004 AA 30504
307,Publications,10,10,10,10,2202 02 004 AA 30700
01,Publications,10,10,10,10,2202 02 004 AA 30701
308,Advertising and Publicity,"6,88","7,00","7,00","7,00",2202 02 004 AA 30800
01,Advertisement Charges,"6,88","7,00","7,00","7,00",2202 02 004 AA 30801
321,Motor Vehicles,,19,1,1,2202 02 004 AA 32100
02,Maintenance of Functional Vehicles,,19,1,1,2202 02 004 AA 32102
333,Payments for Professional and Special Services,,51,51,51,2202 02 004 AA 33300
01,Pleaders Fees,,50,50,50,2202 02 004 AA 33301
04,Contract Payment,,1,1,1,2202 02 004 AA 33304
334,Other Charges,,1,,,2202 02 004 AA 33400
01,Other Items,,1,,,2202 02 004 AA 33401
345,"Petroleum, Oil and Lubricant","3,02","3,71","3,71","3,71",2202 02 004 AA 34500
01,"Petroleum, Oil and Lubricant","3,02","3,71","3,71","3,71",2202 02 004 AA 34501
346,"Clothing, Tentage and Stores",,10,10,10,2202 02 004 AA 34600
01,"Clothing, Tentage and Stores",,10,10,10,2202 02 004 AA 34601
349,Festival Advances,-11,,,,2202 02 004 AA 34900
01,Festival Advances-Debit,85,"1,85","3,70","3,70",2202 02 004 AA 34901
02,Festival Advances-Credit,-96,"-1,85","-3,70","-3,70",2202 02 004 AA 34902
351,Compensation Charged,,1,,,2202 02 004 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,,,2202 02 004 AA 35151
359,Prizes and Awards,"1,19","1,85","1,85","1,50",2202 02 004 AA 35900
01,Prizes and Awards,"1,19","1,85","1,85","1,50",2202 02 004 AA 35901
364,Lands Charged,,1,,,2202 02 004 AA 36400
51,Lands Charged,,1,,,2202 02 004 AA 36451
371,Printing Charges,"8,26","10,75","10,75","10,75",2202 02 004 AA 37100
01,Printing Charges,"8,26","10,75","10,75","10,75",2202 02 004 AA 37101
372,Training,,1,1,1,2202 02 004 AA 37200
01,Training,,1,1,1,2202 02 004 AA 37201
376,Computer and Accessories,60,61,61,60,2202 02 004 AA 37600
01,Purchase,,1,1,,2202 02 004 AA 37601
03,Stationery,60,60,60,60,2202 02 004 AA 37603
AA,Total AA Charged,,2,,,
AA,Total AA Voted,"3,30,44","3,31,65","3,37,66","3,82,43",
AB,Educational Television Programme in Tamil Nadu,,,,,2202 02 004 AB 30000
301,Salaries,"38,72","55,27","55,12","59,07",2202 02 004 AB 30100
01,Pay,"33,50","49,34","49,34","53,29",2202 02 004 AB 30101
02,Medical Allowance,15,19,19,19,2202 02 004 AB 30102
03,Medical Charges,4,25,10,10,2202 02 004 AB 30103
04,Other Allowances,36,46,46,46,2202 02 004 AB 30104
06,House Rent Allowance,"3,92","4,23","4,23","4,23",2202 02 004 AB 30106
07,Travel Concession,3,9,9,9,2202 02 004 AB 30107
08,City Compensatory Allowance,72,71,71,71,2202 02 004 AB 30108
303,Dearness Allowance,"2,89","9,32","11,47","13,06",2202 02 004 AB 30300
01,Dearness Allowance,"2,89","9,32","11,47","13,06",2202 02 004 AB 30301
304,Travel Expenses,,5,5,5,2202 02 004 AB 30400
01,Tour Travelling Allowances,,5,5,5,2202 02 004 AB 30401
305,Office Expenses,"4,38","1,29","1,29","1,29",2202 02 004 AB 30500
02,Other Contingencies,87,"1,29","1,29","1,29",2202 02 004 AB 30502
03,Electricity Charges,"3,51",,,,2202 02 004 AB 30503
306,"Rent, Rates and Taxes",,,1,1,2202 02 004 AB 30600
03,Water Charges,,,1,1,2202 02 004 AB 30603
319,Machinery and Equipments,12,1,,,2202 02 004 AB 31900
01,Purchase,,1,,,2202 02 004 AB 31901
03,Maintenance,12,,,,2202 02 004 AB 31903
321,Motor Vehicles,,1,1,1,2202 02 004 AB 32100
02,Maintenance of Functional Vehicles,,1,1,1,2202 02 004 AB 32102
324,Materials and Supplies,,1,,,2202 02 004 AB 32400
01,Materials and Supplies,,1,,,2202 02 004 AB 32401
349,Festival Advances,-16,,,,2202 02 004 AB 34900
01,Festival Advances-Debit,10,30,60,60,2202 02 004 AB 34901
02,Festival Advances-Credit,-26,-30,-60,-60,2202 02 004 AB 34902
AB,Total AB,"45,95","65,96","67,95","73,49",
AE,Change of Higher Secondary Syllabus,,,,,2202 02 004 AE 30000
301,Salaries,,1,,,2202 02 004 AE 30100
09,Honorarium,,1,,,2202 02 004 AE 30109
304,Travel Expenses,,2,2,2,2202 02 004 AE 30400
01,Tour Travelling Allowances,,2,2,2,2202 02 004 AE 30401
305,Office Expenses,,1,1,1,2202 02 004 AE 30500
02,Other Contingencies,,1,1,1,2202 02 004 AE 30502
313,Hospitality / Entertainment Expenditure,,1,,,2202 02 004 AE 31300
01,Hospitality / Entertainment Expenditure,,1,,,2202 02 004 AE 31301
376,Computer and Accessories,,1,1,1,2202 02 004 AE 37600
03,Stationery,,1,1,1,2202 02 004 AE 37603
AE,Total AE,6,4,4,,
JJ,State Council of Educational Research and Training,,,,,2202 02 004 JJ 30000
372,Training,"1,17,69","1,16,42","1,16,42","1,16,42",2202 02 004 JJ 37200
01,Training,"1,17,69","1,16,42","1,16,42","1,16,42",2202 02 004 JJ 37201
JJ,Total JJ,"1,17,69","1,16,42","1,16,42","1,16,42",
JL,Enhancing Learning through Image Recognition Application (IRA) Technology - Schemes under State Innovation Fund,,,,,2202 02 004 JL 30000
372,Training,,,,"3,15,00",2202 02 004 JL 37200
01,Training,,,"3,15,00",,2202 02 004 JL 37201
JL,Total JL,,,"3,15,00",,
JQ,Teacher Training Programme for identification and Remedial Education for Specific Learning Disability in Tamil Nadu Government School Children and follow up mechanism of Orientation and SLD for all Teacher in each block under State Innovation Fund,,,,,2202 02 004 JQ 30000
372,Training,,"19,15",,,2202 02 004 JQ 37200
01,Training,"19,15",,,,2202 02 004 JQ 37201
JQ,Total JQ,"19,15",,,,
#,State's Expenditure Total Charged,,2,,,
#,State's Expenditure Total Voted,"5,13,23","5,14,09","8,37,07","5,72,38",
004,Total 004 Charged,,2,,,
004,Total 004 Voted,"5,13,23","5,14,09","8,37,07","5,72,38",
105,Teachers'  Training,,,,,
#,State's Expenditure,,,,,
AA,Teacher Training Institutes,,,,,2202 02 105 AA 30000
301,Salaries,"2,02,01","2,03,34","2,03,34","2,18,30",2202 02 105 AA 30100
01,Pay,"1,85,53","1,87,00","1,87,00","2,01,96",2202 02 105 AA 30101
02,Medical Allowance,"1,34","1,22","1,22","1,22",2202 02 105 AA 30102
04,Other Allowances,"1,61","1,24","1,24","1,24",2202 02 105 AA 30104
06,House Rent Allowance,"12,52","12,51","12,51","12,51",2202 02 105 AA 30106
07,Travel Concession,,12,12,12,2202 02 105 AA 30107
08,City Compensatory Allowance,"1,01","1,25","1,25","1,25",2202 02 105 AA 30108
302,Wages,,1,1,1,2202 02 105 AA 30200
01,Wages,,1,1,1,2202 02 105 AA 30201
303,Dearness Allowance,"18,15","22,51","27,71","49,48",2202 02 105 AA 30300
01,Dearness Allowance,"18,15","22,51","27,71","49,48",2202 02 105 AA 30301
304,Travel Expenses,97,"4,65","4,65","4,65",2202 02 105 AA 30400
01,Tour Travelling Allowances,97,"4,35","4,35","4,35",2202 02 105 AA 30401
02,Transfer Travelling Allowances,,30,30,30,2202 02 105 AA 30402
305,Office Expenses,"3,20","7,35","7,35","7,35",2202 02 105 AA 30500
01,Telephone Charges,48,"1,20","1,20","1,20",2202 02 105 AA 30501
02,Other Contingencies,66,90,90,90,2202 02 105 AA 30502
03,Electricity Charges,"1,93","4,80","4,80","4,80",2202 02 105 AA 30503
04,Service Postage & Postal Expenditure,13,45,45,45,2202 02 105 AA 30504
306,"Rent, Rates and Taxes",,1,,,2202 02 105 AA 30600
01,Rent,,1,,,2202 02 105 AA 30601
349,Festival Advances,-3,,,,2202 02 105 AA 34900
01,Festival Advances-Debit,85,"2,15","4,30","4,30",2202 02 105 AA 34901
02,Festival Advances-Credit,-88,"-2,15","-4,30","-4,30",2202 02 105 AA 34902
376,Computer and Accessories,12,18,18,18,2202 02 105 AA 37600
03,Stationery,12,18,18,18,2202 02 105 AA 37603
AA,Total AA,"2,24,42","2,38,05","2,43,24","2,79,97",
AB,School for Training of Teachers in Anglo-Indian Schools,,,,,2202 02 105 AB 30000
379,Salary Grants,"34,71","34,38","38,35","42,29",2202 02 105 AB 37900
01,Pay,"29,21","28,11","29,28","30,45",2202 02 105 AB 37901
02,Medical Allowance,25,15,26,26,2202 02 105 AB 37902
04,Other Allowances,16,18,16,16,2202 02 105 AB 37904
06,House Rent Allowances,"2,60","1,67","3,33","3,33",2202 02 105 AB 37906
08,City Compensatory Allowance,51,62,63,63,2202 02 105 AB 37908
09,Dearness Allowance,"1,98","3,65","4,69","7,46",2202 02 105 AB 37909
AB,Total AB,"34,71","34,38","38,35","42,29",
AC,"Grants to Regional Institute of English, South India, Bangalore",,,,,2202 02 105 AC 30000
309,Grants-in-Aid,"40,00","40,00","40,00","40,00",2202 02 105 AC 30900
03,Grants for Specific Schemes,"40,00","40,00","40,00","40,00",2202 02 105 AC 30903
AC,Total AC,"40,00","40,00","40,00","40,00",
AE,Assistance to Private Training Schools - General,,,,,2202 02 105 AE 30000
309,Grants-in-Aid,"3,19,87","3,20,00","3,20,00","3,20,00",2202 02 105 AE 30900
01,Grants for Current Expenditure,"3,19,87","3,20,00","3,20,00","3,20,00",2202 02 105 AE 30901
AE,Total AE,"3,19,87","3,20,00","3,20,00","3,20,00",
AF,Tamil Nadu English Language Teaching Campaign,,,,,2202 02 105 AF 30000
301,Salaries,"69,63","78,97","78,82","84,47",2202 02 105 AF 30100
01,Pay,"63,51","70,60","70,60","76,25",2202 02 105 AF 30101
02,Medical Allowance,41,44,44,44,2202 02 105 AF 30102
03,Medical Charges,9,25,10,10,2202 02 105 AF 30103
04,Other Allowances,10,10,10,10,2202 02 105 AF 30104
06,House Rent Allowance,"4,99","6,90","6,90","6,90",2202 02 105 AF 30106
07,Travel Concession,3,12,12,12,2202 02 105 AF 30107
08,City Compensatory Allowance,50,56,56,56,2202 02 105 AF 30108
302,Wages,,1,1,1,2202 02 105 AF 30200
01,Wages,,1,1,1,2202 02 105 AF 30201
303,Dearness Allowance,"6,23","10,70","13,17","18,68",2202 02 105 AF 30300
01,Dearness Allowance,"6,23","10,70","13,17","18,68",2202 02 105 AF 30301
304,Travel Expenses,3,22,22,22,2202 02 105 AF 30400
01,Tour Travelling Allowances,3,20,20,20,2202 02 105 AF 30401
02,Transfer Travelling Allowances,,2,2,2,2202 02 105 AF 30402
305,Office Expenses,9,10,10,10,2202 02 105 AF 30500
