head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2202,GENERAL EDUCATION,,,,,
01,Elementary Education,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
KU,"Reimbursement of fee claimed as per the provision of section 12(1)(c) of Right of Children to Free and Compulsory Education Act, 2009",,,,,2202 01 800 KU 30000
309,Grants-in-Aid,"2,48,75,87","2,48,75,88","2,48,75,88","3,04,14,09",2202 01 800 KU 30900
03,Grants for Specific Schemes,"2,48,75,87","2,48,75,88","2,48,75,88","3,04,14,09",2202 01 800 KU 30903
KU,Total KU,"2,48,75,87","2,48,75,88","2,48,75,88","3,04,14,09",
#,State's Expenditure Total,"2,48,75,87","2,48,75,88","2,48,75,88","3,04,14,09",
800,Total 800,"2,48,75,87","2,48,75,88","2,48,75,88","3,04,14,09",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
KU,"Reimbursement of fee claimed as per the provision of section 12(1)(c) of Right of Children to Free and Compulsory Education Act, 2009",,,,,2202 01 911 KU 30000
377,Deduct-Recoveries,"-45,78",,,,2202 01 911 KU 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"-45,78",,,,2202 01 911 KU 37702
KU,Total KU,"-45,78",,,,
911,Total 911,"-45,78",,,,
01,Total 01,"2,48,30,09","2,48,75,88","2,48,75,88","3,04,14,09",
02,Secondary Education,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AC,Directorate of Matriculation Schools - Administration,,,,,2202 02 001 AC 30000
301,Salaries,"1,70,88","1,83,94","1,94,10","2,07,69",2202 02 001 AC 30100
01,Pay,"1,51,26","1,70,00","1,68,22","1,81,68",2202 02 001 AC 30101
02,Medical Allowance,95,84,"1,05","1,05",2202 02 001 AC 30102
03,Medical Charges,5,12,,,2202 02 001 AC 30103
04,Other Allowances,"1,01",99,99,99,2202 02 001 AC 30104
06,House Rent Allowance,"14,87","9,46","20,48","20,48",2202 02 001 AC 30106
07,Travel Concession,,12,12,12,2202 02 001 AC 30107
08,City Compensatory Allowance,"2,74","2,41","3,24","3,37",2202 02 001 AC 30108
303,Dearness Allowance,"13,70","22,43","25,30","44,51",2202 02 001 AC 30300
01,Dearness Allowance,"13,70","22,43","25,30","44,51",2202 02 001 AC 30301
304,Travel Expenses,"1,31","2,96","2,96","2,96",2202 02 001 AC 30400
01,Tour Travelling Allowances,"1,18","2,76","2,76","2,76",2202 02 001 AC 30401
02,Transfer Travelling Allowances,13,20,20,20,2202 02 001 AC 30402
305,Office Expenses,"2,95","3,50","3,50","3,50",2202 02 001 AC 30500
01,Telephone Charges,45,"1,00","1,00","1,00",2202 02 001 AC 30501
02,Other Contingencies,"2,10","2,10","2,10","2,10",2202 02 001 AC 30502
04,Service Postage & Postal Expenditure,40,40,40,40,2202 02 001 AC 30504
321,Motor Vehicles,,30,"7,30",30,2202 02 001 AC 32100
01,Purchase,,,"7,00",,2202 02 001 AC 32101
02,Maintenance of Functional Vehicles,,30,30,30,2202 02 001 AC 32102
333,Payments for Professional and Special Services,"28,45","5,49","6,89","6,89",2202 02 001 AC 33300
01,Pleaders Fees,,20,"1,60","1,60",2202 02 001 AC 33301
04,Contract Payment,"28,45","5,29","5,29","5,29",2202 02 001 AC 33304
345,"Petroleum, Oil and Lubricant","1,65","3,18","2,43","2,53",2202 02 001 AC 34500
01,"Petroleum, Oil and Lubricant","1,65","3,18","2,43","2,53",2202 02 001 AC 34501
349,Festival Advances,15,,,,2202 02 001 AC 34900
01,Festival Advances-Debit,80,"1,35","2,90","2,90",2202 02 001 AC 34901
02,Festival Advances-Credit,-65,"-1,35","-2,90","-2,90",2202 02 001 AC 34902
351,Compensation Charged,,1,1,1,2202 02 001 AC 35100
52,Other Compensations Charged,,1,1,1,2202 02 001 AC 35152
376,Computer and Accessories,"1,50","1,50","1,50","1,50",2202 02 001 AC 37600
02,Maintenance,50,50,50,50,2202 02 001 AC 37602
03,Stationery,"1,00","1,00","1,00","1,00",2202 02 001 AC 37603
AC,Total AC Charged,,1,1,1,
AC,Total AC Voted,"2,20,59","2,23,30","2,43,98","2,69,88",
#,State's Expenditure Total Charged,,1,1,1,
#,State's Expenditure Total Voted,"2,20,59","2,23,30","2,43,98","2,69,88",
001,Total 001 Charged,,1,1,1,
001,Total 001 Voted,"2,20,59","2,23,30","2,43,98","2,69,88",
101,Inspection,,,,,
#,State's Expenditure,,,,,
AB,Inspectors of Matriculation Schools,,,,,2202 02 101 AB 30000
301,Salaries,"1,30,72",,,,2202 02 101 AB 30100
01,Pay,"1,21,85",,,,2202 02 101 AB 30101
02,Medical Allowance,63,,,,2202 02 101 AB 30102
04,Other Allowances,25,,,,2202 02 101 AB 30104
06,House Rent Allowance,"7,22",,,,2202 02 101 AB 30106
08,City Compensatory Allowance,77,,,,2202 02 101 AB 30108
303,Dearness Allowance,"14,53",,,,2202 02 101 AB 30300
01,Dearness Allowance,"14,53",,,,2202 02 101 AB 30301
304,Travel Expenses,22,,,,2202 02 101 AB 30400
01,Tour Travelling Allowances,22,,,,2202 02 101 AB 30401
305,Office Expenses,12,,,,2202 02 101 AB 30500
01,Telephone Charges,5,,,,2202 02 101 AB 30501
02,Other Contingencies,2,,,,2202 02 101 AB 30502
03,Electricity Charges,5,,,,2202 02 101 AB 30503
306,"Rent, Rates and Taxes",28,,,,2202 02 101 AB 30600
01,Rent,28,,,,2202 02 101 AB 30601
345,"Petroleum, Oil and Lubricant",35,,,,2202 02 101 AB 34500
01,"Petroleum, Oil and Lubricant",35,,,,2202 02 101 AB 34501
349,Festival Advances,-62,,,,2202 02 101 AB 34900
02,Festival Advances-Credit,-62,,,,2202 02 101 AB 34902
AB,Total AB,"1,45,60",,,,
#,State's Expenditure Total,"1,45,60",,,,
101,Total 101,"1,45,60",,,,
109,Government Secondary Schools,,,,,
#,State's Expenditure,,,,,
BD,Constitution of  Private Schools Fee Determination Committee,,,,,2202 02 109 BD 30000
301,Salaries,"19,47","6,65","13,50","14,58",2202 02 109 BD 30100
01,Pay,"13,63","2,60","13,50","14,58",2202 02 109 BD 30101
06,House Rent Allowance,"5,55","4,00",,,2202 02 109 BD 30106
08,City Compensatory Allowance,29,5,,,2202 02 109 BD 30108
303,Dearness Allowance,"6,21","1,00","3,78","3,57",2202 02 109 BD 30300
01,Dearness Allowance,"6,21","1,00","3,78","3,57",2202 02 109 BD 30301
305,Office Expenses,"2,95",,"3,00",,2202 02 109 BD 30500
02,Other Contingencies,"2,95",,"3,00",,2202 02 109 BD 30502
314,Sumptuary Allowances,,"1,44","3,24","3,24",2202 02 109 BD 31400
01,Sumptuary Allowances,,"1,44","3,24","3,24",2202 02 109 BD 31401
333,Payments for Professional and Special Services,"46,34","35,24","35,24","35,24",2202 02 109 BD 33300
03,Special Service,"7,95","30,90","30,90","30,90",2202 02 109 BD 33303
09,Other Payments,"38,39","4,34","4,34","4,34",2202 02 109 BD 33309
345,"Petroleum, Oil and Lubricant","1,40","1,23",,,2202 02 109 BD 34500
01,"Petroleum, Oil and Lubricant","1,40","1,23",,,2202 02 109 BD 34501
BD,Total BD,"76,37","45,56","58,76","56,63",
#,State's Expenditure Total,"76,37","45,56","58,76","56,63",
109,Total 109,"76,37","45,56","58,76","56,63",
02,Total 02 Charged,,1,1,1,
02,Total 02 Voted,"4,42,56","2,68,86","3,02,74","3,26,51",
2202,Total 2202 Charged,,1,1,1,
2202,Total 2202 Voted,"2,52,72,65","2,51,44,74","2,51,78,62","3,07,40,60",
