head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2425-00,CO-OPERATION,,,,,
108,Assistance to other Co-operatives,,,,,
#,State's Expenditure,,,,,
KE,"Assistance to Cheran Industrial Co-operative Estate, Coimbatore",,,,,2425 00 108 KE 30000
309,Grants-in-Aid,,1,1,1,2425 00 108 KE 30900
02,Grants for Creation of Capital Assets,,1,1,1,2425 00 108 KE 30902
KE,Total KE,1,1,1,,
KH,Upgradation / Modernisation of Co-operative Industrial Estates,,,,,2425 00 108 KH 30000
309,Grants-in-Aid,"30,00",,"20,00","1,63,35",2425 00 108 KH 30900
03,Grants for Specific Schemes,"30,00",,"20,00","1,63,35",2425 00 108 KH 30903
KH,Total KH,"30,00",,"20,00","1,63,35",
KI,Stitching Machines to the Tamil Nadu Special Police Ladies Banian Manufacturers Industrial Co-Operative Society Limited,,,,,2425 00 108 KI 30000
309,Grants-in-Aid,"18,00",,,,2425 00 108 KI 30900
02,Grants for Creation of Capital Assets,"18,00",,,,2425 00 108 KI 30902
KI,Total KI,"18,00",,,,
KJ,Modernization of  Irula Snake Catchers Industrial Co-Operative Society Ltd under State Innovation Fund,,,,,2425 00 108 KJ 30000
309,Grants-in-Aid,"30,00",,,,2425 00 108 KJ 30900
09,Others,"30,00",,,,2425 00 108 KJ 30909
KJ,Total KJ,"30,00",,,,
KK,Setting up of unit  for the production of Catechins (Kaikatty Industrial Co-Operative Tea Factory Ltd) under State Innovation Fund,,,,,2425 00 108 KK 30000
309,Grants-in-Aid,"2,00,00",,,,2425 00 108 KK 30900
09,Others,"2,00,00",,,,2425 00 108 KK 30909
KK,Total KK,"2,00,00",,,,
KL,Financial Assistance to Coir Industrial Co-operative Societies,,,,,2425 00 108 KL 30000
311,Subsidies,,,"2,32,91",1,2425 00 108 KL 31100
01,Individual Based Subsidy,,,"2,32,91",1,2425 00 108 KL 31101
KL,Total KL,,"2,32,91",1,,
KM,"Purchase of new equipments to establish a lab for venom extraction to Irula Snake catchers Livelihood Industrial Cooperative Society Ltd., Thiruvannamalai  - Scheme under State Innovation Fund",,,,,2425 00 108 KM 30000
309,Grants-in-Aid,,,"32,50",,2425 00 108 KM 30900
03,Grants for Specific Schemes,,,"32,50",,2425 00 108 KM 30903
KM,Total KM,,"32,50",,,
MY,Upgradation and modernization of Existing Testing Laboratory of the Industrial Co-operative Analytical Laboratory Limited,,,,,2425 00 108 MY 30000
309,Grants-in-Aid,"25,00",,,,2425 00 108 MY 30900
03,Grants for Specific Schemes,"25,00",,,,2425 00 108 MY 30903
MY,Total MY,"25,00",,,,
#,State's Expenditure Total,"3,03,00",1,"2,85,42","1,63,37",
108,Total 108,"3,03,00",1,"2,85,42","1,63,37",
902,Deduct - Amount met from State Innovation Fund,,,,,
#,State's Expenditure,,,,,
JB,Deduct - Amount met from State Innovation Fund,,,,,2425 00 902 JB 30000
330,Inter-Account Transfers,,,"-32,50",,2425 00 902 JB 33000
01,Inter-Account Transfers,,,"-32,50",,2425 00 902 JB 33001
JB,Total JB,,,"-32,50",,
JF,Deduct - Amount met from State Innovation Fund,,,,,2425 00 902 JF 30000
330,Inter-Account Transfers,"-2,30,00",,,,2425 00 902 JF 33000
01,Inter-Account Transfers,"-2,30,00",,,,2425 00 902 JF 33001
JF,Total JF,"-2,30,00",,,,
#,State's Expenditure Total,"-2,30,00",,"-32,50",,
902,Total 902,"-2,30,00",,"-32,50",,
00,Total 00,"73,00",1,"2,52,92","1,63,37",
2425,Total 2425,"73,00",1,"2,52,92","1,63,37",
2851-00,VILLAGE AND SMALL INDUSTRIES,,,,,
101,Industrial Estates,,,,,
#,State's Expenditure,,,,,
AC,Management and Maintenance of Industrial Estate at Adayar,,,,,2851 00 101 AC 30000
301,Salaries,"25,11","23,68",,,2851 00 101 AC 30100
01,Pay,"22,17","20,72",,,2851 00 101 AC 30101
02,Medical Allowance,12,12,,,2851 00 101 AC 30102
03,Medical Charges,,6,,,2851 00 101 AC 30103
04,Other Allowances,4,16,,,2851 00 101 AC 30104
06,House Rent Allowance,"2,35","2,21",,,2851 00 101 AC 30106
07,Travel Concession,3,5,,,2851 00 101 AC 30107
08,City Compensatory Allowance,40,36,,,2851 00 101 AC 30108
303,Dearness Allowance,"3,10","2,69",,,2851 00 101 AC 30300
01,Dearness Allowance,"3,10","2,69",,,2851 00 101 AC 30301
304,Travel Expenses,,2,,,2851 00 101 AC 30400
02,Transfer Travelling Allowances,,2,,,2851 00 101 AC 30402
305,Office Expenses,"1,13","1,71",,,2851 00 101 AC 30500
01,Telephone Charges,19,21,,,2851 00 101 AC 30501
02,Other Contingencies,17,18,,,2851 00 101 AC 30502
03,Electricity Charges,77,"1,30",,,2851 00 101 AC 30503
04,Service Postage & Postal Expenditure,,2,,,2851 00 101 AC 30504
306,"Rent, Rates and Taxes",8,13,,,2851 00 101 AC 30600
02,Property tax,8,13,,,2851 00 101 AC 30602
321,Motor Vehicles,,4,,,2851 00 101 AC 32100
02,Maintenance of Functional Vehicles,,4,,,2851 00 101 AC 32102
349,Festival Advances,5,,,,2851 00 101 AC 34900
01,Festival Advances-Debit,10,35,,,2851 00 101 AC 34901
02,Festival Advances-Credit,-5,-35,,,2851 00 101 AC 34902
376,Computer and Accessories,5,28,,,2851 00 101 AC 37600
02,Maintenance,5,19,,,2851 00 101 AC 37602
03,Stationery,,9,,,2851 00 101 AC 37603
AC,Total AC,"29,52","28,55",,,
AF,"Management and Maintenance of Industrial Estate, Kakkalur",,,,,2851 00 101 AF 30000
301,Salaries,"6,02","9,26","7,71","7,98",2851 00 101 AF 30100
01,Pay,"5,26","7,94","6,58","6,85",2851 00 101 AF 30101
02,Medical Allowance,7,9,7,7,2851 00 101 AF 30102
04,Other Allowances,8,20,3,3,2851 00 101 AF 30104
06,House Rent Allowance,50,81,81,81,2851 00 101 AF 30106
08,City Compensatory Allowance,11,22,22,22,2851 00 101 AF 30108
303,Dearness Allowance,46,"1,03","1,05","1,68",2851 00 101 AF 30300
01,Dearness Allowance,46,"1,03","1,05","1,68",2851 00 101 AF 30301
304,Travel Expenses,,24,24,24,2851 00 101 AF 30400
01,Tour Travelling Allowances,,24,24,24,2851 00 101 AF 30401
305,Office Expenses,45,69,70,67,2851 00 101 AF 30500
01,Telephone Charges,7,10,12,15,2851 00 101 AF 30501
02,Other Contingencies,10,9,9,7,2851 00 101 AF 30502
03,Electricity Charges,22,40,40,44,2851 00 101 AF 30503
04,Service Postage & Postal Expenditure,6,10,9,1,2851 00 101 AF 30504
306,"Rent, Rates and Taxes",37,62,,,2851 00 101 AF 30600
02,Property tax,37,62,,,2851 00 101 AF 30602
318,Maintenance,,10,10,10,2851 00 101 AF 31800
01,Periodical Maintenance,,10,10,10,2851 00 101 AF 31801
333,Payments for Professional and Special Services,,1,1,1,2851 00 101 AF 33300
01,Pleaders Fees,,1,1,1,2851 00 101 AF 33301
349,Festival Advances,,,,,
01,Festival Advances-Debit,5,15,20,20,2851 00 101 AF 34901
02,Festival Advances-Credit,-5,-15,-20,-20,2851 00 101 AF 34902
359,Prizes and Awards,,2,2,2,2851 00 101 AF 35900
01,Prizes and Awards,,2,2,2,2851 00 101 AF 35901
AF,Total AF,"7,30","11,97","9,83","10,70",
AG,Establishment of Special Electrical Ancillary and Instruments Estate at Hosur,,,,,2851 00 101 AG 30000
301,Salaries,,"14,44",,,2851 00 101 AG 30100
01,Pay,,"12,58",,,2851 00 101 AG 30101
02,Medical Allowance,,3,,,2851 00 101 AG 30102
04,Other Allowances,,"1,28",,,2851 00 101 AG 30104
06,House Rent Allowance,,55,,,2851 00 101 AG 30106
303,Dearness Allowance,,"1,64",,,2851 00 101 AG 30300
01,Dearness Allowance,,"1,64",,,2851 00 101 AG 30301
304,Travel Expenses,,12,,,2851 00 101 AG 30400
01,Tour Travelling Allowances,,12,,,2851 00 101 AG 30401
305,Office Expenses,13,57,,,2851 00 101 AG 30500
02,Other Contingencies,,1,,,2851 00 101 AG 30502
03,Electricity Charges,13,55,,,2851 00 101 AG 30503
04,Service Postage & Postal Expenditure,,1,,,2851 00 101 AG 30504
318,Maintenance,,39,,,2851 00 101 AG 31800
01,Periodical Maintenance,,39,,,2851 00 101 AG 31801
321,Motor Vehicles,,10,,,2851 00 101 AG 32100
02,Maintenance of Functional Vehicles,,10,,,2851 00 101 AG 32102
345,"Petroleum, Oil and Lubricant",,48,,,2851 00 101 AG 34500
01,"Petroleum, Oil and Lubricant",,48,,,2851 00 101 AG 34501
349,Festival Advances,,,,,
01,Festival Advances-Debit,,10,,,2851 00 101 AG 34901
02,Festival Advances-Credit,,-10,,,2851 00 101 AG 34902
AG,Total AG,13,"17,74",,,
AI,Establishment of Electrical and Electronics Industrial Estate at Trichy,,,,,2851 00 101 AI 30000
301,Salaries,"3,72","6,23",35,36,2851 00 101 AI 30100
01,Pay,"3,39","5,83",5,6,2851 00 101 AI 30101
02,Medical Allowance,4,3,1,1,2851 00 101 AI 30102
04,Other Allowances,3,8,,,2851 00 101 AI 30104
06,House Rent Allowance,22,23,23,23,2851 00 101 AI 30106
08,City Compensatory Allowance,4,6,6,6,2851 00 101 AI 30108
303,Dearness Allowance,29,76,1,1,2851 00 101 AI 30300
01,Dearness Allowance,29,76,1,1,2851 00 101 AI 30301
305,Office Expenses,8,10,1,,2851 00 101 AI 30500
01,Telephone Charges,3,5,,,2851 00 101 AI 30501
02,Other Contingencies,3,1,1,,2851 00 101 AI 30502
03,Electricity Charges,,1,,,2851 00 101 AI 30503
04,Service Postage & Postal Expenditure,2,3,,,2851 00 101 AI 30504
318,Maintenance,,13,13,13,2851 00 101 AI 31800
01,Periodical Maintenance,,13,13,13,2851 00 101 AI 31801
349,Festival Advances,-2,,,,2851 00 101 AI 34900
01,Festival Advances-Debit,,5,,,2851 00 101 AI 34901
02,Festival Advances-Credit,-2,-5,,,2851 00 101 AI 34902
AI,Total AI,"4,07","7,22",50,50,
AK,Establishment of Data Bank and Information Centre for Electrical and Electronic Industries,,,,,2851 00 101 AK 30000
301,Salaries,"8,38","3,97","14,43","14,96",2851 00 101 AK 30100
01,Pay,"6,95","2,69","13,12","13,65",2851 00 101 AK 30101
02,Medical Allowance,1,2,5,5,2851 00 101 AK 30102
04,Other Allowances,3,2,2,2,2851 00 101 AK 30104
06,House Rent Allowance,"1,22","1,10","1,10","1,10",2851 00 101 AK 30106
08,City Compensatory Allowance,17,14,14,14,2851 00 101 AK 30108
302,Wages,,1,1,,2851 00 101 AK 30200
01,Wages,,1,1,,2851 00 101 AK 30201
303,Dearness Allowance,"5,89",35,"2,10","3,34",2851 00 101 AK 30300
01,Dearness Allowance,"5,89",35,"2,10","3,34",2851 00 101 AK 30301
304,Travel Expenses,,2,2,2,2851 00 101 AK 30400
02,Transfer Travelling Allowances,,2,2,2,2851 00 101 AK 30402
305,Office Expenses,2,6,4,8,2851 00 101 AK 30500
02,Other Contingencies,2,4,4,8,2851 00 101 AK 30502
04,Service Postage & Postal Expenditure,,2,,,2851 00 101 AK 30504
308,Advertising and Publicity,13,19,19,19,2851 00 101 AK 30800
01,Advertisement Charges,13,19,19,19,2851 00 101 AK 30801
334,Other Charges,31,31,31,31,2851 00 101 AK 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",31,31,31,31,2851 00 101 AK 33402
349,Festival Advances,,,,,
01,Festival Advances-Debit,5,5,20,20,2851 00 101 AK 34901
02,Festival Advances-Credit,-5,-5,-20,-20,2851 00 101 AK 34902
AK,Total AK,"14,73","4,91","17,10","18,90",
AL,Establishment of Ceramic Industrial Estate at Virudhachalam,,,,,2851 00 101 AL 30000
301,Salaries,"18,14","10,47",,,2851 00 101 AL 30100
01,Pay,"17,44","9,07",,,2851 00 101 AL 30101
02,Medical Allowance,7,6,,,2851 00 101 AL 30102
04,Other Allowances,3,12,,,2851 00 101 AL 30104
06,House Rent Allowance,60,"1,22",,,2851 00 101 AL 30106
303,Dearness Allowance,"2,07","1,18",,,2851 00 101 AL 30300
01,Dearness Allowance,"2,07","1,18",,,2851 00 101 AL 30301
304,Travel Expenses,,20,,,2851 00 101 AL 30400
01,Tour Travelling Allowances,,20,,,2851 00 101 AL 30401
305,Office Expenses,"1,29","1,17",,,2851 00 101 AL 30500
02,Other Contingencies,5,5,,,2851 00 101 AL 30502
03,Electricity Charges,"1,24","1,02",,,2851 00 101 AL 30503
04,Service Postage & Postal Expenditure,,10,,,2851 00 101 AL 30504
318,Maintenance,,1,,,2851 00 101 AL 31800
01,Periodical Maintenance,,1,,,2851 00 101 AL 31801
349,Festival Advances,1,,,,2851 00 101 AL 34900
01,Festival Advances-Debit,10,10,,,2851 00 101 AL 34901
02,Festival Advances-Credit,-9,-10,,,2851 00 101 AL 34902
AL,Total AL,"21,51","13,03 ""JF",,,
"Infrastructure Facilities""",,,,,,
in Industrial Estates,,,,,2851 00 101 JF 30000,
309,Grants-in-Aid,,1,1,1,2851 00 101 JF 30900
03,Grants for Specific Schemes,,1,1,1,2851 00 101 JF 30903
JF,Total JF,1,1,1,,
#,State's Expenditure Total,"77,26","83,43","27,44","30,11",
101,Total 101,"77,26","83,43","27,44","30,11",
102,Small Scale Industries,,,,,
#,State's Expenditure,,,,,
AA,"Chemical Testing and Analytical Laboratory, Chennai",,,,,2851 00 102 AA 30000
301,Salaries,"1,17,38","1,31,71","1,42,18","1,47,21",2851 00 102 AA 30100
01,Pay,"1,02,86","1,14,66","1,25,48","1,30,51",2851 00 102 AA 30101
02,Medical Allowance,45,45,45,45,2851 00 102 AA 30102
03,Medical Charges,5,28,11,11,2851 00 102 AA 30103
04,Other Allowances,47,80,62,62,2851 00 102 AA 30104
06,House Rent Allowance,"11,56","13,66","13,66","13,66",2851 00 102 AA 30106
07,Travel Concession,,2,2,2,2851 00 102 AA 30107
08,City Compensatory Allowance,"1,99","1,84","1,84","1,84",2851 00 102 AA 30108
303,Dearness Allowance,"11,64","14,91","20,08","31,97",2851 00 102 AA 30300
01,Dearness Allowance,"11,64","14,91","20,08","31,97",2851 00 102 AA 30301
304,Travel Expenses,12,34,34,34,2851 00 102 AA 30400
01,Tour Travelling Allowances,12,24,24,24,2851 00 102 AA 30401
02,Transfer Travelling Allowances,,10,10,10,2851 00 102 AA 30402
305,Office Expenses,"1,51","2,09","2,14","2,35",2851 00 102 AA 30500 
01,Telephone Charges,6,10,15,16,2851 00 102 AA 30501
02,Other Contingencies,14,14,14,24,2851 00 102 AA 30502
03,Electricity Charges,"1,27","1,81","1,81","1,90",2851 00 102 AA 30503
04,Service Postage & Postal Expenditure,4,4,4,5,2851 00 102 AA 30504
308,Advertising and Publicity,9,10,"1,00",11,2851 00 102 AA 30800
01,Advertisement Charges,9,10,"1,00",11,2851 00 102 AA 30801
318,Maintenance,,10,10,"51,10",2851 00 102 AA 31800
01,Periodical Maintenance,,10,10,10,2851 00 102 AA 31801
02,Special Maintenance,,,,"51,00",2851 00 102 AA 31802
319,Machinery and Equipments,"1,00","1,01","1,01","1,02",2851 00 102 AA 31900
01,Purchase,,1,1,2,2851 00 102 AA 31901
03,Maintenance,"1,00","1,00","1,00","1,00",2851 00 102 AA 31903
324,Materials and Supplies,87,90,90,90,2851 00 102 AA 32400
01,Materials and Supplies,87,90,90,90,2851 00 102 AA 32401
334,Other Charges,,5,5,6,2851 00 102 AA 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",,5,5,6,2851 00 102 AA 33402
349,Festival Advances,-25,,,,2851 00 102 AA 34900
01,Festival Advances-Debit,25,90,90,95,2851 00 102 AA 34901
02,Festival Advances-Credit,-50,-90,-90,-95,2851 00 102 AA 34902
359,Prizes and Awards,,2,2,2,2851 00 102 AA 35900
01,Prizes and Awards,,2,2,2,2851 00 102 AA 35901
372,Training,,2,2,3,2851 00 102 AA 37200
01,Training,,2,2,3,2851 00 102 AA 37201
376,Computer and Accessories,11,6,6,6,2851 00 102 AA 37600
02,Maintenance,6,1,1,1,2851 00 102 AA 37602
03,Stationery,5,5,5,5,2851 00 102 AA 37603
AA,Total AA,"1,32,47","1,51,31","1,67,90","2,35,17",
AI,Technical Information Sections in the Industrial Estates,,,,,2851 00 102 AI 30000
301,Salaries,"25,71","19,20","19,16","19,84",2851 00 102 AI 30100
01,Pay,"23,57","16,65","16,65","17,33",2851 00 102 AI 30101
02,Medical Allowance,11,6,5,5,2851 00 102 AI 30102
03,Medical Charges,,8,8,8,2851 00 102 AI 30103
04,Other Allowances,6,28,25,25,2851 00 102 AI 30104
06,House Rent Allowance,"1,64","1,61","1,61","1,61",2851 00 102 AI 30106
07,Travel Concession,,6,6,6,2851 00 102 AI 30107
08,City Compensatory Allowance,33,46,46,46,2851 00 102 AI 30108
303,Dearness Allowance,"4,37","2,16","2,66","4,25",2851 00 102 AI 30300
01,Dearness Allowance,"4,37","2,16","2,66","4,25",2851 00 102 AI 30301
304,Travel Expenses,2,12,12,12,2851 00 102 AI 30400
01,Tour Travelling Allowances,2,10,10,10,2851 00 102 AI 30401
02,Transfer Travelling Allowances,,2,2,2,2851 00 102 AI 30402
305,Office Expenses,6,45,45,52,2851 00 102 AI 30500
01,Telephone Charges,,12,12,14,2851 00 102 AI 30501
02,Other Contingencies,3,10,10,10,2851 00 102 AI 30502
03,Electricity Charges,,20,20,24,2851 00 102 AI 30503
04,Service Postage & Postal Expenditure,3,3,3,4,2851 00 102 AI 30504
318,Maintenance,,3,3,3,2851 00 102 AI 31800
01,Periodical Maintenance,,3,3,3,2851 00 102 AI 31801
334,Other Charges,15,35,35,42,2851 00 102 AI 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",15,35,35,42,2851 00 102 AI 33402
349,Festival Advances,,,,,
01,Festival Advances-Debit,10,20,20,24,2851 00 102 AI 34901
02,Festival Advances-Credit,-10,-20,-20,-24,2851 00 102 AI 34902
AI,Total AI,"30,31","22,31","22,77","25,18",
AL,"Institute of Ceramic Technology, Virudhachalam",,,,,2851 00 102 AL 30000
301,Salaries,"46,66","63,18","54,47","56,55",2851 00 102 AL 30100
01,Pay,"44,26","60,03","51,66","53,74",2851 00 102 AL 30101
02,Medical Allowance,25,30,25,25,2851 00 102 AL 30102
04,Other Allowances,3,30,1,1,2851 00 102 AL 30104
06,House Rent Allowance,"2,12","2,55","2,55","2,55",2851 00 102 AL 30106
303,Dearness Allowance,"3,87","7,80","8,27","13,17",2851 00 102 AL 30300
01,Dearness Allowance,"3,87","7,80","8,27","13,17",2851 00 102 AL 30301
304,Travel Expenses,52,52,52,52,2851 00 102 AL 30400
01,Tour Travelling Allowances,52,52,52,52,2851 00 102 AL 30401
305,Office Expenses,"2,50","2,37","4,17","3,77",2851 00 102 AL 30500
01,Telephone Charges,12,13,19,23,2851 00 102 AL 30501
02,Other Contingencies,63,63,63,"1,24",2851 00 102 AL 30502
03,Electricity Charges,"1,54","1,40","3,16","2,10",2851 00 102 AL 30503
04,Service Postage & Postal Expenditure,21,21,19,20,2851 00 102 AL 30504
306,"Rent, Rates and Taxes",52,52,60,70,2851 00 102 AL 30600
02,Property tax,52,52,60,70,2851 00 102 AL 30602
308,Advertising and Publicity,73,92,80,85,2851 00 102 AL 30800
01,Advertisement Charges,73,92,80,85,2851 00 102 AL 30801
319,Machinery and Equipments,,20,20,20,2851 00 102 AL 31900
03,Maintenance,,20,20,20,2851 00 102 AL 31903
324,Materials and Supplies,9,10,10,10,2851 00 102 AL 32400
01,Materials and Supplies,9,10,10,10,2851 00 102 AL 32401
333,Payments for Professional and Special Services,"1,46","4,47","5,02","4,57",2851 00 102 AL 33300
02,Remuneration,"1,46","1,95","2,50","2,05",2851 00 102 AL 33302
04,Contract Payment,,"2,52","2,52","2,52",2851 00 102 AL 33304
349,Festival Advances,3,,,,2851 00 102 AL 34900
01,Festival Advances-Debit,20,35,70,70,2851 00 102 AL 34901
02,Festival Advances-Credit,-17,-35,-70,-70,2851 00 102 AL 34902
AL,Total AL,"56,38","80,08","74,15","80,43",
AN,"Scientific Glass Training Centre and its Expansion Schemes, Coimbatore",,,,,2851 00 102 AN 30000
301,Salaries,"19,04","30,08","24,90","25,86",2851 00 102 AN 30100
01,Pay,"17,25","28,95","23,76","24,72",2851 00 102 AN 30101
02,Medical Allowance,17,15,20,20,2851 00 102 AN 30102
04,Other Allowances,12,12,8,8,2851 00 102 AN 30104
06,House Rent Allowance,"1,29",62,62,62,2851 00 102 AN 30106
07,Travel Concession,,2,2,2,2851 00 102 AN 30107
08,City Compensatory Allowance,21,22,22,22,2851 00 102 AN 30108
303,Dearness Allowance,"1,71","3,76","3,80","6,06",2851 00 102 AN 30300
01,Dearness Allowance,"1,71","3,76","3,80","6,06",2851 00 102 AN 30301
304,Travel Expenses,,18,18,18,2851 00 102 AN 30400
01,Tour Travelling Allowances,,14,14,14,2851 00 102 AN 30401
02,Transfer Travelling Allowances,,4,4,4,2851 00 102 AN 30402
305,Office Expenses,15,34,43,49,2851 00 102 AN 30500
01,Telephone Charges,5,4,15,15,2851 00 102 AN 30501
02,Other Contingencies,2,8,8,12,2851 00 102 AN 30502
03,Electricity Charges,6,20,18,20,2851 00 102 AN 30503
04,Service Postage & Postal Expenditure,2,2,2,2,2851 00 102 AN 30504
308,Advertising and Publicity,55,73,73,75,2851 00 102 AN 30800
01,Advertisement Charges,55,73,73,75,2851 00 102 AN 30801
312,Scholarships and Stipends,,30,,,2851 00 102 AN 31200
09,Others,,30,,,2851 00 102 AN 31209
318,Maintenance,,1,1,1,2851 00 102 AN 31800
01,Periodical Maintenance,,1,1,1,2851 00 102 AN 31801
319,Machinery and Equipments,,1,1,1,2851 00 102 AN 31900
03,Maintenance,,1,1,1,2851 00 102 AN 31903
324,Materials and Supplies,,35,35,35,2851 00 102 AN 32400
01,Materials and Supplies,,35,35,35,2851 00 102 AN 32401
349,Festival Advances,-3,,,,2851 00 102 AN 34900
01,Festival Advances-Debit,10,60,60,60,2851 00 102 AN 34901
02,Festival Advances-Credit,-13,-60,-60,-60,2851 00 102 AN 34902
AN,Total AN,"21,42","35,76","30,41","33,71",
AS,"Technical Training Centre, Guindy",,,,,2851 00 102 AS 30000
301,Salaries,"94,22","89,78","89,60","92,80",2851 00 102 AS 30100
01,Pay,"81,55","79,81","79,81","83,01",2851 00 102 AS 30101
02,Medical Allowance,51,39,30,30,2851 00 102 AS 30102
03,Medical Charges,10,34,34,34,2851 00 102 AS 30103
04,Other Allowances,56,80,71,71,2851 00 102 AS 30104
06,House Rent Allowance,"9,88","6,90","6,90","6,90",2851 00 102 AS 30106
08,City Compensatory Allowance,"1,62","1,54","1,54","1,54",2851 00 102 AS 30108
