head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
CM,Buildings - Directorate of Tamil Development,,,,,2059 01 053 CM 30000
318,Maintenance,"8,36","8,50","13,30","8,50",2059 01 053 CM 31800 
01,Periodical Maintenance,"8,36","8,50","13,30","8,50",2059 01 053 CM 31801
CM,Total CM,"8,36","8,50","13,30","8,50",
#,State's Expenditure Total,"8,36","8,50","13,30","8,50",
053,Total 053,"8,36","8,50","13,30","8,50",
01,Total 01,"8,36","8,50","13,30","8,50",
2059,Total 2059,"8,36","8,50","13,30","8,50",
2075-00,MISCELLANEOUS GENERAL SERVICES,,,,,
104,Pensions and Awards in Consideration of Distinguished Services,,,,,
#,State's Expenditure,,,,,
AE,Pension to Tamil Scholars,,,,,2075 00 104 AE 30000
327,Pensions,"1,28,50","1,47,40","1,78,32","1,78,32",2075 00 104 AE 32700
05,Social Security Pensions,"1,28,50","1,47,40","1,78,32","1,78,32",2075 00 104 AE 32705
AE,Total AE,"1,28,50","1,47,40","1,78,32","1,78,32",
AF,Pension to the Persons who have rendered Meritorious Service for the Preservation and Promotion of Tamil Language Literature and Culture,,,,,2075 00 104 AF 30000
327,Pensions,"4,85,17","6,68,22","5,75,70","5,75,70",2075 00 104 AF 32700
05,Social Security Pensions,"4,85,17","6,68,22","5,75,70","5,75,70",2075 00 104 AF 32705
AF,Total AF,"4,85,17","6,68,22","5,75,70","5,75,70",
#,State's Expenditure Total,"6,13,67","8,15,62","7,54,02","7,54,02",
104,Total 104,"6,13,67","8,15,62","7,54,02","7,54,02",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
AE,Pension to Tamil Scholars,,,,,2075 00 911 AE 30000
377,Deduct-Recoveries,-7,,,,2075 00 911 AE 37700
02,Recoveries of Overpayments / Remittance of excess drawals,-7,,,,2075 00 911 AE 37702
AE,Total AE,-7,,,,
AF,Pension to the Persons who have rendered Meritorious Service for the Preservation and Promotion of Tamil Language Literature and Culture,,,,,2075 00 911 AF 30000
377,Deduct-Recoveries,-67,,,,2075 00 911 AF 37700
02,Recoveries of Overpayments / Remittance of excess drawals,-67,,,,2075 00 911 AF 37702
AF,Total AF,-67,,,,
#,State's Expenditure,,,,,
911,Total 911,-74,,,,
00,Total 00,"6,12,93","8,15,62","7,54,02","7,54,02",
2075,Total 2075,"6,12,93","8,15,62","7,54,02","7,54,02",
2202,GENERAL EDUCATION,,,,,
03,University and Higher Education,,,,,
102,Assistance to Universities,,,,,
#,State's Expenditure,,,,,
AI,"Tamil University, Thanjavur",,,,,2202 03 102 AI 30000
309,Grants-in-Aid,"34,89,51","4,06,21","31,15,68","28,52,97",2202 03 102 AI 30900
01,Grants for Current Expenditure,"18,04,46","3,81,19","29,31,02","24,91,96",2202 03 102 AI 30901
02,Grants for Creation of Capital Assets,,1,,,2202 03 102 AI 30902
03,Grants for Specific Schemes,"16,85,05","25,00","1,84,65","3,61,00",2202 03 102 AI 30903
09,Others,,1,1,1,2202 03 102 AI 30909
AI,Total AI,"34,89,51","4,06,21","31,15,68","28,52,97",
#,State's Expenditure Total,"34,89,51","4,06,21","31,15,68","28,52,97",
102,Total 102,"34,89,51","4,06,21","31,15,68","28,52,97",
03,Total 03,"34,89,51","4,06,21","31,15,68","28,52,97",
05,Language Development,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Tamil Development,,,,,2202 05 001 AA 30000
301,Salaries,"6,40,78","7,03,15","7,02,65","7,28,10",2202 05 001 AA 30100
01,Pay,"5,85,02","6,38,56","6,36,14","6,61,59",2202 05 001 AA 30101
02,Medical Allowance,"4,60","4,70","5,30","5,30",2202 05 001 AA 30102
03,Medical Charges,21,30,30,30,2202 05 001 AA 30103
04,Other Allowances,"6,56","6,20","7,52","7,52",2202 05 001 AA 30104
06,House Rent Allowance,"38,70","47,00","47,00","47,00",2202 05 001 AA 30106
07,Travel Concession,44,77,77,77,2202 05 001 AA 30107
08,City Compensatory Allowance,"5,25","5,62","5,62","5,62",2202 05 001 AA 30108
302,Wages,"3,69","3,72","3,72","3,72",2202 05 001 AA 30200
01,Wages,"3,69","3,72","3,72","3,72",2202 05 001 AA 30201
303,Dearness Allowance,"58,57","83,01","1,01,78","1,62,09",2202 05 001 AA 30300
01,Dearness Allowance,"58,57","83,01","1,01,78","1,62,09",2202 05 001 AA 30301
304,Travel Expenses,"11,59","12,01","51,73","12,01",2202 05 001 AA 30400
01,Tour Travelling Allowances,"10,98","11,01","50,73","11,01",2202 05 001 AA 30401
02,Transfer Travelling Allowances,61,"1,00","1,00","1,00",2202 05 001 AA 30402
305,Office Expenses,"50,42","17,80","29,40","29,40",2202 05 001 AA 30500
01,Telephone Charges,"6,17","4,56","4,56","4,56",2202 05 001 AA 30501
02,Other Contingencies,"10,10","6,43","18,03","18,03",2202 05 001 AA 30502
