head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2251-00,SECRETARIAT - SOCIAL SERVICES,,,,,
090,Secretariat,,,,,
#,State's Expenditure,,,,,
BB,Youth Welfare and Sports Development Department,,,,,2251 00 090 BB 30000
301,Salaries,"1,78,47","1,63,16","1,74,79","1,79,57",2251 00 090 BB 30100
01,Pay,"1,53,64","1,39,94","1,47,69","1,53,60",2251 00 090 BB 30101
02,Medical Allowance,79,65,76,78,2251 00 090 BB 30102
03,Medical Charges,72,66,66,66,2251 00 090 BB 30103
04,Other Allowances,"1,08","1,03","1,31","1,31",2251 00 090 BB 30104
06,House Rent Allowance,"19,71","17,92","18,60","18,97",2251 00 090 BB 30106
07,Travel Concession,,70,"3,27","1,70",2251 00 090 BB 30107
08,City Compensatory Allowance,"2,53","2,26","2,50","2,55",2251 00 090 BB 30108
303,Dearness Allowance,"13,06","18,20","23,63","37,63",2251 00 090 BB 30300
01,Dearness Allowance,"13,06","18,20","23,63","37,63",2251 00 090 BB 30301
304,Travel Expenses,21,"1,60","3,40","1,60",2251 00 090 BB 30400
01,Tour Travelling Allowances,18,"1,50","3,30","1,50",2251 00 090 BB 30401
02,Transfer Travelling Allowances,3,10,10,10,2251 00 090 BB 30402
305,Office Expenses,"2,32","2,31","2,98","2,61",2251 00 090 BB 30500
01,Telephone Charges,40,65,65,65,2251 00 090 BB 30501
02,Other Contingencies,"1,47","1,50","2,17","1,80",2251 00 090 BB 30502
04,Service Postage & Postal Expenditure,,15,15,15,2251 00 090 BB 30504
05,Furniture,45,1,1,1,2251 00 090 BB 30505
319,Machinery and Equipments,,1,34,1,2251 00 090 BB 31900
01,Purchase,,1,34,1,2251 00 090 BB 31901
321,Motor Vehicles,,11,11,11,2251 00 090 BB 32100
01,Purchase,,1,1,1,2251 00 090 BB 32101
02,Maintenance of Functional Vehicles,,10,10,10,2251 00 090 BB 32102
333,Payments for Professional and Special Services,,"1,52","1,52","1,52",2251 00 090 BB 33300
01,Pleaders Fees,,"1,50","1,50","1,50",2251 00 090 BB 33301
03,Special Service,,1,1,1,2251 00 090 BB 33303
04,Contract Payment,,1,1,1,2251 00 090 BB 33304
345,"Petroleum, Oil and Lubricant","1,31","1,35","1,35","1,35",2251 00 090 BB 34500
01,"Petroleum, Oil and Lubricant","1,31","1,35","1,35","1,35",2251 00 090 BB 34501
349,Festival Advances,1,,,,2251 00 090 BB 34900
01,Festival Advances-Debit,80,"1,40","2,10","2,10",2251 00 090 BB 34901
02,Festival Advances-Credit,-79,"-1,40","-2,10","-2,10",2251 00 090 BB 34902
359,Prizes and Awards,,1,1,1,2251 00 090 BB 35900
01,Prizes and Awards,,1,1,1,2251 00 090 BB 35901
376,Computer and Accessories,57,65,"2,73",65,2251 00 090 BB 37600
01,Purchase,,1,"2,09",1,2251 00 090 BB 37601
02,Maintenance,20,24,24,24,2251 00 090 BB 37602
03,Stationery,37,40,40,40,2251 00 090 BB 37603
BB,Total BB,"1,95,95","1,88,92","2,10,86","2,25,06",
#,State's Expenditure Total,"1,95,95","1,88,92","2,10,86","2,25,06",
090,Total 090,"1,95,95","1,88,92","2,10,86","2,25,06",
00,Total 00,"1,95,95","1,88,92","2,10,86","2,25,06",
2251,Total 2251,"1,95,95","1,88,92","2,10,86","2,25,06",
7610-00,LOANS TO GOVERNMENT SERVANTS ETC.,,,,,
201,House Building Advances,,,,,
#,State's Expenditure,,,,,
BM,Loans to Secretariat Employees for construction of houses - Youth Welfare and Sports Development Department,,,,,7610 00 201 BM 50000
502,Loan - Outgo,,1,1,"25,00",7610 00 201 BM 50200
01,Bearing Interest,,1,1,"25,00",7610 00 201 BM 50201
BM,Total BM,1,1,"25,00",,
#,State's Expenditure Total,,1,1,"25,00",
201,Total 201,1,1,"25,00",,
00,Total 00,1,1,"25,00",,
7610,Total 7610,1,1,"25,00",,
