head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2204-00,SPORTS AND YOUTH SERVICES,,,,,
102,Youth Welfare Programmes for Students,,,,,
#,State's Expenditure,,,,,
AF,National Cadet Corps,,,,,2204 00 102 AF 30000
301,Salaries,"24,84,27","27,70,48","25,97,48","28,73,61",2204 00 102 AF 30100
01,Pay,"22,29,91","25,05,39","23,29,57","25,89,09",2204 00 102 AF 30101
02,Medical Allowance,"20,72","20,09","22,23","23,72",2204 00 102 AF 30102
03,Medical Charges,99,"1,50","1,50","1,50",2204 00 102 AF 30103
04,Other Allowances,"33,08","37,10","38,18","38,94",2204 00 102 AF 30104
06,House Rent Allowance,"1,72,90","1,70,96","1,70,96","1,84,76",2204 00 102 AF 30106
07,Travel Concession,7,"1,00",60,60,2204 00 102 AF 30107
08,City Compensatory Allowance,"26,60","34,44","34,44","35,00",2204 00 102 AF 30108
302,Wages,"10,60","13,85","15,20","15,20",2204 00 102 AF 30200
01,Wages,"10,60","13,85","15,20","15,20",2204 00 102 AF 30201
303,Dearness Allowance,"2,00,00","3,25,70","3,72,73","6,34,33",2204 00 102 AF 30300
01,Dearness Allowance,"2,00,00","3,25,70","3,72,73","6,34,33",2204 00 102 AF 30301
304,Travel Expenses,"10,90","21,60","16,00","18,00",2204 00 102 AF 30400
01,Tour Travelling Allowances,"10,75","20,20","15,00","17,00",2204 00 102 AF 30401
02,Transfer Travelling Allowances,15,"1,40","1,00","1,00",2204 00 102 AF 30402
305,Office Expenses,"66,00","78,21","83,11","83,11",2204 00 102 AF 30500
01,Telephone Charges,"11,34","17,50","21,00","21,00",2204 00 102 AF 30501
02,Other Contingencies,"6,09","8,95","10,20","10,20",2204 00 102 AF 30502
03,Electricity Charges,"39,93","43,20","43,20","43,20",2204 00 102 AF 30503
04,Service Postage & Postal Expenditure,"7,06","8,55","8,70","8,70",2204 00 102 AF 30504
05,Furniture,"1,58",1,1,1,2204 00 102 AF 30505
306,"Rent, Rates and Taxes","3,64,91","2,64,94","3,35,38","2,69,53",2204 00 102 AF 30600
01,Rent,"3,64,46","2,64,44","3,33,88","2,68,53",2204 00 102 AF 30601
03,Water Charges,45,50,"1,50","1,00",2204 00 102 AF 30603
308,Advertising and Publicity,"3,00",1,"15,14","10,00",2204 00 102 AF 30800
01,Advertisement Charges,"3,00",1,"15,14","10,00",2204 00 102 AF 30801
316,Major Works,,1,1,1,2204 00 102 AF 31600
01,Major Works,,1,1,1,2204 00 102 AF 31601
317,Minor Works,"4,85",,,,2204 00 102 AF 31700
01,Minor Works,"4,85",,,,2204 00 102 AF 31701
319,Machinery and Equipments,"28,22","4,13","9,98","3,27",2204 00 102 AF 31900
01,Purchase,"27,20",1,"6,72",1,2204 00 102 AF 31901
02,Renewal and Replacement,"1,02","3,25","3,25","3,25",2204 00 102 AF 31902
03,Maintenance,,87,1,1,2204 00 102 AF 31903
321,Motor Vehicles,5,16,31,31,2204 00 102 AF 32100
01,Purchase,,1,1,1,2204 00 102 AF 32101
02,Maintenance of Functional Vehicles,5,15,30,30,2204 00 102 AF 32102
333,Payments for Professional and Special Services,"2,64,46","3,40,71","2,57,65","2,57,87",2204 00 102 AF 33300
01,Pleaders Fees,2,10,28,50,2204 00 102 AF 33301
02,Remuneration,"1,19,74","1,53,61","1,52,40","1,52,40",2204 00 102 AF 33302
04,Contract Payment,"1,44,70","1,87,00","1,04,97","1,04,97",2204 00 102 AF 33304
344,Arms and Ammunition,,1,"9,22",1,2204 00 102 AF 34400
01,Purchase,,1,"9,22",1,2204 00 102 AF 34401
345,"Petroleum, Oil and Lubricant","64,33","96,69","1,20,00","1,20,00",2204 00 102 AF 34500
01,"Petroleum, Oil and Lubricant","64,33","96,69","1,20,00","1,20,00",2204 00 102 AF 34501
346,"Clothing, Tentage and Stores","7,78","13,23","13,23","13,23",2204 00 102 AF 34600
01,"Clothing, Tentage and Stores","7,78","13,23","13,23","13,23",2204 00 102 AF 34601
349,Festival Advances,9,,,,2204 00 102 AF 34900
01,Festival Advances-Debit,"20,85","30,00","60,00","1,13,10",2204 00 102 AF 34901
02,Festival Advances-Credit,"-20,76","-30,00","-60,00","-1,13,10",2204 00 102 AF 34902
351,Compensation Charged,,1,,,2204 00 102 AF 35100
351,Compensation Voted,,1,2,2,2204 00 102 AF 35100
01,Claims under no fault liability -  principal charges Voted,,1,1,1,2204 00 102 AF 35101
51,Claims under no fault liability -  principal charges Charged,,1,,,2204 00 102 AF 35151
51,Claims under no fault liability -  principal charges Voted,,,1,1,2204 00 102 AF 35151
354,Expenses on Conducted Tours,"1,67,93","2,69,17","2,69,40","2,69,40",2204 00 102 AF 35400
01,Expenses on Conducted Tours,"1,67,93","2,69,17","2,69,40","2,69,40",2204 00 102 AF 35401
359,Prizes and Awards,38,50,50,50,2204 00 102 AF 35900
01,Prizes and Awards,38,50,50,50,2204 00 102 AF 35901
368,"Cost of Books/Note Books/Slates, etc.",,1,1,1,2204 00 102 AF 36800
01,"Cost of Books/Note Books/Slates, etc.",,1,1,1,2204 00 102 AF 36801
372,Training,"7,39,23","9,98,45","10,00,45","9,98,22",2204 00 102 AF 37200 
01,Training,"7,39,23","9,98,45","10,00,45","9,98,22",2204 00 102 AF 37201
376,Computer and Accessories,"6,29","6,06","7,06","7,56",2204 00 102 AF 37600
01,Purchase,"1,77",1,1,1,2204 00 102 AF 37601
02,Maintenance,"1,63","3,05","3,05","3,05",2204 00 102 AF 37602
03,Stationery,"2,89","3,00","4,00","4,50",2204 00 102 AF 37603
AF,Total AF Charged,,1,,,
AF,Total AF Voted,"44,23,29","52,03,93","51,22,88","55,74,19",
JF,Establishment of portable Bio-toilets for the use of NCC Cadets during Camps - Under State Innovation Fund,,,,,2204 00 102 JF 30000
347,Stores and Equipments,"18,68",,,,2204 00 102 JF 34700
02,Equipments - Voted,"18,68",,,,2204 00 102 JF 34702
JF,Total JF,"18,68",,,,
JG,"Establishment of Flight Simulator for training of National Cadet Corps at 3 (TN) Air Sqn NCC, Trichirapalli  - Scheme under State Innovation Fund",,,,,2204 00 102 JG 30000
372,Training,,,"25,00",,2204 00 102 JG 37200
01,Training,,,"25,00",,2204 00 102 JG 37201
JG,Total JG,,,"25,00",,
#,State's Expenditure Total Charged,,1,,,
#,State's Expenditure Total Voted,"44,41,97","52,03,93","51,47,88","55,74,19",
102,Total 102,"44,41,97","52,03,93","51,47,88","55,74,19",
102,Total 102 Voted,"44,41,97","52,03,93","51,47,88","55,74,19",
902,Deduct - Amount met from State Innovation Fund,,,,,
#,State's Expenditure,,,,,
JA,Deduct - Amount met from State Innovation Fund,,,,,2204 00 902 JA 30000
330,Inter-Account Transfers,"-18,68",,"-25,00",,2204 00 902 JA 33000
01,Inter-Account Transfers,"-18,68",,"-25,00",,2204 00 902 JA 33001
JA,Total JA,"-18,68",,"-25,00",,
#,State's Expenditure Total,"-18,68",,"-25,00",,
902,Total 902,"-18,68",,"-25,00",,
00,Total 00 Charged,,1,,,
00,Total 00 Voted,"44,23,29","52,03,93","51,22,88","55,74,19",
2204,Total 2204 Charged,,1,,,
2204,Total 2204 Voted,"44,23,29","52,03,93","51,22,88","55,74,19",
4202,"CAPITAL OUTLAY ON EDUCATION SPORTS, ART AND CULTURE",,,,,
03,Sports and Youth Services,,,,,
102,Sports Stadia,,,,,
#,State's Expenditure,,,,,
JC,Establishment of Camp Site and Training Centre to the National Cadet Corps (NCC),,,,,4202 03 102 JC 40000
416,Major Works,"15,18","2,85,75","3,20,57","1,50,00",4202 03 102 JC 41600
01,Major Works,"15,18","2,85,75","3,20,57","1,50,00",4202 03 102 JC 41601
JC,Total JC,"15,18","2,85,75","3,20,57","1,50,00",
#,State's Expenditure Total,"15,18","2,85,75","3,20,57","1,50,00",
102,Total 102,"15,18","2,85,75","3,20,57","1,50,00",
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
JC,Establishment of National Cadet Corps Training Academy at Idaiyapatti,,,,,4202 03 800 JC 40000
416,Major Works,,,27,,4202 03 800 JC 41600
01,Major Works,,,27,,4202 03 800 JC 41601
JC,Total JC,,27,,,
#,State's Expenditure Total,,,27,,
800,Total 800,,27,,,
03,Total 03,"15,18","2,85,75","3,20,84","1,50,00",
4202,Total 4202,"15,18","2,85,75","3,20,84","1,50,00",
