head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2401-00,CROP HUSBANDRY,,,,,
001,Direction and Administration,,,,,
#State's Expenditure,,,,,,
AC,Directorate of Agricultural Marketing,,,,,2401 00 001 AC 30000
301,Salaries,"2,64,07","3,47,06","3,01,22","3,18,34",2401 00 001 AC 30100
01,Pay,"2,27,70","2,94,21","2,55,03","2,70,02",2401 00 001 AC 30101
02,Medical Allowance,66,"1,10",74,67,2401 00 001 AC 30102
03,Medical Charges,36,"2,34","2,08","2,18",2401 00 001 AC 30103
04,Other Allowances,"2,52","4,00","1,29","1,29",2401 00 001 AC 30104
06,House Rent Allowance,"28,32","39,30","36,20","38,01",2401 00 001 AC 30106
07,Travel Concession,,1,13,13,2401 00 001 AC 30107
08,City Compensatory Allowance,"4,51","6,10","5,75","6,04",2401 00 001 AC 30108
303,Dearness Allowance,"98,91","20,00","16,60","17,43",2401 00 001 AC 30300
01,Dearness Allowance,"98,91","20,00","16,60","17,43",2401 00 001 AC 30301
304,Travel Expenses,"11,60","13,50","13,30","13,32",2401 00 001 AC 30400
01,Tour Travelling Allowances,"9,34","13,00","13,00","13,00",2401 00 001 AC 30401
02,Transfer Travelling Allowances,"2,26",50,30,32,2401 00 001 AC 30402
305,Office Expenses,"2,24","2,41","2,44","2,53",2401 00 001 AC 30500
01,Telephone Charges,28,40,30,32,2401 00 001 AC 30501
02,Other Contingencies,71,60,73,73,2401 00 001 AC 30502
04,Service Postage & Postal Expenditure,"1,25","1,40","1,40","1,47",2401 00 001 AC 30504
05,Furniture,,1,1,1,2401 00 001 AC 30505
306,"Rent, Rates and Taxes",,1,,1,2401 00 001 AC 30600
03,Water Charges,,1,,1,2401 00 001 AC 30603
321,Motor Vehicles,40,10,10,11,2401 00 001 AC 32100
02,Maintenance of Functional Vehicles,40,10,10,11,2401 00 001 AC 32102
345,"Petroleum, Oil and Lubricant",,70,20,21,2401 00 001 AC 34500
01,"Petroleum, Oil and Lubricant",,70,20,21,2401 00 001 AC 34501
346,"Clothing, Tentage and Stores",6,5,5,5,2401 00 001 AC 34600
01,"Clothing, Tentage and Stores",6,5,5,5,2401 00 001 AC 34601
349,Festival Advances,15,,,,2401 00 001 AC 34900
01,Festival Advances-Debit,"1,25","4,00","4,00","4,20",2401 00 001 AC 34901
02,Festival Advances-Credit,"-1,10","-4,00","-4,00","-4,20",2401 00 001 AC 34902
359,Prizes and Awards,17,10,10,12,2401 00 001 AC 35900
01,Prizes and Awards,17,10,10,12,2401 00 001 AC 35901
376,Computer and Accessories,"1,24","1,26","1,85","1,87",2401 00 001 AC 37600
01,Purchase,,1,1,1,2401 00 001 AC 37601
02,Maintenance,75,75,"1,24","1,24",2401 00 001 AC 37602
03,Stationery,49,50,60,62,2401 00 001 AC 37603
AC,Total AC,"3,78,84","3,85,19","3,35,86","3,53,99",
#State's Expenditure Total,,"3,78,84","3,85,19","3,35,86","3,53,99",
001,Total 001,"3,78,84","3,85,19","3,35,86","3,53,99",
115,Scheme of Small/Marginal farmers and Agricultural labour,,,,,
#State's Expenditure,,,,,,
JJ,"Financing to Farmer Producer Companies for Mezzanine Capital assistance.,,,,,2401 00 115 JJ 30000
309,Grants-in-Aid,,,"12,50,00","12,50,00",2401 00 115 JJ 30900
03,Grants for Specific Schemes,,,"12,50,00","12,50,00",2401 00 115 JJ 30903
JJ,Total JJ,,,"12,50,00","12,50,00",
JK,Financing to Farmer Producer Companies under Credit Guarantee,,,,,2401 00 115 JK 30000
309,Grants-in-Aid,,,"12,50,00","12,50,00",2401 00 115 JK 30900
03,Grants for Specific Schemes,,,"12,50,00","12,50,00",2401 00 115 JK 30903
JK,Total JK,,"12,50,00","12,50,00",,
JL,Revolving Fund Assistance scheme to Farmer Producer Companies,,,,,2401 00 115 JL 30000
309,Grants-in-Aid,,,"41,67,50","41,67,50",2401 00 115 JL 30900
03,Grants for Specific Schemes,,,"41,67,50","41,67,50",2401 00 115 JL 30903
JL,Total JL,,"41,67,50","41,67,50",,
#State's Expenditure Total,,,"66,67,50","66,67,50",,
115,Total 115,,"66,67,50","66,67,50",,
911,Deduct - Recoveries of Overpayments,,,,,
#State's Expenditure,,,,,,
KJ,Importance and Values of Traditional Agricultural Commodities,,,,,2401 00 911 KJ 30000
377,Deduct-Recoveries,-53,,,,2401 00 911 KJ 37700
02,Recoveries of Overpayments / Remittance of excess drawals,-53,,,,2401 00 911 KJ 37702
KJ,Total KJ,-53,,,,
#State's Expenditure Total,-53,,,,,
911,Total 911,-53,,,,
00,Total 00,"3,78,31","3,85,19","70,03,36","70,21,49",
2401,Total 2401,"3,78,31","3,85,19","70,03,36","70,21,49",
2408,FOOD STORAGE AND WAREHOUSING,,,,,
01,Food,,,,,
103,Food processing,,,,,
#State's Expenditure,,,,,,
AA,Establishment of mega food processing park,,,,,2408 01 103 AA 30000
309,Grants-in-Aid,,"1,00,00,00","51,61,85","1,59,03,72",2408 01 103 AA 30900
03,Grants for Specific Schemes,,"1,00,00,00","51,61,85","1,59,03,72",2408 01 103 AA 30903
AA,Total AA,"1,00,00,00","51,61,85","1,59,03,72",,
AB,Establishment of Mega Food Processing Park under NABARD (SFPF) Loan Assistance,,,,,2408 01 103 AB 30000
309,Grants-in-Aid,,,,"84,27,67",2408 01 103 AB 30900
03,Grants for Specific Schemes,,,,"84,27,67",2408 01 103 AB 30903
AB,Total AB,,,"84,27,67",,
#State's Expenditure Total,,"1,00,00,00","51,61,85","2,43,31,39",,
103,Total 103,"1,00,00,00","51,61,85","2,43,31,39",,
01,Total 01,"1,00,00,00","51,61,85","2,43,31,39",,
2408,Total 2408,"1,00,00,00","51,61,85","2,43,31,39",,
2435,OTHER AGRICULTURAL PROGRAMMES,,,,,
01,Marketing and quality control,,,,,
101,Marketing facilities,,,,,
#State's Expenditure,,,,,,
AB,Agricultural Marketing,,,,,2435 01 101 AB 30000
301,Salaries,"38,51,58","45,93,11","36,53,27","38,59,34",2435 01 101 AB 30100
01,Pay,"35,86,39","43,22,96","33,91,04","35,90,51",2435 01 101 AB 30101
02,Medical Allowance,"27,75","26,11","29,85","25,89",2435 01 101 AB 30102
03,Medical Charges,80,"1,65","1,24","1,30",2435 01 101 AB 30103
04,Other Allowances,"39,56","28,77","19,86","19,88",2435 01 101 AB 30104
06,House Rent Allowance,"1,84,00","2,01,15","1,98,60","2,08,53",2435 01 101 AB 30106
07,Travel Concession,"1,17","1,46","1,77","1,77",2435 01 101 AB 30107
08,City Compensatory Allowance,"11,91","11,01","10,91","11,46",2435 01 101 AB 30108
302,Wages,41,1,,1,2435 01 101 AB 30200
01,Wages,41,1,,1,2435 01 101 AB 30201
303,Dearness Allowance,"10,89,84","6,96,38","11,82,42","12,41,54",2435 01 101 AB 30300
01,Dearness Allowance,"10,89,84","6,96,38","11,82,42","12,41,54",2435 01 101 AB 30301
304,Travel Expenses,"98,58","92,75","1,01,25","91,31",2435 01 101 AB 30400
01,Tour Travelling Allowances,"96,99","90,00","1,00,00","90,00",2435 01 101 AB 30401
02,Transfer Travelling Allowances,"1,59","2,75","1,25","1,31",2435 01 101 AB 30402
305,Office Expenses,"11,96","16,18","19,94","20,63",2435 01 101 AB 30500
01,Telephone Charges,"2,24","2,97","3,18","3,34",2435 01 101 AB 30501
02,Other Contingencies,"4,62","4,11","6,23","6,23",2435 01 101 AB 30502
03,Electricity Charges,"3,74","7,24","8,94","9,39",2435 01 101 AB 30503
04,Service Postage & Postal Expenditure,"1,36","1,86","1,59","1,67",2435 01 101 AB 30504
306,"Rent, Rates and Taxes","15,02","12,79","6,45","6,78",2435 01 101 AB 30600
01,Rent,"15,02","12,79","6,33","6,65",2435 01 101 AB 30601
02,Property tax,,,12,13,2435 01 101 AB 30602
308,Advertising and Publicity,"1,26","1,40","1,74","1,85",2435 01 101 AB 30800
01,Advertisement Charges,"1,26","1,40","1,74","1,85",2435 01 101 AB 30801
321,Motor Vehicles,"2,50","2,91","3,18","3,35",2435 01 101 AB 32100
01,Purchase,,1,,1,2435 01 101 AB 32101
02,Maintenance of Functional Vehicles,"2,50","2,90","3,18","3,34",2435 01 101 AB 32102
333,Payments for Professional and Special Services,"13,87","14,01","31,94","22,05",2435 01 101 AB 33300
01,Pleaders Fees,"1,36",1,5,5,2435 01 101 AB 33301
04,Contract Payment,"12,51","14,00","31,89","22,00",2435 01 101 AB 33304
345,"Petroleum, Oil and Lubricant","25,75","30,74","26,98","28,71",2435 01 101 AB 34500
01,"Petroleum, Oil and Lubricant","25,75","30,74","26,98","28,71",2435 01 101 AB 34501
