head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2401-00,CROP HUSBANDRY,,,,,
103,Seeds,,,,,
#State's Expenditure,,,,,,
AX,Independent seed Inspectorate,,,,,2401 00 103 AX 30000
369,Procurement of Agricultural Inputs,"1,49,40","50,00","1,36,21","1,40,00",2401 00 103 AX 36900
01,Procurement of Agricultural Inputs,"1,49,40","50,00","1,36,21","1,40,00",2401 00 103 AX 36901
AX,Total AX,"1,49,40","50,00","1,36,21","1,40,00",
#State's Expenditure Total,,"1,49,40","50,00","1,36,21","1,40,00",
#Schemes shared between State and Centre,,,,,,
UE,Submission of Seed and Planting Materials,,,,,2401 00 103 UE 30000
304,Travel Expenses,75,1,1,1,2401 00 103 UE 30400
01,Tour Travelling Allowances,75,1,1,1,2401 00 103 UE 30401
369,Procurement of Agricultural Inputs,"1,95",1,1,1,2401 00 103 UE 36900
01,Procurement of Agricultural Inputs,"1,95",1,1,1,2401 00 103 UE 36901
UE,Total UE,"2,70",2,2,2,
#Schemes shared between State and Centre Total,"2,70",2,2,2,,
103,Total 103,"1,52,10","50,02","1,36,23","1,40,02",
00,Total 00,"1,52,10","50,02","1,36,23","1,40,02",
2401,Total 2401,"1,52,10","50,02","1,36,23","1,40,02",
2435,OTHER AGRICULTURAL PROGRAMMES,,,,,
01,Marketing and quality control,,,,,
102,Grading and quality control facilities,,,,,
#State's Expenditure,,,,,,
AB,Seed Testing Laboratory,,,,,2435 01 102 AB 30000
301,Salaries,"3,96,78","13,31,63","5,24,54","5,59,47",2435 01 102 AB 30100
01,Pay,"3,69,59","12,61,66","4,55,00","4,90,00",2435 01 102 AB 30101
02,Medical Allowance,"2,08","4,26","3,83","3,83",2435 01 102 AB 30102
03,Medical Charges,,10,10,10,2435 01 102 AB 30103
04,Other Allowances,"3,48","3,84","3,84","3,84",2435 01 102 AB 30104
06,House Rent Allowance,"19,79","58,50","58,50","58,50",2435 01 102 AB 30106
07,Travel Concession,11,27,27,20,2435 01 102 AB 30107
08,City Compensatory Allowance,"1,73","3,00","3,00","3,00",2435 01 102 AB 30108
302,Wages,"48,56","40,67","51,70","49,60",2435 01 102 AB 30200
01,Wages,"48,56","40,67","51,70","49,60",2435 01 102 AB 30201
303,Dearness Allowance,"3,30,59","1,64,02","3,76,00","4,08,00",2435 01 102 AB 30300
01,Dearness Allowance,"3,30,59","1,64,02","3,76,00","4,08,00",2435 01 102 AB 30301
304,Travel Expenses,"8,42","11,23","11,23","11,23",2435 01 102 AB 30400
01,Tour Travelling Allowances,"8,42","11,00","11,00","11,00",2435 01 102 AB 30401
02,Transfer Travelling Allowances,,23,23,23,2435 01 102 AB 30402
305,Office Expenses,"16,39","18,09","19,40","19,40",2435 01 102 AB 30500
01,Telephone Charges,"1,07","1,19","1,90","2,00",2435 01 102 AB 30501
02,Other Contingencies,"2,85","2,80","3,40","3,30",2435 01 102 AB 30502
03,Electricity Charges,"10,32","11,80","11,80","11,80",2435 01 102 AB 30503
04,Service Postage & Postal Expenditure,"2,15","2,30","2,30","2,30",2435 01 102 AB 30504
306,"Rent, Rates and Taxes","15,95","17,71","17,81","18,01",2435 01 102 AB 30600
01,Rent,"15,08","16,50","16,60","16,80",2435 01 102 AB 30601
02,Property tax,67,90,90,90,2435 01 102 AB 30602
03,Water Charges,20,31,31,31,2435 01 102 AB 30603
319,Machinery and Equipments,"2,57","2,57","9,00","4,40",2435 01 102 AB 31900
03,Maintenance,"2,57","2,57","9,00","4,40",2435 01 102 AB 31903
324,Materials and Supplies,"4,84","4,85","4,85","4,85",2435 01 102 AB 32400
01,Materials and Supplies,"4,84","4,85","4,85","4,85",2435 01 102 AB 32401
334,Other Charges,31,31,30,30,2435 01 102 AB 33400
01,Other Items,31,31,30,30,2435 01 102 AB 33401
347,Stores and Equipments,"2,15","2,15","2,15","2,15",2435 01 102 AB 34700
02,Equipments - Voted,"2,15","2,15","2,15","2,15",2435 01 102 AB 34702
349,Festival Advances,18,,,,2435 01 102 AB 34900
01,Festival Advances-Debit,"3,20","5,60","8,25","8,25",2435 01 102 AB 34901
02,Festival Advances-Credit,"- 3,02","- 5,60","- 8,25","- 8,25",2435 01 102 AB 34902
359,Prizes and Awards,,10,10,10,2435 01 102 AB 35900
01,Prizes and Awards,,10,10,10,2435 01 102 AB 35901
373,Transport Charges,99,"1,00","1,00","1,00",2435 01 102 AB 37300
01,Transport Charges,99,"1,00","1,00","1,00",2435 01 102 AB 37301
376,Computer and Accessories,"1,28","1,28","2,20","2,20",2435 01 102 AB 37600
02,Maintenance,60,60,"1,20","1,20",2435 01 102 AB 37602
03,Stationery,68,68,"1,00","1,00",2435 01 102 AB 37603
AB,Total AB,"8,29,01","15,95,61","10,20,28","10,80,71",
AF,Seed Certification,,,,,2435 01 102 AF 30000
301,Salaries,"19,03,28","31,14,53","25,21,92","25,98,64",2435 01 102 AF 30100
01,Pay,"17,79,23","29,43,88","23,48,82","24,25,97",2435 01 102 AF 30101
02,Medical Allowance,"8,70","15,96","14,96","14,96",2435 01 102 AF 30102
03,Medical Charges,"1,18","1,50","1,50","1,50",2435 01 102 AF 30103
04,Other Allowances,"7,83","8,96","8,96","8,96",2435 01 102 AF 30104
