head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#State's Expenditure,,,,,,
DC,"Buildings - Director of Horticulture (Administered by Chief Engineer,Buildings, PWD)",,,,,2059 01 053 DC 30000
318,Maintenance,"28,67","33,00","33,00","35,00",2059 01 053 DC 31800
01,Periodical Maintenance,"28,67","33,00","33,00","35,00",2059 01 053 DC 31801
DC,Total DC,"28,67","33,00","33,00","35,00",
#State's Expenditure Total,"28,67","33,00","33,00","35,00",,
053,Total 053,"28,67","33,00","33,00","35,00",
01,Total 01,"28,67","33,00","33,00","35,00",
2059,Total 2059,"28,67","33,00","33,00","35,00",
2401-00,CROP HUSBANDRY,,,,,
001,Direction and Administration,,,,,
#State's Expenditure,,,,,,
AO,Directorate of Horticulture,,,,,2401 00 001 AO 30000
301,Salaries,"11,20,88","10,19,61","11,92,39","12,34,34",2401 00 001 AO 30100
01,Pay,"9,83,88","8,85,55","10,49,60","10,91,65",2401 00 001 AO 30101
02,Medical Allowance,"5,81","6,34","7,34","7,34",2401 00 001 AO 30102
03,Medical Charges,"1,72","5,00","5,00","5,00",2401 00 001 AO 30103
04,Other Allowances,"30,79","28,00","28,20","28,20",2401 00 001 AO 30104
06,House Rent Allowance,"85,76","81,12","88,35","88,35",2401 00 001 AO 30106
07,Travel Concession,"1,08","1,60","1,90","1,80",2401 00 001 AO 30107
08,City Compensatory Allowance,"11,84","12,00","12,00","12,00",2401 00 001 AO 30108
303,Dearness Allowance,"2,77,52","1,15,12","1,67,93","2,07,42",2401 00 001 AO 30300
01,Dearness Allowance,"2,77,52","1,15,12","1,67,93","2,07,42",2401 00 001 AO 30301
304,Travel Expenses,"14,57","28,04","28,04","28,04",2401 00 001 AO 30400
01,Tour Travelling Allowances,"13,78","27,00","27,00","27,00",2401 00 001 AO 30401
02,Transfer Travelling Allowances,79,"1,04","1,04","1,04",2401 00 001 AO 30402
305,Office Expenses,"25,65","24,70","26,90","26,90",2401 00 001 AO 30500
01,Telephone Charges,"4,51","4,40","4,60","4,60",2401 00 001 AO 30501
02,Other Contingencies,"2,99","3,00","4,00","4,00",2401 00 001 AO 30502
03,Electricity Charges,"15,95","15,00","16,00","16,00",2401 00 001 AO 30503
04,Service Postage & Postal Expenditure,"2,20","2,30","2,30","2,30",2401 00 001 AO 30504
306,"Rent, Rates and Taxes","6,78","6,80","28,02","14,02",2401 00 001 AO 30600
02,Property tax,"6,78","6,80","28,02","14,02",2401 00 001 AO 30602
308,Advertising and Publicity,"2,00","2,66","2,66","2,66",2401 00 001 AO 30800
02,Exhibition,"2,00","2,66","2,66","2,66",2401 00 001 AO 30802
321,Motor Vehicles,51,85,85,85,2401 00 001 AO 32100
02,Maintenance of Functional Vehicles,51,85,85,85,2401 00 001 AO 32102
333,Payments for Professional and Special Services,20,75,"1,49","1,49",2401 00 001 AO 33300
01,Pleaders Fees,20,74,74,74,2401 00 001 AO 33301
04,Contract Payment,,1,75,75,2401 00 001 AO 33304
345,"Petroleum, Oil and Lubricant","5,94","13,84","13,84","13,84",2401 00 001 AO 34500
01,"Petroleum, Oil and Lubricant","5,94","13,84","13,84","13,84",2401 00 001 AO 34501
346,"Clothing, Tentage and Stores",46,70,70,70,2401 00 001 AO 34600
01,"Clothing, Tentage and Stores",46,70,70,70,2401 00 001 AO 34601
347,Stores and Equipments,10,10,10,10,2401 00 001 AO 34700
01,Stores - Voted,10,10,10,10,2401 00 001 AO 34701
349,Festival Advances,- 2,,,,2401 00 001 AO 34900
01,Festival Advances-Debit,"4,70","16,40","32,80","32,80",2401 00 001 AO 34901
02,Festival Advances-Credit,"- 4,72","- 16,40","- 32,80","- 32,80",2401 00 001 AO 34902
351,Compensation Charged,,1,1,2,2401 00 001 AO 35100
02,Other Compensations - Charged,,,1,1,2401 00 001 AO 35102
52,Other Compensations Charged,,1,,1,2401 00 001 AO 35152
359,Prizes and Awards,8,50,50,50,2401 00 001 AO 35900
01,Prizes and Awards,8,50,50,50,2401 00 001 AO 35901
368,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2401 00 001 AO 36800
01,"Cost of Books/Note Books/Slates, etc.",,2,2,2,2401 00 001 AO 36801
371,Printing Charges,90,91,91,91,2401 00 001 AO 37100
01,Printing Charges,90,91,91,91,2401 00 001 AO 37101
376,Computer and Accessories,"5,96","6,28","7,51","7,51",2401 00 001 AO 37600
01,Purchase,,1,1,1,2401 00 001 AO 37601
02,Maintenance,"3,51","3,80","4,50","4,50",2401 00 001 AO 37602
03,Stationery,"2,45","2,47","3,00","3,00",2401 00 001 AO 37603
AO,Total AO Charged,,1,1,2,
AO,Total AO Voted,"14,61,53","12,20,88","14,71,86","15,39,30",
#State's Expenditure Total Charged,,1,1,2,,
#State's Expenditure Total Voted,"14,61,53","12,20,88","14,71,86","15,39,30",,
001,Total 001 Charged,,1,1,2,
