head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2071,PENSION AND OTHER RETIREMENT BENEFITS,,,,,
01,Civil,,,,,
101,Superannuation and Retirement Allowances,,,,,
#,State's Expenditure,,,,,
AA,Payment to Tamil Nadu Government Pensioners,,,,,2071 01 101 AA 30000
327,Pensions,,"1,15,59,58,03 1,32,56,38,17 1,19,21,11,16 1,27,00,81,57",,,2071 01 101 AA 32700
01,Basic Pension,,"1,15,59,58,03 1,32,42,28,51 1,19,07,01,50 1,27,00,81,56",,,2071 01 101 AA 32701
07,Interim Relief,,"14,09,66","14,09,66",1,2071 01 101 AA 32707
349,Festival Advances,"-7,62,24",,,,2071 01 101 AA 34900
01,Festival Advances-Debit,"1,38,21","10,00","3,00,00","3,00,00",2071 01 101 AA 34901
02,Festival Advances-Credit,"-9,00,45","-10,00","-3,00,00","-3,00,00",2071 01 101 AA 34902
377,Deduct-Recoveries,"-48,50,94",,,,2071 01 101 AA 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"-48,50,94",,,,2071 01 101 AA 37702
AA,Total AA,"1,15,03,44,85 1,32,56,38,17 1,19,21,11,16 1,27,00,81,57",,,,
AC,Dearness Allowance to Pensioners,,,,,2071 01 101 AC 30000
303,Dearness Allowance,"13,02,20,84","17,48,97,68","20,32,38,08","31,69,31,47",2071 01 101 AC 30300
01,Dearness Allowance,"13,02,20,84","17,48,97,68","20,32,38,08","31,69,31,47",2071 01 101 AC 30301
AC,Total AC,"13,02,20,84","17,48,97,68","20,32,38,08","31,69,31,47",
AD,Medical Allowances to Pensioners,,,,,2071 01 101 AD 30000
327,Pensions,"1,50,84,30","1,58,72,52","1,53,09,27","1,63,29,84",2071 01 101 AD 32700
09,Others,"1,50,84,30","1,58,72,52","1,53,09,27","1,63,29,84",2071 01 101 AD 32709
AD,Total AD,"1,50,84,30","1,58,72,52","1,53,09,27","1,63,29,84",
AF,"Pensions granted under Rule 18 of the All-India Services (Death - cum -retirement benefits) Rules, 1958",,,,,2071 01 101 AF 30000
327,Pensions,,"10,50",25,27,2071 01 101 AF 32700
01,Basic Pension,,"10,50",25,27,2071 01 101 AF 32701
AF,Total AF,"10,50",25,27,,
AH,Relief to All-India service pensioners,,,,,2071 01 101 AH 30000
327,Pensions,"7,07","7,75","6,31","6,75",2071 01 101 AH 32700
01,Basic Pension,"7,07","7,75","6,31","6,75",2071 01 101 AH 32701
AH,Total AH,"7,07","7,75","6,31","6,75",
AI,Payment to Village Servants on retirement,,,,,2071 01 101 AI 30000
327,Pensions,"13,68,78","14,56,18","16,46,48","17,56,20",2071 01 101 AI 32700
01,Basic Pension,"13,68,78","14,56,18","16,46,48","17,56,20",2071 01 101 AI 32701
AI,Total AI,"13,68,78","14,56,18","16,46,48","17,56,20",
AL,Payment of pension to ex-Village Officers,,,,,2071 01 101 AL 30000
327,Pensions,"31,39,17","36,58,58","34,03,73","36,30,60",2071 01 101 AL 32700
01,Basic Pension,"31,39,17"," 36,58,58"," 34,03,73","36,30,60",2071 01 101 AL 32701
AL,Total AL,"31,39,17","36,58,58","34,03,73","36,30,60",
AN,Payment of Pension Arrears,,,,,2071 01 101 AN 30000
327,Pensions,,"11,75","11,75","11,75",2071 01 101 AN 32700
03,Pension Arrears,,"11,75","11,75","11,75",2071 01 101 AN 32703
AN,Total AN,,"11,75","11,75","11,75",
AO,Additional Pension to Tamil Nadu Government Pensioners Aged above 80 years,,,,,2071 01 101 AO 30000
327,Pensions,"1,45,72,25","1,60,23,50","1,69,96,38","1,81,29,48",2071 01 101 AO 32700
01,Basic Pension,"1,45,72,25","1,60,23,50","1,69,96,38","1,81,29,48",2071 01 101 AO 32701
AO,Total AO,"1,45,72,25","1,60,23,50","1,69,96,38","1,81,29,48",
AP,Government Contribution for New Pension Scheme for Tamil Nadu State Public Works Department Divisional Accountants / Accounts Officer,,,,,2071 01 101 AP 30000
310,Contributions,"24,65",,,,2071 01 101 AP 31000
01,Contribution to Specific Fund,"24,65",,,,2071 01 101 AP 31001
AP,Total AP,,"24,65",,,
#,State's Expenditure,"1,31,47,61,91","1,53,75,76,63","1,43,27,23,41","1,62,68,77,93",
101,Total 101,"1,31,47,61,91","1,53,75,76,63","1,43,27,23,41","1,62,68,77,93",
102,Commuted Value of Pensions,,,,,
#,State's Expenditure,,,,,
AA,Commuted Value of Pensions,,,,,2071 01 102 AA 30000
327,Pensions,"29,40,88,72","18,49,27,85","20,29,16,94","21,91,50,30",2071 01 102 AA 32700
02,Commutation,"29,40,88,72","18,49,27,85","20,29,16,94","21,91,50,30",2071 01 102 AA 32702
AA,Total AA,"29,40,88,72","18,49,27,85","20,29,16,94","21,91,50,30",
AB,Payment of arrears on Commuted Value of Pensions and Gratuities,,,,,2071 01 102 AB 30000
327,Pensions,"3,71,25","4,11,74","4,11,74","4,11,74",2071 01 102 AB 32700
04,Commutation Arrears,"3,71,25","4,11,74","4,11,74","4,11,74",2071 01 102 AB 32704
328,Gratuities,"10,13,18","30,97,31","7,89,43","8,28,90",2071 01 102 AB 32800 
01,Gratuities,"10,13,18","30,97,31","7,89,43","8,28,90",2071 01 102 AB 32801
AB,Total AB,"13,84,43","35,09,05","12,01,17","12,40,64",
#,State's Expenditure Total,"29,54,73,15","18,84,36,90","20,41,18,11","22,03,90,94",
102,Total 102,"29,54,73,15","18,84,36,90","20,41,18,11","22,03,90,94",
103,Compassionate Allowances,,,,,
#,State's Expenditure,,,,,
AA,Pensions granted under Rule 18 of the All-India Services (Death-cum-Retirement Benefit) Rules 1958,,,,,2071 01 103 AA 30000
327,Pensions,,"6,38","6,38","6,38",2071 01 103 AA 32700
01,Basic Pension,,"6,38","6,38","6,38",2071 01 103 AA 32701
AA,Total AA,,"6,38","6,38","6,38",
#,State's Expenditure Total,,"6,38","6,38","6,38",
103,Total 103,,"6,38","6,38","6,38",
104,Gratuities,,,,,
#,State's Expenditure,,,,,
AA,"Superannuation, Retirement Compassionate and Invalid Gratuities granted under the Tamil Nadu Liberalised Pension Rules, 1960",,,,,2071 01 104 AA 30000
328,Gratuities,"49,51,28","38,52,08","3,62,60","3,91,61",2071 01 104 AA 32800 
01,Gratuities,"49,51,28","38,52,08","3,62,60","3,91,61",2071 01 104 AA 32801
AA,Total AA,"49,51,28","38,52,08","3,62,60","3,91,61",
AB,Death-cum-Retirement Gratuities to Tamil Nadu Government Pensioners,,,,,2071 01 104 AB 30000
328,Gratuities,"23,50,60,41","27,34,31,19","21,86,20,34","23,61,09,97",2071 01 104 AB 32800 
01,Gratuities,"23,50,60,41","27,34,31,19","21,86,20,34","23,61,09,97",2071 01 104 AB 32801
AB,Total AB,"23,50,60,41","27,34,31,19","21,86,20,34","23,61,09,97",
AE,Interest on belated payments of Gratuity,,,,,2071 01 104 AE 30000
325,Interest,"86,58","1,79,40","1,79,40","1,79,40",2071 01 104 AE 32500
01,Interest,"86,58","1,79,40","1,79,40","1,79,40",2071 01 104 AE 32501
AE,Total AE,"86,58","1,79,40","1,79,40","1,79,40",
#,State's Expenditure Total,"24,00,98,27","27,74,62,67","21,91,62,34","23,66,80,98",
104,Total 104,"24,00,98,27","27,74,62,67","21,91,62,34","23,66,80,98",
105,Family Pensions,,,,,
#,State's Expenditure,,,,,
AA,Family pension to Tamil Nadu Government pensioners,,,,,2071 01 105 AA 30000
327,Pensions,"29,27,00,11","33,28,96,49","31,03,59,61","33,10,50,24",2071 01 105 AA 32700
01,Basic Pension,"29,27,00,11","33,28,96,49","31,03,59,61","33,10,50,24",2071 01 105 AA 32701
349,Festival Advances,"-7,80",,,,2071 01 105 AA 34900
01,Festival Advances-Debit,,"3,54","7,08","7,08",2071 01 105 AA 34901
02,Festival Advances-Credit,"-7,80","-3,54","-7,08","-7,08",2071 01 105 AA 34902
377,Deduct-Recoveries,"-10,33,91",,,,2071 01 105 AA 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"-10,33,91",,,,2071 01 105 AA 37702
AA,Total AA,"29,16,58,40","33,28,96,49","31,03,59,61","33,10,50,24",
AC,Dearness Allowance to Family pensioners of Tamil Nadu Government,,,,,2071 01 105 AC 30000
303,Dearness Allowance,"2,93,18,27","4,38,53,02","4,88,81,67","8,23,36,88",2071 01 105 AC 30300
01,Dearness Allowance,"2,93,18,27","4,38,53,02","4,88,81,67","8,23,36,88",2071 01 105 AC 30301
AC,Total AC,"2,93,18,27","4,38,53,02","4,88,81,67","8,23,36,88",
AD,Relief to All-India Service Family Pensioners,,,,,2071 01 105 AD 30000
327,Pensions,"1,15,54","59,42","59,42","59,42",2071 01 105 AD 32700
06,Family Pension,"1,15,54","59,42","59,42","59,42",2071 01 105 AD 32706
AD,Total AD,"1,15,54","59,42","59,42","59,42",
AE,Medical Allowances to Family Pensioners,,,,,2071 01 105 AE 30000
327,Pensions,"56,10,08","59,20,56","58,57,73","62,48,28",2071 01 105 AE 32700
09,Others,"56,10,08","59,20,56","58,57,73","62,48,28",2071 01 105 AE 32709
AE,Total AE,"56,10,08","59,20,56","58,57,73","62,48,28",
AG,Payment of family pension to ex-Village Officers,,,,,2071 01 105 AG 30000
327,Pensions,"15,61,20","17,97,16","17,61,15","18,78,60",2071 01 105 AG 32700
06,Family Pension,"15,61,20","17,97,16","17,61,15","18,78,60",2071 01 105 AG 32706
AG,Total AG,"15,61,20","17,97,16","17,61,15","18,78,60",
AH,Additional Family Pension to Tamil Nadu Government Pensioners Aged above 80 years,,,,,2071 01 105 AH 30000
327,Pensions,"24,70,61","26,37,30","29,43,78","31,40,04",2071 01 105 AH 32700
01,Basic Pension,"24,70,61","26,37,30","29,43,78","31,40,04",2071 01 105 AH 32701
AH,Total AH,"24,70,61","26,37,30","29,43,78","31,40,04",
#,State's Expenditure Total,"33,07,34,10","38,71,63,95","36,98,63,36","42,47,13,46",
105,Total 105,"33,07,34,10","38,71,63,95","36,98,63,36","42,47,13,46",
106,Pensionary charges in respect of High Court Judges,,,,,
#,State's Expenditure,,,,,
AA,Superannuation and other Retirement Pensions,,,,,2071 01 106 AA 30000
327,Pensions Charged,,"17,26,81","13,64,85","10,57,39",2071 01 106 AA 32700
01,Basic Pension Charged,,"14,19,34","10,57,38","10,57,38",2071 01 106 AA 32701
03,Pension Arrears Charged,,"3,07,47","3,07,47",1,2071 01 106 AA 32703
AA,Total AA Charged,,"17,26,81","13,64,85","10,57,39",
AE,Medical and Other Benefits of Retired Hon'ble Judges and their Families,,,,,2071 01 106 AE 30000
327,Pensions Charged,"4,07,57","4,65,64","4,65,64","4,65,64",2071 01 106 AE 32700
09,Others Charged,"4,07,57","4,65,64","4,65,64","4,65,64",2071 01 106 AE 32709
AE,Total AE Charged,"4,07,57","4,65,64","4,65,64","4,65,64",
