head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
CP,Buildings - Commissionerate for  the Welfare of Differently Abled Persons,,,,,2059 01 053 CP 30000
318,Maintenance,"74,68","15,00","15,00","15,00",2059 01 053 CP 31800 
01,Periodical Maintenance,"74,68","15,00","15,00","15,00",2059 01 053 CP 31801
CP,Total CP,"74,68","15,00","15,00","15,00",
DP,Buildings - Schools and Service Homes for the Welfare of Differently Abled Persons,,,,,2059 01 053 DP 30000
318,Maintenance,"1,52,20","45,00","45,00","47,25",2059 01 053 DP 31800 
01,Periodical Maintenance,"1,52,20","45,00","45,00","47,25",2059 01 053 DP 31801
DP,Total DP,"1,52,20","45,00","45,00","47,25",
#,State's Expenditure Total,"2,26,88","60,00","60,00","62,25",
053,Total 053,"2,26,88","60,00","60,00","62,25",
01,Total 01,"2,26,88","60,00","60,00","62,25",
2059,Total 2059,"2,26,88","60,00","60,00","62,25",
2235,SOCIAL SECURITY AND WELFARE,,,,,
02,Social Welfare,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AF,Commissionerate for  the Welfare of Differently Abled Persons,,,,,2235 02 001 AF 30000
301,Salaries,"1,99,86","4,00,44","2,33,16","2,41,24",2235 02 001 AF 30100
01,Pay,"1,72,76","3,66,14","2,01,81","2,09,88",2235 02 001 AF 30101
02,Medical Allowance,95,"1,48","1,11","1,11",2235 02 001 AF 30102
03,Medical Charges,7,78,25,26,2235 02 001 AF 30103
04,Other Allowances,"2,92","4,77","3,00","3,00",2235 02 001 AF 30104
06,House Rent Allowance,"20,27","23,93","23,92","23,92",2235 02 001 AF 30106
07,Travel Concession,,77,50,50,2235 02 001 AF 30107
08,City Compensatory Allowance,"2,89","2,57","2,57","2,57",2235 02 001 AF 30108
303,Dearness Allowance,"21,88","47,59","40,65","51,42",2235 02 001 AF 30300
01,Dearness Allowance,"21,88","47,59","40,65","51,42",2235 02 001 AF 30301
304,Travel Expenses,"1,94","3,02","3,02","3,02",2235 02 001 AF 30400
01,Tour Travelling Allowances,"1,94","2,96","2,96","2,96",2235 02 001 AF 30401
02,Transfer Travelling Allowances,,6,6,6,2235 02 001 AF 30402
305,Office Expenses,"20,20","14,52","17,92","17,92",2235 02 001 AF 30500
01,Telephone Charges,"1,09","1,78","1,78","1,78",2235 02 001 AF 30501
02,Other Contingencies,"13,58","9,00","9,00","9,00",2235 02 001 AF 30502
03,Electricity Charges,"4,53","3,00","6,40","6,40",2235 02 001 AF 30503
04,Service Postage & Postal Expenditure,"1,00",74,74,74,2235 02 001 AF 30504
308,Advertising and Publicity,"12,85","11,75","13,90","11,75",2235 02 001 AF 30800
01,Advertisement Charges,90,90,90,90,2235 02 001 AF 30801
02,Exhibition,"11,95","10,85","13,00","10,85",2235 02 001 AF 30802
309,Grants-in-Aid,"7,92",,,,2235 02 001 AF 30900
03,Grants for Specific Schemes,"7,92",,,,2235 02 001 AF 30903
312,Scholarships and Stipends,,,16,,2235 02 001 AF 31200
09,Others,,,16,,2235 02 001 AF 31209
317,Minor Works,"3,46","3,47",1,1,2235 02 001 AF 31700
01,Minor Works,"3,46","3,47",1,1,2235 02 001 AF 31701
321,Motor Vehicles,18,42,42,42,2235 02 001 AF 32100
01,Purchase,,1,1,1,2235 02 001 AF 32101
02,Maintenance of Functional Vehicles,18,41,41,41,2235 02 001 AF 32102
333,Payments for Professional and Special Services,"1,25,02","11,20","20,65","20,65",2235 02 001 AF 33300
01,Pleaders Fees,64,70,"1,55","1,55",2235 02 001 AF 33301
03,Special Service,"1,16,12","8,70","8,70","8,70",2235 02 001 AF 33303
04,Contract Payment,"8,26","1,80","10,40","10,40",2235 02 001 AF 33304
334,Other Charges,,5,5,5,2235 02 001 AF 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",,5,5,5,2235 02 001 AF 33402
345,"Petroleum, Oil and Lubricant","1,34","2,01","2,01","2,01",2235 02 001 AF 34500
01,"Petroleum, Oil and Lubricant","1,34","2,01","2,01","2,01",2235 02 001 AF 34501
346,"Clothing, Tentage and Stores",,1,1,1,2235 02 001 AF 34600
01,"Clothing, Tentage and Stores",,1,1,1,2235 02 001 AF 34601
349,Festival Advances,-10,,,,2235 02 001 AF 34900
01,Festival Advances-Debit,70,"1,80","3,60","3,60",2235 02 001 AF 34901
02,Festival Advances-Credit,-80,"-1,80","-3,60","-3,60",2235 02 001 AF 34902
351,Compensation Charged,,1,1,1,2235 02 001 AF 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2235 02 001 AF 35151
359,Prizes and Awards,"5,50","5,50","5,50","5,50",2235 02 001 AF 35900
01,Prizes and Awards,"5,50","5,50","5,50","5,50",2235 02 001 AF 35901
364,Lands,,1,1,1,2235 02 001 AF 36400
01,Lands - Voted,,1,1,1,2235 02 001 AF 36401
