head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES",,,,,
03,Welfare of Backward classes,,,,,
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
JF,Deduct - Recoveries of Overpayments - Post - Matric Scholarship to Backward Classes,,,,,2225 03 911 JF 30000
377,Deduct-Recoveries,"- 1,61",,,,2225 03 911 JF 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"- 1,61",,,,2225 03 911 JF 37702
JF,Total JF,"- 1,61",,,,
#,State's Expenditure Total,"- 1,61",,,,
911,Total 911,"- 1,61",,,,
03,Total 03,"- 1,61",,,,
04,Welfare of Minorities,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Minorities Welfare,,,,,2225 04 001 AA 30000
301,Salaries,"1,22,08","1,31,30","1,12,30","1,18,42",2225 04 001 AA 30100
01,Pay,"1,02,63","1,14,52","95,00","1,00,00",2225 04 001 AA 30101
02,Medical Allowance,65,54,54,54,2225 04 001 AA 30102
03,Medical Charges,49,"1,06",77,"1,03",2225 04 001 AA 30103
04,Other Allowances,"2,54","1,90","1,90","1,90",2225 04 001 AA 30104
06,House Rent Allowance,"13,90","11,50","12,01","13,00",2225 04 001 AA 30106
07,Travel Concession,15,10,25,10,2225 04 001 AA 30107
08,City Compensatory Allowance,"1,72","1,68","1,83","1,85",2225 04 001 AA 30108
302,Wages,23,"1,20",72,1,2225 04 001 AA 30200
01,Wages,23,"1,20",72,1,2225 04 001 AA 30201
303,Dearness Allowance,"11,76","14,89","18,39","24,50",2225 04 001 AA 30300
01,Dearness Allowance,"11,76","14,89","18,39","24,50",2225 04 001 AA 30301
304,Travel Expenses,"2,49","2,77","6,02","4,02",2225 04 001 AA 30400
01,Tour Travelling Allowances,"2,49","2,75","6,00","4,00",2225 04 001 AA 30401
02,Transfer Travelling Allowances,,2,2,2,2225 04 001 AA 30402
305,Office Expenses,"6,31","6,81","40,77","7,06",2225 04 001 AA 30500
01,Telephone Charges,"1,15","2,00","2,00","2,00",2225 04 001 AA 30501
02,Other Contingencies,"3,27","1,50","1,50","1,75",2225 04 001 AA 30502
03,Electricity Charges,"1,79","3,00","3,00","3,00",2225 04 001 AA 30503
04,Service Postage & Postal Expenditure,10,30,30,30,2225 04 001 AA 30504
05,Furniture,,1,"33,97",1,2225 04 001 AA 30505
