head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2225,"WELFARE OF SCHEDULED CASTE, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES",,,,,
04,Welfare of Minorities,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
AA,Tamil Nadu Waqf Tribunal,,,,,2225 04 800 AA 30000
301,Salaries,"14,59","70,98","24,92","40,25",2225 04 800 AA 30100
01,Pay,"13,56","58,68","15,00","30,00",2225 04 800 AA 30101
02,Medical Allowance,9,29,20,20,2225 04 800 AA 30102
03,Medical Charges,,42,30,42,2225 04 800 AA 30103
04,Other Allowances,22,52,92,58,2225 04 800 AA 30104
06,House Rent Allowance,59,"4,27","2,00","2,50",2225 04 800 AA 30106
07,Travel Concession,,20,20,20,2225 04 800 AA 30107
08,City Compensatory Allowance,13,60,30,35,2225 04 800 AA 30108
09,Honorarium,,"6,00","6,00","6,00",2225 04 800 AA 30109
303,Dearness Allowance,"6,32","7,63","3,50","7,35",2225 04 800 AA 30300
01,Dearness Allowance,"6,32","7,63","3,50","7,35",2225 04 800 AA 30301
304,Travel Expenses,,,25,25,2225 04 800 AA 30400
01,Tour Travelling Allowances,,,25,25,2225 04 800 AA 30401
305,Office Expenses,"13,32","1,51","3,36","3,36",2225 04 800 AA 30500
01,Telephone Charges,,75,75,75,2225 04 800 AA 30501
02,Other Contingencies,91,75,"1,00","1,00",2225 04 800 AA 30502
03,Electricity Charges,,,"1,50","1,50",2225 04 800 AA 30503
04,Service Postage & Postal Expenditure,,,10,10,2225 04 800 AA 30504
05,Furniture,"12,41",1,1,1,2225 04 800 AA 30505
306,"Rent, Rates and Taxes","31,98","31,20","40,00","40,00",2225 04 800 AA 30600
01,Rent,"31,98","31,20","40,00","40,00",2225 04 800 AA 30601
317,Minor Works,"5,42",1,1,1,2225 04 800 AA 31700
01,Minor Works,"5,42",1,1,1,2225 04 800 AA 31701
318,Maintenance,,,10,10,2225 04 800 AA 31800
01,Periodical Maintenance,,,10,10,2225 04 800 AA 31801
319,Machinery and Equipments,"1,88",1,1,1,2225 04 800 AA 31900
01,Purchase,"1,88",1,1,1,2225 04 800 AA 31901
321,Motor Vehicles,"8,09",11,2,21,2225 04 800 AA 32100
01,Purchase,"8,09",1,1,1,2225 04 800 AA 32101
02,Maintenance of Functional Vehicles,,10,1,20,2225 04 800 AA 32102
333,Payments for Professional and Special Services,,,60,"1,86",2225 04 800 AA 33300
04,Contract Payment,,,60,"1,86",2225 04 800 AA 33304
334,Other Charges,50,1,1,1,2225 04 800 AA 33400
02,"Purchase  of  Books & Periodicals to Libraries etc.,",50,1,1,1,2225 04 800 AA 33402
345,"Petroleum, Oil and Lubricant",,,"2,62","2,62",2225 04 800 AA 34500
01,"Petroleum, Oil and Lubricant",,,"2,62","2,62",2225 04 800 AA 34501
349,Festival Advances,,,,,
01,Festival Advances-Debit,,,20,20,2225 04 800 AA 34901
02,Festival Advances-Credit,,,- 20,- 20,2225 04 800 AA 34902
371,Printing Charges,,,"11,18",1,2225 04 800 AA 37100
01,Printing Charges,,,"11,18",1,2225 04 800 AA 37101
373,Transport Charges,,,10,10,2225 04 800 AA 37300
01,Transport Charges,,,10,10,2225 04 800 AA 37301
376,Computer and Accessories,"6,55",1,"1,67","1,01",2225 04 800 AA 37600
01,Purchase,"6,55",1,67,1,2225 04 800 AA 37601
03,Stationery,,,"1,00","1,00",2225 04 800 AA 37603
AA,Total AA,"88,65","1,11,47","88,35","97,15",
#,State's Expenditure Total,"88,65","1,11,47","88,35","97,15",
800,Total 800,"88,65","1,11,47","88,35","97,15",
04,Total 04,"88,65","1,11,47","88,35","97,15",
2225,Total 2225,"88,65","1,11,47","88,35","97,15",
