0,1
Ïð£Œ ÝJóˆF™,Rupees in Thousands
Revenue,"Capital
Loan
   Total"
"47,94,34,55
ñ£Qò‚ «è£K‚¬è ÜÂñFˆî¶","2,58,38,90
 10,01
 50,52,83,46"
DEMAND FOR GRANT-Voted,
2,"2
...
 4"
,Gèó„ ªêô¾ Ïð£Œ ÝJóˆF™
,Net Expenditure Rupees in Thousands
,"2018-19
2019-20
2019-20
2020-21"
,"õó¾
õó¾"
,"èí‚°èœ
ªêô¾ˆ
F¼ˆî
ªêô¾ˆ"
,"F†ì
ñFŠd´
 F†ì"
,"ñFŠd´
ñFŠd´"
,"Accounts
Budget
Revised
Budget"
,"Estimate
Estimate
Estimate"
PUBLIC WORKS,"28,27,39
 29,48,46
 29,48,46
 1,45,51,01"
GENERAL EDUCATION,"29,85,01,55
 30,45,65,76
 32,21,04,97
 31,44,09,33"
TECHNICAL EDUCATION,"9,86,28,58
 12,75,14,42
 13,32,27,81
 14,62,40,78"
SPORTS AND YOUTH SERVICES,"...
 3
 3
 3"
ART AND CULTURE,"10,98,76
 10,82,90
 11,86,82
 12,59,89"
SOCIAL SECURITY AND,"52,10
 85,79
 79,89
 77,59"
WELFARE,
SECRETARIAT - SOCIAL,"5,65,24
 6,17,82
 5,94,28
 6,04,53"
SERVICES,
OTHER SCIENTIFIC RESEARCH,"9,32,56
 9,06,44
 11,86,92
 10,18,72"
CENSUS SURVEYS AND,"61,75
 74,03
 73,19
 77,99"
STATISTICS,
CAPITAL OUTLAY ON,"3,39,61,03
 2,06,06,56
 2,45,11,27
 2,58,38,92"
"EDUCATION, SPORTS, ART",
AND CULTURE,
"LOANS FOR EDUCATION,","1,37,85,26
 1
 1
 1"
"SPORTS, ART AND CULTURE",
LOANS TO GOVERNMENT,"...
 1
 1
 10,00"
SERVANTS ETC.,
