2052,SECRETARIAT - GENERAL SERVICES,"5,13,15","5,07,98","5,20,76","7,36,36"
2059,PUBLIC WORKS,"12,77,19","11,12,85","12,27,01","14,90,98"
3052,SHIPPING,,1,,
3054,ROADS AND BRIDGES,"10,33,99,52","10,86,29,84","11,12,99,28","11,88,75,08"
4059,CAPITAL OUTLAY ON PUBLIC WORKS,,"5,90,08","6,01,00",15
4216,CAPITAL OUTLAY ON HOUSING,,1,,
5052,CAPITAL OUTLAY ON SHIPPING,"- 25,00",,,
5054,CAPITAL OUTLAY ON ROADS AND BRIDGES,,"70,62,60,42","1,06,91,63,87","89,90,59,14","1,29,96,65,29"
7075,LOANS FOR OTHER TRANSPORT SERVICES,"63,00",,,
7610,LOANS TO GOVERNMENT SERVANTS ETC.,,1,1,"25,00"
0,1,2,3,4,5
,Ïð£Œ ÝJóˆF™,,Rupees in Thousands,,
,Revenue,Capital,Loan,Total,
ñ£Qò‚ «è£K‚¬è ÜÂñFˆî¶,"15,72,73,60   1,42,77,55,09",,"25,00","1,58,50,53,69",
DEMAND FOR GRANT-Voted,,,,,
,2,2,...,,4
,,,Gèó„ ªêô¾ Ïð£Œ ÝJóˆF™,,
,,,Net Expenditure Rupees in Thousands,,
,,2018-19,2019-20,2019-20,2020-21
,,,õó¾,,õó¾
,,èí‚°èœ,ªêô¾ˆ,F¼ˆî,ªêô¾ˆ
,,,F†ì,ñFŠd´,F†ì
,,,ñFŠd´,,ñFŠd´
,,Accounts,Budget,Revised,Budget
,,,Estimate,Estimate,Estimate
SECRETARIAT - GENERAL,,"5,13,15","5,07,98","5,20,76","7,36,36"
SERVICES,,,,,
PUBLIC WORKS,,"12,77,19","11,12,85","12,27,01","14,90,98"
SHIPPING,,...,1,...,...
ROADS AND BRIDGES,,"10,33,99,52","10,86,29,84","11,12,99,28","11,88,75,08"
CAPITAL OUTLAY ON PUBLIC,,...,"5,90,08","6,01,00",15
WORKS,,,,,
CAPITAL OUTLAY ON HOUSING,,...,1,...,...
CAPITAL OUTLAY ON,,"- 25,00",...,...,...
SHIPPING,,,,,
CAPITAL OUTLAY ON ROADS,,,"70,62,60,42   1,06,91,63,87",,"89,90,59,14   1,29,96,65,29"
AND BRIDGES,,,,,
LOANS FOR OTHER TRANSPORT,,"63,00",...,...,...
SERVICES,,,,,
LOANS TO GOVERNMENT,,...,1,1,"25,00"
SERVANTS ETC.,,,,,
