2041,TAXES ON VEHICLES,"1,74,81,55","1,76,36,25","1,79,48,81","2,40,75,89"
2059,PUBLIC WORKS,"1,38,66","1,35,00","1,35,00","1,37,50"
2235,SOCIAL SECURITY AND WELFARE,"98,89,49","80,00,00","1,00,00,00","1,00,00,00"
3435,ECOLOGY AND ENVIRONMENT,"1,29,79","1,00,07","85,77","87,92"
5055,CAPITAL OUTLAY ON ROAD TRANSPORT,,1,"1","1"
0,1,2,3
,2020-21 õó¾ ªêô¾ F†ì ñFŠd´,,
,BUDGET ESTIMATE 2020-21,,
,Ïð£Œ ÝJóˆF™,Rupees in Thousands,
Revenue,Capital,Loan,Total
"4,08,01,30
ñ£Qò‚ «è£K‚¬è ÜÂñFˆî¶",1,...,"4,08,01,31"
DEMAND FOR GRANT-Voted,,,
1,...,...,1
,,Gèó„ ªêô¾ Ïð£Œ ÝJóˆF™,
,,Net Expenditure Rupees in Thousands,
,2018-19,2019-20,"2019-20
2020-21"
,,õó¾,õó¾
,èí‚°èœ,ªêô¾ˆ,"F¼ˆî
ªêô¾ˆ"
,,F†ì,"ñFŠd´
 F†ì"
,,ñFŠd´,ñFŠd´
,Accounts,Budget,"Revised
Budget"
,,Estimate,"Estimate
Estimate"
TAXES ON VEHICLES,"1,74,81,55","1,76,36,25","1,79,48,81
 2,40,75,89"
PUBLIC WORKS,"1,38,66","1,35,00","1,35,00
 1,37,50"
SOCIAL SECURITY AND,"98,89,49","80,00,00","1,00,00,00
 1,00,00,00"
WELFARE,,,
ECOLOGY AND ENVIRONMENT,"1,29,79","1,00,07","85,77
 87,92"
CAPITAL OUTLAY ON ROAD,...,1,"1
 1"
TRANSPORT,,,
,,2020-21   õó¾ ªêô¾ˆ F†ì ñFŠd´,
,,BUDGET ESTIMATE 2020-21,
,,Ïð£Œ ÝJóˆF™ (ªî£° ªñ£ˆî‹),Rupees in Thousands (Gross)
Head of Department,Revenue,Capital,"Loan
   Total"
Charged,1,...,"...
 1"
Voted,"4,08,01,30",1,"...
 4,08,01,31"
,1,...,"...
 1"
"Charged
TOTAL : 
ªñ£ˆî‹",,,
Voted,"4,08,01,30",1,"...
 4,08,01,31"
