h,dept
1,State Legislature 
2,Governor And Council Of Ministers
3,Administration Of Justice
5,Agriculture Department
6,"Animal Husbandry (Animal Husbandry, Dairying And Fisheries Department)"
7,"Fisheries (Animal Husbandry, Dairying And Fisheries Department)"
8,"Dairy Development (Animal Husbandry, Dairying And Fisheries Department"
9,"Backward Classes, Most Backward Classes And Minorities Welfare Department"
10,Commercial Taxes (Commercial Taxes And Registration Department) 
11,Stamps And Registration  (Commercial Taxes And Registration Department)
12,"Co-Operation (Co-Operation , Food And  Consumer Protection  Department)"
13,"Food And Consumer Protection (Co-Operation , Food And  Consumer Protection  Department)"
14,Energy Department
15,Environment (Environment And Forests Department)
16,Finance Department
17,"Handlooms  And Textiles (Handlooms, Handicrafts,  Textiles And Khadi Department)"
18,"Khadi, Village Industries And Handicrafts  (Handlooms, Handicrafts,  Textiles And Khadi Department)"
19,Health And Family Welfare Department
20,Higher Education Department
21,Highways And Minor Ports  Department
22,"Police (Home, Prohibition And Excise Department)"
23,"Fire And Rescue Services (Home, Prohibition And Excise Department)"
24,"Prisons  (Home, Prohibition And Excise Department)"
25,"Motor Vehicles Acts-Administration (Home, Prohibition And Excise Department)"
26,Housing And Urban Development Department
27,Industries Department
28,Information And Publicity (Tamil Development And Information Department)
29,"Tourism - Art And Culture (Tourism, Culture And Religious Endowments  Department)"
30,Stationery And Printing (Tamil Development And Information Department) 
31,Information Technology Department
32,Labour And Employment Department
33,Law Department
34,Municipal Administration And Water Supply Department
35,Personnel And Administrative Reforms Department
36,"Planning, Development And Special Initiatives Department"
37,"Prohibition And Excise (Home, Prohibition And Excise Department)"
38,Public Department
39,Buildings (Public Works Department)
40,Irrigation (Public Works Department)
41,Revenue And Disaster Management Department
42,Rural Development And Panchayat Raj Department
43,School Education Department
44,"Micro, Small And Medium Enterprises Department"
45,Social Welfare And Nutritious Meal Programme Department
46,Tamil Development (Tamil Development And Information Department)
47,"Hindu Religious And Charitable Endowments (Tourism, Culture And Religious Endowments Department)"
48,Transport Department
49,Youth Welfare And Sports Development Department
50,Pension And Other Retirement Benefits
51,Relief On Account Of Natural Calamities
52,Department For The Welfare Of Differently Abled Persons
53,Department Of Special Programme Implementation
54,Forests   (Environment And Forests Department)
55,Miscellaneous 
