#District wise Type of Deposits Current/Savings/Term,Year:2017-2020,Amts in Crores
#Source: RBI Quarterly Stats
District,2020-21:Q1 Current,2020-21:Q1 Savings,2020-21:Q1 Term,2020-21:Q1 Total,2019-20:Q4 Current,2019-20:Q4 Savings,2019-20:Q4 Term,2019-20:Q4 Total,2019-20:Q3 Current,2019-20:Q3 Savings,2019-20:Q3 Term,2019-20:Q3 Total,2019-20:Q2 Current,2019-20:Q2 Savings,2019-20:Q2 Term,2019-20:Q2 Total,2019-20:Q1 Current,2019-20:Q1 Savings,2019-20:Q1 Term,2019-20:Q1 Total,2018-19:Q4 Current,2018-19:Q4 Savings,2018-19:Q4 Term,2018-19:Q4 Total,2018-19:Q3 Current,2018-19:Q3 Savings,2018-19:Q3 Term,2018-19:Q3 Total,2018-19:Q2 Current,2018-19:Q2 Savings,2018-19:Q2 Term,2018-19:Q2 Total,2018-19:Q1 Current,2018-19:Q1 Savings,2018-19:Q1 Term,2018-19:Q1 Total,2017-18:Q4 Current,2017-18:Q4 Savings,2017-18:Q4 Term,2017-18:Q4 Total,2017-18:Q3 Current,2017-18:Q3 Savings,2017-18:Q3 Term,2017-18:Q3 Total,2017-18:Q2 Current,2017-18:Q2 Savings,2017-18:Q2 Term,2017-18:Q2 Total,2017-18:Q1 Current,2017-18:Q1 Savings,2017-18:Q1 Term,2017-18:Q1 Total
ARIYALUR,113,1398,828,2338,102,1278,874,2254,107,1239,806,2152,117,1224,785,2126,99,1208,764,2070,104,1231,758,2094,78,1166,699,1942,75,1125,668,1868,73,1050,644,1767,76,1010,629,1716,62,961,615,1639,67,883,606,1556,67,860,589,1516
CHENNAI,46992,98440,258719,404151,49269,95385,237785,382439,42332,89338,224072,355742,43091,87176,218713,348980,37741,85272,218515,341528,42175,85702,206959,334836,38310,81852,199465,319627,35488,81678,198794,315960,35222,81650,188955,305827,39285,80003,184233,303522,34700,73675,179331,287707,34908,73398,179748,288054,34507,72027,180353,286886
COIMBATORE,6554,21061,48329,75945,6034,20303,47024,73361,6119,19367,46044,71530,6044,18708,45041,69793,5870,18535,42935,67340,5703,18345,42233,66282,5650,17839,41107,64597,5593,17528,40505,63627,5191,17119,39026,61336,5481,16981,38866,61328,5325,15918,38036,59279,5166,15492,37842,58500,5396,15506,37119,58021
CUDDALORE,527,7160,6302,13988,510,6682,5941,13133,509,6458,5889,12856,574,6344,5785,12703,486,6137,5724,12347,534,6331,5470,12335,478,5888,5329,11695,471,5665,5179,11315,448,5546,4969,10962,457,5417,4724,10598,490,4953,4594,10037,408,4764,4440,9612,421,4708,4665,9794
DHARMAPURI,261,2312,1750,4324,252,2148,1731,4131,220,2121,1674,4015,229,2040,1639,3908,230,1984,1593,3808,225,1970,1545,3740,191,1921,1467,3578,191,1826,1409,3427,206,1785,1380,3371,191,1726,1352,3270,163,1699,1361,3223,163,1636,1366,3165,203,1571,1297,3071
DINDIGUL,629,4825,5546,11001,566,4438,5508,10512,575,4439,5349,10363,581,4219,5203,10003,587,4159,5044,9789,595,4119,4852,9566,526,3942,4711,9179,559,3845,4587,8992,528,3691,4446,8665,581,3650,4452,8683,524,3440,4358,8321,499,3385,4385,8269,541,3355,4244,8140
ERODE,1762,6339,13302,21403,1875,6099,12766,20741,1732,5720,12724,20176,1632,5547,12387,19567,1532,5385,11923,18840,1718,5386,11471,18575,1477,5117,10973,17568,1422,4974,10727,17123,1352,4866,10213,16431,1508,4857,10023,16388,1388,4592,9903,15883,1460,4551,9807,15819,1474,4509,9422,15404
KANCHEEPURAM,4840,22720,39370,66929,5202,20777,37917,63897,5261,20142,37810,63213,4466,19494,36114,60074,4130,18832,34751,57714,4131,18399,33267,55797,4157,17824,32419,54400,3796,17391,31653,52839,3886,16970,30981,51836,3861,16427,30350,50637,3471,15861,29107,48439,3433,15473,29345,48251,3476,15158,26953,45586
KANYAKUMARI,543,6388,8516,15446,507,5738,8727,14972,493,5595,8126,14214,500,5494,7956,13949,455,5348,7748,13551,457,5334,7625,13416,450,5214,7291,12954,426,5152,7116,12694,407,4999,6828,12234,522,5274,7778,13574,406,4635,6573,11614,419,4532,6451,11402,434,4493,6269,11196
KARUR,583,2231,3461,6275,551,2065,3539,6155,536,2008,3390,5934,512,1968,3326,5806,515,1902,3222,5639,570,1921,3134,5625,478,1791,2967,5236,492,1746,2906,5144,490,1696,2746,4932,535,1722,3592,5849,463,1626,3134,5222,463,1634,3174,5271,478,1588,2625,4691
KRISHNAGIRI,846,4675,4549,10071,815,4334,4507,9656,774,4307,4381,9462,808,4212,4161,9181,774,4019,3961,8755,790,3894,3770,8454,810,3825,3660,8295,751,3773,3621,8145,761,3611,3526,7898,739,3533,3631,7903,733,3386,3378,7498,825,3326,3332,7483,905,3239,3209,7353
