#TN District,Deposits/Credits,Year:2003-2016,Amts in Crores
#Source:RBI - Database of Indian Economy - Statement 4A 
District,2016-17:Q1 Number of Reporting Offices,2016-17:Q1 Deposit,2016-17:Q1 Credit,2015-16:Q4 Number of Reporting Offices,2015-16:Q4 Deposit,2015-16:Q4 Credit,2015-16:Q3 Number of Reporting Offices,2015-16:Q3 Deposit,2015-16:Q3 Credit,Unnamed: 11,2015-16:Q2 Number of Reporting Offices,2015-16:Q2 Deposit,2015-16:Q2 Credit,2015-16:Q1 Number of Reporting Offices,2015-16:Q1 Deposit,2015-16:Q1 Credit,2014-15:Q4 Number of Reporting Offices,2014-15:Q4 Deposit,2014-15:Q4 Credit,2014-15:Q3 Number of Reporting Offices,2014-15:Q3 Deposit,2014-15:Q3 Credit,2014-15:Q2 Number of Reporting Offices,2014-15:Q2 Deposit,2014-15:Q2 Credit,2014-15:Q1 Number of Reporting Offices,2014-15:Q1 Deposit,2014-15:Q1 Credit,2013-14:Q4 Number of Reporting Offices,2013-14:Q4 Deposit,2013-14:Q4 Credit,2013-14:Q3 Number of Reporting Offices,2013-14:Q3 Deposit,2013-14:Q3 Credit,2013-14:Q2 Number of Reporting Offices,2013-14:Q2 Deposit,2013-14:Q2 Credit,2013-14:Q1 Number of Reporting Offices,2013-14:Q1 Deposit,2013-14:Q1 Credit,2012-13:Q4 Number of Reporting Offices,2012-13:Q4 Deposit,2012-13:Q4 Credit,2012-13:Q3 Number of Reporting Offices,2012-13:Q3 Deposit,2012-13:Q3 Credit,2012-13:Q2 Number of Reporting Offices,2012-13:Q2 Deposit,2012-13:Q2 Credit,2012-13:Q1 Number of Reporting Offices,2012-13:Q1 Deposit,2012-13:Q1 Credit,2011-12:Q4 Number of Reporting Offices,2011-12:Q4 Deposit,2011-12:Q4 Credit,2011-12:Q3 Number of Reporting Offices,2011-12:Q3 Deposit,2011-12:Q3 Credit,2011-12:Q2 Number of Reporting Offices,2011-12:Q2 Deposit,2011-12:Q2 Credit,2011-12:Q1 Number of Reporting Offices,2011-12:Q1 Deposit,2011-12:Q1 Credit,2010-11:Q4 Number of Reporting Offices,2010-11:Q4 Deposit,2010-11:Q4 Credit,2010-11:Q3 Number of Reporting Offices,2010-11:Q3 Deposit,2010-11:Q3 Credit,2010-11:Q2 Number of Reporting Offices,2010-11:Q2 Deposit,2010-11:Q2 Credit,2010-11:Q1 Number of Reporting Offices,2010-11:Q1 Deposit,2010-11:Q1 Credit,2009-10:Q4 Number of Reporting Offices,2009-10:Q4 Deposit,2009-10:Q4 Credit,2009-10:Q3 Number of Reporting Offices,2009-10:Q3 Deposit,2009-10:Q3 Credit,2009-10:Q2 Number of Reporting Offices,2009-10:Q2 Deposit,2009-10:Q2 Credit,2009-10:Q1 Number of Reporting Offices,2009-10:Q1 Deposit,2009-10:Q1 Credit,2008-09:Q4 Number of Reporting Offices,2008-09:Q4 Deposit,2008-09:Q4 Credit,2008-09:Q3 Number of Reporting Offices,2008-09:Q3 Deposit,2008-09:Q3 Credit,2008-09:Q2 Number of Reporting Offices,2008-09:Q2 Deposit,2008-09:Q2 Credit,2008-09:Q1 Number of Reporting Offices,2008-09:Q1 Deposit,2008-09:Q1 Credit,2007-08:Q4 Number of Reporting Offices,2007-08:Q4 Deposit,2007-08:Q4 Credit,2007-08:Q3 Number of Reporting Offices,2007-08:Q3 Deposit,2007-08:Q3 Credit,2007-08:Q2 Number of Reporting Offices,2007-08:Q2 Deposit,2007-08:Q2 Credit,2007-08:Q1 Number of Reporting Offices,2007-08:Q1 Deposit,2007-08:Q1 Credit,2006-07:Q4 Number of Reporting Offices,2006-07:Q4 Deposit,2006-07:Q4 Credit,2006-07:Q3 Number of Reporting Offices,2006-07:Q3 Deposit,2006-07:Q3 Credit,2006-07:Q2 Number of Reporting Offices,2006-07:Q2 Deposit,2006-07:Q2 Credit,2006-07:Q1 Number of Reporting Offices,2006-07:Q1 Deposit,2006-07:Q1 Credit,2005-06:Q4 Number of Reporting Offices,2005-06:Q4 Deposit,2005-06:Q4 Credit,2005-06:Q3 Number of Reporting Offices,2005-06:Q3 Deposit,2005-06:Q3 Credit,2005-06:Q2 Number of Reporting Offices,2005-06:Q2 Deposit,2005-06:Q2 Credit,2005-06:Q1 Number of Reporting Offices,2005-06:Q1 Deposit,2005-06:Q1 Credit,2004-05:Q4 Number of Reporting Offices,2004-05:Q4 Deposit,2004-05:Q4 Credit,2004-05:Q3 Number of Reporting Offices,2004-05:Q3 Deposit,2004-05:Q3 Credit,2004-05:Q2 Number of Reporting Offices,2004-05:Q2 Deposit,2004-05:Q2 Credit,2004-05:Q1 Number of Reporting Offices,2004-05:Q1 Deposit,2004-05:Q1 Credit,2003-04:Q4 Number of Reporting Offices,2003-04:Q4 Deposit,2003-04:Q4 Credit
KRISHNAGIRI,188,5897,7537,185,5733,7535,183,5337,7168,,178,5430,7019,175,5488,6772,173,5712,6835,164,5421,6425,162,5235,6317,157,4967,6117,157,4697,6074,153,4257,5722,149,3956,5611,148,4048,5274,148,4031,5272,144,3682,4816,142,3675,4675,139,3375,4370,138,3311,4278,132,3083,3743,130,2958,3568,130,2765,3326,129,2755,3258,129,2718,2906,127,2478,2680,124,2340,2535,119,2298,2524,116,2099,2260,111,2065,2166,108.0,1975.0,2036.0,106.0,1993.0,2026.0,105.0,1762.0,1848.0,104.0,1850.0,1739.0,102.0,1608.0,1658.0,101.0,1542.0,1598.0,101.0,1431.0,1426.0,96.0,1420.0,1363.0,95.0,1405.0,1257.0,94.0,1272.0,1227.0,94.0,1235.0,1112.0,92.0,1200.0,1039.0,92.0,1140.0,932.0,92.0,1073.0,910.0,91.0,1072.0,832.0,91.0,1028.0,796.0,91.0,938.0,722.0,91.0,915.0,684.0,91.0,873.0,630.0,88.0,839.0,585.0,88.0,819.0,545.0,88.0,815.0,519.0
ARIYALUR,71,1309,2413,68,1319,2404,68,1176,2349,,67,1153,2313,67,1120,2318,66,1133,2291,64,1033,2227,62,1006,2186,60,998,2111,59,991,2062,58,885,1978,57,859,1917,56,857,1833,56,863,1777,56,801,1646,55,817,1524,55,791,1390,50,777,1309,46,702,1187,46,659,1121,46,666,1008,46,667,948,45,629,842,41,564,770,41,563,713,41,555,698,41,490,649,41,462,612,41.0,462.0,563.0,41.0,459.0,531.0,39.0,406.0,497.0,39.0,370.0,460.0,39.0,350.0,460.0,38.0,345.0,440.0,36.0,301.0,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIRUPPUR,343,14750,22710,341,14676,22874,333,13668,21698,,328,13376,21131,325,13027,21012,326,12675,21571,306,11565,20632,300,11302,20242,287,10795,20460,284,10635,20709,272,9880,19825,266,9543,19422,261,9444,19481,254,9509,19810,245,8819,18576,241,8953,18092,238,9155,17761,231,9001,17618,211,8493,16889,211,8684,16604,207,7874,16376,202,7821,16889,199,7556,15313,194,6978,14272,191,6794,14045,186,6937,13945,186,6373,12759,192,6854,12957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHENNAI,1478,254941,335545,1460,269764,345446,1443,258489,324898,,1430,254879,322209,1416,241853,317059,1393,248960,330909,1371,233936,312037,1358,229936,306446,1340,231303,305922,1318,251196,312051,1285,222270,290737,1272,216065,290901,1251,219495,273632,1240,218803,282013,1231,195608,260352,1227,201996,251979,1219,194770,247171,1199,199163,248080,1167,181771,230393,1164,176887,223914,1146,158487,213200,1139,166838,213151,1115,142967,200129,1099,138560,184119,1085,132651,177526,1074,135755,175834,1061,123984,161701,1040,119199,154980,1021.0,115698.0,146859.0,1002.0,118778.0,146101.0,991.0,107957.0,138412.0,983.0,104722.0,134345.0,958.0,99878.0,123960.0,932.0,95277.0,120636.0,913.0,85851.0,106851.0,904.0,82587.0,103035.0,887.0,78674.0,98186.0,879.0,78531.0,98839.0,868.0,69776.0,89115.0,845.0,66038.0,82070.0,839.0,61878.0,78052.0,835.0,62420.0,74776.0,832.0,54146.0,66288.0,833.0,51571.0,64804.0,835.0,47823.0,57870.0,829.0,48840.0,57758.0,821.0,45330.0,53053.0,802.0,42329.0,49454.0,797.0,41926.0,48863.0,792.0,42943.0,49472.0
THIRUVALLUR,435,21018,13023,428,20792,13048,419,19598,12180,,414,18690,11841,404,18593,11593,402,17984,11932,391,16626,10906,383,16258,10579,373,15585,10294,369,15307,10226,349,14153,9545,339,13783,9210,330,13419,8932,320,13153,9010,312,12499,8217,322,12839,7703,318,12326,7680,303,11484,6814,281,10962,6078,278,10680,5674,268,9983,5324,266,9836,5227,254,9440,4693,245,8918,4615,244,8460,4456,240,8171,4487,232,7664,4256,227,7628,4001,223.0,6904.0,3939.0,222.0,6900.0,3993.0,211.0,6293.0,3518.0,205.0,6088.0,3375.0,199.0,5799.0,3216.0,193.0,5414.0,3138.0,188.0,5029.0,2809.0,178.0,4888.0,2587.0,174.0,4497.0,2425.0,170.0,4219.0,2409.0,165.0,3958.0,2638.0,158.0,3690.0,2493.0,157.0,3424.0,2246.0,155.0,3245.0,2181.0,152.0,3068.0,1895.0,152.0,2954.0,1801.0,150.0,2727.0,1438.0,149.0,2665.0,1390.0,148.0,2576.0,1257.0,146.0,2524.0,1139.0,145.0,2422.0,1062.0,143.0,2388.0,1048.0
KANCHEEPURAM,744,39623,20639,733,38395,20720,719,35743,19363,,711,34221,18942,700,33168,18840,689,32490,19450,664,30245,17462,645,28869,16321,624,27744,15592,610,26958,15557,580,24960,14297,557,24446,13752,538,23328,12232,522,22630,12947,500,21262,11579,475,20685,10691,465,20260,10413,447,19380,10016,417,17901,8951,411,17702,8379,405,16678,7800,401,16487,7539,380,15862,6870,373,14531,6502,363,12913,6210,357,13922,6243,340,12657,5758,325,12031,5495,311.0,10938.0,5375.0,306.0,10364.0,5264.0,277.0,10795.0,4898.0,267.0,10356.0,4696.0,260.0,9944.0,4322.0,252.0,9296.0,4038.0,234.0,7578.0,3429.0,216.0,7128.0,3033.0,214.0,6701.0,2776.0,202.0,6168.0,2605.0,195.0,5688.0,2405.0,175.0,5149.0,2216.0,169.0,4867.0,2061.0,169.0,4659.0,2001.0,168.0,4439.0,1828.0,167.0,4423.0,1697.0,166.0,4147.0,1565.0,165.0,4047.0,1504.0,165.0,3567.0,1375.0,164.0,3522.0,1302.0,162.0,3461.0,1203.0,161.0,3320.0,1173.0
VELLORE,371,12930,10258,370,12385,10211,366,11718,9869,,362,11507,9828,353,11236,9759,350,10649,9811,338,10072,9415,334,10074,9793,327,9755,9594,319,9338,9673,310,8940,9240,302,8721,9072,296,8469,8787,294,8035,8550,288,7669,7780,287,7899,7401,281,7657,7102,271,7166,6976,257,6805,6462,255,6564,5987,252,6437,5609,252,6173,5423,247,5979,4823,240,5634,4480,237,5464,4305,237,5312,4276,235,5108,3914,229,5077,3711,227.0,4767.0,3506.0,226.0,4713.0,3394.0,222.0,4284.0,3178.0,217.0,4133.0,3044.0,216.0,3982.0,2992.0,216.0,3886.0,2998.0,209.0,3638.0,2758.0,207.0,3571.0,2613.0,206.0,3464.0,2520.0,205.0,3238.0,2469.0,204.0,3125.0,2290.0,200.0,2959.0,2185.0,199.0,2799.0,2056.0,197.0,2674.0,1996.0,197.0,2585.0,1834.0,197.0,2557.0,1720.0,196.0,2400.0,1578.0,196.0,2387.0,1553.0,195.0,2275.0,1438.0,194.0,2238.0,1305.0,195.0,2179.0,1220.0,195.0,2223.0,1201.0
CUDDALORE,237,9745,9071,236,9831,9014,234,9212,9015,,233,8984,9007,231,9033,8954,231,8813,8996,230,8419,8917,228,8773,8856,220,8631,8765,218,8209,8733,210,8077,8501,209,7781,8266,201,7628,8011,197,7626,7744,196,6673,7089,195,6813,6687,193,6811,6272,191,6625,5927,177,6691,5509,174,6864,5199,172,6978,4781,170,7217,4608,170,6689,4387,170,5960,4084,168,5569,3928,168,5361,3907,163,4855,3624,163,4416,3454,163.0,4489.0,3266.0,162.0,4490.0,3194.0,159.0,3157.0,2989.0,157.0,3029.0,2836.0,155.0,3050.0,2757.0,154.0,2946.0,2639.0,151.0,3302.0,2248.0,147.0,3358.0,2192.0,145.0,3232.0,2056.0,144.0,2334.0,1993.0,144.0,2150.0,1836.0,143.0,2283.0,1691.0,143.0,2281.0,1506.0,143.0,2581.0,1420.0,144.0,2577.0,1276.0,144.0,2698.0,1209.0,144.0,2406.0,1083.0,146.0,2023.0,1015.0,146.0,1760.0,936.0,145.0,2205.0,852.0,144.0,2219.0,785.0,144.0,1865.0,762.0
THIRUVARUR,146,3784,3292,145,3781,3243,142,3450,3211,,142,3464,3145,141,3372,3102,138,3371,3067,138,3191,3021,136,3075,2955,135,3066,2857,133,3058,2747,128,2803,2750,124,2663,2707,123,2635,2608,122,2676,2522,119,2518,2359,117,2431,2166,115,2382,1986,113,2457,1832,101,2182,1714,101,2063,1611,95,1981,1524,94,2041,1443,94,1909,1311,90,1814,1195,90,1778,1119,88,1792,1078,88,1666,1026,85,1643,971,85.0,1598.0,912.0,85.0,1641.0,862.0,83.0,1434.0,821.0,81.0,1333.0,789.0,81.0,1298.0,775.0,80.0,1268.0,746.0,78.0,1150.0,717.0,74.0,1159.0,688.0,74.0,1113.0,639.0,74.0,1091.0,617.0,73.0,1028.0,602.0,72.0,985.0,569.0,72.0,956.0,523.0,72.0,929.0,493.0,71.0,877.0,470.0,71.0,844.0,446.0,71.0,823.0,401.0,71.0,837.0,387.0,71.0,789.0,373.0,71.0,783.0,331.0,71.0,781.0,303.0,71.0,788.0,296.0
THANJAVUR,300,11269,10767,296,11215,10753,294,10366,10299,,291,10129,10076,288,9821,9931,276,9693,9889,272,9118,9509,267,8840,9364,257,8554,9050,253,8569,8865,243,7776,8483,236,7643,8335,234,7372,7955,231,7262,7882,226,6866,7214,222,6890,6842,218,6691,6375,213,6582,6118,203,6080,5623,201,5943,5455,196,5619,4988,196,5680,4799,194,5336,4426,191,5062,4092,190,4933,3923,190,4877,3856,190,4629,3625,188,4520,3464,186.0,4411.0,3332.0,185.0,4430.0,3271.0,180.0,3918.0,3017.0,177.0,3646.0,2937.0,174.0,3535.0,2918.0,174.0,3487.0,2864.0,170.0,3163.0,2651.0,169.0,3110.0,2542.0,166.0,2925.0,2408.0,163.0,2851.0,2351.0,164.0,2691.0,2171.0,164.0,2610.0,2092.0,164.0,2545.0,1969.0,164.0,2469.0,1870.0,161.0,2241.0,1760.0,164.0,2295.0,1733.0,164.0,2179.0,1572.0,164.0,2205.0,1527.0,163.0,2108.0,1449.0,163.0,2048.0,1331.0,163.0,2041.0,1250.0,163.0,2043.0,1217.0
