#NO. OF COMMERCIAL BANKS YEAR: 2016-17
Name,,,,,,Deposits,Advances
State Bank Group,,,,,,,
SBI,1,11,0,0,12,1676.40,1199.00
SBH,0,1,0,0,1,9.03,11.22
SBT,0,2,0,0,2,5.55,21.08
Nationalised Banks,,,,,,0.00,0.00
BOB,1,4,0,0,5,113.66,178.06
BOI,1,1,0,0,2,56.27,106.66
BOM,0,1,0,0,1,10.70,14.31
CANARA BANK,13,11,0,0,24,932.39,1533.64
CORPORATION BANK,7,6,0,0,13,376.93,914.60
INDIAN BANK,24,11,0,0,35,1567.96,1756.25
IOB,11,10,0,0,21,895.26,695.27
PNB,0,2,0,0,2,69.43,76.54
SYNDICATE BANK,5,3,0,0,8,176.20,305.82
UBI,1,4,0,0,5,76.64,94.63
UCO BANK,2,1,0,0,3,110.95,95.17
UNITED BANK OF INDIA,0,1,0,0,1,14.08,9.30
VIJAYA BANK,0,3,0,0,3,69.84,222.50
OBC,0,1,0,0,1,15.42,7.92
ALLAHABAD BANK,0,1,0,0,1,13.90,7.45
ANDRA BANK,0,3,0,0,3,3.19,7.84
IDBI BANK LTD,1,2,0,0,3,52.52,125.20
CENTRAL BANK OF INDIA,0,2,0,0,2,22.64,52.62
SUB TOTAL,67,81,0,0,148,6268.95,7435.08
Private Sector Banks,,,,,,0.00,0.00
AXIS BANK,4,3,0,0,7,150.62,236.37
CUB LTD.,0,4,0,0,4,216.70,268.40
FEDERAL BANK LTD.,2,2,0,0,4,29.09,133.07
HDFC BANK LTD,1,4,0,0,5,144.85,591.89
ICICI BANK LTD.,2,5,0,0,7,150.85,458.25
INDUS IND BANK LTD.,0,1,0,0,1,8.69,151.80
KVB LTD.,7,10,0,0,17,1150.39,935.22
"KOTAK MAHINDRA BANK 
LTD.",0,1,0,0,1,21.34,201.33
LVB LTD.,6,5,0,0,11,707.32,532.10
SOU IND BANK LTD.,1,0,1,0,2,31.78,48.22
Catholic Syrion Bank,0,1,0,0,1,2.19,8.35
Dhanlaxmi Bank Ltd,0,1,0,0,1,10.22,5.06
Karnataka Bank,0,1,0,,1,17.00,55.00
TMB LTD.,10,4,0,0,14,526.00,650.13
SUB TOTAL,33,42,1,0,76,3167.04,4275.20
Total,100,123,1,0,224,9435.99,11710.28
Co-operative Banks,,,,,,0.00,0.00
SDCCB,15,10,2,0,27,1550.02,1029.36
NUCOOP BANK,3,4,0,0,7,100.41,42.01
TIIC,0,0,1,0,1,0.10,26.51
PGB (RRB),11,6,1,0,18,254.74,213.87
SUB TOTAL,29,20,4,0,53,1905.27,1311.75
GRAND TOTAL,129,143,5,0,277,11341.26,13022.03
