#Source:RBI - Database of Indian Economy - Statement 4A - Districtwise SCBs - Amt in Crores
State,District,2016-17:Q1 Number of Reporting Offices,2016-17:Q1 Deposit,2016-17:Q1 Credit,2015-16:Q4 Number of Reporting Offices,2015-16:Q4 Deposit,2015-16:Q4 Credit,2015-16:Q3 Number of Reporting Offices,2015-16:Q3 Deposit,2015-16:Q3 Credit,,2015-16:Q2 Number of Reporting Offices,2015-16:Q2 Deposit,2015-16:Q2 Credit,2015-16:Q1 Number of Reporting Offices,2015-16:Q1 Deposit,2015-16:Q1 Credit,2014-15:Q4 Number of Reporting Offices,2014-15:Q4 Deposit,2014-15:Q4 Credit,2014-15:Q3 Number of Reporting Offices,2014-15:Q3 Deposit,2014-15:Q3 Credit,2014-15:Q2 Number of Reporting Offices,2014-15:Q2 Deposit,2014-15:Q2 Credit,2014-15:Q1 Number of Reporting Offices,2014-15:Q1 Deposit,2014-15:Q1 Credit,2013-14:Q4 Number of Reporting Offices,2013-14:Q4 Deposit,2013-14:Q4 Credit,2013-14:Q3 Number of Reporting Offices,2013-14:Q3 Deposit,2013-14:Q3 Credit,2013-14:Q2 Number of Reporting Offices,2013-14:Q2 Deposit,2013-14:Q2 Credit,2013-14:Q1 Number of Reporting Offices,2013-14:Q1 Deposit,2013-14:Q1 Credit,2012-13:Q4 Number of Reporting Offices,2012-13:Q4 Deposit,2012-13:Q4 Credit,2012-13:Q3 Number of Reporting Offices,2012-13:Q3 Deposit,2012-13:Q3 Credit,2012-13:Q2 Number of Reporting Offices,2012-13:Q2 Deposit,2012-13:Q2 Credit,2012-13:Q1 Number of Reporting Offices,2012-13:Q1 Deposit,2012-13:Q1 Credit,2011-12:Q4 Number of Reporting Offices,2011-12:Q4 Deposit,2011-12:Q4 Credit,2011-12:Q3 Number of Reporting Offices,2011-12:Q3 Deposit,2011-12:Q3 Credit,2011-12:Q2 Number of Reporting Offices,2011-12:Q2 Deposit,2011-12:Q2 Credit,2011-12:Q1 Number of Reporting Offices,2011-12:Q1 Deposit,2011-12:Q1 Credit,2010-11:Q4 Number of Reporting Offices,2010-11:Q4 Deposit,2010-11:Q4 Credit,2010-11:Q3 Number of Reporting Offices,2010-11:Q3 Deposit,2010-11:Q3 Credit,2010-11:Q2 Number of Reporting Offices,2010-11:Q2 Deposit,2010-11:Q2 Credit,2010-11:Q1 Number of Reporting Offices,2010-11:Q1 Deposit,2010-11:Q1 Credit,2009-10:Q4 Number of Reporting Offices,2009-10:Q4 Deposit,2009-10:Q4 Credit,2009-10:Q3 Number of Reporting Offices,2009-10:Q3 Deposit,2009-10:Q3 Credit,2009-10:Q2 Number of Reporting Offices,2009-10:Q2 Deposit,2009-10:Q2 Credit,2009-10:Q1 Number of Reporting Offices,2009-10:Q1 Deposit,2009-10:Q1 Credit,2008-09:Q4 Number of Reporting Offices,2008-09:Q4 Deposit,2008-09:Q4 Credit,2008-09:Q3 Number of Reporting Offices,2008-09:Q3 Deposit,2008-09:Q3 Credit,2008-09:Q2 Number of Reporting Offices,2008-09:Q2 Deposit,2008-09:Q2 Credit,2008-09:Q1 Number of Reporting Offices,2008-09:Q1 Deposit,2008-09:Q1 Credit,2007-08:Q4 Number of Reporting Offices,2007-08:Q4 Deposit,2007-08:Q4 Credit,2007-08:Q3 Number of Reporting Offices,2007-08:Q3 Deposit,2007-08:Q3 Credit,2007-08:Q2 Number of Reporting Offices,2007-08:Q2 Deposit,2007-08:Q2 Credit,2007-08:Q1 Number of Reporting Offices,2007-08:Q1 Deposit,2007-08:Q1 Credit,2006-07:Q4 Number of Reporting Offices,2006-07:Q4 Deposit,2006-07:Q4 Credit,2006-07:Q3 Number of Reporting Offices,2006-07:Q3 Deposit,2006-07:Q3 Credit,2006-07:Q2 Number of Reporting Offices,2006-07:Q2 Deposit,2006-07:Q2 Credit,2006-07:Q1 Number of Reporting Offices,2006-07:Q1 Deposit,2006-07:Q1 Credit,2005-06:Q4 Number of Reporting Offices,2005-06:Q4 Deposit,2005-06:Q4 Credit,2005-06:Q3 Number of Reporting Offices,2005-06:Q3 Deposit,2005-06:Q3 Credit,2005-06:Q2 Number of Reporting Offices,2005-06:Q2 Deposit,2005-06:Q2 Credit,2005-06:Q1 Number of Reporting Offices,2005-06:Q1 Deposit,2005-06:Q1 Credit,2004-05:Q4 Number of Reporting Offices,2004-05:Q4 Deposit,2004-05:Q4 Credit,2004-05:Q3 Number of Reporting Offices,2004-05:Q3 Deposit,2004-05:Q3 Credit,2004-05:Q2 Number of Reporting Offices,2004-05:Q2 Deposit,2004-05:Q2 Credit,2004-05:Q1 Number of Reporting Offices,2004-05:Q1 Deposit,2004-05:Q1 Credit,2003-04:Q4 Number of Reporting Offices,2003-04:Q4 Deposit,2003-04:Q4 Credit
TAMIL NADU,KRISHNAGIRI,188,5897,7537,185,5733,7535,183,5337,7168,,178,5430,7019,175,5488,6772,173,5712,6835,164,5421,6425,162,5235,6317,157,4967,6117,157,4697,6074,153,4257,5722,149,3956,5611,148,4048,5274,148,4031,5272,144,3682,4816,142,3675,4675,139,3375,4370,138,3311,4278,132,3083,3743,130,2958,3568,130,2765,3326,129,2755,3258,129,2718,2906,127,2478,2680,124,2340,2535,119,2298,2524,116,2099,2260,111,2065,2166,108,1975,2036,106,1993,2026,105,1762,1848,104,1850,1739,102,1608,1658,101,1542,1598,101,1431,1426,96,1420,1363,95,1405,1257,94,1272,1227,94,1235,1112,92,1200,1039,92,1140,932,92,1073,910,91,1072,832,91,1028,796,91,938,722,91,915,684,91,873,630,88,839,585,88,819,545,88,815,519
TAMIL NADU,ARIYALUR,71,1309,2413,68,1319,2404,68,1176,2349,,67,1153,2313,67,1120,2318,66,1133,2291,64,1033,2227,62,1006,2186,60,998,2111,59,991,2062,58,885,1978,57,859,1917,56,857,1833,56,863,1777,56,801,1646,55,817,1524,55,791,1390,50,777,1309,46,702,1187,46,659,1121,46,666,1008,46,667,948,45,629,842,41,564,770,41,563,713,41,555,698,41,490,649,41,462,612,41,462,563,41,459,531,39,406,497,39,370,460,39,350,460,38,345,440,36,301,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMIL NADU,TIRUPPUR,343,14750,22710,341,14676,22874,333,13668,21698,,328,13376,21131,325,13027,21012,326,12675,21571,306,11565,20632,300,11302,20242,287,10795,20460,284,10635,20709,272,9880,19825,266,9543,19422,261,9444,19481,254,9509,19810,245,8819,18576,241,8953,18092,238,9155,17761,231,9001,17618,211,8493,16889,211,8684,16604,207,7874,16376,202,7821,16889,199,7556,15313,194,6978,14272,191,6794,14045,186,6937,13945,186,6373,12759,192,6854,12957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMIL NADU,CHENNAI,1478,254941,335545,1460,269764,345446,1443,258489,324898,,1430,254879,322209,1416,241853,317059,1393,248960,330909,1371,233936,312037,1358,229936,306446,1340,231303,305922,1318,251196,312051,1285,222270,290737,1272,216065,290901,1251,219495,273632,1240,218803,282013,1231,195608,260352,1227,201996,251979,1219,194770,247171,1199,199163,248080,1167,181771,230393,1164,176887,223914,1146,158487,213200,1139,166838,213151,1115,142967,200129,1099,138560,184119,1085,132651,177526,1074,135755,175834,1061,123984,161701,1040,119199,154980,1021,115698,146859,1002,118778,146101,991,107957,138412,983,104722,134345,958,99878,123960,932,95277,120636,913,85851,106851,904,82587,103035,887,78674,98186,879,78531,98839,868,69776,89115,845,66038,82070,839,61878,78052,835,62420,74776,832,54146,66288,833,51571,64804,835,47823,57870,829,48840,57758,821,45330,53053,802,42329,49454,797,41926,48863,792,42943,49472
TAMIL NADU,THIRUVALLUR,435,21018,13023,428,20792,13048,419,19598,12180,,414,18690,11841,404,18593,11593,402,17984,11932,391,16626,10906,383,16258,10579,373,15585,10294,369,15307,10226,349,14153,9545,339,13783,9210,330,13419,8932,320,13153,9010,312,12499,8217,322,12839,7703,318,12326,7680,303,11484,6814,281,10962,6078,278,10680,5674,268,9983,5324,266,9836,5227,254,9440,4693,245,8918,4615,244,8460,4456,240,8171,4487,232,7664,4256,227,7628,4001,223,6904,3939,222,6900,3993,211,6293,3518,205,6088,3375,199,5799,3216,193,5414,3138,188,5029,2809,178,4888,2587,174,4497,2425,170,4219,2409,165,3958,2638,158,3690,2493,157,3424,2246,155,3245,2181,152,3068,1895,152,2954,1801,150,2727,1438,149,2665,1390,148,2576,1257,146,2524,1139,145,2422,1062,143,2388,1048
TAMIL NADU,KANCHEEPURAM,744,39623,20639,733,38395,20720,719,35743,19363,,711,34221,18942,700,33168,18840,689,32490,19450,664,30245,17462,645,28869,16321,624,27744,15592,610,26958,15557,580,24960,14297,557,24446,13752,538,23328,12232,522,22630,12947,500,21262,11579,475,20685,10691,465,20260,10413,447,19380,10016,417,17901,8951,411,17702,8379,405,16678,7800,401,16487,7539,380,15862,6870,373,14531,6502,363,12913,6210,357,13922,6243,340,12657,5758,325,12031,5495,311,10938,5375,306,10364,5264,277,10795,4898,267,10356,4696,260,9944,4322,252,9296,4038,234,7578,3429,216,7128,3033,214,6701,2776,202,6168,2605,195,5688,2405,175,5149,2216,169,4867,2061,169,4659,2001,168,4439,1828,167,4423,1697,166,4147,1565,165,4047,1504,165,3567,1375,164,3522,1302,162,3461,1203,161,3320,1173
TAMIL NADU,VELLORE,371,12930,10258,370,12385,10211,366,11718,9869,,362,11507,9828,353,11236,9759,350,10649,9811,338,10072,9415,334,10074,9793,327,9755,9594,319,9338,9673,310,8940,9240,302,8721,9072,296,8469,8787,294,8035,8550,288,7669,7780,287,7899,7401,281,7657,7102,271,7166,6976,257,6805,6462,255,6564,5987,252,6437,5609,252,6173,5423,247,5979,4823,240,5634,4480,237,5464,4305,237,5312,4276,235,5108,3914,229,5077,3711,227,4767,3506,226,4713,3394,222,4284,3178,217,4133,3044,216,3982,2992,216,3886,2998,209,3638,2758,207,3571,2613,206,3464,2520,205,3238,2469,204,3125,2290,200,2959,2185,199,2799,2056,197,2674,1996,197,2585,1834,197,2557,1720,196,2400,1578,196,2387,1553,195,2275,1438,194,2238,1305,195,2179,1220,195,2223,1201
TAMIL NADU,CUDDALORE,237,9745,9071,236,9831,9014,234,9212,9015,,233,8984,9007,231,9033,8954,231,8813,8996,230,8419,8917,228,8773,8856,220,8631,8765,218,8209,8733,210,8077,8501,209,7781,8266,201,7628,8011,197,7626,7744,196,6673,7089,195,6813,6687,193,6811,6272,191,6625,5927,177,6691,5509,174,6864,5199,172,6978,4781,170,7217,4608,170,6689,4387,170,5960,4084,168,5569,3928,168,5361,3907,163,4855,3624,163,4416,3454,163,4489,3266,162,4490,3194,159,3157,2989,157,3029,2836,155,3050,2757,154,2946,2639,151,3302,2248,147,3358,2192,145,3232,2056,144,2334,1993,144,2150,1836,143,2283,1691,143,2281,1506,143,2581,1420,144,2577,1276,144,2698,1209,144,2406,1083,146,2023,1015,146,1760,936,145,2205,852,144,2219,785,144,1865,762
TAMIL NADU,THIRUVARUR,146,3784,3292,145,3781,3243,142,3450,3211,,142,3464,3145,141,3372,3102,138,3371,3067,138,3191,3021,136,3075,2955,135,3066,2857,133,3058,2747,128,2803,2750,124,2663,2707,123,2635,2608,122,2676,2522,119,2518,2359,117,2431,2166,115,2382,1986,113,2457,1832,101,2182,1714,101,2063,1611,95,1981,1524,94,2041,1443,94,1909,1311,90,1814,1195,90,1778,1119,88,1792,1078,88,1666,1026,85,1643,971,85,1598,912,85,1641,862,83,1434,821,81,1333,789,81,1298,775,80,1268,746,78,1150,717,74,1159,688,74,1113,639,74,1091,617,73,1028,602,72,985,569,72,956,523,72,929,493,71,877,470,71,844,446,71,823,401,71,837,387,71,789,373,71,783,331,71,781,303,71,788,296
TAMIL NADU,THANJAVUR,300,11269,10767,296,11215,10753,294,10366,10299,,291,10129,10076,288,9821,9931,276,9693,9889,272,9118,9509,267,8840,9364,257,8554,9050,253,8569,8865,243,7776,8483,236,7643,8335,234,7372,7955,231,7262,7882,226,6866,7214,222,6890,6842,218,6691,6375,213,6582,6118,203,6080,5623,201,5943,5455,196,5619,4988,196,5680,4799,194,5336,4426,191,5062,4092,190,4933,3923,190,4877,3856,190,4629,3625,188,4520,3464,186,4411,3332,185,4430,3271,180,3918,3017,177,3646,2937,174,3535,2918,174,3487,2864,170,3163,2651,169,3110,2542,166,2925,2408,163,2851,2351,164,2691,2171,164,2610,2092,164,2545,1969,164,2469,1870,161,2241,1760,164,2295,1733,164,2179,1572,164,2205,1527,163,2108,1449,163,2048,1331,163,2041,1250,163,2043,1217
